Taxon,NonTarget,Habit,Hemoglobin,Air,TolVal2,TolVal,FSBI_2012,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,LONGLIVED,Thermal_indicator,ThermalPref_ALL,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Cystobranchus salmositicus,FALSE,UN,,F,11,10,,,,,,,FALSE,,,Less30,,,,,69309,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,Piscicolinae,,,Cystobranchus,,,,,salmositicus,Other Non-Insect
Piscicolidae,FALSE,UN,,F,11,NA,,,,,,,TRUE,,,Less30,,,,,69296,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,,,,,,,,,,Other Non-Insect
Rhynchobdellida,FALSE,UN,,,,NA,,,,,,,FALSE,,,,21.40653417,25.34180492,,,69295,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,,,,,,,,,,,Other Non-Insect
Arcteonais,FALSE,UN,,,,NA,,,,,,,FALSE,,,,,,,,68975,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Arcteonais,,,,,,Oligochaeta
Aulodrilus,FALSE,UN,T,F,11,10,,,,,,,FALSE,warm,Warm,,23.30042623,25.831,,,68679,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Aulodrilus,,,,,,Oligochaeta
Bothrioneurum,FALSE,UN,,,,NA,,,,,,,FALSE,,,Less30,,,,,68778,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Bothrioneurum,,,,,,Oligochaeta
Branchiura,FALSE,UN,,,,NA,,,,,,,FALSE,,,,,,,,68619,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Branchiura,,,,,,Oligochaeta
Chaetogaster,FALSE,UN,,F,11,8,,,,,,,FALSE,,,Less30,,,,,68934,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Chaetogaster,,,,,,Oligochaeta
Dero,FALSE,UN,,F,11,8,,,,,,,FALSE,,,Less30,,,,,68898,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Dero,,,,,,Oligochaeta
Haemonais,FALSE,UN,,,,NA,,,,,,,FALSE,,,,,,,,69003,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Haemonais,,,,,,Oligochaeta
Ilyodrilus,FALSE,UN,T,F,11,10,,,,,,,FALSE,,,,,,,,68660,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Ilyodrilus,,,,,,Oligochaeta
Limnodrilus,FALSE,UN,T,F,11,10,,,,,,,FALSE,,,Less30,,,,,68638,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Limnodrilus,,,,,,Oligochaeta
Naididae,FALSE,UN,,F,5,8,,,,,,,FALSE,,Cool-Warm,,20.42798694,22.61,,yes,68854,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,,,,,,,,,,Oligochaeta
Naidinae,FALSE,UN,,,,8,,,,,,,FALSE,warm,Warm,,20.97614457,23.512,,,974284,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,,,,,,,Oligochaeta
Nais,FALSE,UN,,F,11,8,,,,,,,FALSE,cowa,Cool-Warm,,20.80907906,23.356,,,68946,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Nais,,,,,,Oligochaeta
Nootkadrilus,FALSE,UN,,,,NA,,,,,,,FALSE,,,Less30,,,,,974543,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Phallodrilinae,,,Nootkadrilus,,,,,,Oligochaeta
Ophidonais,FALSE,UN,,F,11,8,,,,,,,FALSE,,,Less30,,,,,68995,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Ophidonais,,,,,,Oligochaeta
Paranais,FALSE,UN,,F,11,8,,,,,,,FALSE,,,Less30,,,,,68862,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Paranais,,,,,,Oligochaeta
Potamothrix,FALSE,UN,T,F,11,10,,,,,,,FALSE,,,Less30,,,,,68786,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Potamothrix,,,,,,Oligochaeta
Pristina,FALSE,UN,,F,11,8,,,,,,,FALSE,warm,Warm,,21.50859625,24.734,,,68876,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Pristininae,,,Pristina,,,,,,Oligochaeta
Quistradrilus,FALSE,UN,,,,10,,,,,,,FALSE,,,Less30,,,,,68793,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Quistradrilus,,,,,,Oligochaeta
Rhyacodrilinae,FALSE,UN,,,,NA,,,,,,,FALSE,,,Less30,,,,,974287,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,,,,,,,Oligochaeta
Rhyacodrilus,FALSE,UN,T,F,11,10,,,,,,,FALSE,,,Less30,,,,,68839,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Rhyacodrilus,,,,,,Oligochaeta
Slavina,FALSE,UN,,,,NA,,,,,,,FALSE,,,Less30,,,,,68855,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Slavina,,,,,,Oligochaeta
Specaria,FALSE,UN,,F,11,8,,,,,,,FALSE,,,Less30,,,,,68984,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Specaria,,,,,,Oligochaeta
Spirosperma,FALSE,UN,T,F,11,10,,,,,,,FALSE,eurythermal,Eurythermal,,17.5236485,23,,,68780,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Spirosperma,,,,,,Oligochaeta
Stylaria,FALSE,UN,,F,11,8,,,,,,,FALSE,,,Less30,,,,,68871,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Stylaria,,,,,,Oligochaeta
Telmatodrilus vejdovskyi,FALSE,UN,,,,NA,,,,,,,FALSE,,,Less30,,,,,68760,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Telmatodrilinae,,,Telmatodrilus,,,,,vejdovskyi,Oligochaeta
Tubifex,FALSE,UN,T,F,11,10,,,,,,,FALSE,,,Less30,,,,,68622,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Tubifex,,,,,,Oligochaeta
Tubificinae,FALSE,UN,,,,NA,,,,,,,FALSE,,Warm,,20.46697309,23.836,,yes,974289,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,,,,,,,Oligochaeta
Uncinais,FALSE,UN,,,,,,,,,,,FALSE,,,,,,,,68990,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Uncinais,,,,,,Oligochaeta
Varichaetadrilus,FALSE,UN,,,,NA,,,,,,,FALSE,,,Less30,,,,,68812,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Varichaetadrilus,,,,,,Oligochaeta
Vejdovskyella,FALSE,UN,,,,,,,,,,,FALSE,,,Less30,,,,,69009,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Vejdovskyella,,,,,,Oligochaeta
Bratislavia,FALSE,UN,,,,,,,,,,,FALSE,,,,,,,,,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Bratislavia,,,,,,Oligochaeta
Piguetiella,FALSE,UN,,,,,,,,,,,FALSE,,,,,,,,,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Piguetiella,,,,,,Oligochaeta
Ripistes parasita,FALSE,UN,,,,,,,,,,,FALSE,,,,,,,,,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Ripistes,,,,,parasita,Oligochaeta
Oligochaeta,FALSE,UN,U,F,11,10,,4,CG,uni,GENE,,FALSE,,Eurythermal,,17.8478085,22.79,,yes,68422,Animalia,Annelida,,Clitellata,Oligochaeta,,,,,,,,,,,,,,Oligochaeta
Oribatida,FALSE,UN,,,,NA,,4,PR,multi,UNKN,,FALSE,,Cool,,16.82437888,20.42,,yes,733326,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Sarcoptiformes,Oribatida,,,,,,,,,,,,Other Non-Insect
Acalyptonotus,FALSE,NEEDS_REVIEW,,,,,,,PR,,,,FALSE,,,,,,,,83508,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Acalyptonotidae,,,,Acalyptonotus,,,,,,Other Non-Insect
Bandakiopsis,FALSE,UN,F,F,11,NA,,,PR,,,,FALSE,,,Less30,,,,,83532,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Anisitsiellidae,,,,Bandakiopsis,,,,,,Other Non-Insect
Oregonacarus,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Anisitsiellidae,,,,Oregonacarus,,,,,,Other Non-Insect
Utaxatax,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,Less30,,,,,83534,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Anisitsiellidae,,,,Utaxatax,,,,,,Other Non-Insect
Arrenuridae,FALSE,UN,,,11,5,,,PR,,,,FALSE,,,,,,,,82862,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Arrenuridae,,,,,,,,,,Other Non-Insect
Arrenurus,FALSE,UN,,,11,NA,,,PR,,,,FALSE,cowa,Cool-Warm,,18.36406556,24.34217685,,,82864,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Arrenuridae,,,,Arrenurus,,,,,,Other Non-Insect
Athienemanniidae,FALSE,UN,,,,NA,,,PR,,,,FALSE,cold,Cold,,15.60700622,18.253,,,83514,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Athienemanniidae,,,,,,,,,,Other Non-Insect
Chelomideopsis,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,Less30,,,,,83517,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Athienemanniidae,,,,Chelomideopsis,,,,,,Other Non-Insect
Platyhydracarus,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,Less30,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Athienemanniidae,,,,Platyhydracarus,,,,,,Other Non-Insect
Aturidae,FALSE,UN,,,11,NA,,,PR,,,,FALSE,,,Less30,,,,,82973,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,,,,,,,Other Non-Insect
Aturus,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,Less30,,,,,82974,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,Aturus,,,,,,Other Non-Insect
Brachypoda,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,Less30,,,,,83444,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,Axonopsinae,,,Brachypoda,,,,,,Other Non-Insect
Kongsbergia,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,,,,,,83000,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,Kongsbergia,,,,,,Other Non-Insect
Ljania,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,,,,,,83449,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,Ljania,,,,,,Other Non-Insect
Ocybrachypoda,FALSE,UN,F,F,11,NA,,,PR,,,,FALSE,,,,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,Ocybrachypoda,,,,,,Other Non-Insect
Woolastookia,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,,,,,,83461,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,Woolastookia,,,,,,Other Non-Insect
Albia,FALSE,UN,,,,,,,PR,,,,FALSE,,,,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,Albia,,,,,,Other Non-Insect
Eylais,FALSE,UN,,,,8,,,PR,,,,FALSE,,,Less30,,,,,83152,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Eylaidae,,,,Eylais,,,,,,Other Non-Insect
Feltria,FALSE,UN,,,11,NA,,,PR,,,,FALSE,,,Less30,,,,,83314,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Feltriidae,,,,Feltria,,,,,,Other Non-Insect
Hydrachna,FALSE,UN,,,,5,,,PR,,,,FALSE,,,Less30,,,,,83123,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydrachnidae,,,,Hydrachna,,,,,,Other Non-Insect
Hydrachnidae,FALSE,UN,,,,5,,,PR,,,,FALSE,,,Less30,,,,,83122,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydrachnidae,,,,,,,,,,Other Non-Insect
Hydrodroma,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,Less30,,,,,83225,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydrodromidae,,,,Hydrodroma,,,,,,Other Non-Insect
Hydrovolzia,FALSE,UN,,,11,NA,,,PR,,,,FALSE,,,Less30,,,,,83119,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydrovolziidae,,,,Hydrovolzia,,,,,,Other Non-Insect
Hydrovolziidae,FALSE,UN,F,F,11,NA,,,PR,,,,FALSE,,,Less30,,,,,83118,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydrovolziidae,,,,,,,,,,Other Non-Insect
Albertathyas,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,Less30,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Albertathyas,,,,,,Other Non-Insect
Albertathyas montana,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,Less30,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Albertathyas,,,,,montana,Other Non-Insect
Hydryphantes,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,Less30,,,,,83213,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Hydryphantes,,,,,,Other Non-Insect
Hydryphantidae,FALSE,UN,,,11,NA,,,PR,,,,FALSE,cool,Cool,,15.48934552,20.33,,,83212,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,,,,,,,Other Non-Insect
Panisopsis,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,Less30,,,,,895838,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Panisopsis,,,,,,Other Non-Insect
Panisus,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,Less30,,,,,895807,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Panisus,,,,,,Other Non-Insect
Parathyas,FALSE,UN,,,,,,,PR,,,,FALSE,,,Less30,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Parathyas,,,,,,Other Non-Insect
Protzia,FALSE,UN,,,11,NA,,,PR,,,,FALSE,cool,Cool,,15.38599679,20.408,,,83170,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Protzia,,,,,,Other Non-Insect
Tartarothyas,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,Less30,,,,,895797,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Tartarothyas,,,,,,Other Non-Insect
Thyopsella,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,Less30,,,,,83202,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Thyopsella,,,,,,Other Non-Insect
Thyopsis,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,Less30,,,,,83205,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Thyopsis,,,,,,Other Non-Insect
Atractides,FALSE,UN,U,U,11,8,,,PR,,,,FALSE,cool,Cool,,18.54058268,21.95,,,83282,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hygrobatidae,,,,Atractides,,,,,,Other Non-Insect
Corticacarus,FALSE,UN,,,,8,,,PR,,,,FALSE,,,Less30,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hygrobatidae,,,,Coticacarus,,,,,,Other Non-Insect
Hygrobates,FALSE,UN,,,11,8,,,PR,,,,FALSE,warm,Warm,,19.30391955,23.838,,,83297,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hygrobatidae,,,,Hygrobates,,,,,,Other Non-Insect
Hygrobatidae,FALSE,UN,,,11,8,,,PR,,,,FALSE,,Eurythermal,,18.77171394,22.776,,yes,83281,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hygrobatidae,,,,,,,,,,Other Non-Insect
Mesobates,FALSE,UN,,,,NA,,,PR,,,,FALSE,,,Less30,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hygrobatidae,Hygrobatinae,,,Mesobates,,,,,,Other Non-Insect
