Taxon,NonTarget,Habit,Hemoglobin,Air,TolVal2,TolVal,FSBI_2012,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,LONGLIVED,Thermal_indicator,ThermalPref_ALL,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Brillia,FALSE,BU,,F,4,4,,4,SH,multi,RHEO,,FALSE,cool,Cool,,17.32444661,20.9,,,128477,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Brillia,,,,,,Chironomidae
Brundiniella,FALSE,BU,,F,7,3,,4,PR,multi,RHEO,,FALSE,cool,Cool,,18.89692443,21.667,,,128026,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,,Brundiniella,,,,,,Chironomidae
Bryophaenocladius,FALSE,UN,,,,NA,,NA,UNKN,multi,GENE,,FALSE,,,Less30,,,,,128488,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Bryophaenocladius,,,,,,Chironomidae
Cardiocladius,FALSE,BU,,F,9,5,,3,PR,multi,RHEO,,FALSE,warm,Warm,,22.15241917,26.161,,,128511,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cardiocladius,,,,,,Chironomidae
Chaetocladius,FALSE,SP,,F,11,6,,4,CG,multi,GENE,,FALSE,cool,Cool,,15.40707098,20.22014344,,,128520,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Chaetocladius,,,,,,Chironomidae
Chironomidae,FALSE,UN,,F,11,6,,4,CG,multi,GENE,,FALSE,,Eurythermal,,18.09121405,22.47,,yes,127917,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,,,,,,,,,,Chironomidae
Chironominae,FALSE,UN,U,F,11,8,,4,CG,multi,GENE,,FALSE,,Eurythermal,,18.67763835,22.614,,yes,129228,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,,,,,,,,,Chironomidae
Chironomini,FALSE,BU,,F,11,6,,4,CG,multi,GENE,,FALSE,,Warm,,20.33479956,23.54,,yes,129229,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,,,,,,,Chironomidae
Chironomus,FALSE,BU,T,F,4,10,,5,CG,multi,GENE,,FALSE,warm,Warm,,20.40450929,24.23,,,129254,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Chironomus,,,,,,Chironomidae
Cladopelma,FALSE,BU,T,F,11,9,,,,,,,FALSE,,,Less30,,,,,129350,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Cladopelma,,,,,,Chironomidae
Cladotanytarsus,FALSE,UN,,F,3,7,,3,CG,multi,GENE,,FALSE,warm,Warm,,19.5830692,23.85,,,129873,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Cladotanytarsus,,,,,,Chironomidae
Clinotanypus,FALSE,BU,T,F,11,7,,,,,,,FALSE,,,Less30,,,,,127996,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Coelotanypodini,,Clinotanypus,,,,,,Chironomidae
Coelotanypodini,FALSE,NEEDS_REVIEW,,,,,,,,,,,FALSE,warm,Warm,,20.84573203,24.186,,,127995,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Coelotanypodini,,,,,,,,Chironomidae
Compterosmittia,FALSE,UN,,,,NA,,NA,UNKN,multi,HEAD,,FALSE,,,Less30,,,,,128559,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Compterosmittia,,,,,,Chironomidae
Constempellina,FALSE,UN,,F,11,6,,4,CG,multi,RHEO,,FALSE,cool,Cool,,17.55615421,20.399,,,129884,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Constempellina,,,,,,Chironomidae
Corynoneura,FALSE,SP,,F,4,7,,4,CG,multi,GENE,,FALSE,eurythermal,Eurythermal,,18.38191137,22.897,,,128563,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Corynoneura,,,,,,Chironomidae
Cricotopus,FALSE,CN,,F,9,7,,4,MH,multi,GENE,,FALSE,,Warm,,20.28846399,25.06,,yes,128575,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,,,,,,Chironomidae
Cricotopus (Isocladius),FALSE,CN,,F,11,7,,4,MH,multi,RHEO,,FALSE,warm,Warm,,21.18771911,27.04,,,568515,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Isocladius,,,,,Chironomidae
Cricotopus (Nostococladius),FALSE,BU,,F,5,6,,2,MH,multi,SPEC,TRUE,FALSE,eurythermal,Eurythermal,,19.31915743,23.43,,,568516,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Nostococladius,,,,,Chironomidae
Cricotopus Bicinctus Group,FALSE,CN,,F,11,7,,5,MH,multi,GENE,,FALSE,warm,Warm,,21.61907409,25.86,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Bicinctus Gr.,,,,Chironomidae
Cricotopus Tremulus Group,FALSE,CN,,F,11,7,,NA,MH,multi,GENE,,FALSE,,,Less30,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Tremulus Gr.,,,,Chironomidae
Cricotopus Trifascia Group,FALSE,CN,,F,11,7,,4,MH,multi,GENE,,FALSE,warm,Warm,,23.43238533,26.484,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Trifascia Gr.,,,,Chironomidae
Cryptochironomus,FALSE,SP,T,F,5,8,,5,PR,multi,GENE,,FALSE,warm,Warm,,22.33791563,25.96,,,129368,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Cryptochironomus,,,,,,Chironomidae
Cryptotendipes,FALSE,SP,T,F,11,6,,4,CG,multi,GENE,,FALSE,,,Less30,,,,,129394,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Cryptotendipes,,,,,,Chironomidae
Demicryptochironomus,FALSE,BU,T,F,4,8,,3,CG,multi,GENE,,FALSE,,,Less30,,,,,129421,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Demicryptochironomus,,,,,,Chironomidae
Derotanypus,FALSE,UN,,,,NA,,NA,PR,multi,GENE,TRUE,FALSE,,,Less30,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,,,Derotanypus,,,,,,Chironomidae
Diamesa,FALSE,SP,,F,9,5,,3,CG,multi,RHEO,,FALSE,cold,Cold,,9.440019925,20.637,,,128355,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Diamesinae,Diamesini,,Diamesa,,,,,,Chironomidae
Diamesinae,FALSE,UN,U,F,11,5,,3,CG,multi,GENE,,FALSE,,Eurythermal,,15.27881709,22.358,,yes,128341,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Diamesinae,,,,,,,,,Chironomidae
Dicrotendipes,FALSE,BU,T,F,5,8,,5,CG,multi,GENE,,FALSE,warm,Warm,,24.96669198,27.117,,,129428,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Dicrotendipes,,,,,,Chironomidae
Diplocladius,FALSE,UN,,F,11,5,,5,CG,multi,GENE,,FALSE,cowa,Cool-Warm,,17.81264383,22.61,,,128670,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Diplocladius,,,,,,Chironomidae
Doncricotopus,FALSE,UN,,,,NA,,,,,,,FALSE,,,Less30,,,,,128680,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Doncricotopus,,,,,,Chironomidae
Endochironomus,FALSE,UN,T,F,6,10,,5,MH,multi,GENE,,FALSE,,,Less30,,,,,129470,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Endochironomus,,,,,,Chironomidae
Endotribelos,FALSE,UN,,,,NA,,,,,,,FALSE,,,,,,,,130046,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Endotribelos,,,,,,Chironomidae
Epoicocladius,FALSE,UN,,F,11,4,,,,,,,FALSE,,,,,,,,128682,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Epoicocladius,,,,,,Chironomidae
Eretmoptera,FALSE,CN,,,,NA,,NA,SC,multi,SPEC,,FALSE,,,Less30,,,,,128686,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eretmoptera,,,,,,Chironomidae
Eukiefferiella,FALSE,SP,,F,9,8,,4,CG,multi,GENE,,FALSE,,Eurythermal,,17.59925209,22.785,,yes,128689,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,,,,,Chironomidae
Eukiefferiella Brehmi Group,FALSE,SP,,F,11,8,,4,CG,multi,RHEO,,FALSE,eurythermal,Eurythermal,,19.31822769,24.621,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Brehmi Gr.,,,,Chironomidae
Eukiefferiella Brevicalcar Group,FALSE,SP,,F,11,8,,NA,,,,,FALSE,,,Less30,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Brevicalcar Gr.,,,,Chironomidae
Eukiefferiella Claripennis Group,FALSE,SP,,F,11,8,,,,,,,FALSE,cowa,Cool-Warm,,18.3831369,23.261,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Claripennis Gr.,,,,Chironomidae
Eukiefferiella Coerulescens Group,FALSE,SP,,F,11,8,,,,,,,FALSE,,,Less30,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Coerulescens Gr.,,,,Chironomidae
Eukiefferiella Devonica Group,FALSE,SP,,F,7,8,,3,CG,multi,RHEO,,FALSE,eurythermal,Eurythermal,,18.51271588,24.5,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Devonica Gr.,,,,Chironomidae
Eukiefferiella Gracei Group,FALSE,SP,,F,11,8,,,,,,,FALSE,eurythermal,Eurythermal,,15.23867737,24.11,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Gracei Gr.,,,,Chironomidae
Eukiefferiella Pseudomontana Group,FALSE,SP,,F,11,8,,4,CG,multi,RHEO,,FALSE,cowa,Cool-Warm,,18.63211881,21.83,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Pseudomontana Gr.,,,,Chironomidae
Eukiefferiella Tirolensis Group,FALSE,NEEDS_REVIEW,,,,,,4,CG,multi,RHEO,,FALSE,cool,Cool,,17.4217084,18.88,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Brevicalcar Gr.,,,tirolensis,Chironomidae
Euryhapsis,FALSE,UN,,F,11,NA,,NA,UNKN,multi,DEPO,,FALSE,,,Less30,,,,,128707,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Euryhapsis,,,,,,Chironomidae
Georthocladius,FALSE,SP,,,,NA,,,,,,,FALSE,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Georthocladius,,,,,,Chironomidae
Glyptotendipes,FALSE,BU,T,F,11,10,,5,MH,multi,GENE,,FALSE,,,Less30,,,,,129483,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Glyptotendipes,,,,,,Chironomidae
Guttipelopia,FALSE,UN,T,F,11,5,,,,,,,FALSE,,,,,,,,128161,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Guttipelopia,,,,,,Chironomidae
Gymnometriocnemus,FALSE,UN,,,,NA,,NA,UNKN,multi,GENE,,FALSE,,,Less30,,,,,128718,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Gymnometriocnemus,,,,,,Chironomidae
Harnischia,FALSE,CN,T,F,11,8,,,,,,,FALSE,,,,,,,,129516,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Harnischia,,,,,,Chironomidae
Heleniella,FALSE,SP,,F,11,6,,3,CG,multi,GENE,,FALSE,cool,Cool,,16.57540448,20.72,,,128730,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Heleniella,,,,,,Chironomidae
Heterotanytarsus,FALSE,UN,,F,11,NA,,3,CG,multi,GENE,,FALSE,,,Less30,,,,,128734,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Heterotanytarsus,,,,,,Chironomidae
Heterotrissocladius,FALSE,SP,,F,11,0,,,,,,,FALSE,cool,Cool,,17.98348349,21.75,,,128737,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Heterotrissocladius,,,,,,Chironomidae
Heterotrissocladius Marcidus Group,FALSE,UN,,F,11,4,,4,CG,multi,GENE,,FALSE,cool,Cool,,18.16362652,21.798,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Heterotrissocladius,,Marcidus Gr.,,,,Chironomidae
Hydrobaenus,FALSE,SP,,F,11,8,,3,SC,multi,GENE,,FALSE,cool,Cool,,13.41549603,20.154,,,128750,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Hydrobaenus,,,,,,Chironomidae
Hydrosmittia,FALSE,UN,,,,NA,,,,,,,FALSE,,,Less30,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Hydrosmittia,,,,,,Chironomidae
Kiefferulus,FALSE,BU,T,F,11,NA,,,,,,,FALSE,,,,,,,,129522,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Kiefferulus,,,,,,Chironomidae
Krenopelopia,FALSE,UN,,F,11,7,,NA,PR,multi,GENE,,FALSE,,,Less30,,,,,128170,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Krenopelopia,,,,,,Chironomidae
Krenopsectra,FALSE,NEEDS_REVIEW,,,,,,NA,,,,,FALSE,,,Less30,,,,,129889,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Krenopsectra,,,,,,Chironomidae
Krenosmittia,FALSE,SP,,F,11,1,,3,CG,multi,SPEC,TRUE,FALSE,cold,Cold,,14.76324455,19.382,,,128771,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Krenosmittia,,,,,,Chironomidae
Labrundinia,FALSE,SP,T,F,11,7,,NA,PR,multi,GENE,,FALSE,,,Less30,,,,,128173,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Labrundinia,,,,,,Chironomidae
Larsia,FALSE,SP,,F,3,6,,3,PR,multi,GENE,,FALSE,eurythermal,Eurythermal,,17.49079065,22.302,,,128183,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Larsia,,,,,,Chironomidae
Lauterborniella,FALSE,UN,T,F,11,6,,,,,,,FALSE,,,Less30,,,,,129525,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Lauterborniella,,,,,,Chironomidae
Limnophyes,FALSE,SP,,F,11,8,,5,CG,multi,GENE,,FALSE,eurythermal,Eurythermal,,18.95992803,23.244,,,128776,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Limnophyes,,,,,,Chironomidae
Lopescladius,FALSE,UN,,F,11,2,,3,CG,multi,SPEC,,FALSE,warm,Warm,,23.36830776,26.932,,,128811,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Lopescladius,,,,,,Chironomidae
Macropelopia,FALSE,UN,T,F,5,6,,3,PR,multi,RHEO,,FALSE,cool,Cool,,17.48659678,20.848,,,128034,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,,Macropelopia,,,,,,Chironomidae
Macropelopiini,FALSE,UN,T,F,11,NA,,,,,,,FALSE,,Eurythermal,,18.80941866,22.262,,yes,128020,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,,,,,,,,Chironomidae
Mesocricotopus,FALSE,UN,,,,NA,,NA,CG,multi,GENE,,FALSE,,,,,,,,128815,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Mesocricotopus,,,,,,Chironomidae
Mesosmittia,FALSE,UN,,,,NA,,4,CG,multi,GENE,,FALSE,,,,,,,,128818,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Mesosmittia,,,,,,Chironomidae
Metriocnemus,FALSE,BU,,F,11,6,,4,OM,multi,GENE,,FALSE,eurythermal,Eurythermal,,19.05610859,22.415,,,128821,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Metriocnemus,,,,,,Chironomidae
Microchironomus,FALSE,UN,,,,NA,,,,,,,FALSE,,,Less30,,,,,129532,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Microchironomus,,,,,,Chironomidae
Micropsectra,FALSE,UN,,F,1,4,,4,CG,multi,GENE,,FALSE,eurythermal,Eurythermal,,17.73507182,22.151,Eurythermal,,129890,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Micropsectra,,,,,,Chironomidae
Microtendipes,FALSE,CN,T,F,4,6,,4,CF,multi,GENE,,FALSE,,Warm,,20.31055476,23.584,,yes,129535,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Microtendipes,,,,,,Chironomidae
Microtendipes Pedellus Group,FALSE,CN,T,,,6,,4,CF,multi,GENE,,FALSE,cowa,Cool-Warm,,20.16030303,23.49,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Microtendipes,,Pedellus Gr.,,,,Chironomidae
Microtendipes Rydalensis Group,FALSE,UN,,,4,6,,4,CF,multi,GENE,,FALSE,cowa,Cool-Warm,,20.24341199,22.23,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Microtendipes,,Rydalensis Gr.,,,,Chironomidae
Monodiamesa,FALSE,SP,,F,5,7,,3,CG,multi,GENE,,FALSE,cool,Cool,,16.69533003,20.42,,,128440,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Prodiamesinae,,,Monodiamesa,,,,,,Chironomidae
Monopelopia,FALSE,UN,T,F,11,6,,NA,PR,multi,SPEC,TRUE,FALSE,,,Less30,,,,,128199,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Monopelopia,,,,,,Chironomidae
Nanocladius,FALSE,SP,,F,4,3,,5,CG,multi,GENE,,FALSE,warm,Warm,,20.03507739,25.936,,,128844,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Nanocladius,,,,,,Chironomidae
Natarsia,FALSE,UN,T,F,11,7,,4,PR,multi,GENE,,FALSE,cool,Cool,,19.30540603,21.816,,,128070,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Natarsiini,,Natarsia,,,,,,Chironomidae
Nilotanypus,FALSE,SP,U,F,11,6,,4,PR,multi,RHEO,,FALSE,warm,Warm,,20.97984118,24.89,,,128202,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Nilotanypus,,,,,,Chironomidae
Nilothauma,FALSE,UN,T,F,11,6,,NA,CG,multi,GENE,,FALSE,,,Less30,,,,,129548,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Nilothauma,,,,,,Chironomidae
Odontomesa,FALSE,SP,,F,5,4,,4,CG,multi,RHEO,,FALSE,cowa,Cool-Warm,,20.22685321,22.398,,,128446,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Prodiamesinae,,,Odontomesa,,,,,,Chironomidae
Oropuella,FALSE,SP,U,F,11,3,,3,,,,,FALSE,stenoc,Cold Stenotherm,,13.50485209,17.485,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Oropuella,,,,,,Chironomidae
Orthocladiinae,FALSE,SP,U,F,11,6,,4,CG,multi,GENE,,FALSE,,Eurythermal,,17.69249126,22.549,,yes,128457,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,,,,,,,Chironomidae
Orthocladius,FALSE,SP,,F,5,6,,4,CG,multi,GENE,,FALSE,eurythermal,Eurythermal,,17.06236212,22.55,,,128874,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Orthocladius,,,,,,Chironomidae
Orthocladius (Euorthocladius),FALSE,SP,,,5,6,,NA,CG,multi,RHEO,,FALSE,,,Less30,,,,,568520,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Orthocladius,Euorthocladius,,,,,Chironomidae
Orthocladius (Mesorthocladius),FALSE,SP,F,F,11,NA,,,,,,,FALSE,,,Less30,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Orthocladius,Mesorthocladius,,,,,Chironomidae
Orthocladius (Orthocladius),FALSE,SP,,F,11,6,,,,,,,FALSE,,,Less30,,,,,128874,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Orthocladius,,,,,,Chironomidae
Orthocladius (Symposiocladius),FALSE,UN,,F,11,6,,3,UNKN,multi,SPEC,,FALSE,cold,Cold,,16.77290475,19.44,,,568523,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Orthocladius,Symposiocladius,,,,,Chironomidae
Orthocladius complex,FALSE,SP,,F,9,7,,4,CG,multi,GENE,,FALSE,warm,Warm,,20.84978088,25.574,,,128874,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Orthocladius complex,,,,,,Chironomidae
Pagastia,FALSE,SP,,F,9,1,,3,CG,multi,GENE,,FALSE,eurythermal,Eurythermal,,16.38323369,22.05,,,128401,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Diamesinae,Diamesini,,Pagastia,,,,,,Chironomidae
Pagastiella,FALSE,UN,T,F,11,6,,NA,CG,multi,GENE,,FALSE,,,Less30,,,,,129561,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Pagastiella,,,,,,Chironomidae
Parachaetocladius,FALSE,SP,,F,11,6,,3,CG,multi,RHEO,,FALSE,cool,Cool,,15.03462407,21.22,,,128951,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Parachaetocladius,,,,,,Chironomidae
Parachironomus,FALSE,SP,T,F,4,10,,NA,PR,multi,GENE,,FALSE,,,Less30,,,,,129564,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Parachironomus,,,,,,Chironomidae
