TaxaID,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,HABSTRUCT,HABSTRUCT_Trans,LIFE_CYCLE,AirBreather,Phylum,Class,Order,Family,Subfamily,Tribe,Genus,TolVal_NE,FFG_NE,Habit_NE,BenTaxaID,TSN,ParTSN
Ablabesmyia,FALSE,4,4_middle,PR,SP,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,,,8,Filterer,Burrower,330,128079,
Acari,FALSE,,,PR,CN,,,,FALSE,Arthropoda,Arachnida,,,,,,6,,,14443,,
Acarina,FALSE,,,,,,,,FALSE,Arthropoda,Arachnida,,,,,,6,Predator,Climber,353,82754,
Acentrella,FALSE,4,4_middle,CG,"SW,CN",CS,coarse,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acentrella,4,Collector,Clinger,388,100801,
Acentrella insignificans,FALSE,4,4_middle,CG,"SW,CN",CS,coarse,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acentrella,4,Collector,Clinger,10664,568572,
Acentrella parvula,FALSE,4,4_middle,CG,SW,,,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acentrella,4,Collector,Clinger,10665,609530,
Acerpenna,FALSE,4,4_middle,CG,SW,,,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acerpenna,4,Shredder,Swimmer,214,568546,100755
Acilius,FALSE,4,4_middle,PR,SW,,,uni,TRUE,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,Acilius,6,Predator,Swimmer,1517,112074,
Acricotopus,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Acricotopus,6,Collector,Sprawler,8156,128463,
Acroneuria,FALSE,3,,PR,CN,,,semi,FALSE,Arthropoda,Insecta,Plecoptera,Perlidae,,,Acroneuria,1,Predator,Clinger,1746,102917,
Acroneuria abnormis,FALSE,3,,PR,CN,,,semi,FALSE,Arthropoda,Insecta,Plecoptera,Perlidae,,,Acroneuria,1,Predator,Clinger,1745,102919,
Actinobdella,FALSE,,,,,,,,FALSE,Annelida,Hirudinea,Rhynchobdellida,Glossiphoniidae,,,Actinobdella,2,Predator,Clinger,1391,69384,
Actinobdella inequiannulata,FALSE,,,PR,SP,,,,FALSE,Annelida,Hirudinea,Rhynchobdellida,Glossiphoniidae,,,Actinobdella,2,Predator,Clinger,1390,69386,69384
Actinonaias ligamentina,FALSE,,,,,,,,FALSE,Mollusca,Pelecypoda,Unionoida,Unionidae,,,Actionaias,1,Filterer,Burrower,2212,80193,
Aedes,FALSE,4,4_middle,CF,SW,,,multi,TRUE,Arthropoda,Insecta,Diptera,Culicidae,,,Aedes,8,Filterer,Swimmer,1900,126234,126234
Aedes vexans,FALSE,4,4_middle,CF,SW,,,multi,TRUE,Arthropoda,Insecta,Diptera,Culicidae,,,Aedes,8,Filterer,Swimmer,1903,126403,
Aeshna,FALSE,4,4_middle,PR,CB,,,semi,FALSE,Arthropoda,Insecta,Odonata,Aeshnidae,,,Aeshna,6,Predator,Climber,2098,101603,101603
Aeshnidae,FALSE,4,4_middle,PR,"CB,CN",,,uni,FALSE,Arthropoda,Insecta,Odonata,Aeshnidae,,,Aeschnidae,6,Predator,Climber,2104,101596,101596
Agabinae,FALSE,,,PR,SW,,,,TRUE,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabinae,,,,,,,,
Agabus,FALSE,4,4_middle,PR,SW,RM,root_mat,semi,TRUE,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,Agabus,5,Predator,Swimmer,223,111966,111963
Agnetina,FALSE,3,,PR,CN,,,semi,FALSE,Arthropoda,Insecta,Plecoptera,Perlidae,,,Agnetina,5,Predator,Clinger,3256,102975,
Agraylea,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,,Agraylea,4,Predator,Climber,1805,115635,115629
Albia,FALSE,,,,,,,,FALSE,Arthropoda,Arachnida,Trombidiformes,Aturidae,,,Albia,6,Predator,Climber,10667,83435,
Alisotrichia,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,,Alisotrichia,4,Predator,Clinger,1806,181197,
Allocladius,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,,Allocladius,8,Collector,Burrower,16298,,
Allognosta,FALSE,4,4_worse,CG,SP,,,,TRUE,Arthropoda,Insecta,Diptera,Stratiomyidae,,,Allognosta,8,Collector,Sprawler,15647,,
Alotanypus,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,,Alotanypus,,,,,,
Amblema plicata,FALSE,,,,,,,,FALSE,Mollusca,Pelecypoda,Unionoida,Unionidae,,,Amblema,5,Filterer,Burrower,2215,80035,
Ambrysus,FALSE,,,,,,,,TRUE,Arthropoda,Insecta,Hemiptera,Naucoridae,,,Ambrysus,4,Predator,Swimmer,2049,103614,
Amercaenis,FALSE,4,4_middle,"CF,CG",SP,,,uni,FALSE,Arthropoda,Insecta,Ephemeroptera,Caenidae,,,Amercaenis,7,Collector,Sprawler,3266,568555,
Amercaenis ridens,FALSE,4,4_middle,"CF,CG",SP,,,uni,FALSE,Arthropoda,Insecta,Ephemeroptera,Caenidae,,,Amercaenis,7,Collector,Sprawler,10668,568623,
Amiocentrus,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Trichoptera,Brachycentridae,,,Amiocentrus,4,Collector,Clinger,1769,116933,
Amnicola,FALSE,4,4_middle,SC,CB,,,,FALSE,Mollusca,Gastropoda,Prosobranchia,Bulimidae,,,Amnicola,6,Scraper,Sprawler,2184,70747,
Amphiagrion,FALSE,,,PR,"CN,CB",,,,FALSE,Arthropoda,Insecta,Odonata,Coenagrionidae,,,Amphiagrion,8,Predator,Climber,2110,102093,
Amphichaeta,FALSE,,,,,,,,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Amphichaeta,8,Collector,Clinger,1398,68979,
Amphichaeta leydigi,FALSE,,,,,,,,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Amphichaeta,8,Collector,Clinger,1399,68980,
