TaxaID,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,HABSTRUCT,HABSTRUCT_Trans,LIFE_CYCLE,AirBreather,Phylum,Class,Order,Family,Subfamily,Tribe,Genus,TolVal_NE,FFG_NE,Habit_NE,BenTaxaID,TSN,ParTSN
Amphinemura,FALSE,3,,SH,"SP,CN",CS,coarse,uni,FALSE,Arthropoda,Insecta,Plecoptera,Nemouridae,,,Amphinemura,1,Scraper,Sprawler,1738,102540,
Amphipoda,FALSE,,,CG,SP,,,,FALSE,Arthropoda,Crustacea,Amphipoda,,,,,,Collector,Swimmer,1492,93294,89802
Anacaena,FALSE,4,4_middle,PR,BU,,,uni,TRUE,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,,Anacaena,8,Predator,Swimmer,1545,112878,
Anafroptilum,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Anafroptilum,4,Collector,Sprawler,16299,,
Anax,FALSE,4,4_worse,PR,"CB,CN",,,"multi,uni",FALSE,Arthropoda,Insecta,Odonata,Aeshnidae,,,Anax,8,Predator,Climber,2100,101597,
Anax junius,FALSE,4,4_worse,PR,"CB,CN",,,"multi,uni",FALSE,Arthropoda,Insecta,Odonata,Aeshnidae,,,Anax,8,Predator,Climber,2099,101598,101597
Ancyronyx,FALSE,4,4_middle,CG,CN,,,"semi,uni",FALSE,Arthropoda,Insecta,Coleoptera,Elmidae,,,Ancyronyx,2,Collector,Clinger,231,114193,114093
Anisoptera,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Odonata,,,,,6,Predator,Clinger,16300,,
Annelida,FALSE,,,"CG,PR",BU,,,,FALSE,Annelida,,,,,,Annelida,,Collector,Burrower,1482,64357,
Anodonta grandis,FALSE,,,,,,,,FALSE,Mollusca,Pelecypoda,Unionoida,Unionidae,,,Anodonta,7,Filterer,Burrower,2216,79936,
Anopheles,FALSE,4,4_middle,CF,SW,,,multi,TRUE,Arthropoda,Insecta,Diptera,Culicidae,,,Anopheles,9,Filterer,Swimmer,1909,125956,
Anopheles pseudopunctipennis,FALSE,4,4_middle,CF,SW,,,multi,TRUE,Arthropoda,Insecta,Diptera,Culicidae,,,Anopheles,9,Filterer,Swimmer,1906,125995,125956
Anopheles walkeri,FALSE,4,4_middle,CF,SW,,,multi,TRUE,Arthropoda,Insecta,Diptera,Culicidae,,,Anopheles,9,Filterer,Swimmer,1910,125982,125956
Anthomyiidae,FALSE,,,PR,SP,,,,FALSE,Arthropoda,Insecta,Diptera,Anthomyiidae,,,,6,Predator,Sprawler,1577,148685,
Antocha,FALSE,3,,CG,CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Tipulidae,,,Antocha,3,Collector,Sprawler,51,119656,119655
Antocha obtusa,FALSE,3,,CG,CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Tipulidae,,,Antocha,,,,,,
Apedilum,FALSE,,,CG,,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Apedilum,5,Collector,Burrower,3238,206655,
Apobaetis,FALSE,,,CG,"SW,CN",NF,pool,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Apobaetis,4,Collector,Clinger,4035,100936,
Apobaetis lakota,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Apobaetis,4,Collector,Clinger,4036,609535,100936
Apsectrotanypus,FALSE,,,PR,BU,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,,Apsectrotanypus,2,Predator,Swimmer,1595,128021,128021
Arachnida,FALSE,,,"CG,PR",CB,,,,FALSE,Arthropoda,Arachnida,,,,,Arachnida,6,Collector,Climber,1483,82708,82708
Archilestes,FALSE,4,4_middle,PR,CB,,,uni,FALSE,Arthropoda,Insecta,Odonata,Lestidae,,,Archilestes,6,Predator,Climber,1711,102059,102059
Archilestes grandis,FALSE,4,4_middle,PR,CB,,,uni,FALSE,Arthropoda,Insecta,Odonata,Lestidae,,,Archilestes,6,Predator,Climber,1710,102060,102059
Argia,FALSE,4,4_worse,PR,"CB,CN",,,uni,FALSE,Arthropoda,Insecta,Odonata,Coenagrionidae,,,Argia,8,Predator,Climber,2113,102139,102139
Arigomphus,FALSE,4,4_middle,PR,BU,,,semi,FALSE,Arthropoda,Insecta,Odonata,Gomphidae,,,Arigomphus,6,Predator,Burrower,1698,101770,101770
Arrenurus,FALSE,,,,,,,,FALSE,Arthropoda,Arachnida,Trombidiformes,Arrenuridae,,,Arrenurus,5,Predator,Clinger,6537,82864,
Asellidae,FALSE,4,4_middle,CG,SP,,,,FALSE,Arthropoda,Crustacea,Isopoda,Asellidae,,,,6,Scraper,Sprawler,1506,92657,
Asellus,FALSE,4,4_middle,CG,SP,,,,FALSE,Arthropoda,Crustacea,Isopoda,Asellidae,,,Asellus,6,Scraper,Sprawler,1502,92658,92657
Asellus intermedius,FALSE,4,4_middle,CG,SP,,,,FALSE,Arthropoda,Crustacea,Isopoda,Asellidae,,,Asellus,6,Scraper,Sprawler,1501,92712,92658
Astacidae,FALSE,,,,,,,,FALSE,Arthropoda,Crustacea,Decapoda,Astacidae,,,Astacidae,8,Scraper,Sprawler,1493,97324,97306
Asynarchus,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Trichoptera,Limnephilidae,,,Asynarchus,1,Shredder,Clinger,1833,116221,
Athericidae,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Diptera,Athericidae,,,,10,Predator,Burrower,337,130928,
Atherix,FALSE,4,4_better,PR,SP,,,uni,FALSE,Arthropoda,Insecta,Diptera,Athericidae,,,Atherix,4,Predator,Burrower,54,130929,130928
Atherix lantha,FALSE,4,4_better,PR,SP,,,uni,FALSE,Arthropoda,Insecta,Diptera,Athericidae,,,Atherix,4,Predator,Burrower,1578,130930,130929
Atractides,FALSE,,,,,,,,FALSE,Arthropoda,Arachnida,Trombidiformes,Hygrobatidae,,,Atractides,5,Predator,Clinger,7926,83282,
Atrichopogon,FALSE,4,4_middle,"CG,PR","CN,SP",SG,,multi,FALSE,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,Atrichopogon,6,Predator,Burrower,389,127003,127112
Aulodrilus,FALSE,4,4_middle,CG,"BU,SP",NF,pool,,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Aulodrilis,8,Collector,Burrower,1454,68679,68679
Aulodrilus pigueti,FALSE,4,4_middle,CG,"BU,SP",NF,pool,,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Aulodrilis,8,Collector,Burrower,1452,68680,68679
Axarus,FALSE,4,4_better,CG,SP,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Axarus,3,Collector,Sprawler,1597,129236,129236
Axarus scopula,FALSE,4,4_better,CG,SP,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Axarus,3,Collector,Sprawler,1596,129242,129236
Baetidae,FALSE,4,4_middle,CG,SW,,,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,4,Collector,Sprawler,55,100755,100503
Baetis,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Baetis,5,Collector,Sprawler,56,100800,100755
Baetis brunneicolor,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Baetis,5,Collector,Sprawler,6277,100825,
Baetis flavistriga complex,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Baetis,,,,,,
Baetis Fuscatus Group,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Baetis,4,Collector,Swimmer,15648,,
Baetis intercalaris complex,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Baetis,5,Collector,Sprawler,3246,100808,100800
Baetis magnus,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Baetis,4,Collector,Sprawler,16301,,
Baetis Rhodani Group,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Baetis,4,Collector,Sprawler,16302,,
Baetis tricaudatus complex,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Baetis,5,Collector,Sprawler,7991,100817,100817
Baetisca,FALSE,4,4_middle,CG,"SP,SW",,,uni,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetiscidae,,,Baetisca,2,Collector,Swimmer,1975,101494,101494
Beckidia tethys,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Beckidia,4,Collector,Sprawler,1599,129247,
Belostoma,FALSE,4,4_middle,PR,CB,RM,root_mat,"multi,uni",TRUE,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,Belostoma,8,Predator,Swimmer,2024,103684,103684
Belostomatidae,FALSE,4,4_middle,PR,CB,,,multi,TRUE,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,,8,Predator,Swimmer,2028,103683,
Berosus,FALSE,4,4_middle,"PH,CG",SW,,,multi,TRUE,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,,Berosus,8,Predator,Swimmer,3231,112812,112812
Berosus styliferus,FALSE,,,,,,,,TRUE,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,,Berosus,6,Predator,Swimmer,1546,112822,
Bezzia,FALSE,4,4_middle,PR,SP,,,"multi,uni",FALSE,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,Bezzia,6,Predator,Sprawler,1582,127778,127778
Bezzia/Palpomyia,FALSE,4,4_middle,PR,SP,,,,FALSE,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,,,,14558,,
Bidessus,FALSE,,,,,,,,TRUE,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,Bidessus,8,Predator,Swimmer,1518,112322,111963
Bittacomorpha,FALSE,,,CG,BU,,,uni,TRUE,Arthropoda,Insecta,Diptera,Ptychopteridae,,,Bittacomorpha,,,,,,
Boreonectes,FALSE,,,,,,,,TRUE,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,Boreonectes,5,Predator,Swimmer,15745,,
Boyeria,FALSE,4,4_middle,PR,"CB,CN",RM,root_mat,multi,FALSE,Arthropoda,Insecta,Odonata,Aeshnidae,,,Boyeria,6,Predator,Climber,2101,101645,101645
Brachycentridae,FALSE,4,4_middle,CF,CB,,,semi,FALSE,Arthropoda,Insecta,Trichoptera,Brachycentridae,,,,1,Filterer,Climber,1772,116905,
Brachycentridae occidentalis,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Tricoptera,Brachycentridae,,,Brachycentrus,1,,,14559,,
Brachycentrus,FALSE,4,4_middle,CF,CN,,,uni,FALSE,Arthropoda,Insecta,Trichoptera,Brachycentridae,,,Brachycentrus,1,Filterer,Climber,1771,116906,116906
Brachycentrus numerosus,FALSE,4,4_middle,CF,CN,,,uni,FALSE,Arthropoda,Insecta,Trichoptera,Brachycentridae,,,Brachycentrus,1,Filterer,Climber,1770,116910,116906
Brachycentrus occidentalis,FALSE,3,,CF,CN,,,uni,FALSE,Arthropoda,Insecta,Trichoptera,Brachycentridae,,,Brachycentrus,1,Filterer,Climber,10669,116918,
Brachycercinae,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Ephemeroptera,Caenidae,Brachycercinae,,,,,,,,
Brachycercus,FALSE,4,4_middle,CG,SP,NF,pool,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Caenidae,,,Brachycercus,3,Collector,Sprawler,412,101468,101467
Branchiobdellida,FALSE,4,4_middle,CG,CB,,,,FALSE,Annelida,Oligochaeta,Branchiobdellida,,,,,6,Collector,Clinger,1395,69168,68422
Branchiobdellidae,FALSE,4,4_middle,CG,CB,,,,FALSE,Annelida,Oligochaeta,Branchiobdellida,Branchiobdellidae,,,,6,Collector,Clinger,1394,69169,69168
Branchiura sowerbyi,FALSE,4,4_middle,CG,CB,,,,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Branchiura,10,Collector,Clinger,1455,68621,89404
Bratislavia,FALSE,4,4_middle,CG,"BU,CN",,,,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Bratislavia,6,Collector,Clinger,1400,69021,
Brillia,FALSE,4,4_middle,SH,BU,,,"multi,uni",FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Brillia,4,Shredder,Sprawler,1600,128477,128457
Brundiniella,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Macropelopiini,Brundiniella,3,Predator,Sprawler,6274,128026,
Brychius,FALSE,,,,,,,,TRUE,Arthropoda,Insecta,Coleoptera,Haliplidae,,,Brychius,5,Scraper,Clinger,58,111947,111857
Caecidotea,FALSE,4,4_middle,CG,SP,,,,FALSE,Arthropoda,Crustacea,Isopoda,Asellidae,,,Caecidotea,8,Scraper,Clinger,1503,92686,92657
Caecidotea intermedia,FALSE,4,4_middle,CG,SP,,,,FALSE,Arthropoda,Crustacea,Isopoda,Asellidae,,,Caecidotea,6,Scraper,Clinger,1504,92711,92686
Caenidae,FALSE,4,4_middle,CG,SP,,,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Caenidae,,,,6,Collector,Sprawler,213,101467,101459
Caenis,FALSE,4,4_middle,CG,SP,,,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Caenidae,,,Caenis,7,Collector,Sprawler,60,101478,101467
Callibaetis,FALSE,4,4_worse,CG,SW,,,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Callibaetis,7,Collector,Swimmer,1966,100903,100755
Callicorixa,FALSE,,,PR,SW,,,,TRUE,Arthropoda,Insecta,Hemiptera,Corixidae,,,Callicorixa,10,Predator,Swimmer,3245,103514,
Caloparyphus,FALSE,4,4_worse,CG,SP,,,uni,TRUE,Arthropoda,Insecta,Diptera,Stratiomyidae,,,Caloparyphus,8,Predator,Sprawler,1946,130409,130409
Calopterygidae,FALSE,4,4_middle,PR,CB,,,,FALSE,Arthropoda,Insecta,Odonata,Calopterygidae,,,,,,,2109,102043,
Calopteryx,FALSE,4,4_worse,PR,CB,RM,root_mat,uni,FALSE,Arthropoda,Insecta,Odonata,Calopterygidae,,,Calopteryx,4,Predator,Climber,2106,102052,
Cambaridae,FALSE,4,4_middle,CG,SP,,,,FALSE,Arthropoda,Crustacea,Decapoda,Cambaridae,,,,6,Scraper,Sprawler,1499,97336,97336
Cambarincola,FALSE,4,4_middle,CG,CN,,,,FALSE,Annelida,Oligochaeta,Branchiobdellida,Branchiobdellidae,,,Cambarincola,6,Collector,Clinger,1393,69258,69258
Cambarus,FALSE,4,4_middle,CG,SP,,,,FALSE,Arthropoda,Crustacea,Decapoda,Cambaridae,,,Cambarus,6,Scraper,Sprawler,1494,97337,97336
Camelobaetidius,FALSE,4,4_middle,"CG,SH",SW,,,multi,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Camelobaetidius,2,Shredder,Swimmer,3268,568548,
Campeloma,FALSE,,,SC,CB,,,multi,FALSE,Mollusca,Gastropoda,Prosobranchia,Viviparidae,,,Campeloma,0,Scraper,Sprawler,2189,70311,331600
Carabidae,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Coleoptera,Carabidae,,,Carabidae,6,Scraper,Clinger,1510,109234,109226
Cardiocladius,FALSE,4,4_middle,PR,BU,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cardiocladius,2,Collector,Clinger,1602,128511,128457
Cardiocladius obscurus,FALSE,4,4_middle,PR,BU,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cardiocladius,5,Collector,Clinger,1601,128515,128511
Celithemis,FALSE,,,PR,CB,,,uni,FALSE,Arthropoda,Insecta,Odonata,Libellulidae,,,Celithemis,8,Predator,Climber,1714,101840,
Celithemis elisa,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Odonata,Libellulidae,,,Celithemis,8,Predator,Climber,1713,101843,
Centroptilum,FALSE,4,4_middle,CG,SW,,,,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Centroptilum,1,Collector,Swimmer,1967,100873,100755
Ceraclea,FALSE,4,4_middle,CG,"CN,SP",,,uni,FALSE,Arthropoda,Insecta,Trichoptera,Leptoceridae,,,Ceraclea,4,Collector,Climber,1820,116684,
Ceratopogon,FALSE,,,PR,"BU,SP",,,uni,FALSE,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,Ceratopogon,6,Predator,Sprawler,1583,127564,
Ceratopogonidae,FALSE,4,4_middle,PR,SP,,,multi,FALSE,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,6,Predator,Sprawler,1590,127076,127076
Ceratopogoninae,FALSE,4,4_middle,PR,SP,,,multi,FALSE,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,,,6,,,14442,,
Ceratopsyche,FALSE,4,4_middle,CF,CN,,,uni,FALSE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,Ceratopsyche,4,Filterer,Clinger,1780,115570,115398
Ceratopsyche bronta,FALSE,4,4_middle,CF,CN,,,uni,FALSE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,Ceratopsyche,4,Filterer,Clinger,1782,115577,115570
Ceratopsyche morosa,FALSE,4,4_middle,CF,CN,,,uni,FALSE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,Ceratopsyche,4,Filterer,Clinger,1783,115580,115570
Ceratopsyche morosa bifida,FALSE,4,4_middle,CF,CN,,,uni,FALSE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,Ceratopsyche,4,Filterer,Clinger,3473,115580,115570
Ceratopsyche slossonae,FALSE,3,,CF,CN,,,uni,FALSE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,Ceratopsyche,2,Filterer,Clinger,1785,115586,115570
Ceratopsyche sparna,FALSE,3,,CF,CN,,,uni,FALSE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,Ceratopsyche,2,Filterer,Clinger,1786,115589,115570
Cercobrachys,FALSE,4,4_middle,CG,SP,,,,FALSE,Arthropoda,Insecta,Ephemeroptera,Caenidae,,,Cercobrachys,5,Collector,Sprawler,3243,568556,
Cercyon,FALSE,,,,,,,,TRUE,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,,Cercyon,5,Predator,Climber,1548,113039,
Chaetarthria,FALSE,4,4_middle,PR,SW,,,uni,TRUE,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,,Chaetarthria,6,Collector,Climber,1550,112845,
Chaetocladius,FALSE,4,4_middle,CG,SP,,,"multi,uni",FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Chaetocladius,6,Collector,Sprawler,1603,128520,128457
Chaetogaster,FALSE,,,,,,,,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Chaetogaster,10,Collector,Clinger,339,68934,
Chaetogaster diaphanus,FALSE,,,,,,,,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Chaetogaster,6,Collector,Clinger,1402,68935,68934
Chaetogaster diastrophus,FALSE,,,,,,,,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Chaetogaster,6,Collector,Clinger,1403,68938,
Chaoborus,FALSE,4,4_middle,PR,SP,NF,pool,uni,FALSE,Arthropoda,Insecta,Diptera,Chaoboridae,,,Chaoborus,8,Predator,Sprawler,1576,125904,125892
Chaoborus punctipennis,FALSE,4,4_middle,PR,SP,,,uni,FALSE,Arthropoda,Insecta,Diptera,Chaoboridae,,,Chaoborus,8,Predator,Sprawler,1593,125923,125904
Chauliodes,FALSE,4,4_middle,PR,CN,,,semi,FALSE,Arthropoda,Insecta,Megaloptera,Corydalidae,,,Chauliodes,4,Predator,Climber,2087,115024,115023
Chauliodes rastricornis,FALSE,4,4_middle,PR,CN,RM,root_mat,semi,FALSE,Arthropoda,Insecta,Megaloptera,Corydalidae,,,Chauliodes,4,Predator,Climber,2086,115025,115024
Chelifera,FALSE,4,4_middle,PR,SP,,,,FALSE,Arthropoda,Insecta,Diptera,Empididae,,,Chelifera,9,Collector,Sprawler,3247,136305,136305
Chernovskiia,FALSE,,,CG,SP,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Chernovskiia,4,Collector,Burrower,1606,129249,
Chernovskiia amphitrite,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Chernovskiia,4,Collector,Burrower,1604,129250,
Chernovskiia orbicus,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Chernovskiia,4,Collector,Burrower,1605,129252,
Cheumatopsyche,FALSE,4,4_worse,CF,CN,,,multi,FALSE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,Cheumatopsyche,5,Filterer,Clinger,390,115408,115398
Chimarra,FALSE,3,,CF,CN,CS,coarse,uni,FALSE,Arthropoda,Insecta,Trichoptera,Philopotamidae,,,Chimarra,1,Filterer,Clinger,2139,115273,115273
Chioneinae,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Diptera,Limoniidae,Chioneinae,,,,,,,,
