Taxon_Group,Taxon_orig,NonTarget,Changed,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Odonata,Cordulegaster dorsalis,FALSE,yes,,Cordulegaster,Cordulegaster,Cordulegaster,DNI,102027,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Cordulegastridae,,,,Cordulegaster,,,,,
Odonata,Cordulegastridae,FALSE,no,,DNI,Cordulegastridae,Cordulegastridae,DNI,102026,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Cordulegastridae,,,,,,,,,
Odonata,Corduliidae,FALSE,no,,DNI,Corduliidae,Corduliidae,DNI,102020,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Corduliidae,,,,,,,,,
Odonata,Corduliidae/Libellulidae,FALSE,yes,,DNI,Anisoptera,Anisoptera,DNI,101594,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,,,,,,,,,,
Heteroptera,Corisella,TRUE,NonTarget,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,103364,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Corixidae,,,,,,,,,
Heteroptera,Corisella decolor,TRUE,NonTarget,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,103364,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Corixidae,,,,,,,,,
Heteroptera,Corixidae,TRUE,NonTarget,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,103364,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Corixidae,,,,,,,,,
Other Non-Insect,Corophiidae,FALSE,yes,,DNI,Americorophium,Americorophium,DNI,656484,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Corophiidae,,,,Americorophium,,,,,
Other Non-Insect,Corophium,FALSE,yes,,DNI,Americorophium,Americorophium,DNI,656484,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Corophiidae,,,,Americorophium,,,,,
Other Non-Insect,Corticacarus,FALSE,no,,DNI,Corticacarus,Trombidiformes,DNI,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hygrobatidae,,,,Coticacarus,,,,,
