Taxon_AttributeTable,NonTarget,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,LONGLIVED,Thermal_indicator,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Dicranota,FALSE,4,PR,uni,GENE,,FALSE,cool,,17.47758428,21.066,,,121027,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Pediciidae,Pediciinae,,,Dicranota,,,,,,Diptera
Dicrotendipes,FALSE,5,CG,multi,GENE,,FALSE,warm,,24.96669198,27.117,,,129428,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Dicrotendipes,,,,,,Chironomidae
Dineutus,FALSE,,,,,,,,,,,,,112653,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Gyrinidae,,,,,,,,,,Coleoptera
Diphetor hageni,FALSE,4,CG,multi,RHEO,,FALSE,cowa,,19.16262157,22.81,coolwarm,,568550,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Diphetor,,,,,,Ephemeroptera
Diplocladius,FALSE,5,CG,multi,GENE,,FALSE,cowa,,17.81264383,22.61,,,128670,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Diplocladius,,,,,,Chironomidae
Diptera,FALSE,NA,UNKN,,GENE,,FALSE,eurythermal,,18.11157007,22.491,,,118831,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,,,,,,,,,,,,,Diptera
Diura,FALSE,1i,PR,uni,RHEO,TRUE,,,Less30,,,,,103094,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlodidae,Perlodinae,Perlodini,,Diura,,,,,,Plecoptera
Dixa,FALSE,4,CG,multi,SPEC,,FALSE,cool,,17.07551304,20.725,,,125810,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Dixidae,,,,Dixa,,,,,,Diptera
Dixella,FALSE,4,CG,multi,GENE,,FALSE,cowa,,20.4360572,22.244,,,125854,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Dixidae,,,,Dixella,,,,,,Diptera
Dixidae,FALSE,NA,CG,multi,SPEC,,FALSE,cool,,17.43027025,20.896,,yes,125809,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Dixidae,,,,,,,,,,Diptera
Dolichopodidae,FALSE,5,PR,multi,GENE,,FALSE,,Less30,,,,,136824,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Dolichopodidae,,,,,,,,,,Diptera
Dolophilodes,FALSE,2,CF,uni,RHEO,TRUE,FALSE,cold,,16.10402054,19.697,,,115319,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Philopotamidae,Philopotaminae,,,Dolophilodes,,,,,,Trichoptera
Doncricotopus,FALSE,,,,,,,,Less30,,,,,128680,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Doncricotopus,,,,,,Chironomidae
Doroneuria,FALSE,2,PR,semi,RHEO,,TRUE,cold,,15.54620448,19.28,cold,,103121,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlidae,Acroneuriinae,Acroneuriini,,Doroneuria,,,,,,Plecoptera
Drunella,FALSE,3,UNKN,UNKN,RHEO,,FALSE,cool,,15.49813056,20.75,,yes,101365,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Drunella,,,,,,Ephemeroptera
Drunella coloradensis/flavilinea,FALSE,3,SC,uni,RHEO,,FALSE,cold,,15.12527945,18.836,cold,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Drunella,,,,,coloradensis/flavilinea,Ephemeroptera
Drunella doddsii,FALSE,3,SC,semi,RHEO,,FALSE,cool,,15.50782231,20.49,cool,,698494,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Drunella,,,,,doddsii,Ephemeroptera
Drunella grandis/spinifera,FALSE,3,PR,semi,RHEO,,FALSE,cool,,15.67473356,20.647,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Drunella,,,,,grandis/spinifera,Ephemeroptera
Drunella pelosa,FALSE,1i,SC,uni,HEAD,TRUE,,,Less30,,,,,568634,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Drunella,,,,,pelosa,Ephemeroptera
Dryopidae,FALSE,,,,,,,,Less30,,,,,113999,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Dryopidae,,,,,,,,,,Coleoptera
Dubiraphia,FALSE,5,CG,uni,GENE,,,stenow,,23.35822663,27.2,,,114126,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,Elminae,Elmini,,Dubiraphia,,,,,,Coleoptera
Dysmicohermes,FALSE,,,,,,,,Less30,,,,,115046,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Megaloptera,,,Corydalidae,Chauliodinae,,,Dysmicohermes,,,,,,Megaloptera
Dytiscidae,FALSE,3,PR,uni,GENE,,FALSE,cowa,,18.78139826,22.058,,yes,111963,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,,,,,,,,,,Coleoptera
Ecclisocosmoecus scylla,FALSE,2,SH,semi,RHEO,TRUE,TRUE,stenoc,,14.25516322,17.455,,,116342,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Ecclisocosmoecus,,,,,scylla,Trichoptera
Ecclisomyia,FALSE,2,OM,semi,GENE,,FALSE,stenoc,,14.4306806,17.809,,,116025,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Ecclisomyia,,,,,,Trichoptera
Eclipidrilus,FALSE,,,,,,FALSE,cool,,18.66425787,21.32915383,,,68473,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Eclipidrilus,,,,,,Oligochaeta
