Taxon_AttributeTable,NonTarget,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,LONGLIVED,Thermal_indicator,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Eukiefferiella Tirolensis Group,FALSE,4,CG,multi,RHEO,,FALSE,cool,,17.4217084,18.88,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Brevicalcar Gr.,,,tirolensis,Chironomidae
Euparyphus,FALSE,,,,,,,,Less30,,,,,130436,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Stratiomyidae,Stratiomyinae,Oxycerini,,Euparyphus,,,,,,Diptera
Euryhapsis,FALSE,NA,UNKN,multi,DEPO,,,,Less30,,,,,128707,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Euryhapsis,,,,,,Chironomidae
Eurylophella,FALSE,,,,,,,,Less30,,,,,101324,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Eurylophella,,,,,,Ephemeroptera
Eylais,FALSE,,,,,,,,Less30,,,,,83152,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Eylaidae,,,,Eylais,,,,,,Other Non-Insect
Fallceon,FALSE,5,CG,multi,RHEO,,FALSE,warm,,26.79722537,28.96,,,568551,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Fallceon,,,,,,Ephemeroptera
Farula,FALSE,1i,SC,semi,SPEC,TRUE,FALSE,cool,,17.91795724,19.96,,,116331,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Uenoidae,Uenoinae,,,Farula,,,,,,Trichoptera
Feltria,FALSE,,,,,,,,Less30,,,,,83314,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Feltriidae,,,,Feltria,,,,,,Other Non-Insect
Ferrissia,FALSE,5,SC,multi,GENE,,FALSE,warm,,22.75726909,26.52,warm,,76569,Animalia,Mollusca,,Gastropoda,,Basommatophora,,,Planorbidae,,,,Ferrissia,,,,,,Other Non-Insect
Fisherola nuttalli,FALSE,,,,,,,,,,,,,76567,Animalia,Mollusca,,Gastropoda,,Basommatophora,,,Lymnaeidae,,,,Fisherola,,,,,nuttalli,Other Non-Insect
Forcipomyiinae,FALSE,3,CG,uni,GENE,,FALSE,cool,,17.4715931,20.86,,,127112,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Forcipomyiinae,,,,,,,,,Diptera
Forelia,FALSE,,,,,,,,Less30,,,,,83331,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Pionidae,,,,Forelia,,,,,,Other Non-Insect
Fridericia,FALSE,,,,,,FALSE,cold,,16.4272476,19.69,,,204785,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Fridericia,,,,,,Oligochaeta
Frisonia picticeps,FALSE,1i,PR,uni,RHEO,TRUE,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlodidae,Perlodinae,Arcynopterygini,,Frisonia,,,,,picticeps,Plecoptera
Frontipoda,FALSE,,,,,,,,,,,,,83240,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Oxidae,,,,Frontipoda,,,,,,Other Non-Insect
Gammaridae,FALSE,,,,,,,warm,,21.75678514,26.17,,,93745,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Gammaridae,,,,,,,,,,Other Non-Insect
Gammaridea,FALSE,,,,,,,warm,,20.71619973,25.32653054,,,,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,,,,,,,,,,,Other Non-Insect
Gammarus,FALSE,5,SH,uni,GENE,,FALSE,warm,,21.76202526,26.186,,,93773,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Gammaridae,,,,Gammarus,,,,,,Other Non-Insect
Gastropoda,FALSE,NA,UNKN,UNKN,UNKN,,FALSE,warm,,20.17084068,23.884,,,69459,Animalia,Mollusca,,Gastropoda,,,,,,,,,,,,,,,Other Non-Insect
Georyssus,FALSE,,,,,,,,,,,,,112754,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Georyssidae,,,,Georyssus,,,,,,Coleoptera
Gereckea,FALSE,,,,,,,,Less30,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Pionidae,Huitfeldtiinae,,,Gereckea,,,,,,Other Non-Insect
Glossiphonia,FALSE,,,,,,TRUE,,Less30,,,,,69380,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Glossiphoniinae,,,Glossiphonia,,,,,,Other Non-Insect
Glossiphoniidae,FALSE,,,,,,TRUE,warm,,21.81617094,25.442,,,69357,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,,,,,,,,,,Other Non-Insect
Glossosoma,FALSE,4,SC,multi,RHEO,,FALSE,cool,,17.91604393,21.541,,,117159,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Glossosomatidae,Glossosomatinae,Glossosomatini,,Glossosoma,,,,,,Trichoptera
Glossosomatidae,FALSE,4,SC,UNKN,RHEO,,FALSE,cool,,17.83466104,21.73,,yes,117120,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Glossosomatidae,,,,,,,,,,Trichoptera
Glutops,FALSE,3,PR,semi,DEPO,,TRUE,cool,,15.88529683,20.01,,,130915,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Pelecorhynchidae,,,,Glutops,,,,,,Diptera
Glyptotendipes,FALSE,5,MH,multi,GENE,,FALSE,,Less30,,,,,129483,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Glyptotendipes,,,,,,Chironomidae
Gnorimosphaeroma,FALSE,,,,,,FALSE,,,,,,,92295,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,Flabellifera,,Sphaeromatidae,,,,Gnorimosphaeroma,,,,,,Other Non-Insect
Goera archaon,FALSE,3,SC,uni,RHEO,TRUE,,warm,,21.91791326,23.904,,,116423,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Goeridae,Goerinae,,,Goera,,,,,archaon,Trichoptera
Goeracea,FALSE,1i,SC,semi,RHEO,TRUE,FALSE,,Less30,,,,,116298,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Goeridae,Goerinae,,,Goeracea,,,,,,Trichoptera
Goeridae,FALSE,3,SC,UNKN,RHEO,TRUE,FALSE,warm,,21.05739704,23.876,,,115934,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Goeridae,,,,,,,,,,Trichoptera
Gomphidae,FALSE,3,PR,semi,DEPO,,TRUE,warm,,20.07138278,24.098,,yes,101664,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Gomphidae,,,,,,,,,,Odonata
Gomphus,FALSE,NA,PR,semi,RIVE,TRUE,,,Less30,,,,,101665,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Gomphidae,,,,Gomphus,,,,,,Odonata
Gonomyia,FALSE,NA,CG,UNKN,SPEC,TRUE,FALSE,,Less30,,,,,120640,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Gonomyia,,,,,,Diptera
Gonomyodes,FALSE,,,,,,,,Less30,,,,,120722,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Gonomyodes,,,,,,Diptera
Grammotaulius,FALSE,,,,,,,,,,,,,116309,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Limnephilinae,Limnephilini,,Grammotaulius,,,,,,Trichoptera
Guestphalinus,FALSE,,,,,,,,Less30,,,,,68487,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Guestphalinus,,,,,,Oligochaeta
Gumaga,FALSE,2,OM,semi,RHEO,,FALSE,cowa,,18.90715954,21.625,,,117003,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Sericostomatidae,,,,Gumaga,,,,,,Trichoptera
Guttipelopia,FALSE,,,,,,,,,,,,,128161,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Guttipelopia,,,,,,Chironomidae
Gymnometriocnemus,FALSE,NA,UNKN,multi,GENE,,,,Less30,,,,,128718,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Gymnometriocnemus,,,,,,Chironomidae
Gyraulus,FALSE,4,SC,multi,GENE,,FALSE,warm,,21.55044711,27.18,,,76592,Animalia,Mollusca,,Gastropoda,,Basommatophora,,,Planorbidae,,,,Gyraulus,,,,,,Other Non-Insect
Gyrinidae,FALSE,NA,PR,uni,GENE,,,,Less30,,,,,112653,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Gyrinidae,,,,,,,,,,Coleoptera
Haemonais,FALSE,,,,,,,,,,,,,69003,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Haemonais,,,,,,Oligochaeta
Haemopis,FALSE,,,,,,,,,,,,,69408,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Hirudiniformes,,Haemopidae,Haemopinae,,,Haemopis,,,,,,Other Non-Insect
Halesochila taylori,FALSE,,,,,,,,,,,,,116307,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,Limnephiloidea,Limnephilidae,Limnephilinae,Limnephilini,,Halesochila,,,,,taylori,Trichoptera
Haliplidae,FALSE,4,UNKN,UNKN,GENE,,FALSE,warm,,21.47741457,24.452,,,111857,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Haliplidae,,,,,,,,,,Coleoptera
Haliplus,FALSE,4,PH,uni,GENE,,FALSE,,Less30,,,,,111858,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Haliplidae,,,,Haliplus,,,,,,Coleoptera
Haplotaxis,FALSE,,,,,,FALSE,,Less30,,,,,68505,Animalia,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Haplotaxina,,Haplotaxidae,,,,Haplotaxis,,,,,,Oligochaeta
Harnischia,FALSE,,,,,,,,,,,,,129516,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Harnischia,,,,,,Chironomidae
Heleniella,FALSE,3,CG,multi,GENE,,FALSE,cool,,16.57540448,20.72,,,128730,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Heleniella,,,,,,Chironomidae
Helichus,FALSE,3,SC,semi,RHEO,,,,Less30,,,,,114006,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Dryopidae,,,,Helichus,,,,,,Coleoptera
Helicopsyche,FALSE,4,SC,multi,RHEO,,FALSE,stenow,,25.50329014,28.07,steno_warm,,117016,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Helicopsychidae,,,,Helicopsyche,,,,,,Trichoptera
Helisoma,FALSE,4,SC,uni,GENE,,FALSE,,Less30,,,,,76599,Animalia,Mollusca,,Gastropoda,,Basommatophora,,,Planorbidae,,,,Helisoma,,,,,,Other Non-Insect
Helius,FALSE,NA,UNKN,uni,SPEC,TRUE,FALSE,,Less30,,,,,119690,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limoniinae,,,Helius,,,,,,Diptera
Helobdella,FALSE,,,,,,FALSE,,Less30,,,,,69396,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Haementeriinae,,,Helobdella,,,,,,Other Non-Insect
Helochares,FALSE,,,,,,,,Less30,,,,,113150,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Hydrophilini,,Helochares,,,,,,Coleoptera
Helodon/Prosimulium,FALSE,,,,,,FALSE,stenoc,,13.58980758,17.106,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Simuliidae,,,,,,,,,,Diptera
Helophorus,FALSE,NA,MH,uni,GENE,,FALSE,,Less30,,,,,113106,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Helophoridae,,,,Helophorus,,,,,,Coleoptera
Hemerodromia,FALSE,5,PR,multi,RHEO,,FALSE,warm,,22.3214464,26.711,warm,,136327,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Hemerodromiinae,Hemerodromiini,,Hemerodromia,,,,,,Diptera
Henlea,FALSE,,,,,,,,Less30,,,,,68541,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Henlea,,,,,,Oligochaeta
Heptageniidae,FALSE,3,SC,uni,RHEO,,FALSE,eurythermal,,16.03647453,22.018,,yes,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,,,,,,,Ephemeroptera
Hesperoconopa,FALSE,3,CG,uni,SPEC,,FALSE,cool,,15.60220766,20.136,,,120732,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Hesperoconopa,,,,,,Diptera
Hesperoperla pacifica,FALSE,3,PR,semi,RHEO,,TRUE,cowa,,18.96211823,22.1,coolwarm,,102971,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlidae,Acroneuriinae,Acroneuriini,,Hesperoperla,,,,,,Plecoptera
Hesperophylax,FALSE,,,,,,,,Less30,,,,,116001,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Limnephilinae,Limnephilini,,Hesperophylax,,,,,,Trichoptera
Hetaerina,FALSE,,,,,,,,,,,,,102048,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Calopterygidae,,,,Hetaerina,,,,,,Odonata
Heterelmis,FALSE,,,,,,,,,,,,,114237,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Heterelmis,,,,,,Coleoptera
Heterlimnius corpulentus,FALSE,3,SC,semi,RHEO,,TRUE,cool,,17.06294732,20.53,cool,,114167,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Heterlimnius,,,,,,Coleoptera
Heterocloeon,FALSE,,,,,,,,,,,,,100794,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Heterocloeon,,,,,,Ephemeroptera
Heteroplectron californicum,FALSE,2,SH,semi,DEPO,TRUE,FALSE,cool,,18.83344127,20.972,,,116537,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Calamoceratidae,Calamoceratinae,,,Heteroplectron,,,,,californicum,Trichoptera
Heterosternuta,FALSE,NA,PR,uni,GENE,,FALSE,,Less30,,,,,728249,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,Hydroporini,,Heterosternuta,,,,,,Coleoptera
Heterotanytarsus,FALSE,3,CG,multi,GENE,,FALSE,,Less30,,,,,128734,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Heterotanytarsus,,,,,,Chironomidae
Heterotrissocladius,FALSE,,,,,,FALSE,cool,,17.98348349,21.75,,,128737,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Heterotrissocladius,,,,,,Chironomidae
Heterotrissocladius Marcidus Group,FALSE,4,CG,multi,GENE,,FALSE,cool,,18.16362652,21.798,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Heterotrissocladius,,Marcidus Gr.,,,,Chironomidae
Hexagenia,FALSE,,,,,,,,Less30,,,,,101537,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemeridae,,,,Hexagenia,,,,,,Ephemeroptera
Hexatoma,FALSE,3,PR,uni,DEPO,,FALSE,cowa,,17.90788755,21.764,,,120094,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limnophilinae,,,Hexatoma,,,,,,Diptera
Himalopsyche,FALSE,,,,,,,,Less30,,,,,608146,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Himalopsyche,,,,,phryganea,Trichoptera
Hirudinida,FALSE,,,,,,TRUE,warm,,21.30525329,25.54,,,69290,Animalia,Annelida,,Clitellata,Hirudinea,,,,,,,,,,,,,,Other Non-Insect
Holorusia,FALSE,,,,,,,,Less30,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Tipulidae,Tipulinae,,,Holorusia,,,,,hespera,Diptera
Homophylax,FALSE,,,,,,FALSE,,Less30,,,,,116286,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Limnephilinae,Chilostigmini,,Homophylax,,,,,,Trichoptera
Homoplectra,FALSE,,,,,,,,Less30,,,,,115618,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Diplectroninae,,,Homoplectra,,,,,,Trichoptera
Hornectes quadrimaculatus,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,Hydroporini,,Hornectes,,,,,quadrimaculatus,Coleoptera
Hyalella,FALSE,5,CG,multi,GENE,,FALSE,warm,,22.80938705,27.044,,,94025,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Hyalellidae,,,,Hyalella,,,,,,Other Non-Insect
Hydaticus,FALSE,,,,,,,,,,,,,112172,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Dytiscinae,Hydaticini,,Hydaticus,,,,,,Coleoptera
Hydatophylax,FALSE,,,,,,FALSE,cool,,18.59575718,20.316,,,115995,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Limnephilinae,Stenophylacini,,Hydatophylax,,,,,,Trichoptera
Hydra,FALSE,,,,,,FALSE,cool,,18.97399169,20.865,,,50845,Animalia,Cnidaria,,Hydrozoa,,Hydroida,Hydrida,,Hydridae,,,,Hydra,,,,,,Other Non-Insect
Hydrachna,FALSE,,,,,,,,Less30,,,,,83123,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydrachnidae,,,,Hydrachna,,,,,,Other Non-Insect
Hydrachnidae,FALSE,,,,,,,,Less30,,,,,83122,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydrachnidae,,,,,,,,,,Other Non-Insect
Hydraenidae,FALSE,3,PR,uni,GENE,,FALSE,cowa,,19.17653472,22.624,,,112756,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydraenidae,,,,,,,,,,Coleoptera
Hydrobaenus,FALSE,3,SC,multi,GENE,,FALSE,cool,,13.41549603,20.154,,,128750,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Hydrobaenus,,,,,,Chironomidae
Hydrobius,FALSE,4,PR,uni,GENE,,,,Less30,,,,,113196,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Hydrophilini,,Hydrobius,,,,,,Coleoptera
Hydrochus,FALSE,NA,MH,uni,UNKN,,FALSE,,Less30,,,,,113166,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrochidae,,,,Hydrochus,,,,,,Coleoptera
Hydrodroma,FALSE,,,,,,,,Less30,,,,,83225,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydrodromidae,,,,Hydrodroma,,,,,,Other Non-Insect
Hydrophilidae,FALSE,4,PR,uni,GENE,,FALSE,eurythermal,,18.59291399,22.196,,,112811,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,,,,,,,,,,Coleoptera
Hydrophiloidea,FALSE,,,,,,,eurythermal,,18.71379006,22.212,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,,,,,,,,,,,Coleoptera
Hydroporinae,FALSE,NA,PR,uni,GENE,,FALSE,cowa,,18.90967336,22.1,,,678402,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,,,,,,,,,Coleoptera
Hydropsyche,FALSE,4,CF,uni,RHEO,,FALSE,warm,,20.16358446,23.606,warm,,115453,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Hydropsychinae,,,Hydropsyche,,,,,,Trichoptera
Hydropsychidae,FALSE,4,UNKN,UNKN,RHEO,,FALSE,eurythermal,,19.72411107,22.66,,yes,115398,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,,,,,,,,,,Trichoptera
Hydropsychoidea,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,,,,,,,,,,Trichoptera
Hydroptila,FALSE,4,PH,multi,GENE,,FALSE,warm,,21.94923345,25.896,warm,,115641,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydroptilidae,Hydroptilinae,Hydroptilini,,Hydroptila,,,,,,Trichoptera
Hydroptilidae,FALSE,4,UNKN,multi,RHEO,,FALSE,warm,,21.01474544,25.448,,yes,115629,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydroptilidae,,,,,,,,,,Trichoptera
Hydrosmittia,FALSE,,,,,,,,Less30,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Hydrosmittia,,,,,,Chironomidae
Hydrovolzia,FALSE,,,,,,,,Less30,,,,,83119,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydrovolziidae,,,,Hydrovolzia,,,,,,Other Non-Insect
Hydrovolziidae,FALSE,,,,,,,,Less30,,,,,83118,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydrovolziidae,,,,,,,,,,Other Non-Insect
Hydryphantes,FALSE,,,,,,,,Less30,,,,,83213,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Hydryphantes,,,,,,Other Non-Insect
Hydryphantidae,FALSE,,,,,,,cool,,15.48934552,20.33,,,83212,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,,,,,,,Other Non-Insect
Hygrobates,FALSE,,,,,,FALSE,warm,,19.30391955,23.838,,,83297,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hygrobatidae,,,,Hygrobates,,,,,,Other Non-Insect
Hygrobatidae,FALSE,,,,,,FALSE,eurythermal,,18.77171394,22.776,,yes,83281,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hygrobatidae,,,,,,,,,,Other Non-Insect
Ilyodrilus,FALSE,,,,,,FALSE,,,,,,,68660,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Ilyodrilus,,,,,,Oligochaeta
Integripalpia,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,,,,,,,,,,,Trichoptera
Ironodes,FALSE,3,SC,uni,RHEO,,FALSE,cool,,16.6263909,20.36,,,100666,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Ironodes,,,,,,Ephemeroptera
Isogenoides,FALSE,,,,,,,,Less30,,,,,103124,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlodidae,Perlodinae,Perlodini,,Isogenoides,,,,,,Plecoptera
Isonychia,FALSE,NA,CF,multi,RIVE,TRUE,,,Less30,,,,,101041,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Isonychiidae,,,,Isonychia,,,,,,Ephemeroptera
Isoperla,FALSE,3,PR,uni,RHEO,,FALSE,cool,,15.94140652,21.534,,,102995,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlodidae,Isoperlinae,,,Isoperla,,,,,,Plecoptera
Isopoda,FALSE,NA,,,,,FALSE,warm,,22.14549522,25.06862808,,,92120,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,,,,,,,,,,,,,Other Non-Insect
Iswaeon,FALSE,NA,CG,multi,RHEO,TRUE,,,Less30,,,,,776928,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Iswaeon,,,,,,Ephemeroptera
Juga,FALSE,4,OM,semi,RHEO,,TRUE,cowa,,20.05889862,22.74,,,71570,Animalia,Mollusca,,Gastropoda,,Neotaenioglossa,,,Pleuroceridae,,,,Juga,,,,,,Other Non-Insect
Kathroperla,FALSE,2,PR,semi,SPEC,TRUE,TRUE,cold,,15.08708168,18.83,,,103236,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Chloroperlidae,Paraperlinae,,,Kathroperla,,,,,,Plecoptera
Kiefferulus,FALSE,,,,,,,,,,,,,129522,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Kiefferulus,,,,,,Chironomidae
