TaxaID,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,HABSTRUCT,HABSTRUCT_Full,LIFE_CYCLE,AirBreather,Taxon_Group,TSN,Synonyms,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon Authority,Taxon Authority Source,Tetra Tech AddIn,TolVal_NE,FFG_NE,Habit_NE,BenTaxaID
ABLABESMYIA,FALSE,4,4_middle,PR,SP,,,multi,FALSE,Chironomidae,128079,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,,ABLABESMYIA,,,,,,"Johannsen, 1905",ITIS,,8,Filterer,Burrower,330
ACARI,FALSE,,,PR,CN,,,,FALSE,Other Non-Insect,733321,Hydracarina,ANIMALIA,ARTHROPODA,CHELICERATA,ARACHNIDA,ACARI,,,,,,,,,,,,,,"Leach, 1817",Other,,6,,,14443
ACENTRELLA,FALSE,4,4_middle,CG,"SW,CN",CS,coarse,multi,FALSE,Ephemeroptera,100801,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,ACENTRELLA,,,,,,"Bengtsson, 1912",ITIS,,4,Collector,Clinger,388
ACENTRELLA INSIGNIFICANS,FALSE,4,4_middle,CG,"SW,CN",CS,coarse,multi,FALSE,Ephemeroptera,568572,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,ACENTRELLA,,,,,INSIGNIFICANS,"(McDunnough, 1926)",ITIS,,4,Collector,Clinger,10664
ACENTRELLA PARVULA,FALSE,4,4_middle,CG,SW,,,multi,FALSE,Ephemeroptera,609530,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,ACENTRELLA,,,,,PARVULA,"(McDunnough, 1932)",ITIS,,4,Collector,Clinger,10665
ACERPENNA,FALSE,4,4_middle,CG,SW,,,multi,FALSE,Ephemeroptera,568546,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,ACERPENNA,,,,,,"Waltz and McCafferty, 1987",ITIS,,4,Shredder,Swimmer,214
ACILIUS,FALSE,4,4_middle,PR,SW,,,uni,TRUE,Coleoptera,112074,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,DYTISCINAE,ACILIINI,,ACILIUS,,,,,,"Leach, 1817",ITIS,,6,Predator,Swimmer,1517
ACRICOTOPUS,FALSE,,,,,,,,FALSE,Chironomidae,128463,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,ACRICOTOPUS,,,,,,"Kieffer, 1921",Other,,6,Collector,Sprawler,8156
ACRONEURIA,FALSE,3,,PR,CN,,,semi,FALSE,Plecoptera,102917,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,SYSTELLOGNATHA,,PERLIDAE,ACRONEURIINAE,ACRONEURIINI,,ACRONEURIA,,,,,,"Pictet, 1841",ITIS,,1,Predator,Clinger,1746
ACRONEURIA ABNORMIS,FALSE,3,,PR,CN,,,semi,FALSE,Plecoptera,102919,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,SYSTELLOGNATHA,,PERLIDAE,ACRONEURIINAE,ACRONEURIINI,,ACRONEURIA,,,,,ABNORMIS,"(Newman, 1838)",ITIS,,1,Predator,Clinger,1745
ACTINOBDELLA,FALSE,,,,,,,,FALSE,Other Non-Insect,69384,,ANIMALIA,ANNELIDA,,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,,,GLOSSIPHONIIDAE,HAEMENTERIINAE,,,ACTINOBDELLA,,,,,,"Moore, 1901",ITIS,,2,Predator,Clinger,1391
ACTINOBDELLA INEQUIANNULATA,FALSE,,,PR,SP,,,,FALSE,Other Non-Insect,69386,,ANIMALIA,ANNELIDA,,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,,,GLOSSIPHONIIDAE,HAEMENTERIINAE,,,ACTINOBDELLA,,,,,INEQUIANNULATA,"Moore, 1901",ITIS,,2,Predator,Clinger,1390
ACTINONAIAS LIGAMENTINA,FALSE,,,,,,,,FALSE,Other Non-Insect,80193,,ANIMALIA,MOLLUSCA,,BIVALVIA,PALAEOHETERODONTA,UNIONOIDA,,,UNIONIDAE,,,,ACTINONAIAS,,,,,LIGAMENTINA,"(Lamarck, 1819)",ITIS,,1,Filterer,Burrower,2212
AEDES,FALSE,4,4_middle,CF,SW,,,multi,TRUE,Diptera,126234,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CULICIDAE,CULICINAE,CULICINI,,AEDES,,,,,,"Meigen, 1818",ITIS,,8,Filterer,Swimmer,1900
AESHNA,FALSE,4,4_middle,PR,CB,,,semi,FALSE,Odonata,101603,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,AESHNIDAE,,,,AESHNA,,,,,,"Fabricius, 1775",ITIS,,6,Predator,Climber,2098
AESHNIDAE,FALSE,4,4_middle,PR,"CB,CN",,,uni,FALSE,Odonata,101596,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,AESHNIDAE,,,,,,,,,,"Rambur, 1842",Other,,6,Predator,Climber,2104
AGABINAE,FALSE,,,PR,SW,,,,TRUE,Coleoptera,728212,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,AGABINAE,,,,,,,,,"Thomson, 1867",ITIS,,,,,
AGABUS,FALSE,4,4_middle,PR,SW,RM,root_mat,semi,TRUE,Coleoptera,111966,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,AGABINAE,AGABINI,,AGABUS,,,,,,"Leach, 1817",ITIS,,5,Predator,Swimmer,223
AGNETINA,FALSE,3,,PR,CN,,,semi,FALSE,Plecoptera,102975,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,SYSTELLOGNATHA,,PERLIDAE,PERLINAE,PERLINI,,AGNETINA,,,,,,"Klapalek, 1907",ITIS,,5,Predator,Clinger,3256
AGRAYLEA,FALSE,,,,,,,,FALSE,Trichoptera,115635,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPTILIDAE,HYDROPTILINAE,HYDROPTILINI,,AGRAYLEA,,,,,,"Curtis, 1834",ITIS,,4,Predator,Climber,1805
ALBIA,FALSE,,,,,,,,FALSE,Other Non-Insect,83435,,ANIMALIA,ARTHROPODA,CHELICERATA,ARACHNIDA,ACARI,TROMBIDIFORMES,PROSTIGMATA,,ATURIDAE,,,,ALBIA,,,,,,"Thor, 1899",ITIS,,6,Predator,Climber,10667
ALISOTRICHIA,FALSE,,,,,,,,FALSE,Trichoptera,181197,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPTILIDAE,HYDROPTILINAE,LEUCOTRICHIINI,,ALISOTRICHIA,,,,,,"Flint, 1964",ITIS,,4,Predator,Clinger,1806
ALLOCLADIUS,FALSE,,,,,,,,FALSE,Chironomidae,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,ALLOCLADIUS,,,,,,"Kieffer, 1913",Other,,8,Collector,Burrower,16298
ALLOGNOSTA,FALSE,4,4_worse,CG,SP,,,,TRUE,Diptera,130160,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,STRATIOMYIDAE,BERIDINAE,,,ALLOGNOSTA,,,,,,"Osten Sacken, 1883",ITIS,,8,Collector,Sprawler,15647
ALOTANYPUS,FALSE,,,,,,,,FALSE,Chironomidae,206646,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,COELOTANYPODINI,,ALOTANYPUS,,,,,,"Roback, 1971",ITIS,,,,,
AMBLEMA PLICATA,FALSE,,,,,,,,FALSE,Other Non-Insect,80035,,ANIMALIA,MOLLUSCA,,BIVALVIA,PALAEOHETERODONTA,UNIONOIDA,,,UNIONIDAE,AMBLEMINAE,AMBLEMINI,,AMBLEMA,,,,,PLICATA,"(Say, 1817)",ITIS,,5,Filterer,Burrower,2215
AMBRYSUS,FALSE,,,,,,,,TRUE,Heteroptera,103614,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,NAUCORIDAE,AMBRYSINAE,,,AMBRYSUS,,,,,,"Stal, 1861",ITIS,,4,Predator,Swimmer,2049
AMERCAENIS RIDENS,FALSE,4,4_middle,"CF,CG",SP,,,uni,FALSE,Ephemeroptera,568623,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,CAENIDAE,CAENINAE,,,AMERCAENIS,,,,,RIDENS,"(McDunnough, 1931)",ITIS,,7,Collector,Sprawler,10668
AMNICOLA,FALSE,4,4_middle,SC,CB,,,,FALSE,Other Non-Insect,70747,,ANIMALIA,MOLLUSCA,,GASTROPODA,,NEOTAENIOGLOSSA,,,HYDROBIIDAE,,,,AMNICOLA,,,,,,"Gould and Haldeman, 1841",ITIS,,6,Scraper,Sprawler,2184
AMPHIAGRION,FALSE,,,PR,"CN,CB",,,,FALSE,Odonata,102093,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ZYGOPTERA,,COENAGRIONIDAE,,,,AMPHIAGRION,,,,,,"Selys, 1876",ITIS,,8,Predator,Climber,2110
AMPHICHAETA,FALSE,,,,,,,,FALSE,Oligochaeta,68979,,ANIMALIA,ANNELIDA,,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,,,NAIDIDAE,NAIDINAE,,,AMPHICHAETA,,,,,,"Tauber, 1879",ITIS,,8,Collector,Clinger,1398
AMPHINEMURA,FALSE,3,,SH,"SP,CN",CS,coarse,uni,FALSE,Plecoptera,102540,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,EUHOLOGNATHA,,NEMOURIDAE,AMPHINEMURINAE,,,AMPHINEMURA,,,,,,"Ris, 1902",ITIS,,1,Scraper,Sprawler,1738
AMPHIPODA,FALSE,,,CG,SP,,,,FALSE,Other Non-Insect,93294,,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,AMPHIPODA,,,,,,,,,,,,,"Latreille, 1816",ITIS,,,Collector,Swimmer,1492
ANACAENA,FALSE,4,4_middle,PR,BU,,,uni,TRUE,Coleoptera,112878,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,POLYPHAGA,,HYDROPHILIDAE,HYDROPHILINAE,ANACAENINI,,ANACAENA,,,,,,"Thomson, 1859",ITIS,,8,Predator,Swimmer,1545
ANAFROPTILUM,FALSE,,,,,,,,FALSE,Ephemeroptera,,Centroptilum,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,ANAFROPTILUM,,,,,,"Kluge, 2012",Other,,4,Collector,Sprawler,16299
ANAX,FALSE,4,4_worse,PR,"CB,CN",,,"multi,uni",FALSE,Odonata,101597,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,AESHNIDAE,,,,ANAX,,,,,,"Leach, 1815",ITIS,,8,Predator,Climber,2100
ANAX JUNIUS,FALSE,4,4_worse,PR,"CB,CN",,,"multi,uni",FALSE,Odonata,101598,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,AESHNIDAE,,,,ANAX,,,,,JUNIUS,"(Drury, 1773)",ITIS,,8,Predator,Climber,2099
ANCYRONYX,FALSE,4,4_middle,CG,CN,,,"semi,uni",FALSE,Coleoptera,114193,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,POLYPHAGA,,ELMIDAE,,,,ANCYRONYX,,,,,,"Erichson, 1847",ITIS,,2,Collector,Clinger,231
ANISOPTERA,FALSE,,,,,,,,FALSE,Odonata,101594,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,,,,,,,,,,,"Selys, 1854",ITIS,,6,Predator,Clinger,16300
ANNELIDA,FALSE,,,"CG,PR",BU,,,,FALSE,Other Non-Insect,,,ANIMALIA,ANNELIDA,,,,,,,,,,,,,,,,,,,yes,,Collector,Burrower,1482
ANOPHELES,FALSE,4,4_middle,CF,SW,,,multi,TRUE,Diptera,125956,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CULICIDAE,ANOPHELINAE,,,ANOPHELES,,,,,,"Meigen, 1818",ITIS,,9,Filterer,Swimmer,1909
ANTHOMYIIDAE,FALSE,,,PR,SP,,,,FALSE,Terrestrial,148685,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,ANTHOMYIIDAE,,,,,,,,,,"Meade, 1875",Other,,6,Predator,Sprawler,1577
ANTOCHA,FALSE,3,,CG,CN,,,multi,FALSE,Diptera,119656,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,LIMONIIDAE,LIMONIINAE,,,ANTOCHA,,,,,,"Osten Sacken, 1859",ITIS,,3,Collector,Sprawler,51
APEDILUM,FALSE,,,CG,,,,,FALSE,Chironomidae,206655,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,APEDILUM,,,,,,"Townes, 1945",ITIS,,5,Collector,Burrower,3238
APOBAETIS,FALSE,,,CG,"SW,CN",NF,pool,multi,FALSE,Ephemeroptera,100936,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,APOBAETIS,,,,,,"Day, 1955",ITIS,,4,Collector,Clinger,4035
APSECTROTANYPUS,FALSE,,,PR,BU,,,multi,FALSE,Chironomidae,128021,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,MACROPELOPIINI,,APSECTROTANYPUS,,,,,,"Fittkau, 1962",Other,,2,Predator,Swimmer,1595
ARACHNIDA,FALSE,,,"CG,PR",CB,,,,FALSE,Other Non-Insect,,,ANIMALIA,ARTHROPODA,CHELICERATA,ARACHNIDA,,,,,,,,,,,,,,,,,yes,6,Collector,Climber,1483
ARCHILESTES,FALSE,4,4_middle,PR,CB,,,uni,FALSE,Odonata,102059,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ZYGOPTERA,,LESTIDAE,,,,ARCHILESTES,,,,,,"Selys, 1862",ITIS,,6,Predator,Climber,1711
ARGIA,FALSE,4,4_worse,PR,"CB,CN",,,uni,FALSE,Odonata,102139,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ZYGOPTERA,,COENAGRIONIDAE,,,,ARGIA,,,,,,"Rambur, 1842",ITIS,,8,Predator,Climber,2113
ARIGOMPHUS,FALSE,4,4_middle,PR,BU,,,semi,FALSE,Odonata,101770,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,GOMPHIDAE,,,,ARIGOMPHUS,,,,,,"Needham, 1897",ITIS,,6,Predator,Burrower,1698
ARRENURUS,FALSE,,,,,,,,FALSE,Other Non-Insect,82864,,ANIMALIA,ARTHROPODA,CHELICERATA,ARACHNIDA,ACARI,TROMBIDIFORMES,PROSTIGMATA,,ARRENURIDAE,,,,ARRENURUS,,,,,,"Duges, 1834",ITIS,,5,Predator,Clinger,6537
ASELLIDAE,FALSE,4,4_middle,CG,SP,,,,FALSE,Other Non-Insect,92657,,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,ISOPODA,ASELLOTA,,ASELLIDAE,,,,,,,,,,"Latreille, 1802",ITIS,,6,Scraper,Sprawler,1506
ASELLUS,FALSE,4,4_middle,CG,SP,,,,FALSE,Other Non-Insect,92658,,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,ISOPODA,ASELLOTA,,ASELLIDAE,,,,ASELLUS,,,,,,"Geoffroy, 1764",ITIS,,6,Scraper,Sprawler,1502
ASTACIDAE,FALSE,,,,,,,,FALSE,Other Non-Insect,97324,,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,DECAPODA,PLEOCYEMATA,,ASTACIDAE,,,,,,,,,,"Latreille, 1802",ITIS,,8,Scraper,Sprawler,1493
ASYNARCHUS,FALSE,,,,,,,,FALSE,Trichoptera,116221,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,LIMNEPHILIDAE,LIMNEPHILINAE,LIMNEPHILINI,,ASYNARCHUS,,,,,,"McLachlan, 1880",ITIS,,1,Shredder,Clinger,1833
ATHERIX,FALSE,4,4_better,PR,SP,,,uni,FALSE,Diptera,130929,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,ATHERICIDAE,,,,ATHERIX,,,,,,"Meigen, 1803",ITIS,,4,Predator,Burrower,54
ATRACTIDES,FALSE,,,,,,,,FALSE,Other Non-Insect,83282,,ANIMALIA,ARTHROPODA,CHELICERATA,ARACHNIDA,ACARI,TROMBIDIFORMES,PROSTIGMATA,,HYGROBATIDAE,,,,ATRACTIDES,,,,,,"C. L. Koch, 1837",ITIS,,5,Predator,Clinger,7926
ATRICHOPOGON,FALSE,4,4_middle,"CG,PR","CN,SP",SG,snag,multi,FALSE,Diptera,127113,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CERATOPOGONIDAE,FORCIPOMYIINAE,,,ATRICHOPOGON,,,,,,"Kieffer, 1906",Other,,6,Predator,Burrower,389
AULODRILUS,FALSE,4,4_middle,CG,"BU,SP",NF,pool,,FALSE,Oligochaeta,68679,,ANIMALIA,ANNELIDA,,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,,,NAIDIDAE,TUBIFICINAE,,,AULODRILUS,,,,,,"Bretscher, 1899",ITIS,,8,Collector,Burrower,1454
AULODRILUS PIGUETI,FALSE,4,4_middle,CG,"BU,SP",NF,pool,,FALSE,Oligochaeta,68680,,ANIMALIA,ANNELIDA,,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,,,NAIDIDAE,TUBIFICINAE,,,AULODRILUS,,,,,PIGUETI,"Kowalewski, 1914",ITIS,,8,Collector,Burrower,1452
AXARUS,FALSE,4,4_better,CG,SP,,,,FALSE,Chironomidae,129236,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,AXARUS,,,,,,Roback,ITIS,,3,Collector,Sprawler,1597
BAETIDAE,FALSE,4,4_middle,CG,SW,,,multi,FALSE,Ephemeroptera,100755,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,,,,,,,"Leach, 1815",Other,,4,Collector,Sprawler,55
BAETIS,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Ephemeroptera,100800,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,BAETIS,,,,,,"Leach, 1815",ITIS,,5,Collector,Sprawler,56
BAETIS BRUNNEICOLOR,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Ephemeroptera,100825,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,BAETIS,,VERNUS GR.,,VERNUS COMPLEX,BRUNNEICOLOR,"McDunnough, 1925",ITIS,,5,Collector,Sprawler,6277
BAETIS FLAVISTRIGA COMPLEX,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Ephemeroptera,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,BAETIS,,FUSCATUS GR.,,FLAVISTRIGA COMPLEX,,,,,,,,
BAETIS FUSCATUS GROUP,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Ephemeroptera,,Baetis,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,BAETIS,,FUSCATUS GR.,,,,,,,4,Collector,Swimmer,15648
BAETIS INTERCALARIS,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Ephemeroptera,100808,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,BAETIS,,FUSCATUS GR.,,INTERCALARIS COMPLEX,INTERCALARIS,"McDunnough, 1921",ITIS,,5,Collector,Sprawler,3246
BAETIS MAGNUS,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Ephemeroptera,568577,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,BAETIS,,RHODANI GR.,,MAGNUS COMPLEX,MAGNUS,"McCafferty and Waltz, 1986",ITIS,,4,Collector,Sprawler,16301
BAETIS RHODANI GROUP,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Ephemeroptera,,Baetis,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,BAETIS,,RHODANI GR.,,,,,,,4,Collector,Sprawler,16302
BAETIS TRICAUDATUS COMPLEX,FALSE,4,4_middle,CG,"SW,CN",,,multi,FALSE,Ephemeroptera,,Baetis tricaudatus,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,BAETIS,,RHODANI GR.,,TRICAUDATUS COMPLEX,,,,,5,Collector,Sprawler,7991
BAETISCA,FALSE,4,4_middle,CG,"SP,SW",,,uni,FALSE,Ephemeroptera,101494,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,CARAPACEA,,BAETISCIDAE,,,,BAETISCA,,,,,,"Walsh, 1862",ITIS,,2,Collector,Swimmer,1975
BECKIDIA TETHYS,FALSE,,,,,,,,FALSE,Chironomidae,129247,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,BECKIDIA,,,,,TETHYS,"(Townes, 1945)",ITIS,,4,Collector,Sprawler,1599
BELOSTOMA,FALSE,4,4_middle,PR,CB,RM,root_mat,"multi,uni",TRUE,Heteroptera,103684,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,BELOSTOMATIDAE,BELOSTOMATINAE,,,BELOSTOMA,,,,,,"Latreille, 1807",ITIS,,8,Predator,Swimmer,2024
BELOSTOMATIDAE,FALSE,4,4_middle,PR,CB,,,multi,TRUE,Heteroptera,103683,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,BELOSTOMATIDAE,,,,,,,,,,"Leach, 1815",ITIS,,8,Predator,Swimmer,2028
BEROSUS,FALSE,4,4_middle,"PH,CG",SW,,,multi,TRUE,Coleoptera,112812,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,POLYPHAGA,,HYDROPHILIDAE,HYDROPHILINAE,BEROSINI,,BEROSUS,,,,,,"Leach, 1817",ITIS,,8,Predator,Swimmer,3231
BEROSUS STYLIFERUS,FALSE,,,,,,,,TRUE,Coleoptera,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,POLYPHAGA,,HYDROPHILIDAE,HYDROPHILINAE,BEROSINI,,BEROSUS,,,,,STYLIFERUS,,,done,6,Predator,Swimmer,1546
BIDESSUS,FALSE,,,,,,,,TRUE,Coleoptera,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,BIDESSINI,,BIDESSUS,,,,,,,,done,8,Predator,Swimmer,1518
BITTACOMORPHA,FALSE,,,CG,BU,,,uni,TRUE,Diptera,125765,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,PTYCHOPTERIDAE,BITTACOMORPHINAE,,,BITTACOMORPHA,,,,,,"Westwood, 1835",ITIS,,,,,
BIVALVIA,FALSE,,,,,,,,FALSE,Other Non-Insect,,,ANIMALIA,MOLLUSCA,,BIVALVIA,,,,,,,,,,,,,,,,,,,,,
BOREONECTES,FALSE,,,,,,,,TRUE,Coleoptera,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,,BOREONECTES,,,,,,"Angus, 2010",Other,,5,Predator,Swimmer,15745
BOYERIA,FALSE,4,4_middle,PR,"CB,CN",RM,root_mat,multi,FALSE,Odonata,101645,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,AESHNIDAE,,,,BOYERIA,,,,,,"McLachlan, 1895",ITIS,,6,Predator,Climber,2101
BRACHYCENTRIDAE,FALSE,4,4_middle,CF,CB,,,semi,FALSE,Trichoptera,116905,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,BRACHYCENTRIDAE,,,,,,,,,,"Ulmer, 1903",ITIS,,1,Filterer,Climber,1772
