TaxaID,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,HABSTRUCT,HABSTRUCT_Full,LIFE_CYCLE,AirBreather,Taxon_Group,TSN,Synonyms,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon Authority,Taxon Authority Source,Tetra Tech AddIn,TolVal_NE,FFG_NE,Habit_NE,BenTaxaID
ELMIDAE,FALSE,4,4_middle,CG,CN,,,semi,FALSE,Coleoptera,114093,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,POLYPHAGA,,ELMIDAE,,,,,,,,,,"Curtis, 1830",ITIS,,5,Collector,Climber,1539
ELODES,FALSE,,,,,,,,TRUE,Coleoptera,113969,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,POLYPHAGA,,SCIRTIDAE,,,,ELODES,,,,,,"Latreille, 1796",ITIS,,6,Scraper,Climber,1568
EMPIDIDAE,FALSE,4,4_middle,PR,SP,,,,FALSE,Diptera,135830,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,EMPIDIDAE,,,,,,,,,,"Fallen, 1815",Other,,8,Collector,Sprawler,1923
ENALLAGMA,FALSE,4,4_worse,PR,CB,RM,root_mat,multi,FALSE,Odonata,102102,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ZYGOPTERA,,COENAGRIONIDAE,,,,ENALLAGMA,,,,,,"Charpentier, 1840",ITIS,,9,Predator,Climber,2117
ENCHYTRAEIDAE,FALSE,4,4_middle,CG,BU,,,,FALSE,Oligochaeta,68510,,ANIMALIA,ANNELIDA,,CLITELLATA,OLIGOCHAETA,ENCHYTRAEIDA,,,ENCHYTRAEIDAE,,,,,,,,,,"Vejdovsky, 1879",Other,,9,Collector,Burrower,425
ENCHYTRAEUS,FALSE,,,,,,,,FALSE,Oligochaeta,68531,,ANIMALIA,ANNELIDA,,CLITELLATA,OLIGOCHAETA,ENCHYTRAEIDA,,,ENCHYTRAEIDAE,,,,ENCHYTRAEUS,,,,,,"Henle, 1837",ITIS,,9,Collector,Burrower,6559
ENDOCHIRONOMUS,FALSE,4,4_worse,SH,CN,SG,snag,multi,FALSE,Chironomidae,129470,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,ENDOCHIRONOMUS,,,,,,Kieffer,ITIS,,9,Shredder,Sprawler,426
ENOCHRUS,FALSE,4,4_worse,CG,"BU,SW",SG,snag,uni,TRUE,Coleoptera,112973,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,POLYPHAGA,,HYDROPHILIDAE,HYDROPHILINAE,HYDROPHILINI,,ENOCHRUS,,,,,,"Thomson, 1859",ITIS,,5,Collector,Burrower,1555
EPEORUS,FALSE,,,,,,,,FALSE,Ephemeroptera,100626,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,HEPTAGENIIDAE,,,,EPEORUS,,,,,,"Eaton, 1881",ITIS,,0,Scraper,Clinger,74
EPHEMERA,FALSE,4,4_middle,CG,BU,,,,FALSE,Ephemeroptera,101526,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,EPHEMERIDAE,,,,EPHEMERA,,,,,,"Linnaeus, 1758",ITIS,,4,Collector,Burrower,1978
