TAXAID,COMMONNAME,FAMILY,newFAMILY,GENUS,BCG_ATTR,BCGATTR_ROMAN,BCG_ATTR2,BCG_ATTR2_ROMAN,BCG_NUM,NATIVE,TROPHIC,HABITAT,REPRODUCTION,TYPE,SCC,SCC_Summary,USGS_range,Thermal_indicator,CONNECTIVITY
MACRHYBOPSIS MEEKI,SICKLEFIN CHUB,CYPRINIDAE,LEUCISCIDAE,MACRHYBOPSIS,2,II,2_MIDDLE,II,2,NATIVE,IV,B;F,,,TRUE,SCC_Endngrd,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=2350,,TRUE
MACRHYBOPSIS STORERIANA,SILVER CHUB,CYPRINIDAE,LEUCISCIDAE,MACRHYBOPSIS,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,BROADCASTER,,TRUE,Endangered,,,TRUE
MACRHYBOPSIS TETRANEMA,PEPPERED CHUB,CYPRINIDAE,LEUCISCIDAE,MACRHYBOPSIS,,,,,,NATIVE,OM,F,,,TRUE,E_Endemic,,,TRUE
POLYODON SPATHULA,PADDLEFISH,POLYODONTIDAE,,POLYODON,3,III,3_WORSE,IIIb,3.5,NATIVE,OM,F;W,BROADCASTER; MIGRATORY; LITHOPHIL,,TRUE,SCC_Thrtnd,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=876,,TRUE
SANDER CANADENSIS,SAUGER,PERCIDAE,,SANDER,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER; MIGRATORY; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=828,,TRUE
SCAPHIRHYNCHUS PLATORYNCHUS,SHOVELNOSE STURGEON,ACIPENSERIDAE,,SCAPHIRHYNCHUS,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER; LITHOPHIL,,FALSE,,,,TRUE
APLODINOTUS GRUNNIENS,FRESHWATER DRUM,SCIAENIDAE,,APLODINOTUS,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,BROADCASTER; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=946,warm,FALSE
CARPIODES,CARPSUCKER,CATOSTOMIDAE,,CARPIODES,4,IV,4_BETTER,IVa,4,NATIVE,OM,,LITHOPHIL,,FALSE,,,warm,FALSE
CARPIODES CARPIO,RIVER CARPSUCKER,CATOSTOMIDAE,,CARPIODES,4,IV,4_BETTER,IVa,4,NATIVE,OM,,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=341,warm,FALSE
CYPRINELLA,SATINFIN SHINERS,CYPRINIDAE,LEUCISCIDAE,CYPRINELLA,4,IV,4_BETTER,IVa,4,NATIVE,OM,W,,,FALSE,,,warm,FALSE
CYPRINELLA LUTRENSIS,RED SHINER,CYPRINIDAE,LEUCISCIDAE,CYPRINELLA,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,W,SIMPLE NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=518,warm,FALSE
CYPRINELLA VENUSTA,BLACKTAIL SHINER,CYPRINIDAE,LEUCISCIDAE,CYPRINELLA,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,SIMPLE NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=521,warm,FALSE
CYPRINELLA WHIPPLEI,STEELCOLOR SHINER,CYPRINIDAE,LEUCISCIDAE,CYPRINELLA,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,SIMPLE NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=523,warm,FALSE
CYPRINUS CARPIO,COMMON CARP,CYPRINIDAE,CYPRINIDAE,CYPRINUS,5,V,5_MIDDLE,V,5,NON_NATIVE,OM,,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=4,warm,FALSE
DOROSOMA,SHAD,CLUPEIDAE,DOROSOMATIDAE,DOROSOMA,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,BROADCASTER; MIGRATORY,,FALSE,,,warm,FALSE
DOROSOMA CEPEDIANUM,GIZZARD SHAD,CLUPEIDAE,DOROSOMATIDAE,DOROSOMA,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=492,warm,FALSE
ETHEOSTOMA RADIOSUM,ORANGEBELLY DARTER,PERCIDAE,,ETHEOSTOMA,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B;F,LITHOPHIL,,FALSE,,,warm,FALSE
FUNDULUS,TOPMINNOWS,FUNDULIDAE,,FUNDULUS,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,,,FALSE,,,warm,FALSE
FUNDULUS KANSAE,NORTHERN PLAINS KILLIFISH,FUNDULIDAE,,FUNDULUS,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,W,,SALT,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=695,warm,FALSE
FUNDULUS NOTATUS,BLACKSTRIPE TOPMINNOW,FUNDULIDAE,,FUNDULUS,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=690,warm,FALSE
FUNDULUS ZEBRINUS,PLAINS KILLIFISH,FUNDULIDAE,,FUNDULUS,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,W,LITHOPHIL,SALT,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=694,warm,FALSE
GAMBUSIA AFFINIS,WESTERN MOSQUITOFISH,POECILIIDAE,,GAMBUSIA,5,V,5_MIDDLE,V,5,NON_NATIVE,IV,W,BEARER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=846,warm,FALSE
