Taxon_orig,OTU_BCG_ChiroCoarse,modified_BCG_ChiroCoarse,OTU_BCG_ChiroFine
Desmopachria,DESMOPACHRIA,,DESMOPACHRIA
Diamesa,DIAMESINAE,yes,DIAMESA
Diamesinae,DIAMESINAE,,DIAMESINAE
Dibusa,DIBUSA,,DIBUSA
Dibusa angata,DIBUSA ANGATA,,DIBUSA ANGATA
Dicranomyia,DICRANOMYIA,,DICRANOMYIA
Dicranota,DICRANOTA,,DICRANOTA
Dicrotendipes,CHIRONOMINI,yes,DICROTENDIPES
Didymops transversa,DIDYMOPS TRANSVERSA,,DIDYMOPS TRANSVERSA
Dina,ERPOBDELLA,yes,ERPOBDELLA
Dineutus,DINEUTUS,,DINEUTUS
Diphetor hageni,DIPHETOR HAGENI,,DIPHETOR HAGENI
Diplectrona,DIPLECTRONA,,DIPLECTRONA
Diplocladius cultriger,ORTHOCLADIINAE,yes,DIPLOCLADIUS CULTRIGER
Diptera,DIPTERA,,DIPTERA
Diura,DIURA,,DIURA
Dixella,DIXELLA,,DIXELLA
Dolichopodidae,DOLICHOPODIDAE,,DOLICHOPODIDAE
Dolophilodes,DOLOPHILODES,,DOLOPHILODES
DREISSENA,DREISSENA,,DREISSENA
Dreissena polymorpha,DREISSENA,yes,DREISSENA
Dromogomphus,DROMOGOMPHUS,,DROMOGOMPHUS
Dubiraphia,DUBIRAPHIA,,DUBIRAPHIA
Dugesia,DUGESIA,,DUGESIA
Dytiscidae,DYTISCIDAE,,DYTISCIDAE
Eccoptura xanthenes,ECCOPTURA XANTHENES,,ECCOPTURA XANTHENES
Ectopria,ECTOPRIA,,ECTOPRIA
Ellipteroides,GONOMYIA/IDIOCERA/ELLIPTEROIDES,yes,GONOMYIA/IDIOCERA/ELLIPTEROIDES
Elmidae,ELMIDAE,,ELMIDAE
Elodes,SCIRTIDAE,yes,SCIRTIDAE
Empididae,EMPIDIDAE,,EMPIDIDAE
Enallagma,COENAGRION/ENALLAGMA,yes,COENAGRION/ENALLAGMA
Enchytraeidae,ENCHYTRAEIDAE,,ENCHYTRAEIDAE
Enchytraeus,ENCHYTRAEIDAE,yes,ENCHYTRAEIDAE
Endochironomus,CHIRONOMINI,yes,ENDOCHIRONOMUS
Endotribelos,CHIRONOMIDAE,yes,ENDOTRIBELOS
Enochrus,ENOCHRUS,,ENOCHRUS
EPHEMERA,EPHEMERA,,EPHEMERA
Ephemera (Ephemeridae),EPHEMERA,yes,EPHEMERA
Ephemerella,EPHEMERELLA,,EPHEMERELLA
Ephemeridae,EPHEMERIDAE,,EPHEMERIDAE
Ephemeroptera,EPHEMEROPTERA,,EPHEMEROPTERA
Ephoron,EPHORON,,EPHORON
Ephydridae,EPHYDRIDAE,,EPHYDRIDAE
Epitheca,EPITHECA,,EPITHECA
Erioptera,ERIOPTERA,,ERIOPTERA
Eristalis,SYRPHIDAE,yes,SYRPHIDAE
Erpetogomphus,ERPETOGOMPHUS,,ERPETOGOMPHUS
Erpetogomphus designatus,ERPETOGOMPHUS DESIGNATUS,,ERPETOGOMPHUS DESIGNATUS
Erpobdella,ERPOBDELLA,,ERPOBDELLA
Erpobdellidae,ERPOBDELLA,yes,ERPOBDELLA
Erythemis,ERYTHEMIS,,ERYTHEMIS
Eukiefferiella,ORTHOCLADIINAE,yes,EUKIEFFERIELLA
Euparyphus,EUPARYPHUS,,EUPARYPHUS
Eupera,EUPERA,,EUPERA
Eupera cubensis,EUPERA CUBENSIS,,EUPERA CUBENSIS
Eurylophella,EURYLOPHELLA,,EURYLOPHELLA
Eylais,EYLAIS,,EYLAIS
Fallceon,FALLCEON,,FALLCEON
Faxonius,FAXONIUS,,FAXONIUS
Feltria,FELTRIA,,FELTRIA
Ferrissia,FERRISSIA,,FERRISSIA
Fittkauimyia serta,TANYPODINAE,yes,FITTKAUIMYIA SERTA
Forcipomyia,FORCIPOMYIA,,FORCIPOMYIA
Forcipomyiinae,FORCIPOMYIINAE,,FORCIPOMYIINAE
Forelia,FORELIA,,FORELIA
Fossaria,GALBA,yes,GALBA
Fridericia,ENCHYTRAEIDAE,yes,ENCHYTRAEIDAE
Galba,GALBA,,GALBA
Gammarus,GAMMARUS,,GAMMARUS
Gastropoda,GASTROPODA,,GASTROPODA
Geayia,GEAYIA,,GEAYIA
Geranomyia,LIMONIA,yes,LIMONIA
Gerridae,GERRIDAE,,GERRIDAE
Gerris,GERRIS,,GERRIS
Gillotia,CHIRONOMINI,yes,GILLOTIA
Glossiphoniidae,GLOSSIPHONIIDAE,,GLOSSIPHONIIDAE
Glossosomatidae,GLOSSOSOMATIDAE,,GLOSSOSOMATIDAE
Glyptotendipes,CHIRONOMINI,yes,GLYPTOTENDIPES
Goeldichironomus,CHIRONOMINI,yes,GOELDICHIRONOMUS
Gomphidae,GOMPHIDAE,,GOMPHIDAE
GOMPHURUS,GOMPHURUS,,GOMPHURUS
Gomphus,GOMPHIDAE,yes,GOMPHIDAE
Gomphus (Gomphurus),GOMPHURUS,yes,GOMPHURUS
Gonomyia,GONOMYIA/IDIOCERA/ELLIPTEROIDES,yes,GONOMYIA/IDIOCERA/ELLIPTEROIDES
GONOMYIA/IDIOCERA/ELLIPTEROIDES,GONOMYIA/IDIOCERA/ELLIPTEROIDES,,GONOMYIA/IDIOCERA/ELLIPTEROIDES
Guttipelopia,TANYPODINAE,yes,GUTTIPELOPIA
Gymnochthebius,GYMNOCHTHEBIUS,,GYMNOCHTHEBIUS
Gyraulus,GYRAULUS,,GYRAULUS
Gyretes,GYRETES,,GYRETES
Gyrinidae,GYRINIDAE,,GYRINIDAE
Gyrinus,GYRINUS,,GYRINUS
HAEMONAIS,HAEMONAIS,,HAEMONAIS
Haemonais waldvogeli,HAEMONAIS,yes,HAEMONAIS
HAGENIUS,HAGENIUS,,HAGENIUS
Hagenius brevistylus,HAGENIUS BREVISTYLUS,,HAGENIUS BREVISTYLUS
Haliplidae,HALIPLIDAE,,HALIPLIDAE
Haliplus,HALIPLUS,,HALIPLUS
Haploperla,HAPLOPERLA,,HAPLOPERLA
Harnischia,CHIRONOMINI,yes,HARNISCHIA
Hebetancylus excentricus,HEBETANCYLUS EXCENTRICUS,,HEBETANCYLUS EXCENTRICUS
Hebetoncylus excentricus,HEBETANCYLUS EXCENTRICUS,yes,HEBETANCYLUS EXCENTRICUS
Hebridae,HEBRIDAE,,HEBRIDAE
Hebrus,HEBRUS,,HEBRUS
Hedriodiscus/Odontomyia,ODONTOMYIA/HEDRIODISCUS,yes,ODONTOMYIA/HEDRIODISCUS
Helichus,HELICHUS,,HELICHUS
Helicopsyche,HELICOPSYCHE,,HELICOPSYCHE
Helisoma,HELISOMA/PLANORBELLA,yes,HELISOMA/PLANORBELLA
Helisoma anceps,HELISOMA/PLANORBELLA,yes,HELISOMA/PLANORBELLA
HELISOMA/PLANORBELLA,HELISOMA/PLANORBELLA,,HELISOMA/PLANORBELLA
Helius,HELIUS,,HELIUS
Helobdella,HELOBDELLA,,HELOBDELLA
Helochares,HELOCHARES,,HELOCHARES
Helophorus,HELOPHORUS,,HELOPHORUS
Helopicus,HELOPICUS,,HELOPICUS
Hemerodromia,HEMERODROMIA,,HEMERODROMIA
Hemiptera,HEMIPTERA,,HEMIPTERA
Henlea,ENCHYTRAEIDAE,yes,ENCHYTRAEIDAE
Heptagenia,HEPTAGENIA,,HEPTAGENIA
Heptageniidae,HEPTAGENIIDAE,,HEPTAGENIIDAE
Hesperocorixa,HESPEROCORIXA,,HESPEROCORIXA
Hetaerina,HETAERINA,,HETAERINA
Heterelmis,HETERELMIS,,HETERELMIS
Heterocloeon,HETEROCLOEON,,HETEROCLOEON
Heterosternuta,HETEROSTERNUTA,,HETEROSTERNUTA
Heterotrissocladius,ORTHOCLADIINAE,yes,HETEROTRISSOCLADIUS
Hexacylloepus ferrugineus,HEXACYLLOEPUS FERRUGINEUS,,HEXACYLLOEPUS FERRUGINEUS
Hexagenia,HEXAGENIA,,HEXAGENIA
Hexatoma,HEXATOMA,,HEXATOMA
Hirudinea,HIRUDINEA,,HIRUDINEA
Hobbseus,HOBBSEUS,,HOBBSEUS
Homoeoneuria,HOMOEONEURIA,,HOMOEONEURIA
Hyalella,HYALELLA,,HYALELLA
Hybomitra,HYBOMITRA,,HYBOMITRA
Hydra,HYDRA,,HYDRA
Hydrachna,HYDRACHNA,,HYDRACHNA
Hydraena,HYDRAENA,,HYDRAENA
Hydraenidae,HYDRAENIDAE,,HYDRAENIDAE
Hydrellia,EPHYDRIDAE,yes,EPHYDRIDAE
Hydrobaenus,ORTHOCLADIINAE,yes,HYDROBAENUS
Hydrobiidae,HYDROBIIDAE,,HYDROBIIDAE
Hydrocanthus,HYDROCANTHUS,,HYDROCANTHUS
Hydrochus,HYDROCHUS,,HYDROCHUS
Hydrocolus,HYDROCOLUS,,HYDROCOLUS
Hydrodroma,HYDRODROMA,,HYDRODROMA
Hydrometra,HYDROMETRA,,HYDROMETRA
Hydroperla,HYDROPERLA,,HYDROPERLA
Hydrophilidae,HYDROPHILIDAE,,HYDROPHILIDAE
