TaxaID,NonTarget,BCG_Attr_roman,BCG_Attr,BCG_Attr2,FFG,Habit,HABSTRUCT,LIFE_CYCLE,AirBreather,LargeRiver,Rank,Taxon_Group,Ins,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,Genus,Species,OCC_RefNum,OCC_NotUsedForEPT,OWRB_TOLVAL,OCC_HBI_score,OWRB_FFG,OCC_FFG,OWRB_Habit,OWRB_LIFE_CYCLE
RHEOTANYTARSUS,FALSE,IV_middle,4,4_middle,CF,CN,,multi,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,RHEOTANYTARSUS,,,,6.4,,CF,,CN,MULTI
RHEUMATOBATES,FALSE,IV_middle,4,4_middle,PR,SK,,uni,-1,FALSE,Genus,HEMIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,GERRIDAE,RHAGODOTARSINAE,,RHEUMATOBATES,,,,NA,,PR,,UNKN,UNKN
RHITHROGENA,FALSE,,,,CG,CN,,uni,0,FALSE,Genus,EPHEMEROPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,HEPTAGENIIDAE,,,RHITHROGENA,,,,4,,CG,,CN,UNI
RHYACOPHILA,FALSE,III,3,,PR,CN,CS,uni,0,FALSE,Genus,TRICHOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,RHYACOPHILIDAE,,,RHYACOPHILA,,258,,0,0,PR,,CN,UNI
RHYNCHOLIMNOCHARES,FALSE,,,,,,,,0,FALSE,Genus,TROMBIDIFORMES,NonIns,ANIMALIA,ARTHROPODA,CHELICERATA,ARACHNIDA,ACARI,TROMBIDIFORMES,PROSTIGMATA,,LIMNOCHARIDAE,,,RHYNCHOLIMNOCHARES,,,,NA,,PR,,UN,UNKN
ROBACKIA,FALSE,IV_middle,4,4_middle,CG,BU,,uni,0,TRUE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,ROBACKIA,,,,3.3,,CG,,BU,MULTI
SAETHERIA,FALSE,IV_middle,4,4_middle,CG,BU,,"multi,uni",0,TRUE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,SAETHERIA,,,,8.1,,CG,,BU,MULTI
SCIOMYZIDAE,FALSE,V,5,,PR,BU,,multi,0,FALSE,Family,DIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,SCIOMYZIDAE,,,,,,,6,,PR,,UNKN,UNI
SCIRTIDAE,FALSE,IV_middle,4,4_middle,SC,CB,,NA,-1,FALSE,Family,COLEOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,POLYPHAGA,,SCIRTIDAE,,,,,,,8,,SC,,UNKN,SEMI
SIALIS,FALSE,IV_middle,4,4_middle,PR,BU,,uni,0,FALSE,Genus,INSECT_OTHER,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,MEGALOPTERA,,,SIALIDAE,,,SIALIS,,170,,4,4,PR,,BU,UNI
SIGARA,FALSE,IV_middle,4,4_middle,PH,SW,NF,multi,-1,FALSE,Genus,HEMIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,CORIXIDAE,CORIXINAE,,SIGARA,,,,8,,PH,,UNKN,UNI
SIMULIIDAE,FALSE,IV_middle,4,4_middle,CF,CN,,uni,0,FALSE,Family,DIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,SIMULIIDAE,,,,,,,6,,CF,,CN,UNI
SIMULIUM,FALSE,IV_middle,4,4_middle,CF,CN,,multi,0,FALSE,Genus,DIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,SIMULIIDAE,SIMULIINAE,SIMULIINI,SIMULIUM,,104,,6,6,CF,CF,CN,UNI
SIPHLONURUS,FALSE,III,3,,CG,"SW,CB",,uni,0,FALSE,Genus,EPHEMEROPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,SIPHLONURIDAE,,,SIPHLONURUS,,,,7,,CG,,UNKN,UNI
SISYRIDAE,FALSE,,,,,,,,,TRUE,,INSECT_OTHER,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,NEUROPTERA,HEMEROBIIFORMIA,,SISYRIDAE,,,,,,,4,,PR,,UNKN,
SLAVINA,FALSE,,,,,,,,0,,Genus,OLIGOCHAETA,,ANIMALIA,ANNELIDA,,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,,,NAIDIDAE,NAIDINAE,,SLAVINA,,17,,,8,,CG,,
SLAVINA APPENDICULATA,FALSE,,,,,,,,0,FALSE,Species,OLIGOCHAETA,NonIns,ANIMALIA,ANNELIDA,,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,,,NAIDIDAE,NAIDINAE,,SLAVINA,APPENDICULATA,,,7.1,,CG,,UNKN,UNI
SMICRIDEA,FALSE,,,,CF,CN,,uni,0,TRUE,Genus,TRICHOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,SMICRIDEINAE,,SMICRIDEA,,231,,4,4,CF,CF,CN,UNI
SMITTIA,FALSE,IV_middle,4,4_middle,CG,BU,,"multi,uni",0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,SMITTIA,,,,NA,,CG,,BU,MULTI
SOMATOCHLORA,FALSE,IV_middle,4,4_middle,PR,"SP,CB",,"semi,uni",0,FALSE,Genus,ODONATA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,LIBELLULIDAE/CORDULIIDAE,CORDULIIDAE,CORDULIINAE,,SOMATOCHLORA,,,,9,,PR,,CM,UNI
SPARBARUS,FALSE,IV_middle,4,4_middle,CG,SP,,NA,0,FALSE,Genus,EPHEMEROPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,CAENIDAE,BRACHYCERCINAE,SPARBARINI,SPARBARUS,,,,NA,,UN,,UNKN,UNKN
SPARGANOPHILUS,TRUE,,,,,,,,-1,,Genus,EXCLUDE-TERRESTRIAL,,ANIMALIA,ANNELIDA,,CLITELLATA,,,,,,,,SPARGANOPHILUS,,8.5,,,,,CG,,
SPERCHON,FALSE,,,,,,,,0,FALSE,Genus,TROMBIDIFORMES,NonIns,ANIMALIA,ARTHROPODA,CHELICERATA,ARACHNIDA,ACARI,TROMBIDIFORMES,PROSTIGMATA,,SPERCHONTIDAE,,,SPERCHON,,23.28,,NA,4,PR,,UNKN,MULTI
SPERCHONOPSIS,FALSE,,,,,,,,0,FALSE,Genus,TROMBIDIFORMES,NonIns,ANIMALIA,ARTHROPODA,CHELICERATA,ARACHNIDA,ACARI,TROMBIDIFORMES,PROSTIGMATA,,SPERCHONTIDAE,,,SPERCHONOPSIS,,,,4,,PR,,UNKN,MULTI
STACTOBIELLA,FALSE,,,,SH,CB,,uni,0,,Genus,TRICHOPTERA,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPTILIDAE,HYDROPTILINAE,STACTOBIINI,STACTOBIELLA,,236,,,4,,SH,,
STAGNICOLA,FALSE,V,5,,SC,CB,,multi,0,FALSE,Genus,GASTROPODA,NonIns,ANIMALIA,MOLLUSCA,,GASTROPODA,,BASOMMATOPHORA,,LYMNAEA SENSU HUBENDICK,LYMNAEIDAE,,,STAGNICOLA,,,,6,,SC,,UNKN,UNI
STAPHYLINIDAE,FALSE,,,,PR,CN,,,0,FALSE,Family,COLEOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,POLYPHAGA,,STAPHYLINIDAE,,,,,,,NA,,PR,,CN,SEMI
STEGOPTERNA,FALSE,IV_middle,4,4_middle,CF,CN,,uni,0,FALSE,Genus,DIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,SIMULIIDAE,SIMULIINAE,SIMULIINI,STEGOPTERNA,,,,6,,CF,,CN,UNKN
STEMPELLINA,FALSE,III,3,,CG,CB,NF,,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,STEMPELLINA,,,,2,,CG,,CM,MULTI
STEMPELLINELLA,FALSE,III,3,,CG,CB,,multi,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,STEMPELLINELLA,,,,5.3,,UN,,UNKN,MULTI
STENACRON,FALSE,IV_middle,4,4_middle,CG,CN,,multi,0,TRUE,Genus,EPHEMEROPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,HEPTAGENIIDAE,,,STENACRON,,141,,4,4,OM,OM,CN,UNI
STENELMIS,FALSE,IV_middle,4,4_middle,SC,CN,,"semi,uni",0,FALSE,Genus,COLEOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,POLYPHAGA,,ELMIDAE,ELMINAE,ELMINI,STENELMIS,,60,,4,4,OM,OM,CN,SEMI
STENOCHIRONOMUS,FALSE,IV_middle,4,4_middle,"CG,SH",BU,SG,multi,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,STENOCHIRONOMUS,,,,6.4,,"CG,SH",,BU,MULTI
STENONEMA FEMORATUM,FALSE,IV_better,4,4_better,SC,CN,,uni,0,FALSE,Species,EPHEMEROPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,HEPTAGENIIDAE,,,STENONEMA,,,,0.3,,"CG,SC",,UNKN,UNKN
STENONEMA/MACCAFFERTIUM,FALSE,IV_middle,4,4_middle,SC,CN,,uni,0,,Genus slash,EPHEMEROPTERA,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,HEPTAGENIIDAE,,,STENONEMA/MACCAFFERTIUM,,,,,,,,,
STICTOCHIRONOMUS,FALSE,IV_worse,4,4_worse,CG,BU,NF,,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,STICTOCHIRONOMUS,,,,6.7,,"CG,SH",,BU,MULTI
STILOCLADIUS,FALSE,,,,,,,,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,STILOCLADIUS,,,,NA,,CG,,UNKN,MULTI
STRATIOMYIDAE,FALSE,IV_worse,4,4_worse,CG,SP,,NA,-1,FALSE,Family,DIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,STRATIOMYIDAE,,,,,,,8,,CG,,UNKN,UNI
STRATIOMYS,FALSE,IV_worse,4,4_worse,CG,SP,,uni,-1,FALSE,Genus,DIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,STRATIOMYIDAE,STRATIOMYINAE,STRATIOMYINI,STRATIOMYS,,109.5,,8,8,CG,CG,BU,UNI
STROPHOPTERYX,FALSE,,,,,,,,0,FALSE,Genus,PLECOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,EUHOLOGNATHA,,TAENIOPTERYGIDAE,BRACHYPTERYINAE,,STROPHOPTERYX,,220,,2,2,SC,SC,UNKN,UNKN
