TaxaID,NonTarget,BCG_Attr_roman,BCG_Attr,BCG_Attr2,FFG,Habit,HABSTRUCT,LIFE_CYCLE,AirBreather,LargeRiver,Rank,Taxon_Group,Ins,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,Genus,Species,OCC_RefNum,OCC_NotUsedForEPT,OWRB_TOLVAL,OCC_HBI_score,OWRB_FFG,OCC_FFG,OWRB_Habit,OWRB_LIFE_CYCLE
TELEBASIS,FALSE,,,,,,,,0,,Genus,ODONATA,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ZYGOPTERA,,COENAGRIONIDAE,,,TELEBASIS,,180.3,,,9,,,,
THERMONECTUS,FALSE,IV_middle,4,4_middle,PR,SW,,uni,-1,FALSE,Genus,COLEOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,DYTISCINAE,ACILIINI,THERMONECTUS,,,,7,,PR,,UNKN,UNKN
THIENEMANNIELLA,FALSE,IV_middle,4,4_middle,CG,SP,,multi,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,THIENEMANNIELLA,,,,6,,CG,,UNKN,MULTI
THIENEMANNIMYIA GROUP,FALSE,IV_middle,4,4_middle,PR,SP,,multi,0,FALSE,GenusGroup,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,,,,,,,,,,
TIPULA,FALSE,IV_middle,4,4_middle,SH,BU,,uni,0,FALSE,Genus,DIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,TIPULOIDEA,TIPULIDAE,TIPULINAE,,TIPULA,,120,,3,3,OM,OM,BU,UNI
TIPULIDAE,FALSE,IV_middle,4,4_middle,SH,BU,,uni,0,FALSE,Family,DIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,TIPULOIDEA,TIPULIDAE,,,,,112,,3,3,SH,SH,BU,UNI
TORRENTICOLA,FALSE,,,,,,,,0,FALSE,Genus,TROMBIDIFORMES,NonIns,ANIMALIA,ARTHROPODA,CHELICERATA,ARACHNIDA,ACARI,TROMBIDIFORMES,PROSTIGMATA,,TORRENTICOLIDAE,,,TORRENTICOLA,,23.4,,4,4,PR,,UNKN,MULTI
TORTOPSIS,FALSE,,,,,,,,0,FALSE,Genus,EPHEMEROPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,POLYMITARCYIDAE,,,TORTOPSIS,,,,2,,CG,,BU,UNKN
TORTOPUS,FALSE,,,,CG,BU,,,0,FALSE,Genus,EPHEMEROPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,POLYMITARCYIDAE,,,TORTOPUS,,,,2,,CG,,UNKN,UNKN
TRAMEA,FALSE,IV_middle,4,4_middle,PR,SP,,uni,0,,Genus,ODONATA,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,LIBELLULIDAE/CORDULIIDAE,LIBELLULIDAE,,,TRAMEA,,192.99,,,9,,,,
TREPAXONEMATA,FALSE,,,,,,,,0,FALSE,Class,OTHER NON-INSECT,NonIns,ANIMALIA,PLATYHELMINTHES,RHABDITOPHORA,TREPAXONEMATA,,,,,,,,,,,,4,,OM,,UNKN,MULTI
TREPOBATES,FALSE,IV_middle,4,4_middle,PR,SK,,"multi,uni",-1,FALSE,Genus,HEMIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,GERRIDAE,TREPOBATINAE,,TREPOBATES,,,,NA,,PR,,UNKN,UNI
TRIAENODES,FALSE,III,3,,SH,"SW,CN",RM,uni,0,TRUE,Genus,TRICHOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,LEPTOCERIDAE,LEPTOCERINAE,TRIAENODINI,TRIAENODES,,240,,4,4,SH,SH,UNKN,UNI
TRIBELOS,FALSE,IV_middle,4,4_middle,CG,BU,SG,,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,TRIBELOS,,,,6.6,,CG,,BU,MULTI
TRICHOCLINOCERA,FALSE,,,,PR,,,,0,FALSE,Genus,DIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,EMPIDIDAE,CLINOCERINAE,,TRICHOCLINOCERA,,,,8.1,,PR,,UNKN,UNKN
TRICHOCORIXA,FALSE,V,5,,PR,SW,,multi,-1,FALSE,Genus,HEMIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,CORIXIDAE,CORIXINAE,,TRICHOCORIXA,,,,8,,PR,,UNKN,UNI
TRICHOPTERA,FALSE,,,,,,,,0,FALSE,Order,TRICHOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,,,,,,,,NA,,UN,,UNKN,UNI
TRICORYTHODES,FALSE,IV_worse,4,4_worse,CG,SP,,uni,0,TRUE,Genus,EPHEMEROPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,LEPTOHYPHIDAE,,,TRICORYTHODES,,151,,4,4,CG,CG,UNKN,UNI
TROPISTERNUS,FALSE,IV_middle,4,4_middle,PR,CB,RM,multi,-1,FALSE,Genus,COLEOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,POLYPHAGA,,HYDROPHILIDAE,HYDROPHILINAE,HYDROPHILINI,TROPISTERNUS,,,,7,,PR,,UNKN,SEMI
TRUNCATELLOIDEA,FALSE,,,,,,,,0,FALSE,SuperFamily,GASTROPODA,NonIns,ANIMALIA,MOLLUSCA,,GASTROPODA,ORTHOGASTROPODA,LITTORINIDA,RISSOIDINA,TRUNCATELLOIDEA,,,,,,,,8,,SC,,UNKN,UNI
TVETENIA,FALSE,IV_middle,4,4_middle,CG,SP,,multi,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,TVETENIA,,,,3.9,,CG,,UNKN,MULTI
TYRRELLIA,FALSE,,,,,,,,0,FALSE,Genus,TROMBIDIFORMES,NonIns,ANIMALIA,ARTHROPODA,CHELICERATA,ARACHNIDA,ACARI,TROMBIDIFORMES,PROSTIGMATA,,LIMNESIIDAE,,,TYRRELLIA,,,,NA,,PR,,UNKN,UNKN
UNIONICOLA,FALSE,,,,,,,,0,FALSE,Genus,TROMBIDIFORMES,NonIns,ANIMALIA,ARTHROPODA,CHELICERATA,ARACHNIDA,ACARI,TROMBIDIFORMES,PROSTIGMATA,,UNIONICOLIDAE,,,UNIONICOLA,,,,NA,,PR,,UNKN,UNKN
UNIONIDAE,FALSE,IV_middle,4,4_middle,CF,BU,NF,NA,0,FALSE,Family,BIVALVIA,NonIns,ANIMALIA,MOLLUSCA,,BIVALVIA,PALAEOHETERODONTA,UNIONOIDA,,,UNIONIDAE,,,,,280,,4,4,CF,CF,UNKN,UNKN
UNNIELLA MULTIVIRGA,FALSE,,,,,,,,0,FALSE,Species,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,UNNIELLA,MULTIVIRGA,,,0,,UN,,UNKN,UNKN
UTTERBACKIANA SUBORBICULATA,FALSE,,,,,,,,0,FALSE,Species,BIVALVIA,NonIns,ANIMALIA,MOLLUSCA,,BIVALVIA,PALAEOHETERODONTA,UNIONOIDA,,,UNIONIDAE,AMBLEMINAE,,UTTERBACKIANA,SUBORBICULATA,,,NA,,CF,,UNKN,UNKN
UVARUS,FALSE,IV_middle,4,4_middle,PR,SW,,NA,-1,FALSE,Genus,COLEOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,BIDESSINI,UVARUS,,,,7,,PR,,UNKN,SEMI
VARICHAETADRILUS,FALSE,,,,,,,,0,FALSE,Genus,OLIGOCHAETA,NonIns,ANIMALIA,ANNELIDA,,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,,,NAIDIDAE,TUBIFICINAE,,VARICHAETADRILUS,,,,3,,SH,,BU,UNI
VELIIDAE,FALSE,IV_middle,4,4_middle,PR,SK,,"multi,uni",-1,FALSE,Family,HEMIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,VELIIDAE,,,,,,,8,,PR,,UNKN,UNI
WORMALDIA,FALSE,III,3,,CF,CN,,multi,0,FALSE,Genus,TRICHOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,PHILOPOTAMIDAE,PHILOPOTAMINAE,,WORMALDIA,,248,,3,3,CF,CF,CN,UNI
XENOCHIRONOMUS,FALSE,III,3,,PR,BU,SG,,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,,,XENOCHIRONOMUS,,,,NA,,PR,,BU,UNKN
XENOCHIRONOMUS XENOLABIS,FALSE,III,3,,PR,BU,,,0,FALSE,Species,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,XENOCHIRONOMUS,XENOLABIS,,,NA,,PR,,BU,UNKN
XESTOCHIRONOMUS,FALSE,,,,,,,,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,XESTOCHIRONOMUS,,,,NA,,OM,,UNKN,UNKN
XYLOTOPUS PAR,FALSE,,,,,,,,0,FALSE,Species,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,XYLOTOPUS,PAR,,,6.6,,UN,,UNKN,UNKN
ZAVRELIELLA,FALSE,IV_middle,4,4_middle,CG,BU,NF,NA,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,ZAVRELIELLA,,,,8,,PR,,UNKN,UNKN
ZAVRELIELLA MARMORATA,FALSE,,,,,,,,0,FALSE,Species,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,ZAVRELIELLA,MARMORATA,,,8,,PR,,UNKN,UNKN
ZAVRELIMYIA,FALSE,IV_middle,4,4_middle,PR,SP,,,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ZAVRELIMYIA,,,,8,,PR,,SP,MULTI
