TaxaID,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,LIFE_CYCLE,AirBreather,HABSTRUCT,HABSTRUCT_Full,BioticIndex_MO,BISource_MO,FFG_MO,PrimaryFFG_MO,SecondaryFFG_MO,FFG_Source,FHG_MO,PrimaryHabit_MO,SecondaryHabit_MO,FHG_Source,Phylum,Class,Subclass,Order,Family,Subfamily,Tribe,Genus
FAXONIUS PERUNCUS,FALSE,4,4_middle,CG,NA,NA,FALSE,,,,,,,,,,,,,ARTHROPODA,CRUSTACEA,,DECAPODA,CAMBARIDAE,,,FAXONIUS
FAXONIUS PUNCTIMANUS,FALSE,4,4_middle,CG,NA,NA,FALSE,,,,,,,,,,,,,ARTHROPODA,CRUSTACEA,,DECAPODA,CAMBARIDAE,,,FAXONIUS
FAXONIUS QUADRUNCUS,FALSE,4,4_middle,CG,NA,NA,FALSE,,,,,,,,,,,,,ARTHROPODA,CRUSTACEA,,DECAPODA,CAMBARIDAE,,,FAXONIUS
FAXONIUS VIRILIS,FALSE,4,4_middle,CG,NA,NA,FALSE,,,,,Ga,GA,,KY**,,,,,ARTHROPODA,CRUSTACEA,,DECAPODA,CAMBARIDAE,,,FAXONIUS
FAXONIUS WILLIAMSI,FALSE,4,4_middle,CG,NA,NA,FALSE,,,,,,,,,,,,,ARTHROPODA,CRUSTACEA,,DECAPODA,CAMBARIDAE,,,FAXONIUS
FERRISSIA,FALSE,4,4_middle,CG,NA,NA,FALSE,,,6.9,L,Sc,SC,,EPA,,,,,MOLLUSCA,GASTROPODA,,BASOMMATOPHORA,ANCYLIDAE,,,FERRISSIA
FITTKAUIMYIA,FALSE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,TANYPODINAE,,FITTKAUIMYIA
FORCIPOMYIINAE,FALSE,4,4_middle,"SC,PR","BU,SP",uni,FALSE,SG,snag,6,B,Ga,GA,SC,MC,"Sp,Cg",SP,CG,,ARTHROPODA,INSECTA,,DIPTERA,CERATOPOGONIDAE,FORCIPOMYIINAE,,
FOSSARIA,FALSE,,,SC,,,FALSE,,,7,KY,Sc,SC,,EPA,,,,,MOLLUSCA,GASTROPODA,,BASOMMATOPHORA,LYMNAEIDAE,,,FOSSARIA
GAMMARUS,FALSE,4,4_middle,CG,SP,uni,FALSE,,,6.9,L,Ga,GA,,EPA,,,,,ARTHROPODA,CRUSTACEA,,AMPHIPODA,GAMMARIDAE,,,GAMMARUS
GELASTOCORIS,FALSE,,,PR,SK,uni,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,HEMIPTERA,GELASTOCORIDAE,,,GELASTOCORIS
GEORTHOCLADIUS,FALSE,,,CG,SP,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,GEORTHOCLADIUS
GERRIDAE,FALSE,4,4_middle,PR,SK,uni,TRUE,,,9,KY,"Pr,Pi",PR,PI,MC,Sk,SK,,,ARTHROPODA,INSECTA,,HEMIPTERA,GERRIDAE,,,
GERRIS,FALSE,4,4_middle,PR,SK,multi,TRUE,,,6.4,KS,"Pr,Pi",PR,PI,MC,Sk,SK,,,ARTHROPODA,INSECTA,,HEMIPTERA,GERRIDAE,,,GERRIS
GLOSSIPHONIIDAE,FALSE,4,4_worse,PR,SP,"multi,uni",FALSE,,,7,B,Pa,PA,,KY,,,,,ANNELIDA,HIRUDINEA,,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,,
GLOSSOSOMA,FALSE,3,,SC,CN,multi,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,TRICHOPTERA,GLOSSOSOMATIDAE,,,GLOSSOSOMA
GLOSSOSOMATIDAE,FALSE,3,,SC,CN,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,TRICHOPTERA,GLOSSOSOMATIDAE,,,
GLYPTOTENDIPES,FALSE,4,4_worse,"SH,CG,CF",BU,uni,FALSE,SG,snag,8.5,L,"Sh,Fi",SH,FI,MC,"Bu,Cg",BU,CG,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,GLYPTOTENDIPES
GOELDICHIRONOMUS,FALSE,4,4_middle,CG,BU,NA,FALSE,SG,snag,9,KS,Ga,GA,,MC,Bu,BU,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,GOELDICHIRONOMUS
GOMPHIDAE,FALSE,4,4_middle,PR,BU,semi,FALSE,,,7,KS,Pr,PR,,MC,Bu,BU,,,ARTHROPODA,INSECTA,,ODONATA,GOMPHIDAE,,,
GOMPHUS,FALSE,4,4_middle,PR,BU,semi,FALSE,,,6.2,L,Pr,PR,,MC,Bu,BU,,,ARTHROPODA,INSECTA,,ODONATA,GOMPHIDAE,,,GOMPHUS
