Taxon_orig,Rationale,OTU_MetricCalc,OTU_BCG_ORWA,OTU_BCG_ORWA_worms
Eukiefferiella brevicalcar group,FORMATTING,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group
Eukiefferiella Brevicalcar Group,FORMATTING,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group
Eukiefferiella cf. tirolensis,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group
Eukiefferiella claripennis,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group
Eukiefferiella Claripennis Gr.,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group
Eukiefferiella claripennis group,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group
Eukiefferiella Claripennis Group,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group
Eukiefferiella claripennis Group,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group
Eukiefferiella coerulescens,FORMATTING,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group
Eukiefferiella Coerulescens Gr.,FORMATTING,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group
Eukiefferiella coerulescens group,FORMATTING,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group
Eukiefferiella Coerulescens Group,FORMATTING,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group
Eukiefferiella Cyanea Group,,Eukiefferiella Cyanea Group,Eukiefferiella Cyanea Group,Eukiefferiella Cyanea Group
Eukiefferiella Devonica Gr.,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group
Eukiefferiella devonica group,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group
Eukiefferiella Devonica Group,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group
Eukiefferiella devonica Group,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group
Eukiefferiella discoloripes Group,,Eukiefferiella,Eukiefferiella,Eukiefferiella
Eukiefferiella Discoloripes Group,,Eukiefferiella,Eukiefferiella,Eukiefferiella
Eukiefferiella Gracei Gr.,FORMATTING,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group
Eukiefferiella gracei group,FORMATTING,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group
Eukiefferiella Gracei Group,FORMATTING,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group
Eukiefferiella pseudomontana,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group
Eukiefferiella Pseudomontana Gr.,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group
Eukiefferiella pseudomontana group,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group
Eukiefferiella Pseudomontana Group,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group
Eukiefferiella pseudomontana Group,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group
Eukiefferiella similis,Jr. syn of Cardiocladius albiplumus,Cardiocladius,Cardiocladius,Cardiocladius
Eukiefferiella tirolensis,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group
Eukiefferiella tirolensis group,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group
Eukiefferiella Tirolensis Group,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group
Eukiefferiella/Tvetenia,,Orthocladiinae,Orthocladiinae,Orthocladiinae
Eukoenenia,Terrestrial,DNI,DNI,DNI
Euparyphus,,Euparyphus,Euparyphus,Euparyphus
Euphylidorea,"subgenus of Limnophila now genus, Limnophila still valid but very different taxon concept translating to family",Limoniidae,Limoniidae,Limoniidae
Euryhapsis,,Euryhapsis,Euryhapsis,Euryhapsis
Eurylophella,,Eurylophella,Eurylophella,Eurylophella
Eurylophella lodi,,Eurylophella,Eurylophella,Eurylophella
Euthyas,,Euthyas,Euthyas,Euthyas
Eylaidae,,Eylaidae,Eylaidae,Eylaidae
Eylais,,Eylais,Eylais,Eylais
Fallceon,,Fallceon,Fallceon,Fallceon
Fallceon quilleri,,Fallceon,Fallceon,Fallceon
Farula,,Farula,Farula,Farula
Farula/Neothremma,,Uenoidae,Uenoidae,Uenoidae
Faxonius,,Faxonius,Faxonius,Faxonius
Feltria,,Feltria,Feltria,Feltria
Feltriidae,,Feltriidae,Feltriidae,Feltriidae
Ferrisia,,Ferrissia,Ferrissia,Ferrissia
Ferrissia,,Ferrissia,Ferrissia,Ferrissia
Ferrissia fragilis,,Ferrissia,Ferrissia,Ferrissia
Ferrissia rivularis,,Ferrissia,Ferrissia,Ferrissia
Fisherola nuttalli,,Fisherola nuttalli,Fisherola nuttalli,Fisherola nuttalli
Fluminicola,Common hydroboid in PNW streams,Truncatelloidea,Truncatelloidea,Truncatelloidea
Flustra,Bryozoa,DNI,DNI,DNI
Forcipomyia,,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae
Forcipomyiinae,,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae
Forelia,,Forelia,Forelia,Forelia
Fossaria,,Lymnaeidae,Lymnaeidae,Lymnaeidae
Fossaria/Stagnicola,,Lymnaeidae,Lymnaeidae,Lymnaeidae
Frenesia,,Frenesia,Frenesia,Frenesia
Fridericia,,Fridericia,Oligochaeta,Enchytraeidae
Frisonia,Single Species in Genus,Frisonia picticeps,Frisonia picticeps,Frisonia picticeps
Frisonia ,Trailing space after genus Name,Frisonia picticeps,Frisonia picticeps,Frisonia picticeps
Frisonia picticeps,Single Species in Genus,Frisonia picticeps,Frisonia picticeps,Frisonia picticeps
Frontipoda,synonym of Oxus,Oxus,Oxus,Oxus
Frontipoda americana,synonym of Oxus,Oxus,Oxus,Oxus
Galba,,Lymnaeidae,Lymnaeidae,Lymnaeidae
Galerucella,Leaf beetle terrestrial,DNI,DNI,DNI
Galerucella nymphaeae,Leaf beetle terrestrial,DNI,DNI,DNI
Gammaridae,,Amphipoda,Amphipoda,Amphipoda
Gammaridea,,Gammaridea,Gammaridea,Gammaridea
Gammarus,,Gammarus,Gammarus,Gammarus
Gammarus lacustris,,Gammarus,Gammarus,Gammarus
Gasterosteidae,Fish,DNI,DNI,DNI
Gastropoda,TOO COARSE,Gastropoda,Gastropoda,Gastropoda
Gaufina/Sweltsa,"Gaufinia Stark and Baumann, 2021 (new genus) now contains the Sweltsa Lambda Group. At present the immatures are not separable from Sweltsa. Gaufinia/Sweltsa are the most common and widespread chloroperlids in mid order streams in the PNW. Many species oc",Gaufina/Sweltsa,Gaufina/Sweltsa,Gaufina/Sweltsa
Gelastocoris,toad bugs,DNI,DNI,DNI
Georissus,"Minute, mud loving beetles; semi-aquatic; sandy shorelines and sand bars in streams. Not included in benthic biomonitoring data sets, but may occur in other sample types.",Georissus,Georissus,Georissus
Georthocladius,,Georthocladius,Georthocladius,Georthocladius
Georyssus,,Georyssus,Georyssus,Georyssus
Geranomyia,genus was subgenu of Limonia,Limoniidae,Limoniidae,Limoniidae
Gereckea,,Gereckea,Gereckea,Gereckea
Gerridae,"NonTarget - Hemiptera, water column or surface dwellers",Gerridae,Gerridae,Gerridae
Gerrinae,"NonTarget - Hemiptera, water column or surface dwellers",Gerrinae,Gerrinae,Gerrinae
Gerris,"NonTarget - Hemiptera, water column or surface dwellers",Gerris,Gerris,Gerris
