Taxon_orig,Rationale,OTU_MetricCalc,OTU_BCG_ORWA,OTU_BCG_ORWA_worms
Aaptos,Sponges excluded,DNI,DNI,DNI
Aagaardia,,Aagaardia,Aagaardia,Aagaardia
Abedus,More benthic associated and included by some labs in BMI biomonitoring data.,Abedus,Abedus,Abedus
Abiskomyia,,Abiskomyia,Abiskomyia,Abiskomyia
Ablabesmyia,,Ablabesmyia,Ablabesmyia,Ablabesmyia
Acalcarella,,Acalcarella,Acalcarella,Acalcarella
Acalyptonotus,,Acalyptonotus,Acalyptonotus,Acalyptonotus
Acamptocladius,,Acamptocladius,Acamptocladius,Acamptocladius
Acar,,Acari,Acari,Acari
Acari,,Acari,Acari,Acari
Acarina,,Acari,Acari,Acari
Acentrella,,Acentrella,Acentrella,Acentrella
Acentrella insignificans,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans
Acentrella insignificans complex,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans
Acentrella parvula,,Acentrella parvula,Acentrella parvula,Acentrella parvula
Acentrella turbida,,Acentrella turbida,Acentrella turbida,Acentrella turbida
Acercopsis,,Acercopsis,Acercopsis,Acercopsis
Acerpenna,,Acerpenna,Acerpenna,Acerpenna
Acerpenna pygmaea,,Acerpenna pygmaea,Acerpenna pygmaea,Acerpenna pygmaea
Achaeta,,Achaeta,Oligochaeta,Enchytraeidae
Acilius,,Acilius,Acilius,Acilius
Acilius abbreviatus,,Acilius,Acilius,Acilius
Acneus,,Acneus,Acneus,Acneus
Acricotopus,,Acricotopus,Acricotopus,Acricotopus
Acroloxus coloradensis,,Acroloxus coloradensis,Acroloxus coloradensis,Acroloxus coloradensis
Acroneuria,I am skeptical of this ID,Perlodidae,Perlodidae,Perlodidae
Actinopterygii,Fish,DNI,DNI,DNI
Aedes,,Culicidae,Culicidae,Culicidae
Aeshna,Slashed taxon,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna californica,Slashed taxon,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna eremita,Slashed taxon,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna interrupta,Slashed taxon,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna juncea,Slashed taxon,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna palmata,Slashed taxon,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna umbrosa,Slashed taxon,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna walkeri,Slashed taxon,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna/Rhionaeschna,Slashed taxon,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshnidae,,Aeshnidae,Aeshnidae,Aeshnidae
Afghanurus,Whether Afghanurus or Ecdyonurus has priority is in dispute. Until this is resolved we are using Ecdyonurus as recommended by Luke Jacobus at Mayfly Central,Ecdyonurus,Ecdyonurus,Ecdyonurus
Afghanurus criddlei,nomenclature,Ecdyonurus criddlei,Ecdyonurus criddlei,Ecdyonurus criddlei
Afghanurus simplicioides,,Ecdyonurus simplicioides,Ecdyonurus simplicioides,Ecdyonurus simplicioides
Agabetes,,Agabetes,Agabetes,Agabetes
Agabinae,,Agabinae,Agabinae,Agabinae
Agabinus,,Agabinus,Agabinus,Agabinus
Agabinus glabrellus,,Agabinus,Agabinus,Agabinus
Agabinus sculpturellus,,Agabinus,Agabinus,Agabinus
Agabus,,Agabus,Agabus,Agabus
Agabus lutosus,,Agabus,Agabus,Agabus
Agabus seriatus group,,Agabus,Agabus,Agabus
Agabus/Ilybius/Platambus/Ilybiosoma,,Agabinae,Agabinae,Agabinae
Agapetus,,Agapetus,Agapetus,Agapetus
Agathon,,Agathon,Agathon,Agathon
Agathon comstocki,,Agathon,Agathon,Agathon
Agraylea,,Agraylea,Agraylea,Agraylea
Agraylea multipunctata,More complete descriptions and how to separate species in prep,Agraylea multipunctata,Agraylea multipunctata,Agraylea multipunctata
Agraylea saltesea,More complete descriptions and how to separate species in prep,Agraylea saltesea,Agraylea saltesea,Agraylea saltesea
Agrypnia,,Agrypnia,Agrypnia,Agrypnia
Alaskaperla ovibovis,extreme southern range dubius ID,Chloroperlidae,Chloroperlidae,Chloroperlidae
Albertathyas,monotypic,Albertathyas montana,Albertathyas montana,Albertathyas montana
Albertathyas montana,,Albertathyas montana,Albertathyas montana,Albertathyas montana
Albia,,Albia,Albia,Albia
Alisotrichia,"dubius ID as of 2022 known only from AZ, UT and TX",Hydroptilidae,Hydroptilidae,Hydroptilidae
Alitta succinea,,Alitta succinea,Alitta succinea,Alitta succinea
Allocladius,,Allocladius,Allocladius,Allocladius
Allocosmoecus,single species in genus,Allocosmoecus partitus,Allocosmoecus partitus,Allocosmoecus partitus
Allocosmoecus partitus,single species in genus,Allocosmoecus partitus,Allocosmoecus partitus,Allocosmoecus partitus
Allognosta,,Allognosta,Allognosta,Allognosta
Allomyia,,Allomyia,Allomyia,Allomyia
Allonais,,Allonais,Oligochaeta,Oligochaeta
Alloperla,,Alloperla,Alloperla,Alloperla
Alotanypus,,Alotanypus,Alotanypus,Alotanypus
Alotanypus/Apsectrotanypus,,Tanypodinae,Tanypodinae,Tanypodinae
Altmanella,,Altmanella,Oligochaeta,Lumbriculidae
Ambrysus,"NonTarget - Hemiptera, water column or surface dwellers",Ambrysus,Ambrysus,Ambrysus
Ameletus,,Ameletus,Ameletus,Ameletus
Ameribrachypoda,,Ameribrachypoda,Ameribrachypoda,Ameribrachypoda
Americorophium,,Americorophium,Americorophium,Americorophium
Americorophium spinicorne,,Americorophium,Americorophium,Americorophium
Amerothyasella,,Amerothyasella,Amerothyasella,Amerothyasella
Ametor,,Ametor,Ametor,Ametor
Ametor latus,,Ametor,Ametor,Ametor
Ametor scabrosus,,Ametor,Ametor,Ametor
Ametropus,,Ametropus,Ametropus,Ametropus
Ametropus ammophilus,,Ametropus,Ametropus,Ametropus
Amiocentrus,backed off due to COI data,Amiocentrus,Amiocentrus,Amiocentrus
Amiocentrus aspilus,backed off due to COI data,Amiocentrus,Amiocentrus,Amiocentrus
Amphiagrion,,Coenagrionidae,Coenagrionidae,Coenagrionidae
Amphiagrion abbreviatum,,Coenagrionidae,Coenagrionidae,Coenagrionidae
Amphibia,Fish,DNI,DNI,DNI
Amphichaeta,,Amphichaeta,Oligochaeta,Oligochaeta
Amphicosmoecus,single species in genus,Amphicosmoecus canax,Amphicosmoecus canax,Amphicosmoecus canax
Amphicosmoecus canax,single species in genus,Amphicosmoecus canax,Amphicosmoecus canax,Amphicosmoecus canax
Amphicteis floridus,,Amphicteis floridus,Amphicteis floridus,Amphicteis floridus
Amphinemura,,Malenka,Malenka,Malenka
Amphinemura/Malenka,,Malenka,Malenka,Malenka
Amphipoda,,Amphipoda,Amphipoda,Amphipoda
Amphizoa,,Amphizoa,Amphizoa,Amphizoa
Amphizoa insolens,,Amphizoa,Amphizoa,Amphizoa
Amphizoa lecontei,,Amphizoa,Amphizoa,Amphizoa
Amphizoidae,,Amphizoa,Amphizoa,Amphizoa
Ampumixis,only one species in Genus,Ampumixis dispar,Ampumixis dispar,Ampumixis dispar
Ampumixis dispar,only one species in Genus,Ampumixis dispar,Ampumixis dispar,Ampumixis dispar
Anabolia,,Anabolia,Anabolia,Anabolia
Anacaena,,Anacaena,Anacaena,Anacaena
Anafroptilum,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Neocloeon,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Neocloeon/Procloeon,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Procloeon,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anagapetus,,Anagapetus,Anagapetus,Anagapetus
Anax,,Anax,Anax,Anax
Anax junius,,Anax,Anax,Anax
Anchycteis,,Ptilodactylidae,Ptilodactylidae,Ptilodactylidae
Anchycteis velutina,,Ptilodactylidae,Ptilodactylidae,Ptilodactylidae
Ancylidae,,Planorbidae,Planorbidae,Planorbidae
Ancylinae,,Planorbidae,Planorbidae,Planorbidae
Anepeorus rusticus,,Anepeorus rusticus,Anepeorus rusticus,Anepeorus rusticus
Anericorophium,,Americorophium,Americorophium,Americorophium
Angarotipula,"Formerly a subgenus of Tipula, see Broso 2017",Angarotipula,Angarotipula,Angarotipula
Anisitsiellidae,,Anisitsiellidae,Anisitsiellidae,Anisitsiellidae
Anisogammaridae,,Anisogammaridae,Anisogammaridae,Anisogammaridae
Anisogammarus,,Anisogammaridae,Anisogammaridae,Anisogammaridae
Anisogammarus pugettensis,,Anisogammarus pugettensis,Anisogammarus pugettensis,Anisogammarus pugettensis
Anisoptera,,Anisoptera,Anisoptera,Anisoptera
Annelida,TOO COARSE,DNI,DNI,DNI
Anodonta,,Anodonta,Anodonta,Anodonta
Anodonta oregonsis,,Anodonta,Anodonta,Anodonta
Anopheles,,Anopheles,Anopheles,Anopheles
Anostraca,fairy shrimp,DNI,DNI,DNI
Anthropotamus,"Range extension of Anthropotamus to CA, Sierras, Upper Truckee River (McCafferty & Meyer 2007). On watch list for PNW.",Anthropotamus,Anthropotamus,Anthropotamus
Antillocladius,,Orthocladiinae,Orthocladiinae,Orthocladiinae
Antocha,,Antocha,Antocha,Antocha
Antocha monticola,,Antocha,Antocha,Antocha
Anura,Fish,DNI,DNI,DNI
Apatania,,Apatania,Apatania,Apatania
Apatania sorex,,Apatania,Apatania,Apatania
Apataniidae,,Apataniidae,Apataniidae,Apataniidae
Apedilum,,Apedilum,Apedilum,Apedilum
Aplexa elongata,"Northern distribution.  Found in temporary pools, edges of ponds and slow streams.",Aplexa elongata,Aplexa elongata,Aplexa elongata
Apobaetis,,Apobaetis,Apobaetis,Apobaetis
Apobaetis indeprensus,,Apobaetis,Apobaetis,Apobaetis
Apohyale,,Apohyale,Apohyale,Apohyale
Apsectrotanypus,,Apsectrotanypus,Apsectrotanypus,Apsectrotanypus
Apsectrotanypus johnsoni,,Apsectrotanypus,Apsectrotanypus,Apsectrotanypus
Apteraliplus parvulus,"Monotypic. Known now from CA, eastern WA, Willamette Valley, and southern ID.",Apteraliplus parvulus,Apteraliplus parvulus,Apteraliplus parvulus
Aquarius,"NonTarget - Hemiptera, water column or surface dwellers",Aquarius,Aquarius,Aquarius
Aquarius nyctalis,"NonTarget - Hemiptera, water column or surface dwellers",Aquarius nyctalis,Aquarius nyctalis,Aquarius nyctalis
Aquarius remigis,"NonTarget - Hemiptera, water column or surface dwellers",Aquarius remigis,Aquarius remigis,Aquarius remigis
Arachnida,Terrestrial,DNI,DNI,DNI
Araeopidius monachus,,Araeopidius monachus,Araeopidius monachus,Araeopidius monachus
Archilestes,,Archilestes,Archilestes,Archilestes
Archilestes californica,,Archilestes,Archilestes,Archilestes
Archilestes grandis,,Archilestes,Archilestes,Archilestes
Archoophora,,Platyhelminthes,Platyhelminthes,Platyhelminthes
Arcteonais,,Arcteonais,Oligochaeta,Naidinae
Arcteonais lomondi,,Arcteonais,Oligochaeta,Naidinae
Arctoconopa,extreme southern range dubius ID,Limoniidae,Limoniidae,Limoniidae
Arctocorisa,"Swimmers, divers, water surface, and shore dwelling hemipterans incidentally collected in BMI biomonitoring samples. Inclusion in BMI data sets by labs and data consumers is variable.",Arctocorisa,Arctocorisa,Arctocorisa
Arctopora,,Arctopora,Arctopora,Arctopora
Arctopsyche,,Arctopsyche,Arctopsyche,Arctopsyche
Arctopsyche californica,,Arctopsyche,Arctopsyche,Arctopsyche
Arctopsyche grandis,,Arctopsyche,Arctopsyche,Arctopsyche
Arctopsyche Grandis Group,,Arctopsyche Grandis Group,Arctopsyche Grandis Group,Arctopsyche Grandis Group
Arctopsyche grandis type 1,,Arctopsyche,Arctopsyche,Arctopsyche
Arctopsyche ladogensis,,Arctopsyche ladogensis,Arctopsyche ladogensis,Arctopsyche ladogensis
Arctopsyche lagodensis complex,,Arctopsyche,Arctopsyche,Arctopsyche
Arctopsychinae,,Arctopsychinae,Arctopsychinae,Arctopsychinae
Arctotipula,,Tipula,Tipula,Tipula
Arcynopteryx dichroa,"Arcynopteryx compacta (Mclachlan, 1872) is a junior synonym of Arcynopteryx dichroa (Mclachlan, 1872). See Teslenko (2012)",Arcynopteryx dichroa,Arcynopteryx dichroa,Arcynopteryx dichroa
Argia,,Argia,Argia,Argia
Argia emma,,Argia,Argia,Argia
Argia vivida,,Argia,Argia,Argia
Argyra,,Dolichopodidae,Dolichopodidae,Dolichopodidae
Arhynchobdellida,,Arhynchobdellida,Arhynchobdellida,Arhynchobdellida
Arrenuridae,,Arrenuridae,Arrenuridae,Arrenuridae
Arrenurus,,Arrenurus,Arrenurus,Arrenurus
Arsapnia,,Capniidae,Capniidae,Capniidae
Arthroplea bipunctata,"Single genus in family Arthropleidae. Monotypic genus in North America. A highly specialized species found in lentic and riverine depositional habitats. Rare, and of conservation concern. Please pass specimens encountered onto specialists. Mayfly Central",Arthroplea bipunctata,Arthroplea bipunctata,Arthroplea bipunctata
Ascaphus truei,Fish,DNI,DNI,DNI
Asellidae,,Asellidae,Asellidae,Asellidae
Asellidae (subterranean),"covers Calasellus, Salmasellus and any other subterranean genera that may occur in western N Amer",Asellidae (subterranean),Asellidae (subterranean),Asellidae (subterranean)
Asellus,,Asellus,Asellus,Asellus
Asioplax,,Asioplax,Asioplax,Asioplax
Asioplax edmundsi,,Asioplax,Asioplax,Asioplax
Assia,,Nemata,Nemata,Nemata
Assiminea,,Assiminea,Assiminea,Assiminea
Astacidae,,Astacidae,Pacifastacus,Pacifastacus
Astacidea,includes all crayfish families,Astacidea,Astacidea,Astacidea
Asynarchus,unique rare,Asynarchus,Asynarchus,Asynarchus
Athericidae,,Atherix,Atherix,Atherix
Atherix,,Atherix,Atherix,Atherix
Atherix pachypus,,Atherix,Atherix,Atherix
Athienemanniidae,,Athienemanniidae,Athienemanniidae,Athienemanniidae
Atractelmis,only one species in Genus,Atractelmis wawona,Atractelmis wawona,Atractelmis wawona
Atractelmis wawona,only one species in Genus,Atractelmis wawona,Atractelmis wawona,Atractelmis wawona
Atractidae,,Atractides,Atractides,Atractides
Atractides,,Atractides,Atractides,Atractides
Atrichomelina,,Sciomyzidae,Sciomyzidae,Sciomyzidae
Atrichopogon,,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae
Atrichopogon/Forcipomyia,,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae
Attenella,,Attenella,Attenella,Attenella
Attenella delantala,,Attenella delantala,Attenella delantala,Attenella delantala
Attenella margarita,,Attenella margarita,Attenella margarita,Attenella margarita
Attenella soquele,,Attenella,Attenella,Attenella
Aturidae,,Aturidae,Aturidae,Aturidae
Aturus,,Aturus,Aturus,Aturus
Atylotus/Tabanus,,Tabanidae,Tabanidae,Tabanidae
Atylotus/Tabanus/Whitneyomyia,,Atylotus/Tabanus/Whitneyomyia,Atylotus/Tabanus/Whitneyomyia,Atylotus/Tabanus/Whitneyomyia
Aulodrilus,,Aulodrilus,Oligochaeta,Tubificinae
Aulodrilus pluriseta,,Aulodrilus,Oligochaeta,Tubificinae
Austrolimnophila,,Austrolimnophila,Austrolimnophila,Austrolimnophila
Axarus,,Axarus,Axarus,Axarus
Axonopsis,,Axonopsis,Axonopsis,Axonopsis
Babia,Terrestrial,DNI,DNI,DNI
Baetidae,,Baetidae,Baetidae,Baetidae
Baetis,,Baetis,Baetis,Baetis
Baetis adonis,"As Baetis sp. A in Morihara & Mccafferty, 1979.",Baetis adonis,Baetis adonis,Baetis adonis
Baetis alius,,Baetis alius,Baetis alius,Baetis alius
Baetis bicaudatus,,Baetis bicaudatus complex,Baetis bicaudatus complex,Baetis bicaudatus complex
Baetis bicaudatus complex,,Baetis bicaudatus complex,Baetis bicaudatus complex,Baetis bicaudatus complex
Baetis flavistriga,,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex
Baetis flavistriga complex,,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex
Baetis Fuscatus Gr.,,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex
Baetis Fuscatus Group,,Baetis flavistriga complex,Baetis flavistriga complex,Baetis flavistriga complex
Baetis intercalaris complex,,Baetis intercalaris complex,Baetis intercalaris complex,Baetis intercalaris complex
Baetis magnus,"Baetis sp. B in Morihara & McCafferty, 1979",Baetis magnus,Baetis magnus,Baetis magnus
Baetis notos,,Baetis notos,Baetis notos,Baetis notos
Baetis piscatoris,,Baetis piscatoris complex,Baetis piscatoris complex,Baetis piscatoris complex
Baetis piscatoris complex,,Baetis piscatoris complex,Baetis piscatoris complex,Baetis piscatoris complex
Baetis Rhodani Gr.,,Baetis Rhodani Group,Baetis Rhodani Group,Baetis Rhodani Group
Baetis rhodani group,,Baetis Rhodani Group,Baetis Rhodani Group,Baetis Rhodani Group
Baetis Rhodani Group,,Baetis Rhodani Group,Baetis Rhodani Group,Baetis Rhodani Group
Baetis tricaudatus,,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex
Baetis tricaudatus complex,,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex
Baetis tricaudatus Group,,Baetis tricaudatus complex,Baetis tricaudatus complex,Baetis tricaudatus complex
Baetis vernus complex,"Baetis vernus complex, Baetis brunneicolor, Baetis vernus, Baetis bundyae, Baetis hudsonicus are all Vernus Group members",Baetis vernus complex,Baetis vernus complex,Baetis vernus complex
Baetisca,,Baetisca,Baetisca,Baetisca
Baetodes,,Baetodes,Baetodes,Baetodes
Baetodes tritus,,Baetodes,Baetodes,Baetodes
Baetopus trishae,Dubious ID eastern Taxon,DNI,DNI,DNI
Bandakia,,Bandakia,Bandakia,Bandakia
Bandakiopsis,,Bandakiopsis,Bandakiopsis,Bandakiopsis
Banksiola,,Banksiola,Banksiola,Banksiola
Banksiola crotchi,,Banksiola,Banksiola,Banksiola
Basommatophora,TOO COARSE,Gastropoda,Gastropoda,Gastropoda
Bathynellacea,,Bathynellacea,Bathynellacea,Bathynellacea
Batracobdella,,Erpobdella,Erpobdella,Erpobdella
Bellardina,Subgenus of Tipulasemi aquatic,Tipula,Tipula,Tipula
Belostoma,"NonTarget - Hemiptera, water column or surface dwellers",Belostoma,Belostoma,Belostoma
Belostoma flumineum,"NonTarget - Hemiptera, water column or surface dwellers",Belostoma flumineum,Belostoma flumineum,Belostoma flumineum
Belostomatidae,"NonTarget - Hemiptera, water column or surface dwellers",Belostomatidae,Belostomatidae,Belostomatidae
Beringotipula,meticolous habitats- subgenus of Tipula,Tipula,Tipula,Tipula
Berosus,,Berosus,Berosus,Berosus
Bethbilbeckia,nomenclature,Macropelopia,Macropelopia,Macropelopia
Bezzia,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Bezzia / Palpomyia,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Bezzia/Palpomyia,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Bezzia/Palpomyia Group,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Bezzia/Probezzia,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Bharatalbia,,Bharatalbia,Bharatalbia,Bharatalbia
Bibiocephala,monotypic,Bibiocephala grandis,Bibiocephala grandis,Bibiocephala grandis
Bibiocephala grandis,,Bibiocephala grandis,Bibiocephala grandis,Bibiocephala grandis
Bilyjomyia,,Bilyjomyia,Bilyjomyia,Bilyjomyia
Bilyjomyia algens,only one species in Genus,Bilyjomyia,Bilyjomyia,Bilyjomyia
Biomphalaria havenensis,,Biomphalaria havenensis,Biomphalaria havenensis,Biomphalaria havenensis
Bisancora,,Bisancora,Bisancora,Bisancora
Bittacomorpha,,Bittacomorpha,Bittacomorpha,Bittacomorpha
Bittacomorphella,,Bittacomorphella,Bittacomorphella,Bittacomorphella
Bivalvia,TOO COARSE,Bivalvia,Bivalvia,Bivalvia
Blepharicera,,Blepharicera,Blepharicera,Blepharicera
Blepharicera ostensackeni,,Blepharicera,Blepharicera,Blepharicera
Blephariceridae,,Blephariceridae,Blephariceridae,Blephariceridae
Bolshecapnia,,Capniidae,Capniidae,Capniidae
Boreochlus,,Boreochlus,Boreochlus,Boreochlus
Boreoheptagyia,,Boreoheptagyia,Boreoheptagyia,Boreoheptagyia
Boreonectes,Genera within Hydroporinae in flux best to leave at subfamily,Boreonectes,Boreonectes,Boreonectes
Bosmina,excluded from BMI samples,DNI,DNI,DNI
Bothrioneurum,,Bothrioneurum,Oligochaeta,Oligochaeta
Bothrioneurum vejdovskyanum,,Bothrioneurum,Oligochaeta,Oligochaeta
Brachinus americanus,"This is a valid taxon, but I wonder if this was supposed to be Brachycentrus americanus??? TYPO?",DNI,DNI,DNI
Brachycentridae,,Brachycentridae,Brachycentridae,Brachycentridae
Brachycentrus,,Brachycentrus,Brachycentrus,Brachycentrus
Brachycentrus (Oligoplectrum),,Brachycentrus,Brachycentrus,Brachycentrus
Brachycentrus americanus,,Brachycentrus americanus complex,Brachycentrus americanus complex,Brachycentrus americanus complex
Brachycentrus americanus complex,,Brachycentrus americanus complex,Brachycentrus americanus complex,Brachycentrus americanus complex
Brachycentrus echo,,Brachycentrus,Brachycentrus,Brachycentrus
Brachycentrus numerosus complex,,Brachycentrus numerosus complex,Brachycentrus numerosus complex,Brachycentrus numerosus complex
Brachycentrus occidentalis,,Brachycentrus occidentalis,Brachycentrus occidentalis,Brachycentrus occidentalis
Brachycera,,Brachycera,Brachycera,Brachycera
Brachycercinae,"Includes these genera that occur in the west and may be in the PNW; Brachycercus, Cercobrachys, and Susperatus.",Brachycercinae,Brachycercinae,Brachycercinae
Brachycercus,,Brachycercus,Brachycercus,Brachycercus
Brachypoda,,Brachypoda,Brachypoda,Brachypoda
Brachypodopsis,,Brachypodopsis,Brachypodopsis,Brachypodopsis
Branchiobdella,,Branchiobdellida,Branchiobdellida,Branchiobdellida
Branchiobdellida,,Branchiobdellida,Branchiobdellida,Branchiobdellida
Branchiobdellidae,,Branchiobdellida,Branchiobdellida,Branchiobdellida
Branchiodrilus,,Branchiodrilus,Oligochaeta,Oligochaeta
Branchiopoda,,Branchiopoda,Branchiopoda,Branchiopoda
Branchiura,monotypic,Branchiura sowerbyi,Oligochaeta,Rhyacodrilinae
Branchiura sowerbyi,,Branchiura sowerbyi,Oligochaeta,Rhyacodrilinae
Bratislavia,,Bratislavia,Oligochaeta,Oligochaeta
Brechmorhoga,,Brechmorhoga,Brechmorhoga,Brechmorhoga
Brillia,,Brillia,Brillia,Brillia
Brillia Flavifrons Gr.,,Brillia,Brillia,Brillia
Brillia parva,,Brillia,Brillia,Brillia
Brillia retifinis,,Brillia,Brillia,Brillia
Brundiniella,,Brundiniella,Brundiniella,Brundiniella
Brundiniella eumorpha,,Brundiniella,Brundiniella,Brundiniella
Brychius,,Brychius,Brychius,Brychius
Bryelmis,,Bryelmis,Bryelmis,Bryelmis
Bryelmis rivularis,,Bryelmis,Bryelmis,Bryelmis
Bryelmis siskiyou,,Bryelmis,Bryelmis,Bryelmis
Bryophaenocladius,,Bryophaenocladius,Bryophaenocladius,Bryophaenocladius
Bryozoa,excluded from BMI samples,DNI,DNI,DNI
Buenoa,"NonTarget - Hemiptera, water column or surface dwellers",Buenoa,Buenoa,Buenoa
Bythinia tentaculata,,Bythinia tentaculata,Bythinia tentaculata,Bythinia tentaculata
C. Barr undescribed,,Bryelmis,Bryelmis,Bryelmis
Caecidae,Marine,DNI,DNI,DNI
Caecidotea,,Caecidotea,Caecidotea,Caecidotea
Caecidotea occidentalis,,Caecidotea,Caecidotea,Caecidotea
Caenidae,,Caenidae,Caenidae,Caenidae
Caeninae,"In rare cases damaged or immature larvae may have to be left at family level, but ID to at least to subfamily is usually possible. Note that Caenis is almost exclusively found in biomonitoring samples from PNW streams and rivers. Other species and genera",Caeninae,Caeninae,Caeninae
Caenis,,Caenis,Caenis,Caenis
Caenis amica,,Caenis,Caenis,Caenis
Caenis latipennis,,Caenis,Caenis,Caenis
Caenis tardata,,Caenis,Caenis,Caenis
Caenis youngi,,Caenis,Caenis,Caenis
Caladomyia,"in region? Tanytarsini ( neotropical OK,TX, CA)",Tanytarsini,Tanytarsini,Tanytarsini
Calamoceratidae,very likely pupae also very likely Heteroplectron-ss,Heteroplectron californicum,Heteroplectron californicum,Heteroplectron californicum
Calanoida,excluded from BMI samples,DNI,DNI,DNI
Calasellus,Slashed taxon,Asellidae (subterranean),Asellidae (subterranean),Asellidae (subterranean)
Calasellus/Salmasellus,Slashed taxon,Asellidae (subterranean),Asellidae (subterranean),Asellidae (subterranean)
Calineuria,,Calineuria californica,Calineuria californica,Calineuria californica
Calineuria californica,,Calineuria californica,Calineuria californica,Calineuria californica
Callibaetis,,Callibaetis,Callibaetis,Callibaetis
Callibaetis fluctuans,,Callibaetis,Callibaetis,Callibaetis
Callicorixa,"NonTarget - Hemiptera, water column or surface dwellers",Callicorixa,Callicorixa,Callicorixa
Callicorixa vulnerata,"NonTarget - Hemiptera, water column or surface dwellers",Callicorixa vulnerata,Callicorixa vulnerata,Callicorixa vulnerata
Calliperla,Single Species in Genus,Calliperla luctuosa,Calliperla luctuosa,Calliperla luctuosa
Calliperla luctuosa,Single Species in Genus,Calliperla luctuosa,Calliperla luctuosa,Calliperla luctuosa
Caloparyphus,,Caloparyphus,Caloparyphus,Caloparyphus
Caloparyphus/Euparyphus,,Stratiomyidae,Stratiomyidae,Stratiomyidae
Calopterygidae,,Calopterygidae,Calopterygidae,Calopterygidae
Calopteryx,,Calopteryx,Calopteryx,Calopteryx
Calopteryx aequabilis,,Calopteryx,Calopteryx,Calopteryx
Cambaridae,,Cambaridae,Cambaridae,Cambaridae
Camelobaetidius,,Camelobaetidius,Camelobaetidius,Camelobaetidius
Camelobaetidius warreni,,Camelobaetidius,Camelobaetidius,Camelobaetidius
Camptocladius,found in cow dung,Orthocladiinae,Orthocladiinae,Orthocladiinae
Canaceidae,Terrestrial,DNI,DNI,DNI
Canacidae,,Canacidae,Canacidae,Canacidae
Canalipalpata,,Canalipalpata,Canalipalpata,Canalipalpata
Canthocamptidae,excluded from BMI samples,DNI,DNI,DNI
Capnia,,Capniidae,Capniidae,Capniidae
Capnia/Arsapnia,,Capniidae,Capniidae,Capniidae
Capniidae,,Capniidae,Capniidae,Capniidae
Capnura,,Capniidae,Capniidae,Capniidae
Carabidae,Terrestrial,DNI,DNI,DNI
Cardiocladius,,Cardiocladius,Cardiocladius,Cardiocladius
Cardiocladius albiplumas,,Cardiocladius albiplumas,Cardiocladius albiplumas,Cardiocladius albiplumas
Cardiocladius albiplumus,,Cardiocladius,Cardiocladius,Cardiocladius
Cardiocladius obscurus,,Cardiocladius,Cardiocladius,Cardiocladius
Cardiocladius Obscurus Group,,Cardiocladius Obscurus Group,Cardiocladius Obscurus Group,Cardiocladius Obscurus Group
Cascadoperla,Single Species in Genus,Cascadoperla trictura,Cascadoperla trictura,Cascadoperla trictura
Cascadoperla trictura,,Cascadoperla trictura,Cascadoperla trictura,Cascadoperla trictura
Catenulida,,Platyhelminthes,Platyhelminthes,Platyhelminthes
Caudata,Fish,DNI,DNI,DNI
Caudatella,,Caudatella,Caudatella,Caudatella
