Taxon_Group,Taxon,NonTarget,BCG_attr,BCG_attr2,BCG_PredContScore,FFG,Habit,Life_Cycle,Habitat,Noteworthy,LONGLIVED,Thermal_indicator,ThermalPref_ALL,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TolVal2,TolVal,Air,FSBI_2012,Hemoglobin,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Chironomidae,Chernovskiia,FALSE,NA,,,PR,UN,multi,GENE,FALSE,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Chernovskiia,,,,,
Diptera,Nasiternella,FALSE,NA,,,PR,"SP,BU",uni,GENE,FALSE,FALSE,,,Less30,,,,,,NA,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Pediciidae,,,,Nasiternella,,,,,
Chironomidae,Onconeura,FALSE,NA,,,UN,UN,multi,GENE,FALSE,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Onconeura,,,,,
Chironomidae,Parakiefferiella ferringtoni,FALSE,NA,,,UN,UN,multi,LOTI,TRUE,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Parakiefferiella,,,,,ferringtoni
