,Taxon_Group,Taxon,NonTarget,BCG_attr,BCG_attr2,BCG_PredContScore,FFG,Habit,Life_Cycle,Habitat,Noteworthy,LONGLIVED,Thermal_indicator,ThermalPref_ALL,ThermTol_Less30,MTTI_WA.optima,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TolVal2,TolVal,Air,FSBI_2012,BSTI_WA.optima,Hemoglobin,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
11,Ephemeroptera,Acentrella parvula,FALSE,NA,,NA,CG,"SW,CN",multi,LOTI,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,parvula
12,Ephemeroptera,Acentrella turbida,FALSE,4,4_middle,3.562333345,CG,"SW,CN",multi,LOTI,FALSE,FALSE,warm,Warm,,20.5,20.3337399,24.838,,,3,4,F,5,4.1,,568574,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,turbida
13,Acari,Acercopsis,FALSE,NA,,NA,"PR,PA",UN,uni,LENT,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,,,,,,,Acercopsis,,,,,
14,Ephemeroptera,Acerpenna,FALSE,NA,,NA,CG,"SW,CN",multi,LOTI,TRUE,FALSE,,,Less30,NA,NA,NA,,,11,4,F,NA,NA,,568546,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acerpenna,,,,,
15,Ephemeroptera,Acerpenna pygmaea,FALSE,NA,,NA,CG,"SW,CN",multi,LOTI,TRUE,FALSE,,,Less30,NA,NA,NA,,,11,4,F,NA,NA,,206620,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acerpenna,,,,,pygmaea
16,Oligochaeta,Achaeta,FALSE,NA,,NA,CG,"BU,SP",uni,GENE,FALSE,FALSE,,,Less30,NA,NA,NA,,,11,NA,F,NA,NA,F,68560,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Achaeta,,,,,
17,Coleoptera,Acilius,FALSE,NA,,NA,PR,SW,uni,LENT,FALSE,FALSE,,,Less30,NA,NA,NA,,,11,5,T,NA,NA,,112074,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Dytiscinae,Aciliini,,Acilius,,,,,
18,Coleoptera,Acneus,FALSE,2,,1.898306608,SC,CN,semi,LOTI,TRUE,TRUE,cool,Cool,,17.4,17.44839373,20.27,,,NA,NA,,NA,2.6,,114082,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Psephenidae,Eubriinae,,,Acneus,,,,,
19,Chironomidae,Acricotopus,FALSE,NA,,NA,UN,SP,multi,GENE,TRUE,FALSE,,,Less30,NA,NA,NA,,,11,10,F,NA,NA,,128463,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Acricotopus,,,,,
20,Mollusca,Acroloxus coloradensis,FALSE,2,,NA,SC,CN,semi,LENT,TRUE,TRUE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Mollusca,,Gastropoda,,Basommatophora,,Acroloxoidea,Acroloxidae,,,,Acroloxus,,,,,coloradensis
21,Odonata,Aeshna/Rhionaeschna,FALSE,4,4_middle,NA,PR,"CB,SP",semi,GENE,FALSE,TRUE,,,Less30,20.5,NA,NA,,,11,5,F,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Aeshna/Rhionaeschna,,,,,
22,Odonata,Aeshnidae,FALSE,4,4_middle,4.034885406,PR,"CB,SP",semi,GENE,FALSE,TRUE,warm,Warm,,20.5,20.56192453,24.266,,,11,5,F,NA,NA,,101596,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,,,,,,
23,Coleoptera,Agabetes,FALSE,NA,,NA,PR,SW,uni,GENE,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Laccophilinae,Agabetini,,Agabetes,,,,,
24,Coleoptera,Agabinae,FALSE,4,4_middle,3.927875757,PR,"SW,CB",uni,GENE,FALSE,FALSE,cowa,Cool-Warm,,19.3,18.98697305,22.212,,,NA,NA,,NA,NA,,728212,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,,,,,,,,
25,Coleoptera,Agabinus,FALSE,NA,,NA,PR,SW,uni,GENE,FALSE,FALSE,,,Less30,19.3,NA,NA,,,11,5,T,NA,NA,,112068,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabinus,,,,,
26,Coleoptera,Agabus,FALSE,4,4_middle,3.835838795,PR,SW,uni,GENE,FALSE,FALSE,cowa,Cool-Warm,,19.3,19.2482872,22.264,,,7,5,T,NA,NA,,111966,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabus,,,,,
27,Trichoptera,Agapetus,FALSE,3,,2.992869139,"SC,CG",CN,uni,LOTI,FALSE,FALSE,cowa,Cool-Warm,,19.5,19.44226464,22.33,,,2,0,F,5,5.9,,117121,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatoidea,Glossosomatidae,Agapetinae,,,Agapetus,,,,,
28,Diptera,Agathon,FALSE,3,,NA,SC,CN,uni,LOTI,FALSE,FALSE,,,Less30,20.1,NA,NA,,,11,0,F,NA,1.6,,121230,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Agathon,,,,,
29,Trichoptera,Agraylea,FALSE,2,,2.119366169,"PH,CG","CN,CB",uni,UN,TRUE,FALSE,cold,Cold,,14.9,15.0733353,18.857,,,2,8,F,NA,NA,,115635,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Spicipalpia,Hydroptiloidea,Hydroptilidae,Hydroptilinae,Hydroptilini,,Agraylea,,,,,
30,Trichoptera,Agraylea multipunctata,FALSE,5,,NA,"PH,CG","CB,CN",multi,GENE,FALSE,FALSE,,,,NA,NA,NA,,,2,8,F,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Spicipalpia,Hydroptiloidea,Hydroptilidae,Hydroptilinae,Hydroptilini,,Agraylea,,,,,multipunctata
31,Trichoptera,Agraylea saltesea,FALSE,2,,NA,"PH,CG","CB,CN",uni,LOTI,TRUE,FALSE,,,,NA,NA,NA,,,2,8,F,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Spicipalpia,Hydroptiloidea,Hydroptilidae,Hydroptilinae,Hydroptilini,,Agraylea,,,,,saltesea
32,Trichoptera,Agrypnia,FALSE,NA,,NA,"SH,MH","CB,SP",uni,LENT,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Phryganeoidea,Phryganeidae,,,,Agrypnia,,,,,
33,Acari,Albertathyas montana,FALSE,2,,NA,"PR,PA",UN,uni,LOTI,TRUE,FALSE,,,Less30,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Albertathyas,,,,,montana
34,Acari,Albia,FALSE,2,,NA,"PR,PA",UN,uni,GENE,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,Albia,,,,,
35,Polychaeta,Alitta succinea,FALSE,NA,,NA,UN,,UN,GENE,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Annelida,,Polychaeta,Errantia,Phyllodocida,,,Nereididae,,,,Alitta,,,,,succinea
36,Chironomidae,Allocladius,FALSE,NA,,NA,UN,UN,multi,GENE,TRUE,FALSE,,,Less30,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Allocladius,,,,,
37,Trichoptera,Allocosmoecus partitus,FALSE,3,,2.882529259,"SC,SH","SP,CN",uni,LOTI,TRUE,FALSE,cool,Cool,,16.8,17.02025575,20.46,,,11,0,F,NA,NA,,115969,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Limnephilidae,Dicosmoecinae,,,Allocosmoecus,,,,,partitus
38,Diptera,Allognosta,FALSE,4,4_middle,NA,CG,SP,multi,GENE,FALSE,FALSE,,,,21.8,NA,NA,,,11,NA,,NA,NA,,130160,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Stratiomyidae,Beridinae,,,Allognosta,,,,,
39,Trichoptera,Allomyia,FALSE,1i,,NA,"SC,MH","CN,BU",semi,LOTI,TRUE,FALSE,,,Less30,NA,NA,NA,,,11,0,F,NA,NA,,116438,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Apataniidae,,,,Allomyia,,,,,
40,Oligochaeta,Allonais,FALSE,NA,,NA,CG,"BU,SP",uni,GENE,FALSE,FALSE,,,,NA,NA,NA,,,1,4,F,NA,NA,,NA,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Allonais,,,,,
41,Plecoptera,Alloperla,FALSE,NA,,NA,"PR,SC,CG","CN,BU",uni,LOTI,FALSE,FALSE,,,Less30,NA,NA,NA,,,11,1,F,NA,NA,,103203,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Chloroperlidae,Chloroperlinae,,,Alloperla,,,,,
42,Chironomidae,Alotanypus,FALSE,5,,4.81114912,PR,"BU,SP",multi,GENE,FALSE,FALSE,warm,Warm,,20.8,20.8418904,24.193,,,8,6,F,NA,NA,T,206646,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Coelotanypodini,,Alotanypus,,,,,
43,Oligochaeta,Altmanella,FALSE,NA,,NA,CG,"BU,SP",uni,GENE,FALSE,FALSE,,,Less30,18.8,NA,NA,,,NA,NA,,NA,17,,974298,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Altmanella,,,,,
44,Hemiptera,Ambrysus,TRUE,NA,,NA,,,,,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Naucoridae,,,,Ambrysus,,,,,
45,Ephemeroptera,Ameletus,FALSE,3,,2.760185003,"SC,CG","SW,CN",uni,LOTI,FALSE,FALSE,cool,Cool,,15,14.95163018,20.01,Cool,,1,0,F,NA,9.2,U,100996,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Ameletidae,,,,Ameletus,,,,,
46,Acari,Ameribrachypoda,FALSE,2,,NA,"PR,PA",UN,uni,LOTI,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,Ameribrachypoda,,,,,
47,Crustacea,Americorophium,FALSE,NA,,NA,CG,BU,multi,LOTI,TRUE,FALSE,,,Less30,NA,NA,NA,,,11,NA,,NA,NA,,656484,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Corophiidae,,,,Americorophium,,,,,
48,Acari,Amerothyasella,FALSE,2,,NA,"PR,PA",UN,uni,LOTI,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Amerothyasella,,,,,
49,Coleoptera,Ametor,FALSE,3,,2.899915457,"PR,CG",CN,semi,GENE,TRUE,TRUE,cool,Cool,,18.7,17.62559042,21.38,,,11,5,T,NA,32.1,,112890,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Sperchopsini,,Ametor,,,,,
50,Ephemeroptera,Ametropus,FALSE,1i,,NA,"CF,CG","BU,SW",uni,LOTI,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,101074,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Ametropodidae,,,,Ametropus,,,,,
51,Trichoptera,Amiocentrus,FALSE,3,,2.857426167,"CG,SC,MH",CN,uni,LOTI,FALSE,FALSE,cowa,Cool-Warm,,19.3,19.26524638,22.374,,,11,1,F,5,5.7,,116933,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Brachycentridae,,,,Amiocentrus,,,,,
52,Oligochaeta,Amphichaeta,FALSE,NA,,NA,CG,"BU,SP",uni,GENE,FALSE,FALSE,,,,NA,NA,NA,,,1,4,F,NA,NA,,NA,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Amphichaeta,,,,,
53,Trichoptera,Amphicosmoecus canax,FALSE,NA,,NA,SH,"CB,SP",uni,GENE,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Limnephilidae,Dicosmoecinae,,,Amphicosmoecus,,,,,canax
54,Polychaeta,Amphicteis floridus,FALSE,NA,,NA,UN,,UN,GENE,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Annelida,,Polychaeta,Sedentaria,Terebellida,,,Ampharetidae,,,,Amphicteis,,,,,floridus
55,Crustacea,Amphipoda,FALSE,NA,,4.687583923,CG,SW,multi,GENE,FALSE,FALSE,,Warm,,NA,20.67083228,25.06,,yes,11,4,F,NA,NA,,93294,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,,,,,,,,,,,,
56,Coleoptera,Amphizoa,FALSE,1i,,NA,PR,CN,semi,LOTI,TRUE,FALSE,,,Less30,NA,NA,NA,,,NA,1,,NA,NA,,111953,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Amphizoidae,,,,Amphizoa,,,,,
57,Coleoptera,Ampumixis dispar,FALSE,2,,2.102625608,"CG,SC","CN,CB",semi,LOTI,FALSE,TRUE,cool,Cool,,18,17.89781861,20.694,,,11,4,F,20,6.3,,114196,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,Elminae,Elmini,,Ampumixis,,,,,dispar
58,Trichoptera,Anabolia,FALSE,NA,,NA,"SH,CG","CB,SP",uni,GENE,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Limnephilidae,Limnephilinae,,,Anabolia,,,,,
59,Coleoptera,Anacaena,FALSE,NA,,NA,"PR,CG",BU,uni,GENE,FALSE,FALSE,,,Less30,18.7,NA,NA,,,11,5,T,NA,32.1,,112878,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Anacaenini,,Anacaena,,,,,
60,Ephemeroptera,Anafroptilum/Procloeon,FALSE,3,,3.103220701,CG,"SW,CN",multi,LOTI,FALSE,FALSE,warm,Warm,,20.4,20.31843565,24.404,,,1,2,F,NA,11.9,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Anafroptilum/Procloeon,,,,,
61,Trichoptera,Anagapetus,FALSE,2,,2.149814844,SC,CN,uni,LOTI,TRUE,FALSE,cold,Cold,,14.4,14.41193666,18.47992367,,,11,0,F,5,7.2,,117154,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatoidea,Glossosomatidae,Glossosomatinae,Anagapetini,,Anagapetus,,,,,
62,Odonata,Anax,FALSE,NA,,NA,PR,"CB,SP",semi,LENT,FALSE,TRUE,,,Less30,20.5,NA,NA,,,11,8,F,NA,NA,,101597,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Anax,,,,,
63,Ephemeroptera,Anepeorus rusticus,FALSE,NA,,NA,PR,CN,uni,LOTI,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Anepeorus,,,,,rusticus
64,Diptera,Angarotipula,FALSE,NA,,NA,"SH,MH",BU,semi,LENT,TRUE,TRUE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Tipulidae,Tipulinae,,,Angarotipula,,,,,
65,Acari,Anisitsiellidae,FALSE,2,,NA,"PR,PA",UN,uni,LOTI,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Anisitsiellidae,,,,,,,,,
66,Crustacea,Anisogammaridae,FALSE,4,4_better,4.00966692,"CG,SH",SW,multi,LOTI,FALSE,FALSE,cowa,Cool-Warm,,19.9,19.79104836,21.958,,,NA,4,,NA,NA,,203113,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Anisogammaridae,,,,,,,,,
67,Crustacea,Anisogammarus pugettensis,FALSE,NA,,NA,"CG,SH",SW,multi,LOTI,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Anisogammaridae,,,,Anisogammarus,,,,,pugettensis
68,Odonata,Anisoptera,FALSE,NA,,3.575006485,PR,UN,UN,GENE,FALSE,FALSE,,Warm,,NA,20.29102018,24.52,,yes,11,NA,F,NA,NA,,101594,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,,,,,,,,,,
69,Mollusca,Anodonta,FALSE,2,,NA,CF,"BU,SP",semi,GENE,TRUE,TRUE,,,,21.8,NA,NA,,,NA,NA,,NA,NA,,79930,Animalia,Mollusca,,Bivalvia,Palaeoheterodonta,Unionoida,,,Unionidae,,,,Anodonta,,,,,
70,Diptera,Anopheles,FALSE,NA,,NA,CF,SW,multi,GENE,FALSE,FALSE,,,Less30,NA,NA,NA,,,11,8,T,NA,NA,,125956,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Culicidae,Anophelinae,,,Anopheles,,,,,
71,Ephemeroptera,Anthropotamus,FALSE,1i,,NA,CF,BU,uni,LOTI,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Potamanthidae,,,,Anthropotamus,,,,,
72,Diptera,Antocha,FALSE,4,4_middle,3.828157187,CG,CN,multi,LOTI,FALSE,FALSE,cowa,Cool-Warm,,19.4,19.29468343,22.8,Cool-Warm,,4,3,T,5,6.3,,119656,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limoniinae,,,Antocha,,,,,
73,Trichoptera,Apatania,FALSE,2,,2.195014,"SC,CG",CN,uni,GENE,TRUE,TRUE,cold,Cold,,16.9,16.99629756,19.858,,,2,3,F,10,7,,115935,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Apataniidae,Apataniinae,Apataniini,,Apatania,,,,,
74,Trichoptera,Apataniidae,FALSE,NA,,2.09467268,UN,UN,UN,UN,FALSE,FALSE,cold,Cold,,NA,16.66388255,19.74,,,11,3,F,NA,NA,,598182,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Apataniidae,,,,,,,,,
75,Chironomidae,Apedilum,FALSE,5,,4.599654198,CG,UN,multi,GENE,FALSE,FALSE,warm,Warm,,22.8,22.93779108,26.732,,,11,NA,F,NA,NA,T,206655,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Apedilum,,,,,
76,Mollusca,Aplexa elongata,FALSE,NA,,NA,"SC,CG","CN,SP",uni,GENE,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Mollusca,,Gastropoda,,Basommatophora,,,Physidae,,,,Aplexa,,,,,elongata
77,Ephemeroptera,Apobaetis,FALSE,NA,,NA,CG,"SW,CN",multi,LOTI,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,100936,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Apobaetis,,,,,
78,Crustacea,Apohyale,FALSE,NA,,NA,"CG,SH",SW,multi,LOTI,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Hyalellidae,,,,Apohyale,,,,,
79,Chironomidae,Apsectrotanypus,FALSE,NA,,NA,PR,"BU,SP",multi,GENE,TRUE,FALSE,,,Less30,NA,NA,NA,,,11,8,F,NA,NA,T,128021,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,,Apsectrotanypus,,,,,
80,Coleoptera,Apteraliplus parvulus,FALSE,NA,,NA,"MH,PH,PR","CN,CB,SW",uni,LENT,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Haliplidae,,,,Apteraliplus,,,,,parvulus
81,Hemiptera,Aquarius,TRUE,NA,,NA,,,,,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Gerridae,,,,Aquarius,,,,,
82,Hemiptera,Aquarius nyctalis,TRUE,NA,,NA,,,,,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Gerridae,,,,Aquarius,,,,,nyctalis
