,Taxon_Group,Taxon,NonTarget,BCG_attr,BCG_attr2,BCG_PredContScore,FFG,Habit,Life_Cycle,Habitat,Noteworthy,LONGLIVED,Thermal_indicator,ThermalPref_ALL,ThermTol_Less30,MTTI_WA.optima,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TolVal2,TolVal,Air,FSBI_2012,BSTI_WA.optima,Hemoglobin,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
1,Chironomidae,Aagaardia,FALSE,NA,,NA,UN,UN,multi,GENE,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Aagaardia,,,,,
2,Hemiptera,Abedus,FALSE,NA,,NA,PR,"SW,SP",uni,GENE,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Belostomatidae,Belostomatinae,,,Abedus,,,,,
3,Chironomidae,Abiskomyia,FALSE,NA,,NA,UN,UN,multi,GENE,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,128458,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Abiskomyia,,,,,
4,Chironomidae,Ablabesmyia,FALSE,4,4_worse,3.650743484,PR,SP,multi,GENE,FALSE,FALSE,warm,Warm,,21.4,21.52460115,25.945,,,3,8,F,NA,60.1,T,128079,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Ablabesmyia,,,,,
5,Chironomidae,Acalcarella,FALSE,NA,,NA,CG,BU,multi,GENE,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,129230,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Acalcarella,,,,,
6,Acari,Acalyptonotus,FALSE,2,,NA,"PR,PA",UN,uni,LENT,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,83508,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Acalyptonotidae,,,,Acalyptonotus,,,,,
7,Chironomidae,Acamptocladius,FALSE,NA,,NA,"CG,MH",BU,multi,LENT,FALSE,FALSE,,,,NA,NA,NA,,,11,NA,F,NA,NA,,128460,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Acamptocladius,,,,,
8,Acari,Acari,FALSE,NA,,3.984494686,"PR,PA",UN,uni,NA,FALSE,FALSE,,Eurythermal,,NA,17.9104217,22.397,,yes,5,5,F,NA,NA,,733321,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,,,,,,,,,,,,
9,Ephemeroptera,Acentrella,FALSE,4,4_middle,3.679972649,CG,"SW,CN",multi,LOTI,FALSE,FALSE,warm,Warm,,NA,20.11017415,24.913,,,11,4,F,5,NA,,100801,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,
10,Ephemeroptera,Acentrella insignificans,FALSE,4,4_middle,3.812254429,CG,"SW,CN",multi,LOTI,FALSE,FALSE,warm,Warm,,23.7,23.55654785,28.936,,,4,4,F,5,NA,,568572,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,insignificans
