Taxon_Orig,Modified,Rationale,OTU_BCG,OTU_IBI
Cyprinidae,no,,Cyprinidae,Cyprinidae
Cyprinidae hybrid,no,,Cyprinidae hybrid,Cyprinidae hybrid
Cyprinus carpio,no,,Cyprinus carpio,Cyprinus carpio
Cyrpinus carpio,no,,Cyprinus carpio,Cyprinus carpio
Dorosoma cepedianum,no,,Dorosoma cepedianum,Dorosoma cepedianum
eastern blacknose dace,yes,common to scientific name,Rhinichthys atratulus,Rhinichthys atratulus
Eastern Mosquitofish,yes,common to scientific name,Gambusia holbrooki,Gambusia holbrooki
Eastern mudminnow,yes,common to scientific name,Umbra pygmaea,Umbra pygmaea
Eastern silvery minnow,yes,common to scientific name,Hybognathus regius,Hybognathus regius
emerald shiner,yes,common to scientific name,Notropis atherinoides,Notropis atherinoides
Enneacanthus gloriosus,no,,Enneacanthus gloriosus,Enneacanthus gloriosus
Enneacanthus obesus,no,,Enneacanthus obesus,Enneacanthus obesus
Erimystax x-punctatus,no,,Erimystax x-punctatus,Erimystax x-punctatus
Erimyzon oblongus,no,,Erimyzon oblongus,Erimyzon oblongus
Esocidae,no,,Esocidae,Esocidae
Esox americanus americanus,no,,Esox americanus americanus,Esox americanus americanus
Esox hybrid,no,,Esox hybrid,Esox hybrid
Esox lucius,no,,Esox lucius,Esox lucius
Esox masquinongy,no,,Esox masquinongy,Esox masquinongy
Esox niger,no,,Esox niger,Esox niger
Etheostoma,no,,Etheostoma,Etheostoma
Etheostoma asprigene,no,,Etheostoma asprigene,Etheostoma asprigene
Etheostoma blennioides,no,,Etheostoma blennioides,Etheostoma blennioides
Etheostoma caeruleum,no,,Etheostoma caeruleum,Etheostoma caeruleum
Etheostoma chlorosomum,no,,Etheostoma chlorosomum,Etheostoma chlorosomum
Etheostoma exile,no,,Etheostoma exile,Etheostoma exile
Etheostoma flabellare,no,,Etheostoma flabellare,Etheostoma flabellare
Etheostoma fusiforme,no,,Etheostoma fusiforme,Etheostoma fusiforme
Etheostoma microperca,no,,Etheostoma microperca,Etheostoma microperca
Etheostoma nigrum,no,,Etheostoma nigrum,Etheostoma nigrum
Acantharchus pomotis,no,,Acantharchus pomotis,Acantharchus pomotis
Acipenser fulvescens,no,,Acipenser fulvescens,Acipenser fulvescens
Acipenseridae,no,,Acipenseridae,Acipenseridae
Alosa chrysochloris,no,,Alosa chrysochloris,Alosa chrysochloris
Alosa pseudoharengus,no,,Alosa pseudoharengus,Alosa pseudoharengus
Ambloplites rupestris,no,,Ambloplites rupestris,Ambloplites rupestris
Ameiurus,no,,Ameiurus,Ameiurus
Ameiurus catus,no,,Ameiurus catus,Ameiurus catus
Ameiurus melas,no,,Ameiurus melas,Ameiurus melas
Ameiurus natalis,no,,Ameiurus natalis,Ameiurus natalis
Ameiurus nebulosus,no,,Ameiurus nebulosus,Ameiurus nebulosus
American brook lamprey,yes,common to scientific name,Lethenteron appendix,Lethenteron appendix
American eel,yes,common to scientific name,Anguilla rostrata,Anguilla rostrata
Amia calva,no,,Amia calva,Amia calva
Amiidae,no,,Amiidae,Amiidae
Ammocrypta clara,no,,Ammocrypta clara,Ammocrypta clara
Anguilla rostrata,no,,Anguilla rostrata,Anguilla rostrata
Anguillidae,no,,Anguillidae,Anguillidae
Aphredoderidae,no,,Aphredoderidae,Aphredoderidae
Aphredoderus sayanus,no,,Aphredoderus sayanus,Aphredoderus sayanus
Aplodinotus grunniens,no,,Aplodinotus grunniens,Aplodinotus grunniens
Atherinidae,no,,Atherinidae,Atherinidae
Atlantic Salmon,yes,"common to scientific name, capitalization",Salmo salar,Salmo salar
Atlantic salmon,yes,"common to scientific name, capitalization",Salmo salar,Salmo salar
Banded darter,yes,"common to scientific name, capitalization",Etheostoma zonale,Etheostoma zonale
banded darter,yes,"common to scientific name, capitalization",Etheostoma zonale,Etheostoma zonale
Banded killifish,yes,"common to scientific name, capitalization",Fundulus diaphanus,Fundulus diaphanus
banded killifish,yes,"common to scientific name, capitalization",Fundulus diaphanus,Fundulus diaphanus
Banded sunfish,yes,common to scientific name,Enneacanthus obesus,Enneacanthus obesus
bigmouth buffalo,yes,common to scientific name,Ictiobus cyprinellus,Ictiobus cyprinellus
bigmouth shiner,yes,"common to scientific name, capitalization",Notropis dorsalis,Notropis dorsalis
Bigmouth Shiner,yes,"common to scientific name, capitalization",Notropis dorsalis,Notropis dorsalis
black buffalo,yes,common to scientific name,Ictiobus niger,Ictiobus niger
black bullhead,yes,common to scientific name,Ameiurus melas,Ameiurus melas
Black crappie,yes,"common to scientific name, capitalization",Pomoxis nigromaculatus,Pomoxis nigromaculatus
black crappie,yes,"common to scientific name, capitalization",Pomoxis nigromaculatus,Pomoxis nigromaculatus
black redhorse,yes,common to scientific name,Moxostoma duquesnei,Moxostoma duquesnei
blackchin shiner,yes,common to scientific name,Notropis heterodon,Notropis heterodon
Blacknose Dace,yes,common to scientific name,Rhinichthys obtusus,Rhinichthys obtusus
blacknose shiner,yes,common to scientific name,Notropis heterolepis,Notropis heterolepis
blackside darter,yes,"common to scientific name, capitalization",Percina maculata,Percina maculata
Blackside Darter,yes,"common to scientific name, capitalization",Percina maculata,Percina maculata
blue sucker,yes,common to scientific name,Cycleptus elongatus,Cycleptus elongatus
Bluegill,yes,"common to scientific name, capitalization",Lepomis macrochirus,Lepomis macrochirus
bluegill,yes,"common to scientific name, capitalization",Lepomis macrochirus,Lepomis macrochirus
Bluespotted sunfish,yes,common to scientific name,Enneacanthus gloriosus,Enneacanthus gloriosus
Bluntnose minnow,yes,"common to scientific name, capitalization",Pimephales notatus,Pimephales notatus
bluntnose minnow,yes,"common to scientific name, capitalization",Pimephales notatus,Pimephales notatus
bowfin,yes,common to scientific name,Amia calva,Amia calva
brassy minnow,yes,common to scientific name,Hybognathus hankinsoni,Hybognathus hankinsoni
Brook lamprey,yes,common to scientific name,Lampetra,Lampetra
brook silverside,yes,common to scientific name,Labidesthes sicculus,Labidesthes sicculus
brook stickleback,yes,common to scientific name,Culaea inconstans,Culaea inconstans
Brook trout,yes,"common to scientific name, capitalization",Salvelinus fontinalis,Salvelinus fontinalis
brook trout,yes,"common to scientific name, capitalization",Salvelinus fontinalis,Salvelinus fontinalis
Brown bullhead,yes,"common to scientific name, capitalization",Ameiurus nebulosus,Ameiurus nebulosus
brown bullhead,yes,"common to scientific name, capitalization",Ameiurus nebulosus,Ameiurus nebulosus
Brown trout,yes,"common to scientific name, capitalization",Salmo trutta,Salmo trutta
brown trout,yes,"common to scientific name, capitalization",Salmo trutta,Salmo trutta
bullhead minnow,yes,common to scientific name,Pimephales vigilax,Pimephales vigilax
burbot,yes,common to scientific name,Lota lota,Lota lota
Campostoma,no,,Campostoma,Campostoma
Campostoma anomalum,no,,Campostoma anomalum,Campostoma anomalum
Campostoma oligolepis,no,,Campostoma oligolepis,Campostoma oligolepis
Carassius auratus,no,,Carassius auratus,Carassius auratus
carmine shiner,yes,"common to scientific name, capitalization",Notropis percobromus,Notropis percobromus
Carmine shiner,yes,"common to scientific name, capitalization",Notropis percobromus,Notropis percobromus
Carpiodes,no,,Carpiodes,Carpiodes
Carpiodes carpio,no,,Carpiodes carpio,Carpiodes carpio
Carpiodes cyprinus,no,,Carpiodes cyprinus,Carpiodes cyprinus
Carpiodes velifer,no,,Carpiodes velifer,Carpiodes velifer
Catostomiidae,no,,Catostomiidae,Catostomiidae
Catostomus,no,,Catostomus,Catostomus
Catostomus catostomus,no,,Catostomus catostomus,Catostomus catostomus
Catostomus commersoni,yes,,Catostomus commersonii,Catostomus commersonii
Catostomus commersonii,no,,Catostomus commersonii,Catostomus commersonii
central mudminnow,yes,"common to scientific name, capitalization",Umbra limi,Umbra limi
Central Mudminnow,yes,"common to scientific name, capitalization",Umbra limi,Umbra limi
Central stoneroller,yes,"common to scientific name, capitalization",Campostoma anomalum,Campostoma anomalum
central stoneroller,yes,"common to scientific name, capitalization",Campostoma anomalum,Campostoma anomalum
Centrarchidae,no,,Centrarchidae,Centrarchidae
Centrarchus macropterus,no,,Centrarchus macropterus,Centrarchus macropterus
Chaenobryttus gulosus,yes,,Lepomis gulosus,Lepomis gulosus
Chain pickerel,yes,common to scientific name,Esox niger,Esox niger
Channel catfish,yes,"common to scientific name, capitalization",Ictalurus punctatus,Ictalurus punctatus
channel catfish,yes,"common to scientific name, capitalization",Ictalurus punctatus,Ictalurus punctatus
channel shiner,yes,common to scientific name,Notropis wickliffi,Notropis wickliffi
Checkered sculpin,yes,common to scientific name,Cottus,Cottus
chestnut lamprey,yes,common to scientific name,Ichthyomyzon castaneus,Ichthyomyzon castaneus
chinook salmon,yes,common to scientific name,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha
Chrosomus,no,,Chrosomus,Chrosomus
Chrosomus eos,no,change in nomenclature,Chrosomus eos,Chrosomus eos
Chrosomus hybrid,no,,Chrosomus hybrid,Chrosomus hybrid
Chrosomus neogaeus,no,change in nomenclature,Chrosomus neogaeus,Chrosomus neogaeus
Clinostomus elongatus,no,,Clinostomus elongatus,Clinostomus elongatus
Clinostomus funduloides,no,,Clinostomus funduloides,Clinostomus funduloides
Clupeidae,no,,Clupeidae,Clupeidae
Clupiidae,no,,Clupiidae,Clupiidae
coho salmon,yes,common to scientific name,Oncorhynchus kisutch,Oncorhynchus kisutch
Comely shiner,yes,common to scientific name,Notropis amoenus,Notropis amoenus
Common carp,yes,"common to scientific name, capitalization",Cyprinus carpio,Cyprinus carpio
common carp,yes,"common to scientific name, capitalization",Cyprinus carpio,Cyprinus carpio
Common shiner,yes,"common to scientific name, capitalization",Luxilus cornutus,Luxilus cornutus
Common Shiner,yes,"common to scientific name, capitalization",Luxilus cornutus,Luxilus cornutus
Coregonus artedi,no,,Coregonus artedi,Coregonus artedi
Coregonus clupeaformis,no,,Coregonus clupeaformis,Coregonus clupeaformis
Coregonus hoyi,no,,Coregonus hoyi,Coregonus hoyi
Coregonus kiyi,no,,Coregonus kiyi,Coregonus kiyi
Coregonus zenithicus,no,,Coregonus zenithicus,Coregonus zenithicus
Cottidae,no,,Cottidae,Cottidae
Cottus,no,,Cottus,Cottus
Cottus bairdi,yes,,Cottus bairdii,Cottus bairdii
Cottus bairdii,no,,Cottus bairdii,Cottus bairdii
Cottus cognatus,no,,Cottus cognatus,Cottus cognatus
Cottus girardi,no,,Cottus girardi,Cottus girardi
Cottus ricei,no,,Cottus ricei,Cottus ricei
