FinalID,NonTarget,Rank,FFG,FeedingGroupsCode,FeedGrpWt,HABIT,HABIT_MPCA,TolVal,TolVal2,LongLived,BCG_Attr_GP,BCG_Attr_RR,BCG_Cool_8,BCG_Cold_9,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,BenTaxaID,TSN,ParTSN
Baetisca,FALSE,Genus,CG,cg,,SP,spra,7.362346058,20.76920169,FALSE,4,4,3,3,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Carapacea,Baetiscidae,,,Baetisca,,,664,101494,101493
Baetiscidae,FALSE,Family,CG,cg,,SP,spra,,20.76920169,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Carapacea,Baetiscidae,,,,,,1805,101493,609498
Baetodes,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Baetodes,,,762,100938,100755
Banksiola,FALSE,Genus,SH,sh,,CB,clim,,,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Phryganeidae,Phryganeinae,,Banksiola,,,1217,115911,115867
Barbaetis,FALSE,Genus,CG,cg,,CN,clng,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Barbaetis,,,763,568560,100755
Basiaeschna,FALSE,Genus,PR,pr,PredE,CB,clim,,21.79648676,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Basiaeschna,,,901,101648,101596
Batracobdella,FALSE,Genus,,,,,,,,FALSE,,,,,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,Batracobdella,,,14,69358,69357
Beardius,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Beardius,,,350,206657,129229
Beloneuria,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Beloneuria,,,1005,102934,102914
Belostoma,FALSE,Genus,PR,pr,PredP,CB,clim,9.339166027,20.96218747,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Hemiptera,,Belostomatidae,Belostomatinae,,Belostoma,,,832,103684,103683
Belostomatidae,FALSE,Family,PR,pr,PredP,CB,clim,,20.9647955,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Hemiptera,,Belostomatidae,,,,,,830,103683,103358
Berosus,FALSE,Genus,MH,hb,PredP,SW,swim,,21.32339014,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Hydrophilidae,Hydrophilinae,Berosini,Berosus,,,245,112812,112811
Bethbilbeckia,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Macropelopiini,Bethbilbeckia,,,1514,128020,127994
Bezzia,FALSE,Genus,PR,pr,PredE,SP,spra,,20.35937493,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,Ceratopogoninae,Palpomyiini,Bezzia,,,330,127778,127774
Bezzia/Palpomyia,FALSE,Genus,PR,pr,PredE,SP,spra,6,19.0957733,FALSE,,,4,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,Ceratopogoninae,Palpomyiini,Bezzia/Palpomyia,,,331,,
Bidessonotus,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,Bidessini,Bidessonotus,,,132,112319,111963
Biomphalaria,FALSE,Genus,,,,,,,,FALSE,,,,,Mollusca,,Gastropoda,,Basommatophora,,Planorbidae,,,Biomphalaria,,,1358,76636,76591
Bithynia,FALSE,Genus,SC,sc,,CB,clim,,,FALSE,,,,,Mollusca,,Gastropoda,,Neotaenioglossa,,,,,Bithynia,,,,,
Bittacomorpha,FALSE,Genus,CG,cg,,BU,burr,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ptychopteridae,Bittacomorphinae,,Bittacomorpha,,,616,125765,125764
Bivalvia,FALSE,Class,CF,cf,,,,,,FALSE,,,4,4,Mollusca,,Bivalvia,,,,,,,,,,1311,79118,69458
Blepharicera,FALSE,Genus,SC,sc,,CN,clng,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Blephariceridae,Blepharicerinae,Blepharicerini,Blepharicera,,,320,121255,121229
Blephariceridae,FALSE,Family,SC,sc,,CN,clng,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Blephariceridae,,,,,,319,121227,121226
Boreonectes,FALSE,Genus,PR,pr,PredP,SW,swim,,,FALSE,,,,,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,,,Boreonectes,,,,,
Boyeria,FALSE,Genus,PR,pr,PredE,CB,clim,5.332414546,19.35491194,TRUE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Boyeria,,,903,101645,101596
Brachycentridae,FALSE,Family,CF,cf,,CN,clng,4.682205708,18.03853639,FALSE,3,,3,3,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Brachycentridae,,,,,,1139,116905,115095
Brachycentrus,FALSE,Genus,CF,cf,,CN,clng,5.139209986,17.78227915,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Brachycentridae,,,Brachycentrus,,,1140,116906,116905
Brachycera,FALSE,SubOrder,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,,,,,,,269,130052,118831
Brachycercinae,FALSE,Subfamily,CG,cg,,SP,spra,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Caenidae,Brachycercinae,,,,,,,
Brachycercus,FALSE,Genus,CG,cg,,SP,spra,,,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Caenidae,,,Brachycercus,,,671,101468,101467
Brachydeutera,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Ephydridae,Parydrinae,Hyadinini,Brachydeutera,,,292,147303,147297
Branchiobdellida,FALSE,Order,CG,cg,,CB,clim,,,FALSE,4,4,4,4,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Cambarincolidae,,,,,,26,69168,68422
Brechmorhoga,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Libellulidae,,,Brechmorhoga,,,948,101834,101797
Brillia,FALSE,Genus,SH,sh,,BU,burr,8.010669998,18.62097341,FALSE,4,4,3,3,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Brillia,,,475,128477,128457
Brundiniella,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Macropelopiini,Brundiniella,,,557,128026,128020
Bryophaenocladius,FALSE,Genus,CG,cg,,SP,spra,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Bryophaenocladius,,,477,128488,128457
Bryophaenocladius/Gymnometriocnemus,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Bryophaenocladius/Gymnometriocnemus,,,478,,
Buenoa,FALSE,Genus,PR,pr,PredP,SW,swim,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,,Notonectidae,Anisopinae,,Buenoa,,,1665,103583,717623
Bulimnaea,FALSE,Genus,SC,sc,,CB,clim,,,FALSE,4,4,,,Mollusca,,Gastropoda,,Basommatophora,,Lymnaeidae,,,Bulimnaea,,,1666,76532,76483
Caecidotea,FALSE,Genus,CG,cg,,SP,spra,8.234178385,19.18744252,FALSE,5,5,4,4,Arthropoda,Crustacea,Malacostraca,,Isopoda,Asellota,Asellidae,,,Caecidotea,,,1304,92686,92657
Caenidae,FALSE,Family,CG,cg,,SP,spra,,21.47364327,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Caenidae,,,,,,668,101467,101459
Caenis,FALSE,Genus,CG,cg,,SP,spra,8.793976558,21.47335989,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Caenidae,,,Caenis,,,672,101478,101467
Calamoceratidae,FALSE,Family,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,,Calamoceratidae,,,,,,1806,116529,115095
Callibaetis,FALSE,Genus,CG,cg,,SW,swim,10,21.6803325,FALSE,3,5,5,5,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Callibaetis,,,764,100903,100755
Callicorixa,FALSE,Genus,PR,pr,PredP,SW,swim,,,FALSE,5,5,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Corixidae,Corixinae,,Callicorixa,,,1667,103514,717520
Caloparyphus,FALSE,Genus,CG,cg,,SP,spra,,,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Stratiomyidae,Stratiomyinae,Oxycerini,Caloparyphus,,,305,130409,130408
Calopterygidae,FALSE,Family,PR,pr,PredE,CB,clim,5.849345177,20.60392443,FALSE,,,4,,Arthropoda,,Insecta,Pterygota,Odonata,Zygoptera,Calopterygidae,,,,,,958,102043,102042
Calopteryx,FALSE,Genus,PR,pr,PredE,CB,clim,5.028212539,20.41735829,TRUE,4,3,4,4,Arthropoda,,Insecta,Pterygota,Odonata,Zygoptera,Calopterygidae,,,Calopteryx,,,959,102052,102043
Cambaridae,FALSE,Family,CG,cg,,SP,spra,9.853335012,20.66297823,TRUE,,,,,Arthropoda,Crustacea,Malacostraca,,Decapoda,Pleocyemata,Cambaridae,,,,,,1386,97336,97306
Cambarinae,FALSE,Subfamily,,,,,,,,FALSE,,,,,Arthropoda,Crustacea,Malacostraca,,Decapoda,Pleocyemata,Cambaridae,Cambarinae,,,,,1387,650254,97336
Cambarus,FALSE,Genus,CG,cg,,SP,spra,6,,TRUE,,,,,Arthropoda,Crustacea,Malacostraca,,Decapoda,Pleocyemata,Cambaridae,Cambarinae,,Cambarus,,,1388,97337,97336
