FinalID,NonTarget,Rank,FFG,FeedingGroupsCode,FeedGrpWt,HABIT,HABIT_MPCA,TolVal,TolVal2,LongLived,BCG_Attr_GP,BCG_Attr_RR,BCG_Cool_8,BCG_Cold_9,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,TolVal_RBP,TolValSource,BenTaxaID,TSN,ParTSN
Curculionidae,FALSE,Family,SH,sh,,CN,clng,6,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Curculionidae,,,,,,6,WSA,194,114666,114654
Cylloepus,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,,Elmidae,,,Cylloepus,,,,RBP2 1999 (ID),154,114208,114093
Cymatia,FALSE,Genus,PR,pr,Herb,SW,swim,9,,FALSE,5,5,5,5,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Corixidae,Cymatiinae,,Cymatia,,,,,1684,103525,717521
Cymbiodyta,FALSE,Genus,CG,cg,PredP,BU,burr,5,,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Hydrophilidae,Hydrophilinae,Hydrophilini,Cymbiodyta,,,5,WSA,246,113017,112811
Cyphon,FALSE,Genus,SC,sc,,CB,clim,9.966821819,21.62639538,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Coleoptera,,Scirtidae,,,Cyphon,,,6,WSA,173,113948,113923
Cyrnellus,FALSE,Genus,CF,cf,,CN,clng,8,,FALSE,3,3,4,4,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Polycentropodidae,Polycentropodinae,,Cyrnellus,,,5,WSA,1127,117091,117043
Dannella,FALSE,Genus,CG,cg,,SW,swim,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,Dannella,,,2,USEPA 1990 Draft,682,101360,101232
Dasyhelea,FALSE,Genus,CG,cg,PredE,SP,spra,5.680908447,20.84957565,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,Dasyheleinae,,Dasyhelea,,,6,WSA,338,127278,127277
Decapoda,FALSE,Order,SH,sh,,,,8,,FALSE,,,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,,,,,,,,8,WSA,1297,95599,95495
Demicryptochironomus,FALSE,Genus,CG,cg,,BU,burr,1.960901384,19.00894519,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Demicryptochironomus,,,6,WSA,358,129421,129229
Dentatella,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,Dentatella,,,,,1469,609511,101232
Deronectes,FALSE,Genus,PR,pr,PredP,SW,swim,5,,FALSE,,,,,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,Hydroporini,Deronectes,,,5,WSA,136,112153,111963
Desmopachria,FALSE,Genus,PR,pr,PredP,SW,swim,10,23.71990105,FALSE,4,4,,,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,Hyphydrini,Desmopachria,,,4,WSA,137,112145,111963
Desserobdella,FALSE,Genus,PR,pr,PredS,,,,,FALSE,,,,,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Desserobdella,,,,,1779,555637,568849
Diamesa,FALSE,Genus,CG,cg,,SP,spra,5,,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Diamesinae,Diamesini,Diamesa,,,2,WSA,445,128355,128351
Diamesinae,FALSE,Subfamily,CG,cg,,SP,spra,5,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Diamesinae,,,,,5,WSA,444,128341,127917
Dibusa,FALSE,Genus,PR,pr,,CN,clng,6,,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Hydroptilidae,Hydroptilinae,,Dibusa,,,6,WSA,1251,115826,115629
Dicranomyia,FALSE,Genus,CG,cg,PredE,BU,burr,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,,,Dicranomyia,,,,,,,
Dicranota,FALSE,Genus,PR,pr,PredE,BU,burr,3.982912987,18.3091267,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Pediciini,Dicranota,,,4,WSA,654,121027,121026
Dicrotendipes,FALSE,Genus,CG,cg,,BU,burr,8.187571649,20.08406421,FALSE,5,5,5,5,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Dicrotendipes,,,8,WSA,359,129428,129229
Didymops,FALSE,Genus,PR,pr,PredE,SP,spra,4,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Corduliidae,Macromiinae,,Didymops,,,2,WSA,920,101851,101797
Dina,FALSE,Genus,PR,pr,PredO,SW,swim,8,,FALSE,,,,,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,Erpobdellidae,,,Dina,,,8,WSA,5,69439,69438
Dineutus,FALSE,Genus,PR,pr,PredP,SW,swim,5,,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Adephaga,Gyrinidae,,,Dineutus,,,5,WSA,184,112711,112653
Diphetor,FALSE,Genus,CG,cg,,CB,clim,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Diphetor,,,,RBP2 1999 (ID),768,568550,100755
Diplectrona,FALSE,Genus,CF,cf,,CN,clng,0,,FALSE,2,2,2,2,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Hydropsychidae,Diplectroninae,,Diplectrona,,,6,WSA,1060,115399,115398
