FinalID,NonTarget,Rank,FFG,FFGSource,Habit,HabitSource,TolVal,TolVal2,LongLived,BCG_Attr_GP,BCG_Attr_RR,BCG_Cool_8,BCG_Cold_9,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,TolVal_RBP,TolValSource,BenTaxaID,TSN,ParTSN
Abedus,FALSE,Genus,"CF,CG,PR",WSA,CB,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,,Belostomatidae,,,Abedus,,,,WSA,831,103717,103683
Ablabesmyia,FALSE,Genus,PR,WSA,SP,WSA,7.384246879,20.71612764,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,,,7,WSA,565,128079,128078
Ablabesmyia annulata,FALSE,Species,CG,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,,Ablabesmyia annulata,6,WSA,566,128081,128079
Ablabesmyia janta,FALSE,Species,CG,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,,Ablabesmyia janta,6,WSA,567,128093,128079
Ablabesmyia mallochi,FALSE,Species,CG,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,,Ablabesmyia mallochi,5,WSA,568,128097,128079
Acanthametropodidae,FALSE,Family,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Acanthametropodidae,,,,,,,,1799,568543,609500
Acanthametropus,FALSE,Genus,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Acanthametropodidae,,,Acanthametropus,,,,,1649,100987,568543
Acari,FALSE,SubClass,PR,WSA,CN,WSA,7,,FALSE,4,4,,,Arthropoda,,Arachnida,Acarina,,,,,,,,,7,WSA,73,,
Acariformes,FALSE,Order,PR,RBP2 1999,,WSA,,,FALSE,,,,,Arthropoda,,Arachnida,Acarina,Acariformes,,,,,,,,,WSA,75,690740,82754
Acentrella,FALSE,Genus,CG,WSA,SW,WSA,8.459705862,20.95682949,FALSE,4,4,3,3,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acentrella,,,4,WSA,744,100801,100755
Acentrella ampla,FALSE,Species,CG,Tt add in,SW,WSA,,,FALSE,,,3,3,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acentrella,,Acentrella ampla,,WSA,745,568571,100801
Acentrella insignificans,FALSE,Species,CG,WSA,SW,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acentrella,,Acentrella insignificans,4,WSA,746,568572,100801
Acentrella parvula,FALSE,Species,CG,Tt add in,SW,WSA,,,FALSE,,,3,3,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acentrella,,Acentrella parvula,,WSA,747,609530,100801
Acentrella turbida,FALSE,Species,CG,WSA,SW,WSA,,,FALSE,,,3,3,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acentrella,,Acentrella turbida,4,WSA,748,568574,100801
Acentrella/Baetis,FALSE,Genus,CG,Tt add in,,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acentrella/Baetis,,,,WSA,749,,
Acentria,FALSE,Genus,SH,WSA,CB,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Lepidoptera,Microlepidoptera,Pyralidae,Nymphulinae,Acentropini,Acentria,,,5,WSA,874,117741,117641
Acerpenna,FALSE,Genus,CG,WSA,SW,WSA,2.67697148,20.855872,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acerpenna,,,4,WSA,750,568546,100755
Acerpenna macdunnoughi,FALSE,Species,SH,WSA,SW,WSA,,,FALSE,,,3,3,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acerpenna,,Acerpenna macdunnoughi,3,WSA,751,568671,568546
Acerpenna pygmaea,FALSE,Species,"CG,SC",WSA,SW,WSA,2.67697148,,FALSE,,,3,3,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acerpenna,,Acerpenna pygmaea,4,WSA,752,206620,568546
Acilius,FALSE,Genus,PR,WSA,SW,WSA,,,FALSE,4,4,,,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Dytiscinae,Acyliini,Acilius,,,,WSA,131,112074,111963
Acricotopus,FALSE,Genus,,WSA,SP,WSA,4.045273247,20.163615,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Acricotopus,,,10,USEPA 1990 Draft,473,128463,128457
Acroneuria,FALSE,Genus,PR,WSA,CN,WSA,2.396699257,20.06524914,TRUE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,,,1,WSA,1009,102917,102914
Acroneuria abnormis,FALSE,Species,PR,WSA,CN,WSA,2.396699257,,TRUE,3,3,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,,Acroneuria abnormis,2,WSA,1010,102919,102917
Acroneuria carolinensis,FALSE,Species,PR,WSA,CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,,Acroneuria carolinensis,2,WSA,1011,102922,102917
Acroneuria evoluta,FALSE,Species,PR,USEPA 1990 Draft,CN,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,,Perlidae,,Acroneuriini,Acroneuria,,evoluta,,RBP2 1999 (OH),1458,102923,102917
Acroneuria frisoni,FALSE,Species,PR,Tt add in,CN,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,,Acroneuria frisoni,,WSA,1012,609897,102917
Acroneuria internata,FALSE,Species,PR,WSA,CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,,Acroneuria internata,2,WSA,1013,102925,102917
Acroneuria lycorias,FALSE,Species,PR,WSA,CN,WSA,2.396699257,,TRUE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,,Acroneuria lycorias,2,WSA,1014,102918,102917
Actinobdella,FALSE,Genus,,WSA,,WSA,,,FALSE,,,,,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Actinobdella,,,,WSA,12,69384,568848
Actinobdella inequiannulata,FALSE,Species,,,,,,,FALSE,,,,,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Actinobdella,,inequiannulata,,,1568,69386,69384
Aedes,FALSE,Genus,"CF,CG",WSA,SW,WSA,,20.66914505,FALSE,4,4,5,5,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Culicidae,Culicinae,Culicini,Aedes,,,8,WSA,599,126234,126233
Aeolosomatidae,FALSE,Family,CF,USEPA 1990 Draft,,,,,FALSE,,,,,Annelida,,Polychaeta,Polychaeta,Aeolosomatida,,Aeolosomatidae,,,,,,8,USEPA 1990 Draft,1459,68423,555668
Aeshna,FALSE,Genus,"CF,CG,PR",WSA,CB,WSA,7.991952888,19.17274319,TRUE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Aeshna,,,3,WSA,899,101603,101596
Aeshna interrupta,FALSE,Species,"CF,CG,PR",Tt add in,CB,Tt add in,,,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Aeshna,,interrupta,,,1650,185979,101603
Aeshna umbrosa,FALSE,Species,"CF,CG,PR",Tt add in,CB,Tt add in,7.991952888,,TRUE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Aeshna,,umbrosa,,,1651,101605,101603
Aeshna verticalis,FALSE,Species,"CF,CG,PR",Tt add in,CB,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Aeshna,,verticalis,,,1652,101607,101603
Aeshnidae,FALSE,Family,PR,WSA,"CB,CN",WSA,7.378822554,19.63543447,TRUE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,,,,4,WSA,898,101596,101595
Agabetes,FALSE,Genus,,,,,,,FALSE,,,,,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Laccophilinae,Agabetini,Agabetes,,,,,1653,112072,728236
Agabinae,FALSE,Subfamily,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,Agapetinae,,,,,,,,,
Agabini,FALSE,Tribe,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,Agapetinae,Agabini,,,,,,,,
Agabus,FALSE,Genus,PR,WSA,SW,WSA,,18.68385083,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,Agapetinae,Agabini,Agapetus,,,6,WSA,1233,111966,111963
Agapetus,FALSE,Genus,SC,WSA,CN,WSA,,,FALSE,3,3,2,2,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,Agapetinae,,Agapetus,,,2,WSA,1234,117121,117120
Agapetus avitus,FALSE,Species,SC,Tt add in,CN,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,Agapetinae,,Agapetus,,Agapetus avitus,,WSA,1235,117128,117121
Agarodes,FALSE,Genus,SH,WSA,SP,WSA,,19.72689864,FALSE,2,2,2,2,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Sericostomatidae,,,Agarodes,,,2,WSA,1222,116983,116982
Agarodes distinctus,FALSE,Species,SH,Tt add in,SP,Tt add in,,,FALSE,2,2,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Sericostomatidae,,,Agarodes,Agarodes (Psiloneura),distinctus,,,1654,116984,598764
Agarodes libalis,FALSE,Species,SH,Tt add in,SP,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Sericostomatidae,,,Agarodes,Agarodes (Psiloneura),libalis,2,WSA,1223,116991,116983
Agnetina,FALSE,Genus,PR,WSA,CN,WSA,,21.39529852,FALSE,3,3,2,2,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Perlinae,Perlini,Agnetina,,,0,WSA,1024,102975,102914
Agnetina capitata,FALSE,Species,PR,WSA,CN,WSA,,,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Perlinae,Perlini,Agnetina,,Agnetina capitata,1,WSA,1025,102979,102975
Agnetina flavescens,FALSE,Species,,WSA,CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Perlinae,Perlini,Agnetina,,Agnetina flavescens,0,WSA,1026,102984,102975
Agnetina/Paragnetina,FALSE,Genus,PR,WSA,CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Perlinae,Perlini,Agnetina/Paragnetina,,,2,WSA,1027,,
Agraylea,FALSE,Genus,"CF,CG",WSA,CB,WSA,8,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Hydroptilidae,Hydroptilinae,Hydroptilini,Agraylea,,,4,WSA,1245,115635,115629
Agrypnia,FALSE,Genus,SH,WSA,CB,WSA,,,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Phryganeidae,Phryganeinae,,Agrypnia,,,,WSA,1216,115882,115867
Alaimidae,FALSE,Family,,,,,,,FALSE,,,,,Nemata,,Adenophorea,Enoplia,Dorylaimida,,Alaimidae,,,,,,,,1800,63171,62921
Alaimus,FALSE,Genus,,WSA,,WSA,,,FALSE,,,,,Nemata,,Adenophorea,Enoplia,Dorylaimida,,Alaimidae,,,Alaimus,,,,WSA,1396,63186,63171
Alboglossiphonia,FALSE,Genus,,WSA,,WSA,,,FALSE,,,,,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Alboglossiphonia,,,,WSA,13,69388,568848
Alboglossiphonia heteroclita,FALSE,Species,,,,,,,FALSE,5,5,,,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Alboglossiphonia,,heteroclita,,,1655,69389,69388
Aleocharinae,FALSE,Subfamily,,WSA,,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Staphylinidae,Aleocharinae,,,,,,WSA,266,678470,113265
Alisotrichia,FALSE,Genus,,WSA,,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Hydroptilidae,Hydroptilinae,Leucotrichiini,Alisotrichia,,,,WSA,1246,181197,115398
Allocapnia,FALSE,Genus,SH,WSA,"SP,CN",WSA,,,FALSE,,,4,4,Arthropoda,,Insecta,Pterygota,Plecoptera,Euholognatha,Capniidae,Capniinae,,Allocapnia,,,1,WSA,975,102644,102643
Allocapnia vivipara,FALSE,Species,SH,USEPA 1990 Draft,"SP,CN",Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Euholognatha,Capniidae,Capniinae,,Allocapnia,,Allocapnia vivipara,3,USEPA 1990 Draft,976,102657,102644
Allocladius,FALSE,Genus,CG,,SP,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,,,Allocladius,,,,,,,
Allognosta,FALSE,Genus,CG,RBP2 1999,,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Stratiomyidae,Beridinae,,Allognosta,,,8,WSA,301,130160,130155
Alloperla,FALSE,Genus,PR,WSA,CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Chloroperlidae,Chloroperlinae,,Alloperla,,,1,WSA,996,103203,103202
Alluaudomyia,FALSE,Genus,PR,WSA,BU,WSA,,,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,Ceratopogoninae,Ceratopogonini,Alluaudomyia,,,6,WSA,323,127533,127526
Alotanypus,FALSE,Genus,,WSA,BU,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Macropelopiini,Alotanypus,,,,WSA,555,206646,127995
Ambrysus,FALSE,Genus,PR,RBP2 1999,CB,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Naucoridae,Ambrysinae,,Ambrysus,,,5,WSA,857,103614,103613
Ameletidae,FALSE,Family,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Ameletidae,,,,,,,,1801,568544,609500
Ameletus,FALSE,Genus,"CG,SC,SH",WSA,SW,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Ameletidae,,,Ameletus,,,1,WSA,742,100996,568544
Amercaenis,FALSE,Genus,SH,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Caenidae,,,Amercaenis,,,,WSA,669,568555,101467
Amercaenis ridens,FALSE,Species,CF,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Caenidae,,,Amercaenis,,Amercaenis ridens,4,WSA,670,568623,568555
Amnicola,FALSE,Genus,SC,WSA,CB,WSA,2.978880525,21.28269482,FALSE,3,4,4,4,Mollusca,,Gastropoda,,Neotaenioglossa,,Hydrobiidae,Amnicolinae,,Amnicola,,,8,WSA,1380,70747,70493
Amnicola limosus,FALSE,Species,SC,Tt add in,CB,Tt add in,,,FALSE,,,,,Mollusca,,Gastropoda,,Neotaenioglossa,,Hydrobiidae,Amnicolinae,,Amnicola,,Amnicola limosus,,WSA,1381,70748,70747
Amphiagrion,FALSE,Genus,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Zygoptera,Coenagrionidae,,,Amphiagrion,,,,,1656,102093,102077
Amphiagrion saucium,FALSE,Species,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Zygoptera,Coenagrionidae,,,Amphiagrion,,saucium,,,1657,102095,102093
Amphicosmoecus,FALSE,Genus,SH,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephilidae,Dicosmoecinae,,Amphicosmoecus,,,,WSA,1193,116253,115933
Amphinemura,FALSE,Genus,SH,WSA,"CN,SP",WSA,,,FALSE,3,3,2,2,Arthropoda,,Insecta,Pterygota,Plecoptera,Euholognatha,Nemouridae,Amphinemurinae,,Amphinemura,,,2,WSA,990,102540,102517
Amphipoda,FALSE,Order,CG,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,,,,,,,,5,WSA,1284,93294,89802
Ampullariidae,FALSE,Family,,,,,,,FALSE,,,,,Mollusca,,Gastropoda,Prosobranchia,Architaenioglossa,,Ampullariidae,,,,,,,,1802,70341,566847
Anabolia,FALSE,Genus,SH,RBP2 1999,SP,WSA,,,FALSE,3,3,4,4,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephilidae,Limnephilinae,Limnephilini,Anabolia,,,5,USEPA 1990 Draft,1201,115956,568768
Anacaena,FALSE,Genus,,WSA,BU,WSA,6.018877192,20.10787447,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Hydrophilidae,Hydrophilinae,Anacaenini,Anacaena,,,,WSA,244,112878,112811
Anacaena lutescens,FALSE,Species,,,BU,Tt addin,,,FALSE,,,4,4,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Hydrophilidae,,Anacaenini,Anacaena,,lutescens,,,1569,722306,112878
Anafroptilum,FALSE,Genus,,WSA,,,4.28747855,,FALSE,3,4,4,4,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Anafroptilum,,,2,WSA,1843,-63,100755
Anax,FALSE,Genus,PR,WSA,CN,WSA,8.129905262,21.54512643,TRUE,4,4,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Anax,,,5,WSA,900,101597,101596
Anax junius,FALSE,Species,PR,RBP2 1999,cb,RBP2 1999,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,,Aeshnidae,,,Anax,,junius,8,USEPA 1990 Draft,1546,101598,101597
Anchytarsus,FALSE,Genus,SH,WSA,CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Ptilodactylidae,Anchytarsinae,,Anchytarsus,,,4,WSA,262,114667,114666
Anchytarsus bicolor,FALSE,Species,SH,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Ptilodactylidae,Anchytarsinae,,Anchytarsus,,Anchytarsus bicolor,4,WSA,263,114668,114667
Ancylidae,FALSE,Family,SC,WSA,CB,WSA,,20.97305834,FALSE,,,,,Mollusca,,Gastropoda,,Basommatophora,,Ancylidae,,,,,,6,WSA,1337,76568,76437
Ancyronyx,FALSE,Genus,"CG,SC",WSA,CN,WSA,,20.48353808,FALSE,3,3,4,4,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Elmidae,,,Ancyronyx,,,4,WSA,203,114193,114093
Ancyronyx variegata,FALSE,Genus,"CG,SC",Tt add in,CN,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,,Elmidae,,,Ancyronyx,,,6,,1515,,
Ancyronyx variegatus,FALSE,Species,"CG,SC",Tt add in,CN,WSA,,,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Elmidae,,,Ancyronyx,,Ancyronyx variegatus,,RBP2 1999 (NC),204,114194,114193
Angarotipula,FALSE,Genus,,,BU,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,,,Angarotipula,,,,,,,
Anisitsiellidae,FALSE,Family,,WSA,,WSA,,,FALSE,,,,,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Anisitsiellidae,,,,,,,WSA,80,83531,82770
Anisocentropus,FALSE,Genus,SH,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Calamoceratidae,Anisocentropodinae,,Anisocentropus,,,1,WSA,1152,116530,116529
Anisocentropus pyraloides,FALSE,Species,SH,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Calamoceratidae,,,Anisocentropus,Anisocentropus (Anisocentropus),Anisocentropus pyraloides,1,WSA,1153,116531,116530
Anisoptera,FALSE,SubOrder,PR,WSA,,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,,,,,,,6,WSA,897,101594,101593
Annelida,FALSE,Phylum,CG,RBP2 1999,,WSA,,,FALSE,,,,,Annelida,,,,,,,,,,,,,WSA,1,64357,202423
Annulipalpia,FALSE,Family,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,,Annulipalpia,,,,,,,,1455,,115095
Anodonta,FALSE,Genus,CF,RBP2 1999,,WSA,,,FALSE,,,,,Mollusca,,Bivalvia,Palaeoheterodonta,Unionoida,,Unionidae,,,Anodonta,,,8,WSA,1328,79930,79913
Anodonta imbecillis,FALSE,Species,CF,Tt add in,,,,,FALSE,,,,,Mollusca,,Bivalvia,Palaeoheterodonta,Unionoida,,Unionidae,,,Anodonta,,Anodonta imbecillis,,,1412,79940,79930
Anopheles,FALSE,Genus,CF,WSA,SW,WSA,8.063837322,20.57359256,FALSE,4,4,5,5,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Culicidae,Anophelinae,,Anopheles,,,8,WSA,598,125956,125955
Anostraca,FALSE,Order,,WSA,,WSA,,,FALSE,,,,,Arthropoda,Crustacea,Malacostraca,Sarsostraca,Anostraca,,,,,,,,,WSA,1295,83688,83687
Anthopotamus,FALSE,Genus,CG,WSA,BU,WSA,8.952356182,22.2734439,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Potamanthidae,,,Anthopotamus,,,,RBP2 1999 (OH),738,568559,101509
Anthopotamus distinctus,FALSE,Species,CG,Tt add in,BU,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Potamanthidae,,,Anthopotamus,,Anthopotamus distinctus,,WSA,739,609659,568559
Anthopotamus myops,FALSE,Species,CG,Tt add in,BU,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Potamanthidae,,,Anthopotamus,,Anthopotamus myops,3,WSA,740,609660,568559
Anthopotamus neglectus,FALSE,Species,CG,Tt add in,BU,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Potamanthidae,,,Anthopotamus,,neglectus,,,1413,609661,568559
Anthopotamus verticis,FALSE,Species,CG,Tt add in,BU,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Potamanthidae,,,Anthopotamus,,Anthopotamus verticis,,WSA,741,609662,568559
Antichaeta,FALSE,Genus,,WSA,,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Sciomyzidae,Sciomyzinae,Tetanocerini,Antichaeta,,,,WSA,299,144771,144770
Antillocladius,FALSE,Genus,,WSA,BU,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Antillocladius,,,,WSA,474,128470,128457
Antocha,FALSE,Genus,CG,WSA,CN,WSA,4.074664697,18.1322289,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Limoniini,Antocha,,,4,WSA,650,119656,119655
Apatania,FALSE,Genus,PR,WSA,CN,WSA,,,FALSE,2,2,1,1,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Apataniidae,Apataniinae,Apataniini,Apatania,,,3,USEPA 1990 Draft,1137,115935,568765
Apatania incerta,FALSE,Species,PR,Tt add in,CN,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Apataniidae,,Apataniini,Apatania,,Apatania incerta,,WSA,1138,115938,115935
