Taxon orig,OTU_BCG_NortheastLakes_v1,modified_BCG,Slash,Questionable,Notes
Eunotia bidentula,Eunotia bidentula,no,,,
Eunotia bigibba,Eunotia bigibba,no,,,
Eunotia bigibba var. pumila,Eunotia bigibba var. pumila,no,,,
Eunotia bilunaris (Ehrenberg) Souza,Eunotia bilunaris,yes,,,
Eunotia bilunaris,Eunotia bilunaris,no,,,
Eunotia bilunaris var. linearis,Eunotia bilunaris var. linearis,no,,,
Eunotia boreoalpina,Eunotia boreoalpina,no,,,
Eunotia botuliformis,Eunotia botuliformis,no,,,
"Eunotia canicula Furey, Lowe et Johansen",Eunotia canicula,yes,,,
Eunotia canicula,Eunotia canicula,no,,,
Eunotia carolina,Eunotia carolina,no,,,
Eunotia carolina var. 1 PIRLA,Eunotia carolina var. 1 PIRLA,no,,,
Eunotia cataractarum,Eunotia cataractarum,no,,,
Eunotia cf. carolina NLS DME,Eunotia cf. carolina NLS DME,no,,,
Eunotia cf. pirla NLS DME,Eunotia cf. pirla NLS DME,no,,,
Eunotia charliereimeri,Eunotia charliereimeri,no,,,
Eunotia chelonia,Eunotia chelonia,no,,,
Eunotia circumborealis,Eunotia circumborealis,no,,,
Eunotia cisalpina,Eunotia cisalpina,no,,,
Eunotia compactarcus,Eunotia compactarcus,no,,,
Eunotia cristagalli,Eunotia cristagalli,no,,,
Eunotia curtagrunowii,Eunotia curtagrunowii,no,,,
Eunotia curvata,Eunotia curvata,no,,,
Eunotia curvata fo. bergii,Eunotia curvata fo. bergii,no,,,
Eunotia curvata var. capitata,Eunotia curvata var. capitata,no,,,
Eunotia curvata var. subarcuata,Eunotia curvata var. subarcuata,no,,,
Eunotia denticulata,Eunotia denticulata,no,,,
Eunotia serra var. diadema,Eunotia diadema,yes,,,
Eunotia diadema,Eunotia diadema,no,,,
Eunotia diodon,Eunotia diodon,no,,,
Eunotia elegans,Eunotia elegans,no,,,
Eunotia elena,Eunotia elena,no,,,
Eunotia flexuosa var. eurycephala,Eunotia eurycephala,yes,,,
Eunotia eurycephala,Eunotia eurycephala,no,,,
Eunotia exigua,Eunotia exigua,no,,,
Eunotia exigua var. bidens,Eunotia exigua var. bidens,no,,,
Eunotia exigua var. compacta,Eunotia exigua var. compacta,no,,,
Eunotia exigua var. tridentula,Eunotia exigua var. tridentula,no,,,
Eunotia vanheurckii,Eunotia faba,yes,,,
Eunotia faba,Eunotia faba,no,,,
Eunotia fallacoides,Eunotia fallacoides,no,,,
Eunotia fallax,Eunotia fallax,no,,,
Eunotia fallax var. gracillima,Eunotia fallax var. gracillima,no,,,
Eunotia flexuosa,Eunotia flexuosa,no,,,
Eunotia formica Ehrenberg,Eunotia formica,yes,,,
Eunotia formica,Eunotia formica,no,,,
Eunotia gallica Lange-Bertalot et Witkowski,Eunotia gallica,yes,,,
Eunotia gallica,Eunotia gallica,no,,,
Eunotia gibbosa,Eunotia gibbosa,no,,,
Eunotia glacialis,Eunotia glacialis,no,,,
Eunotia groenlandica,Eunotia groenlandica,no,,,
Eunotia hexaglyphis,Eunotia hexaglyphis,no,,,
Eunotia iatriaensis Foged,Eunotia iatriaensis,yes,,,
Eunotia iatriaensis,Eunotia iatriaensis,no,,,
"Eunotia implicata Nörpel, Alles et Lange-Bertalot",Eunotia implicata,yes,,,
Eunotia implicata,Eunotia implicata,no,,,
Eunotia incisa Smith ex Gregory,Eunotia incisa,yes,,,
Eunotia incisa sensu PIRLA,Eunotia incisa,yes,,,
Eunotia incisa,Eunotia incisa,no,,,
Eunotia incisa var. 1 PIRLA,Eunotia incisa var. 1 PIRLA,no,,,
Eunotia incisa var. 2 PIRLA,Eunotia incisa var. 2 PIRLA,no,,,
Eunotia incisa var. 4 PIRLA,Eunotia incisa var. 4 PIRLA,no,,,
Eunotia incisa var. 6 PIRLA,Eunotia incisa var. 6 PIRLA,no,,,
Eunotia incisa var. 8 PIRLA,Eunotia incisa var. 8 PIRLA,no,,,
Eunotia indica,Eunotia indica,no,,,
Eunotia intermedia,Eunotia intermedia,no,,,
Eunotia islandica,Eunotia islandica,no,,,
Eunotia kocheliensis,Eunotia kocheliensis,no,,,
Eunotia kruegeri,Eunotia kruegeri,no,,,
Eunotia kulikovskiyi,Eunotia kulikovskiyi,no,,,
Eunotia lapponica,Eunotia lapponica,no,,,
Eunotia latinasuta,Eunotia latinasuta,no,,,
Eunotia lunaris,Eunotia lunaris,no,,,
Eunotia lunaris var. attenuata,Eunotia lunaris var. attenuata,no,,,
Eunotia macroglossa,Eunotia macroglossa,no,,,
Eunotia maior,Eunotia maior,no,,,
Eunotia major,Eunotia major,no,,,
Eunotia meisteri,Eunotia meisteri,no,,,
Eunotia meisteri var. bidens,Eunotia meisteri var. bidens,no,,,
Eunotia meisteroides,Eunotia meisterioides,yes,,,
Eunotia meisterioides,Eunotia meisterioides,no,,,
Eunotia metamonodon Lange-Bertalot,Eunotia metamonodon,yes,,,
Eunotia metamonodon,Eunotia metamonodon,no,,,
Eunotia microcephala Krasske,Eunotia microcephala,yes,,,
Eunotia microcephala,Eunotia microcephala,no,,,
Eunotia microcephala var. tridentata,Eunotia microcephala var. tridentata,no,,,
Eunotia pectinalis var. minor,Eunotia minor,yes,,,
Eunotia minor (Kützing) Grunow,Eunotia minor,yes,,,
Eunotia minor,Eunotia minor,no,,,
Eunotia minor/Eunotia dorofeyukae,Eunotia minor/E. dorofeyukae,yes,yes,,
Eunotia minor/E. dorofeyukae,Eunotia minor/E. dorofeyukae,no,yes,,
Eunotia minutula,Eunotia minutula,no,,,
Eunotia monodon,Eunotia monodon,no,,,
Eunotia mucophila (Lange-Bertalot et Nörpel-Schempp) Lange-Bertalot,Eunotia mucophila,yes,,,
Eunotia mucophila,Eunotia mucophila,no,,,
Eunotia bilunaris var. mucophila,Eunotia mucophila,yes,,,
Eunotia muscicola var. tridentula,Eunotia muscicola var. tridentula,no,,,
Eunotia naegelii Migula,Eunotia naegelii,yes,,,
Eunotia naegelii,Eunotia naegelii,no,,,
Eunotia naegeli,Eunotia naegelii,yes,,,
Eunotia neocompacta var. vixcompacta,Eunotia neocompacta var. vixcompacta,no,,,
Eunotia neofallax,Eunotia neofallax,no,,,
Eunotia nivalis,Eunotia nivalis,no,,,
Eunotia novaeangliae,Eunotia novaeangliae,no,,,
Eunotia novascotica,Eunotia novascotica,no,,,
Eunotia nymanniana Grunow,Eunotia nymanniana,yes,,,
Eunotia nymanniana,Eunotia nymanniana,no,,,
Eunotia nymananniana,Eunotia nymanniana,yes,,,
Eunotia obtusinasuta,Eunotia obtusinasuta,no,,,
Eunotia paludosa,Eunotia paludosa,no,,,
Eunotia paludosa var. trinacria,Eunotia paludosa var. trinacria,no,,,
Eunotia pantropica,Eunotia pantropica,no,,,
Desmogonium rabenhorstianum var. elongatum,Eunotia pantropica,yes,,,
"Eunotia papilioforma Furey, Lowe et Johansen",Eunotia papilioforma,yes,,,
Eunotia papilioforma,Eunotia papilioforma,no,,,
Eunotia parallela,Eunotia parallela,no,,,
Eunotia pectinalis + vars.,Eunotia pectinalis,yes,,,
Eunotia pectinalis (Kützing) Rabenhorst,Eunotia pectinalis,yes,,,
Eunotia pectinalis,Eunotia pectinalis,no,,,
Eunotia pectinalis var. 4 PIRLA,Eunotia pectinalis var. 4 PIRLA,no,,,
Eunotia pectinalis var. undulata,Eunotia pectinalis var. undulata,no,,,
Eunotia pectinalis var. ventricosa,Eunotia pectinalis var. ventricosa,no,,,
Eunotia perpusilla,Eunotia perpusilla,no,,,
Eunotia pienitzii,Eunotia pienitzii,no,,,
Eunotia pirla Carter et Flower,Eunotia pirla,yes,,,
Eunotia pirla,Eunotia pirla,no,,,
Eunotia polydentula,Eunotia polydentula,no,,,
Eunotia praerupta Ehrenberg,Eunotia praerupta,yes,,,
Eunotia praerupta,Eunotia praerupta,no,,,
Eunotia praerupta var. monodon fo. polaris,Eunotia praerupta cf. var. monodon fo. polaris,yes,,,
Eunotia praerupta cf. var. monodon fo. polaris,Eunotia praerupta cf. var. monodon fo. polaris,no,,,
Eunotia praerupta cf. var. monodon f. polaris,Eunotia praerupta cf. var. monodon fo. polaris,yes,,,
Eunotia praerupta var. inflata,Eunotia praerupta var. inflata,no,,,
Eunotia praerupta var. muscicola,Eunotia praerupta var. muscicola,no,,,
Eunotia pseudogroenlandica,Eunotia pseudogroenlandica,no,,,
Eunotia punctastriatum,Eunotia punctastriata,yes,,,
Eunotia punctastriata,Eunotia punctastriata,no,,,
Eunotia quaternaria,Eunotia quaternaria,no,,,
Eunotia rabenhorstii,Eunotia rabenhorstii,no,,,
Eunotia reflexa fo. minores,Eunotia reflexa fo. minores,no,,,
Eunotia rhomboidea,Eunotia rhomboidea,no,,,
Eunotia rynchocephala,Eunotia rhynchocephala,yes,,,
Eunotia rhynchocephala,Eunotia rhynchocephala,no,,,
Eunotia romanowii,Eunotia romanowii,no,,,
Eunotia rostellata,Eunotia rostellata,no,,,
Eunotia satelles,Eunotia satelles,no,,,
Eunotia rhynchocephala var. satelles,Eunotia satelles,yes,,,
Eunotia septentrionalis,Eunotia septentrionalis,no,,,
Eunotia cf. septentrionalis,Eunotia septentrionalis,yes,,,
Eunotia serra,Eunotia serra,no,,,
Eunotia siolii,Eunotia siolii,no,,,
Eunotia soleirolii,Eunotia soleirolii,no,,,
Eunotia sp. 1 NE Lakes,Eunotia sp. 1 NE Lakes,no,,,
Eunotia sp. 1 NJSS DME,Eunotia sp. 1 NJSS DME,no,,,
Eunotia sp. 1 PIRLA,Eunotia sp. 1 PIRLA,no,,yes,Eunotia or Eunotia sp. # NE Lakes?
Eunotia sp. 1 VTEC Lakes,Eunotia sp. 1 VTEC Lakes,no,,,
Eunotia sp. 10 NE Lakes,Eunotia sp. 10 NE Lakes,no,,,
Eunotia sp. 10 PIRLA,Eunotia sp. 10 PIRLA,no,,,
Eunotia sp. 11 NE Lakes,Eunotia sp. 11 NE Lakes,no,,,
Eunotia sp. 11 PIRLA,Eunotia sp. 11 PIRLA,no,,,
Eunotia sp. 12 PIRLA,Eunotia sp. 12 PIRLA,no,,,
Eunotia sp. 13 NE Lakes,Eunotia sp. 13 NE Lakes,no,,,
Eunotia sp. 13 PIRLA,Eunotia sp. 13 PIRLA,no,,,
Eunotia sp. 14 NE Lakes,Eunotia sp. 14 NE Lakes,no,,,
Eunotia sp. 15 PIRLA,Eunotia sp. 15 PIRLA,no,,,
Eunotia sp. 16 NE Lakes,Eunotia sp. 16 NE Lakes,no,,,
Eunotia sp. 18 PIRLA,Eunotia sp. 18 PIRLA,no,,yes,Eunotia or Eunotia sp. # NE Lakes?
Eunotia sp. 19 PIRLA,Eunotia sp. 19 PIRLA,no,,,
Eunotia sp. 2 NE Lakes,Eunotia sp. 2 NE Lakes,no,,,
Eunotia sp. 2 NJSS DME,Eunotia sp. 2 NJSS DME,no,,,
Eunotia sp. 2 PIRLA,Eunotia sp. 2 PIRLA,no,,yes,Eunotia or Eunotia sp. # NE Lakes?
Eunotia sp. 2 VTEC Lakes,Eunotia sp. 2 VTEC Lakes,no,,,
Eunotia sp. 27 PIRLA,Eunotia sp. 27 PIRLA,no,,,
Eunotia sp. 3 NE Lakes,Eunotia sp. 3 NE Lakes,no,,,
Eunotia sp. 3 NJSS DME,Eunotia sp. 3 NJSS DME,no,,,
Eunotia sp. 30 PIRLA,Eunotia sp. 30 PIRLA,no,,,
Eunotia sp. 31 PIRLA,Eunotia sp. 31 PIRLA,no,,,
Eunotia sp. 35 PIRLA,Eunotia sp. 35 PIRLA,no,,,
Eunotia sp. 37 PIRLA,Eunotia sp. 37 PIRLA,no,,,
Eunotia sp. 38 PIRLA,Eunotia sp. 38 PIRLA,no,,,
Eunotia sp. 39 PIRLA,Eunotia sp. 39 PIRLA,no,,,
Eunotia sp. 4 NE Lakes,Eunotia sp. 4 NE Lakes,no,,,
Eunotia sp. 4 PIRLA,Eunotia sp. 4 PIRLA,no,,,
Eunotia sp. 40 PIRLA,Eunotia sp. 40 PIRLA,no,,,
Eunotia sp. 46 PIRLA,Eunotia sp. 46 PIRLA,no,,,
Eunotia sp. 48 PIRLA,Eunotia sp. 48 PIRLA,no,,yes,Eunotia or Eunotia sp. # NE Lakes?
Eunotia sp. 49 PIRLA,Eunotia sp. 49 PIRLA,no,,,
Eunotia sp. 5 NE Lakes,Eunotia sp. 5 NE Lakes,no,,,
Eunotia sp. 51 PIRLA,Eunotia sp. 51 PIRLA,no,,,
Eunotia sp. 52 PIRLA,Eunotia sp. 52 PIRLA,no,,,
Eunotia sp. 53 PIRLA,Eunotia sp. 53 PIRLA,no,,,
Eunotia sp. 54 PIRLA,Eunotia sp. 54 PIRLA,no,,,
Eunotia sp. 6 PIRLA,Eunotia sp. 6 PIRLA,no,,,
Eunotia sp. 7 NE Lakes,Eunotia sp. 7 NE Lakes,no,,,
Eunotia sp. 7 PIRLA,Eunotia sp. 7 PIRLA,no,,,
Eunotia sp. 8 NE Lakes,Eunotia sp. 8 NE Lakes,no,,,
Eunotia sp. 8 PIRLA,Eunotia sp. 8 PIRLA,no,,,
Eunotia sp. 9 NAWQA EAM,Eunotia sp. 9 NAWQA EAM,no,,,
Eunotia sp. 9 NE Lakes,Eunotia sp. 9 NE Lakes,no,,,
Eunotia steineckei,Eunotia steineckei,no,,,
Eunotia subarcuatoides,Eunotia subarcuatoides,no,,,
Eunotia subherkiniensis,Eunotia subherkiniensis,no,,,
Eunotia submonodon,Eunotia submonodon,no,,,
Eunotia sudetica,Eunotia sudetica,no,,,
Eunotia suecica,Eunotia suecica,no,,,
Eunotia superbidens Lange-Bertalot,Eunotia superbidens,yes,,,
Eunotia superbidens,Eunotia superbidens,no,,,
Eunotia tautoniensis,Eunotia tauntoniensis,yes,,,
Eunotia tauntoniensis,Eunotia tauntoniensis,no,,,
Eunotia tenella (Grunow) Hustedt,Eunotia tenella,yes,,,
Eunotia tenella,Eunotia tenella,no,,,
Eunotia tetraodon Ehrenberg,Eunotia tetraodon,yes,,,
Eunotia tetraodon,Eunotia tetraodon,no,,,
Eunotia tridentula,Eunotia tridentula,no,,,
Eunotia trinacria,Eunotia trinacria,no,,,
Eunotia trinacria var. undulata,Eunotia trinacria var. undulata,no,,,
Eunotia triodon,Eunotia triodon,no,,,
Eunotia ursamajoris,Eunotia ursamaioris,yes,,,
Eunotia ursamaioris Lange-Bertalot & Nörpel-Schempp,Eunotia ursamaioris,yes,,,
Eunotia ursamaioris,Eunotia ursamaioris,no,,,
Eunotia valida,Eunotia valida,no,,,
Eunotia vanheurckii var. intermedia,Eunotia vanheurckii var. intermedia,no,,,
Eunotia varioundulata,Eunotia varioundulata,no,,,
Eunotia weisingii,Eunotia weisingii,no,,,
Eunotia wiltschkorum,Eunotia wiltschkorum,no,,,
Eunotia yanomami,Eunotia yanomami,no,,,
Eunotia zasuminensis (Cabejszekowna) Körner,Eunotia zasuminensis,yes,,,
Eunotia zasuminensis,Eunotia zasuminensis,no,,,
Eunotia zygodon,Eunotia zygodon,no,,,
Fallacia,Fallacia,no,,,
Fallacia helensis,Fallacia helensis,no,,,
Fallacia indifferens,Fallacia indifferens,no,,,
Fallacia lenzii,Fallacia lenzii,no,,,
Fallacia monoculata,Fallacia monoculata,no,,,
Fallacia omissa,Fallacia omissa,no,,,
Fallacia pygmaea,Fallacia pygmaea,no,,,
Fallacia sp. 1 VTEC Lakes,Fallacia sp. 1 VTEC Lakes,no,,,
Fallacia subhamulata,Fallacia subhamulata,no,,,
Navicula sublucidula,Fallacia sublucidula,yes,,,
Navicula cf. sublucidula,Fallacia sublucidula,yes,,,
Fallacia sublucidula,Fallacia sublucidula,no,,,
Fallacia vitrea,Fallacia vitrea,no,,,
Navicula pelliculosa,Fistulifera pelliculosa,yes,,,
Fistulifera pelliculosa,Fistulifera pelliculosa,no,,,
Fragilaria spp. (small),Fragilaria,yes,,,
Fragilaria spp.,Fragilaria,yes,,,
Fragilaria sp. 7 ?,Fragilaria,yes,,,
Fragilaria sp. 6 ?,Fragilaria,yes,,,
Fragilaria sp. 5 ?,Fragilaria,yes,,,
Fragilaria sp. 4 ?,Fragilaria,yes,,,
Fragilaria sp. 3 ?,Fragilaria,yes,,,
Fragilaria sp. 2 ?,Fragilaria,yes,,,
Fragilaria sp. 1 ?,Fragilaria,yes,,,
Fragilaria sp. (girdle view),Fragilaria,yes,,,
Fragilaria sp.,Fragilaria,yes,,,
Fragilaria,Fragilaria,no,,,
Fragilaria alpestris,Fragilaria alpestris,no,,,
Synedra amphicephala,Fragilaria amphicephaloides,yes,,,
Fragilaria amphicephaloides,Fragilaria amphicephaloides,no,,,
Fragilaria amphicephala,Fragilaria amphicephaloides,yes,,,
Synedra amphicephala var. austriaca,Fragilaria austriaca,yes,,,
Fragilaria austriaca,Fragilaria austriaca,no,,,
Fragilaria brevistriata var. elliptica,Fragilaria brevistriata var. elliptica,no,,,
Fragilaria brevistriata var. trigona,Fragilaria brevistriata var. trigona,no,,,
Fragilaria capensis,Fragilaria capensis,no,,,
Fragilaria capucina Desmazières,Fragilaria capucina,yes,,,
Fragilaria capucina,Fragilaria capucina,no,,,
Fragilaria capucina var. fragilarioides,Fragilaria capucina var. fragilarioides,no,,,
Fragilaria capucina var. perminuta,Fragilaria capucina var. perminuta,no,,,
Fragilaria capucina var. rumpens,Fragilaria capucina var. rumpens,no,,,
Synedra cf. famelica,Fragilaria cf. famelica,yes,,,
Fragilaria cf. famelica,Fragilaria cf. famelica,no,,,
Fragilaria constricta var. tetranodis,Fragilaria constricta f. tetranodis,yes,,,
Fragilaria constricta f. tetranodis,Fragilaria constricta f. tetranodis,no,,,
Fragilaria constricta fo. stricta,Fragilaria constricta fo. stricta,no,,,
Fragilaria construens var. subsalina,Fragilaria construens var. subsalina,no,,,
Fragilaria construens var. trinodis,Fragilaria construens var. trinodis,no,,,
Fragilaria construens/F. brevistriata (girdle view),Fragilaria construens/F. brevistriata,yes,yes,,
Fragilaria construens/F. brevistriata,Fragilaria construens/F. brevistriata,no,yes,,
Fragilaria crotonensis Kitton,Fragilaria crotonensis,yes,,,
Fragilaria crotonensis,Fragilaria crotonensis,no,,,
Fragilaria crotonensis/F. amphicephala,Fragilaria crotonensis/F. amphicephala,no,yes,,
Synedra cyclopum,Fragilaria cycloplum,yes,,,
Fragilaria cycloplum,Fragilaria cycloplum,no,,,
Fragilaria demerarae,Fragilaria demerarae,no,,,
Fragilaria distans,Fragilaria distans,no,,,
Fragilaria exigua,Fragilaria exigua,no,,,
Fragilaria cf. exigua CODY,Fragilaria exigua,yes,,,
Synedra famelica,Fragilaria famelica,yes,,,
Fragilaria famelica,Fragilaria famelica,no,,,
Synedra filiformis,Fragilaria filiformis,yes,,,
Fragilaria filiformis,Fragilaria filiformis,no,,,
Synedra rumpens var. fragilarioides,Fragilaria fragilarioides,yes,,,
Fragilaria fragilarioides,Fragilaria fragilarioides,no,,,
Fragilaria gracilis Østrup,Fragilaria gracilis,yes,,,
Fragilaria gracilis,Fragilaria gracilis,no,,,
Fragilaria capucina var. gracilis,Fragilaria gracilis,yes,,,
Fragilaria heidenii,Fragilaria heidenii,no,,,
Synedra incisa,Fragilaria incisa,yes,,,
Fragilaria incisa,Fragilaria incisa,no,,,
Fragilaria lapponica,Fragilaria lapponica,no,,,
Fragilaria longifusiformis,Fragilaria longifusiformis,no,,,
Fragilaria mesolepta Rabenhorst,Fragilaria mesolepta,yes,,,
Fragilaria mesolepta,Fragilaria mesolepta,no,,,
Fragilaria capucina var. mesolepta,Fragilaria mesolepta,yes,,,
Fragilaria mesolepta/F. subconstricta,Fragilaria mesolepta/F. subconstricta,no,yes,,
Fragilaria microvaucheriae C.E.Wetzel & Ector,Fragilaria microvaucheriae,yes,,,
Fragilaria microvaucheriae,Fragilaria microvaucheriae,no,,,
Fragilaria nanana Lange-Bertalot,Fragilaria nanana,yes,,,
Fragilaria nanana,Fragilaria nanana,no,,,
"Fragilaria pararumpens Lange-Bertalot, G. Hofmann & Werum",Fragilaria pararumpens,yes,,,
Fragilaria pararumpens,Fragilaria pararumpens,no,,,
Fragilaria pectinalis,Fragilaria pectinalis,no,,,
Fragilaria perdelicatissima,Fragilaria perdelicatissima,no,,,
Fragilaria perminuta,Fragilaria perminuta,no,,,
Fragilaria pinnata var. acuminata,Fragilaria pinnata var. acuminata,no,,,
Fragilaria pinnata var. trigona,Fragilaria pinnata var. trigona,no,,,
Synedra radians,Fragilaria radians,yes,,,
Fragilaria radians,Fragilaria radians,no,,,
Fragilaria vaucheriae var. capitellata,Fragilaria recapitellata,yes,,,
Fragilaria recapitellata,Fragilaria recapitellata,no,,,
Synedra rumpens,Fragilaria rumpens,yes,,,
Fragilaria rumpens,Fragilaria rumpens,no,,,
Fragilaria saxoplanctonica Lange-Bertalot et Ulrich,Fragilaria saxoplanctonica,yes,,,
Fragilaria saxoplanctonica,Fragilaria saxoplanctonica,no,,,
Synedra rumpens var. scotica,Fragilaria scotica,yes,,,
Fragilaria scotica,Fragilaria scotica,no,,,
Fragilaria sepes,Fragilaria sepes,no,,,
Fragilaria sp. 1 NE Lakes,Fragilaria sp. 1 NE Lakes,no,,,
Fragilaria sp. 1 PIRLA,Fragilaria sp. 1 PIRLA,no,,,
Fragilaria sp. 11 NAWQA EAM,Fragilaria sp. 11 NAWQA EAM,no,,,
Fragilaria sp. 2 NE Lakes,Fragilaria sp. 2 NE Lakes,no,,,
Fragilaria sp. 2 PIRLA,Fragilaria sp. 2 PIRLA,no,,yes,Fragilaria or Fragilaria sp. # NE Lakes
Fragilaria sp. 3 NE Lakes,Fragilaria sp. 3 NE Lakes,no,,,
Fragilaria sp. 3 PIRLA,Fragilaria sp. 3 PIRLA,no,,,
Fragilaria sp. 4 NE Lakes,Fragilaria sp. 4 NE Lakes,no,,,
Fragilaria sp. 4 PIRLA,Fragilaria sp. 4 PIRLA,no,,,
Fragilaria sp. 5 NE Lakes,Fragilaria sp. 5 NE Lakes,no,,,
Fragilaria sp. 5 PIRLA,Fragilaria sp. 5 PIRLA,no,,,
Fragilaria sp. 6 PIRLA,Fragilaria sp. 6 PIRLA,no,,,
Fragilaria sp. 7 PIRLA,Fragilaria sp. 7 PIRLA,no,,,
Fragilaria sp. 8 PIRLA,Fragilaria sp. 8 PIRLA,no,,,
Fragilaria subconstricta Østrup,Fragilaria subconstricta,yes,,,
Fragilaria subconstricta,Fragilaria subconstricta,no,,,
Fragilaria suboldenburgiana,Fragilaria suboldenburgiana,no,,,
Fragilaria tenera (Smith) Lange-Bertalot,Fragilaria tenera,yes,,,
Fragilaria tenera,Fragilaria tenera,no,,,
Fragilaria vaucheriae (Kützing) Petersen,Fragilaria vaucheriae,yes,,,
Fragilaria vaucheriae,Fragilaria vaucheriae,no,,,
Fragilaria aff. vaucheriae EAM,Fragilaria vaucheriae,yes,,,
Fragilaria vaucheriae var. distans,Fragilaria vaucheriae var. distans,no,,,
Fragilaria virescens var. birostrata,Fragilaria virescens var. birostrata,no,,,
Fragilaria virescens var. oblongella,Fragilaria virescens var. oblongella,no,,,
Fragilaria virescens var. subsalina,Fragilaria virescens var. subsalina,no,,,
Fragilaria zeilleri,Fragilaria zeilleri,no,,,
Fragilaria zeilleri var. elliptica,Fragilaria zeilleri var. elliptica,no,,,
Fragilariforma sp.,Fragilariforma,yes,,,
Fragilariforma,Fragilariforma,no,,,
Fragilariforma acidobiontica (Charles) Williams et Round,Fragilariforma acidobiontica,yes,,,
Fragilariforma acidobiontica,Fragilariforma acidobiontica,no,,,
Fragilaria acidobiontica,Fragilariforma acidobiontica,yes,,,
Fragilariforma bicapitata (Mayer) Williams et Round,Fragilariforma bicapitata,yes,,,
Fragilariforma bicapitata,Fragilariforma bicapitata,no,,,
Fragilaria bicapitata,Fragilariforma bicapitata,yes,,,
Fragilariforma constricta (Ehrenberg) Williams et Round,Fragilariforma constricta,yes,,,
Fragilariforma constricta,Fragilariforma constricta,no,,,
Fragilaria constricta,Fragilariforma constricta,yes,,,
Fragilariforma constricta f. stricta,Fragilariforma constricta f. stricta,no,,,
Fragilariforma constricta var. trinodis,Fragilariforma constricta var. trinodis,no,,,
Fragilaria constricta var. trinodis,Fragilariforma constricta var. trinodis,yes,,,
Fragilaria constricta f. trinodis,Fragilariforma constricta var. trinodis,yes,,,
Fragilariforma constricta/Fragilariforma sp. 1 NE Lakes,Fragilariforma constricta/F. sp. 1 NE Lakes,yes,yes,,
Fragilariforma constricta/F. sp. 1 NE Lakes,Fragilariforma constricta/F. sp. 1 NE Lakes,no,yes,,
Fragilariforma constricta fo. stricta,Fragilariforma constricta/F. sp. 1 NE Lakes,yes,yes,,
Fragilariforma hungarica var. tumida,Fragilariforma hungarica var. tumida,no,,,
Fragilaria hungarica var. tumida,Fragilariforma hungarica var. tumida,yes,,,
Fragilariforma lata,Fragilariforma lata,no,,,
Fragilaria lata,Fragilariforma lata,yes,,,
Fragilariforma marylandica,Fragilariforma marylandica,no,,,
Fragilariforma neoproducta,Fragilariforma neoproducta,no,,,
Fragilariforma nitzschioides (Grunow) Lange-Bertalot,Fragilariforma nitzschioides,yes,,,
Fragilariforma nitzschioides,Fragilariforma nitzschioides,no,,,
Fragilaria nitzschioides,Fragilariforma nitzschioides,yes,,,
Fragilariforma polygonata,Fragilariforma polygonata,no,,,
Fragilaria polygonata,Fragilariforma polygonata,yes,,,
Fragilariforma sp. 1 NE Lakes,Fragilariforma sp. 1 NE Lakes,no,,,
Fragilariforma sp. 2 NE Lakes,Fragilariforma sp. 2 NE Lakes,no,,,
Fragilariforma sp. 3 NE Lakes,Fragilariforma sp. 3 NE Lakes,no,,,
Fragilariforma sp. 4 NE Lakes,Fragilariforma sp. 4 NE Lakes,no,,,
Fragilariforma sp. 5 NE Lakes,Fragilariforma sp. 5 NE Lakes,no,,,
Fragilariforma strangulata,Fragilariforma strangulata,no,,,
Fragilariforma virescens (Ralfs) Williams et Round,Fragilariforma virescens,yes,,,
Fragilariforma virescens,Fragilariforma virescens,no,,,
Fragilaria virescens var. 1 CP JF,Fragilariforma virescens,yes,,,
Fragilaria virescens var. 1,Fragilariforma virescens,yes,,,
Fragilaria virescens,Fragilariforma virescens,yes,,,
Fragilariforma virescens var. capitata,Fragilariforma virescens var. capitata,no,,,
Fragilaria virescens var. capitata,Fragilariforma virescens var. capitata,yes,,,
Frustulia sp. 2 ?,Frustulia,yes,,,
Frustulia sp. 1?,Frustulia,yes,,,
Frustulia sp. 1 ?,Frustulia,yes,,,
Frustulia,Frustulia,no,,,
Frustulia amphipleuroides,Frustulia amphipleuroides,no,,,
Frustulia bahlsii,Frustulia bahlsii,no,,,
Frustulia cf. magaliesmontana,Frustulia cf. magaliesmontana,no,,,
Frustulia rhomboides var. crassinervia,Frustulia crassinervia,yes,,,
Frustulia crassinervia (Brébisson) Lange-Bertalot et Krammer,Frustulia crassinervia,yes,,,
Frustulia crassinervia,Frustulia crassinervia,no,,,
Frustulia inculta,Frustulia inculta,no,,,
Frustulia krammeri,Frustulia krammeri,no,,,
Frustulia latita/Fr. vulgaris,Frustulia latita/F. vulgaris,yes,yes,,
Frustulia marginata,Frustulia marginata,no,,,
Frustulia pseudomagaliesmontana,Frustulia pseudomagaliesmontana,no,,,
Frustulia quadrisinuata,Frustulia quadrisinuata,no,,,
Frustulia rexii,Frustulia rexii,no,,,
Frustulia rhomboides vars.,Frustulia rhomboides,yes,,,
Frustulia rhomboides,Frustulia rhomboides,no,,,
Frustulia rhomboides var. amphipleuroides,Frustulia rhomboides var. amphipleuroides,no,,,
Frustulia rhomboides var. capitata,Frustulia rhomboides var. capitata,no,,,
Frustulia rhomboides var. viridula,Frustulia rhomboides var. viridula,no,,,
Frustulia saxonica,Frustulia saxonica,no,,,
Frustulia rhomboides var. saxonica,Frustulia saxonica,yes,,,
