Taxon orig,OTU_BCG_NortheastLakes_v1,modified_BCG,Slash,Questionable,Notes
Actinocyclus normanii,Actinocyclus normanii,no,,,
Actinocyclus normanii fo. subsalsus,Actinocyclus normanii fo. subsalsus,no,,,
Actinoptychus senarius,Actinoptychus senarius,no,,,
Adlafia sp. 1 SABINE MORALES,Adlafia,yes,,,
Adlafia,Adlafia,no,,,
Adlafia bryophila,Adlafia bryophila,no,,,
Adlafia detenta (Hust.) Heudre et al.,Adlafia detenta,yes,,,
Adlafia detenta,Adlafia detenta,no,,,
Adlafia minuscula,Adlafia minuscula,no,,,
Navicula muralis,Adlafia minuscula var. muralis,yes,,,
Adlafia minuscula var. muralis,Adlafia minuscula var. muralis,no,,,
Adlafia multnomahii,Adlafia multnomahii,no,,,
Adlafia sp. 1 NE Lakes,Adlafia sp. 1 NE Lakes,no,,,
Adlafia sp. 2 NE Lakes,Adlafia sp. 2 NE Lakes,no,,,
Adlafia sp. 3 NE Lakes,Adlafia sp. 3 NE Lakes,no,,,
Adlafia suchlandtii,Adlafia suchlandtii,no,,,
Amphipleura,Amphipleura,no,,,
Amphipleura pellucida (Kützing) Kützing,Amphipleura pellucida,yes,,,
Amphipleura pellucida,Amphipleura pellucida,no,,,
Amphipleura rutilans,Amphipleura rutilans,no,,,
Amphora spp.,Amphora,yes,,,
Amphora sp. 5 NAWQA EAM,Amphora,yes,,,
Amphora sp. 2 ?,Amphora,yes,,,
Amphora sp. 1?,Amphora,yes,,,
Amphora sp. 1 ANS WRC,Amphora,yes,,,
Amphora,Amphora,no,,,
Amphora aequalis,Amphora aequalis,no,,,
Amphora cimbrica,Amphora cimbrica,no,,,
Amphora copulata (Kützing) Schoeman et Archibald,Amphora copulata,yes,,,
Amphora copulata,Amphora copulata,no,,,
Amphora delphinea var. minor,Amphora delphinea var. minor,no,,,
Amphora eximia,Amphora eximia,no,,,
Amphora fogediana,Amphora fogediana,no,,,
Amphora inariensis Krammer,Amphora inariensis,yes,,,
Amphora inariensis,Amphora inariensis,no,,yes,might be Amphora pediculus but not enough certainty to change it
Amphora ovalis (Kützing) Kützing,Amphora ovalis,yes,,,
Amphora ovalis,Amphora ovalis,no,,,
Amphora ovalis var. affinis,Amphora ovalis var. affinis,no,,,
Halamphora perpusilla,Amphora pediculus,yes,,,
Amphora pediculus (Kützing) Grunow,Amphora pediculus,yes,,,
Amphora pediculus,Amphora pediculus,no,,,
Amphora ovalis var. pediculus,Amphora pediculus,yes,,,
Aneumastus,Aneumastus,no,,,
Aneumastus pseudotusculus,Aneumastus pseudotusculus,no,,,
Aneumastus tuscula,Aneumastus tusculus,no,,,
Aneumastus tusculus,Aneumastus tusculus,no,,,
Anomoeoneis spp.,Anomoeoneis,yes,,,
Anomoeoneis sp. 1 ?,Anomoeoneis,yes,,,
Anomoeoneis,Anomoeoneis,no,,,
Anomoeoneis brachysira,Anomoeoneis brachysira,no,,,
Anomoeoneis sculpta,Anomoeoneis sculpta,no,,,
Anomoeoneis serians var. acuta,Anomoeoneis serians var. acuta,no,,,
Anomoeoneis sp. 2 PIRLA,Anomoeoneis sp. 2 PIRLA,no,,,
Anomoeoneis sp. 3 PIRLA,Anomoeoneis sp. 3 PIRLA,no,,,
Anomoeoneis sphaerophora,Anomoeoneis sphaerophora,no,,,
Anomoeoneis zellensis fo. difficilis,Anomoeoneis zellensis fo. difficilis,no,,,
Astartiella bahusiensis,Astartiella bahusiensis,no,,,
Asterionalla ralfsii var. americana,Asterionalla ralfsii var. americana,no,,,
Asterionella spp.,Asterionella,yes,,,
Asterionella sp. 3?,Asterionella,yes,,,
Asterionella sp. 2?,Asterionella,yes,,,
Asterionella,Asterionella,no,,,
Asterionella formosa Hassall,Asterionella formosa,yes,,,
Asterionella formosa,Asterionella formosa,no,,,
Asterionella formosa var. gracillima,Asterionella formosa var. gracillima,no,,,
Asterionella ralfsii,Asterionella ralfsii,no,,,
Asterionella ralfsii var. americana,Asterionella ralfsii var. americana,no,,,
Asterionella ralfsii var. americana (<45 µm),Asterionella ralfsii var. americana (<45 µm),no,,,
Asterionella ralfsii var. americana (>45 µm),Asterionella ralfsii var. americana (>45 µm),no,,,
Aulacoseira spp.,Aulacoseira,yes,,,
Aulacoseira sp. 3,Aulacoseira,yes,,,
Aulacoseira sp. 2 ?,Aulacoseira,yes,,,
Aulacoseira sp. 1 ?,Aulacoseira,yes,,,
Aulacoseira nygaardii/Aulacoseira occulta/Aulacoseira imparis,Aulacoseira,yes,,,
Aulacoseira nygaardii/A. occulta/A. imparis,Aulacoseira,yes,,,
Aulacoseira italica subsp. subarctica f. tenussima,Aulacoseira,yes,,,
Aulacoseira,Aulacoseira,no,,,
Melosira distans var. alpigena,Aulacoseira alpigena,yes,,,
Aulacoseira alpigena,Aulacoseira alpigena,no,,,
Aulacoseira alpigena/Aulacoseira subborealis/Aulacoseira sp. 3 NE Lakes,Aulacoseira alpigena/A. subborealis/A. sp. 3 NE Lakes,no,yes,,
Melosira ambigua,Aulacoseira ambigua,yes,,,
Aulacoseira ambigua (Grunow) Simonsen,Aulacoseira ambigua,yes,,,
Aulacoseira ambigua,Aulacoseira ambigua,no,,,
Aulacoseira canadensis,Aulacoseira canadensis,no,,,
Aulacoseira cf. goetzeana,Aulacoseira cf. goetzeana,no,,,
Aulacoseira coroniformis,Aulacoseira coroniformis,no,,,
Aulacoseira crassipunctata,Aulacoseira crassipunctata,no,,,
Melosira crenulata,Aulacoseira crenulata,yes,,,
Aulacoseira crenulata,Aulacoseira crenulata,no,,,
Melosira distans vars.,Aulacoseira distans,yes,,,
Melosira distans,Aulacoseira distans,yes,,,
Aulacoseira distans,Aulacoseira distans,no,,,
Melosira distans var. africana,Aulacoseira distans var. Africana,yes,,,
Aulacoseira distans var. Africana,Aulacoseira distans var. Africana,no,,,
Melosira granulata,Aulacoseira granulata,yes,,,
Aulacoseira granulata (Ehrenberg) Simonsen,Aulacoseira granulata,yes,,,
Aulacoseira granulata,Aulacoseira granulata,no,,,
Aulacoseira granulata var. angustissima (Müller) Simonsen,Aulacoseira granulata var. angustissima,yes,,,
Aulacoseira granulata var. angustissima,Aulacoseira granulata var. angustissima,no,,,
Aulacoseira granulata var. valida,Aulacoseira granulata var. valida,no,,,
Aulacoseira herzogii,Aulacoseira herzogii,no,,,
Melosira distans var. humilis,Aulacoseira humilis,yes,,,
Aulacoseira humilis (Cleve-Euler) Genkal et Trifonova,Aulacoseira humilis,yes,,,
Aulacoseira humilis,Aulacoseira humilis,no,,,
Aulacoseira imparis,Aulacoseira imparis,no,,,
Melosira islandica,Aulacoseira islandica,yes,,,
Aulacoseira islandica,Aulacoseira islandica,no,,,
Melosira italica,Aulacoseira italica,yes,,,
Aulacoseira italica (Ehrenberg) Simonsen,Aulacoseira italica,yes,,,
Aulacoseira italica,Aulacoseira italica,no,,,
Aulacoseira italica var. tenuissima,Aulacoseira italica var. tenuissima,no,,,
Melosira lirata var. lacustris,Aulacoseira lacustris,yes,,,
Aulacoseira lacustris,Aulacoseira lacustris,no,,,
Aulacoseira cf. lacustris,Aulacoseira lacustris,yes,,,
Aulacoseira laevissima,Aulacoseira laevissima,no,,,
Melosira lirata,Aulacoseira lirata,yes,,,
Melosira distans var. lirata,Aulacoseira lirata,yes,,,
Aulacoseira lirata (Ehrenberg) Ross,Aulacoseira lirata,yes,,,
Aulacoseira lirata,Aulacoseira lirata,no,,,
Melosira lirata fo. biseriata,Aulacoseira lirata var. biseriata,yes,,,
Aulacoseira lirata var. biseriata,Aulacoseira lirata var. biseriata,no,,,
Aulacoseira muzzanensis,Aulacoseira muzzanensis,no,,,
Melosira distans var. nivalis,Aulacoseira nivalis,yes,,,
Aulacoseira nivalis (W. Smith) English et Potapova,Aulacoseira nivalis,yes,,,
Aulacoseira nivalis,Aulacoseira nivalis,no,,,
Aulacoseira distans var. nivalis,Aulacoseira nivalis,yes,,,
Melosira distans var. nivaloides,Aulacoseira nivaloides,yes,,,
Aulacoseira nivaloides (Camburn) English et Potapova,Aulacoseira nivaloides,yes,,,
Aulacoseira nivaloides,Aulacoseira nivaloides,no,,,
Aulacoseira distans var. nivaloides,Aulacoseira nivaloides,yes,,,
Melosira nygaardii,Aulacoseira nygaardii,yes,,,
Aulacoseira nygaardii (Camburn) Camburn et Charles,Aulacoseira nygaardii,yes,,,
Aulacoseira nygaardii,Aulacoseira nygaardii,no,,,
Melosira perglabra,Aulacoseira perglabra,yes,,,
Aulacoseira perglabra,Aulacoseira perglabra,no,,,
Melosira perglabra var. floriniae,Aulacoseira perglabra var. florinae,yes,,,
Aulacoseira perglabra var. floriniae,Aulacoseira perglabra var. florinae,yes,,,
Aulacoseira perglabra var. florinae,Aulacoseira perglabra var. florinae,no,,,
Aulacoseira pfaffiana,Aulacoseira pfaffiana,no,,,
Aulacoseira pseudoamericana,Aulacoseira pseudoamericana,no,,,
Aulacoseira pusilla (Meister) Tuji et Houki,Aulacoseira pusilla,yes,,,
Aulacoseira pusilla,Aulacoseira pusilla,no,,,
Aulacoseira solida,Aulacoseira solida,no,,,
Achnanthes solida,Aulacoseira solida,yes,,,
Aulacoseira sp. 1 NE Lakes,Aulacoseira sp. 1 NE Lakes,no,,,
Aulacoseira sp. 1 NLS EAM,Aulacoseira sp. 1 NLS EAM,no,,,
Aulacoseira sp. 1 VTEC Lakes,Aulacoseira sp. 1 VTEC Lakes,no,,,
Aulacoseira sp. 10 NE Lakes,Aulacoseira sp. 10 NE Lakes,no,,,
Aulacoseira sp. 11 NE Lakes,Aulacoseira sp. 11 NE Lakes,no,,,
Aulacoseira sp. 13 NE Lakes,Aulacoseira sp. 13 NE Lakes,no,,,
Aulacoseira sp. 2 NE Lakes,Aulacoseira sp. 2 NE Lakes,no,,yes,are the sp. 2 NE Lakes and sp. 2VTEC Lakes the same taxon?
Aulacoseira sp. 2 VTEC Lakes,Aulacoseira sp. 2 VTEC Lakes,no,,yes,are the sp. 2 NE Lakes and sp. 2VTEC Lakes the same taxon?
Aulacoseira sp. 3 NE Lakes,Aulacoseira sp. 3 NE Lakes,no,,,
Aulacoseira sp. 4 NE Lakes,Aulacoseira sp. 4 NE Lakes,no,,yes,are the sp. 2 NE Lakes and sp. 2VTEC Lakes the same taxon?
Aulacoseira sp. 4 VTEC Lakes,Aulacoseira sp. 4 VTEC Lakes,no,,yes,are the sp. 2 NE Lakes and sp. 2VTEC Lakes the same taxon?
Aulacoseira sp. 5 NE Lakes,Aulacoseira sp. 5 NE Lakes,no,,,
Aulacoseira sp. 501 NE Lakes,Aulacoseira sp. 501 NE Lakes,no,,,
Aulacoseira sp. 6 NE Lakes,Aulacoseira sp. 6 NE Lakes,no,,,
Aulacoseira sp. 7 NE Lakes,Aulacoseira sp. 7 NE Lakes,no,,,
Aulacoseira sp. 8 NE Lakes,Aulacoseira sp. 8 NE Lakes,no,,,
Aulacoseira sp. 9 NE Lakes,Aulacoseira sp. 9 NE Lakes,no,,,
Aulacoseira sp. 9 PIRLA,Aulacoseira sp. 9 PIRLA,no,,,
Melosira italica subsp. subarctica,Aulacoseira subarctica,yes,,,
Aulacoseira subarctica (Müller) Haworth,Aulacoseira subarctica,yes,,,
Aulacoseira subarctica,Aulacoseira subarctica,no,,,
Aulacoseira subborealis,Aulacoseira subborealis,no,,,
Melosira distans var. tenella,Aulacoseira tenella,yes,,,
Aulacoseira tenella (Nygaard) Simonsen,Aulacoseira tenella,yes,,,
Aulacoseira tenella,Aulacoseira tenella,no,,,
Aulacoseira valida (Grunow) Krammer,Aulacoseira valida,yes,,,
Aulacoseira valida,Aulacoseira valida,no,,,
Bacillaria paxillifera (O.F.Müller) T.Marsson,Bacillaria paxillifera,yes,,,
Bacillaria paxillifera,Bacillaria paxillifera,no,,,
Bacillaria paradoxa,Bacillaria paxillifera,yes,,,
Bacillariophyta undet. (pennate),Bacillariophyta,yes,,,
Bacillariophyta undet. (centric) sp. 1?,Bacillariophyta,yes,,,
Bacillariophyta,Bacillariophyta,no,,,
Brachysira spp.,Brachysira,yes,,,
Brachysira sp. 1?,Brachysira,yes,,,
Brachysira sp. 1 ?,Brachysira,yes,,,
Brachysira,Brachysira,no,,,
Brachysira apiculata,Brachysira apiculata,no,,,
Brachysira aponina,Brachysira aponina,no,,,
Brachysira brebissonii Ross,Brachysira brebissonii,yes,,,
Brachysira brebissonii,Brachysira brebissonii,no,,,
Anomoeoneis serians var. brachysira fo. thermalis,Brachysira brebissonii,yes,,,
Anomoeoneis serians var. brachysira,Brachysira brebissonii,yes,,,
Brachysira elliptica,Brachysira elliptica,no,,,
Brachysira follis (Ehrenberg) Ross,Brachysira follis,yes,,,
Brachysira follis,Brachysira follis,no,,,
Anomoeoneis follis,Brachysira follis,yes,,,
Brachysira garrensis,Brachysira garrensis,no,,,
