project,dir_results,filename,taxaid,calc,calc_taxaid,col_drop,taxaid_drop,metadata_filename,attributes_metadata_filename,attributes_filename,attributes_taxaid,ageclass_filename,ageclass_taxaid
Lower Boise BCG (Fish),BCG,LowerBoise_Fish_Taxa_Translator_20260508,Taxon_orig,BCG,OTU_BCG_v1,,DNI,LowerBoise_Fish_Taxa_Translator_Metadata_20260508,LowerBoise_Fish_Attributes_Metadata_20260508,LowerBoise_Fish_Attributes_20260508,TAXON,LowerBoise_Fish_AgeClass_20251222.csv,TAXAID
Lower Boise BCG (Bugs),BCG,LowerBoise_Bugs_Taxa_Translator_20260508,Taxon_orig,BCG,OTU_BCG_v1,,DNI,LowerBoise_Bugs_Taxa_Translator_Metadata_20260508,LowerBoise_Bugs_Attributes_Metadata_20260508,LowerBoise_Bugs_Attributes_20260508,Taxon,,
