Taxon_orig,OTU_BCG_v1,Modified_BCG_v1,Rationale_modifyBCG,OTU_FinerRezWorms,Taxon_group
Hyalella,Hyalella,no,,Hyalella,Crustacea
Hyalella azteca (scud),Hyalella,yes,backed off to genus,Hyalella,Crustacea
Hyalella sp.,Hyalella,yes,sp.,Hyalella,Crustacea
Hydra,Hydra,no,,Hydra,Misc. Phyla
Hydra sp.,Hydra,yes,sp.,Hydra,Misc. Phyla
Hydrachna,Acari,yes,mites collapsed to Acari,Hydrachna,Acari
Hydraena,Hydraenidae,yes,naming scheme,Hydraenidae,Coleoptera
Hydraena sp.,Hydraenidae,yes,sp.,Hydraenidae,Coleoptera
Hydraenidae,Hydraenidae,no,,Hydraenidae,Coleoptera
Hydrobaenus,Hydrobaenus,no,,Hydrobaenus,Chironomidae
Hydrobaenus sp.,Hydrobaenus,yes,sp.,Hydrobaenus,Chironomidae
Hydrobiidae,Truncatelloidea,yes,backed off to Truncatelloidea,Truncatelloidea,Mollusca
Hydrodroma,Acari,yes,mites collapsed to Acari,Hydrodroma,Acari
Hydrodroma sp.,Acari,yes,mites collapsed to Acari,Hydrodroma,Acari
Hydrophilidae,Hydrophilidae,no,,Hydrophilidae,Coleoptera
Hydroporinae,Hydroporinae,no,,Hydroporinae,Coleoptera
Hydroporus,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
Hydropsyche,Hydropsyche,no,,Hydropsyche,Trichoptera
Hydropsyche sp.,Hydropsyche,yes,sp.,Hydropsyche,Trichoptera
Hydropsychidae,Hydropsychidae,no,,Hydropsychidae,Trichoptera
Hydroptila,Hydroptila,no,,Hydroptila,Trichoptera
Hydroptila sp.,Hydroptila,yes,sp.,Hydroptila,Trichoptera
Hydroptilidae,Hydroptilidae,no,,Hydroptilidae,Trichoptera
Hydrosmittia,Hydrosmittia,no,,Hydrosmittia,Chironomidae
Hydrosmittia sp.,Hydrosmittia,yes,sp.,Hydrosmittia,Chironomidae
Hydrovolzia,Acari,yes,mites collapsed to Acari,Hydrovolzia,Acari
Hydrovolzia sp.,Acari,yes,mites collapsed to Acari,Hydrovolzia,Acari
Hydrovolziidae,Acari,yes,mites collapsed to Acari,Hydrovolzia,Acari
Hydrozoa,Hydra,yes,naming scheme,Hydra,Misc. Phyla
Hydryphantidae,Acari,yes,mites collapsed to Acari,Hydryphantidae,Acari
Hygrobates,Acari,yes,mites collapsed to Acari,Hygrobates,Acari
Hygrobates sp.,Acari,yes,mites collapsed to Acari,Hygrobates,Acari
Hygrobatidae,Acari,yes,mites collapsed to Acari,Hygrobatidae,Acari
Hygrobatidae ,Acari,yes,mites collapsed to Acari,Hygrobatidae,Acari
Ilyodrilus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Ilyodrilus templetoni,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Ironodes,Ironodes,no,,Ironodes,Ephemeroptera
Ironodes sp.,Ironodes,yes,sp.,Ironodes,Ephemeroptera
Isogenoides,Isogenoides,no,,Isogenoides,Plecoptera
Isogenoides sp.,Isogenoides,yes,sp.,Isogenoides,Plecoptera
Isoperla,Isoperla,no,,Isoperla,Plecoptera
Isoperla sp.,Isoperla,yes,sp.,Isoperla,Plecoptera
Iswaeon,Iswaeon,no,,Iswaeon,Ephemeroptera
Iswaeon anoka,Iswaeon,yes,backed off to genus,Iswaeon,Ephemeroptera
Kathroperla,Kathroperla,no,,Kathroperla,Plecoptera
Kathroperla sp.,Kathroperla,yes,sp.,Kathroperla,Plecoptera
Kincaidiana hexatheca,Oligochaeta,yes,worms to Oligochaeta,Lumbriculidae,Oligochaeta
Kogotus,Kogotus/Rickera,yes,Slashed taxon,Kogotus/Rickera,Plecoptera
Kogotus sp.,Kogotus/Rickera,yes,Slashed taxon,Kogotus/Rickera,Plecoptera
Kogotus/Rickera,Kogotus/Rickera,no,,Kogotus/Rickera,Plecoptera
Krenopelopia,Krenopelopia,no,,Krenopelopia,Chironomidae
Krenopelopia sp.,Krenopelopia,yes,sp.,Krenopelopia,Chironomidae
Krenosmittia,Krenosmittia,no,,Krenosmittia,Chironomidae
Krenosmittia sp.,Krenosmittia,yes,sp.,Krenosmittia,Chironomidae
Labiobaetis,Labiobaetis,no,,Labiobaetis,Ephemeroptera
Labrundinia,Labrundinia,no,,Labrundinia,Chironomidae
Labrundinia sp.,Labrundinia,yes,sp.,Labrundinia,Chironomidae
Laccobius,Hydrophilidae,yes,backed off to family,Hydrophilidae,Coleoptera
Laccobius sp.,Hydrophilidae,yes,backed off to family,Hydrophilidae,Coleoptera
Laccophilus,Laccophilus,no,,Laccophilus,Coleoptera
Laccophilus sp.,Laccophilus,yes,sp.,Laccophilus,Coleoptera
Lanx,Lanx,no,,Lanx,Mollusca
Lara,Lara,no,,Lara,Coleoptera
Lara avara,Lara,yes,backed off to genus,Lara,Coleoptera
Lara sp.,Lara,yes,sp.,Lara,Coleoptera
Larsia,Larsia,no,,Larsia,Chironomidae
Larsia sp.,Larsia,yes,sp.,Larsia,Chironomidae
Lebertia,Acari,yes,mites collapsed to Acari,Lebertia,Acari
Lebertia sp.,Acari,yes,mites collapsed to Acari,Lebertia,Acari
Lebertiidae,Acari,yes,mites collapsed to Acari,Lebertiidae,Acari
Lepidoptera,Lepidoptera,no,Lot of these are terrestrial,Lepidoptera,Lepidoptera
Lepidostoma,Lepidostoma,no,,Lepidostoma,Trichoptera
Lepidostoma sp.,Lepidostoma,yes,sp.,Lepidostoma,Trichoptera
Lepidostoma Unicolor Group,Lepidostoma,yes,best to leave at genus,Lepidostoma,Trichoptera
Lepidostoma-turret case larvae,Lepidostoma,yes,best to leave at genus,Lepidostoma,Trichoptera
Leptoceridae,Leptoceridae,no,,Leptoceridae,Trichoptera
Leptohyphidae,Leptohyphidae,no,,Leptohyphidae,Ephemeroptera
Leptophlebiidae,Leptophlebiidae,no,,Leptophlebiidae,Ephemeroptera
Leptophlebiinae,Leptophlebiidae,yes,backed off to family,Leptophlebiidae,Ephemeroptera
Lestes,Lestes,no,,Lestes,Odonata
Lestes sp.,Lestes,yes,sp.,Lestes,Odonata
Leucotrichia,Leucotrichia,no,,Leucotrichia,Trichoptera
Leucotrichia sp.,Leucotrichia,yes,sp.,Leucotrichia,Trichoptera
Leuctridae,Leuctridae,no,,Leuctridae,Plecoptera
Libellula,Libellulidae,yes,backed off to family,Libellulidae,Odonata
Libellulidae,Libellulidae,no,,Libellulidae,Odonata
Limnebius sp.,Hydraenidae,yes,sp.,Hydraenidae,Coleoptera
Limnephilidae,Limnephilidae,no,,Limnephilidae,Trichoptera
Limnephilus,Limnephilus,no,,Limnephilus,Trichoptera
Limnephilus sp.,Limnephilus,yes,sp.,Limnephilus,Trichoptera
Limnesia,Acari,yes,mites collapsed to Acari,Limnesia,Acari
Limnesia sp.,Acari,yes,mites collapsed to Acari,Limnesia,Acari
Limnesiidae,Acari,yes,mites collapsed to Acari,Limnesiidae,Acari
Limnodrilus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Limnodrilus claparedeianus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Limnodrilus hoffmeisteri,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Limnodrilus silvani,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Limnodrilus udekemianus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Limnophila,Eloeophila,yes,nomenclature,Eloeophila,Diptera
Limnophila sp.,Eloeophila,yes,nomenclature,Eloeophila,Diptera
Limnophora,Muscidae,yes,backed off to family,Muscidae,Diptera
Limnophyes,Limnophyes,no,,Limnophyes,Chironomidae
Limnophyes sp.,Limnophyes,yes,sp.,Limnophyes,Chironomidae
Limonia,Dicranomyia,yes,nomenclature,Dicranomyia,Diptera
Limonia sp.,Dicranomyia,yes,nomenclature,Dicranomyia,Diptera
Limoniidae,Limoniidae,no,,Limoniidae,Diptera
Liodessus,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
Liodessus sp.,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
Lopescladius,Lopescladius,no,,Lopescladius,Chironomidae
Lopescladius sp.,Lopescladius,yes,sp.,Lopescladius,Chironomidae
Lumbricidae,DNI,yes,Mostly Terrestrial,DNI,
Lumbricina,DNI,yes,Mostly Terrestrial,DNI,
Lumbriculidae,Oligochaeta,yes,worms to Oligochaeta,Lumbriculidae,Oligochaeta
Lymnaea stagnalis,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Lymnaeidae,Lymnaeidae,no,,Lymnaeidae,Mollusca
Lymnaidae,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Maccaffertium,Maccaffertium,no,,Maccaffertium,Ephemeroptera
Maccaffertium terminatum,Maccaffertium,yes,backed off to genus,Maccaffertium,Ephemeroptera
Maccaffertium/Stenonema,Maccaffertium/Stenonema,no,,Maccaffertium/Stenonema,Ephemeroptera
Macromia,Macromia,no,,Macromia,Odonata
Macromia (emeralds),Macromia,yes,naming scheme,Macromia,Odonata
Macropelopia,Macropelopia,no,,Macropelopia,Chironomidae
Macropelopia sp.,Macropelopia,yes,sp.,Macropelopia,Chironomidae
Macropelopiini,Macropelopiini,no,,Macropelopiini,Chironomidae
Malenka,Malenka,no,,Malenka,Plecoptera
Malenka sp.,Malenka,yes,sp.,Malenka,Plecoptera
Margaritifera,Margaritifera falcata,yes,monotypic,Margaritifera falcata,Mollusca
Margaritifera falcata,Margaritifera falcata,no,,Margaritifera falcata,Mollusca
Maruina,Maruina,no,,Maruina,Diptera
Maruina sp.,Maruina,yes,sp.,Maruina,Diptera
Matriella,Matriella teresa,yes,monotypic,Matriella teresa,Ephemeroptera
Matriella teresa,Matriella teresa,no,,Matriella teresa,Ephemeroptera
Mayatrichia,Mayatrichia,no,"Mayatrichia ayama may not be the only species found in the PNW, as several other species are currently known to occur as far north as NV/UT/WY.",Mayatrichia,Trichoptera
Mayatrichia sp.,Mayatrichia,yes,sp.,Mayatrichia,Trichoptera
Megadrile,DNI,yes,Terrestrial,DNI,
Megaleuctra,Megaleuctra,no,,Megaleuctra,Plecoptera
Megaleuctra sp.,Megaleuctra,yes,sp.,Megaleuctra,Plecoptera
Megarcys,Megarcys,no,,Megarcys,Plecoptera
Megarcys sp.,Megarcys,yes,sp.,Megarcys,Plecoptera
Menetus,Menetus,no,,Menetus,Mollusca
Menetus opercularis,Menetus,yes,backed off to genus,Menetus,Mollusca
Meringodixa,Meringodixa,no,,Meringodixa,Diptera
Meringodixa chalonensis,Meringodixa,yes,backed off to genus,Meringodixa,Diptera
Meringodixa sp.,Meringodixa,yes,sp.,Meringodixa,Diptera
Meropelopia sp.,Thienemannimyia Group,yes,nomenclature,Thienemannimyia Group,Chironomidae
Mesobates,Acari,yes,mites collapsed to Acari,Mesobates,Acari
Mesobates sp.,Acari,yes,mites collapsed to Acari,Mesobates,Acari
Mesocricotopus,Mesocricotopus,no,,Mesocricotopus,Chironomidae
Mesocricotopus sp.,Mesocricotopus,yes,sp.,Mesocricotopus,Chironomidae
Metriocnemus,Metriocnemus,no,,Metriocnemus,Chironomidae
Metriocnemus sp.,Metriocnemus,yes,sp.,Metriocnemus,Chironomidae
Micrasema,Micrasema,no,,Micrasema,Trichoptera
Micrasema sp.,Micrasema,yes,sp.,Micrasema,Trichoptera
Microcylloepus,Microcylloepus,no,,Microcylloepus,Coleoptera
Microcylloepus sp.,Microcylloepus,yes,sp.,Microcylloepus,Coleoptera
Micropsectra,Micropsectra,no,,Micropsectra,Chironomidae
Micropsectra sp.,Micropsectra,yes,sp.,Micropsectra,Chironomidae
Microtendipes,Microtendipes,no,,Microtendipes,Chironomidae
Microtendipes Pedellus gr.,Microtendipes Pedellus Group,yes,FORMATTING,Microtendipes Pedellus Group,Chironomidae
Microtendipes pedellus group,Microtendipes Pedellus Group,yes,CAPs,Microtendipes Pedellus Group,Chironomidae
Microtendipes Rydalensis Gr.,Microtendipes Rydalensis Group,yes,FORMATTING,Microtendipes Rydalensis Group,Chironomidae
Microtendipes Rydalensis Group,Microtendipes Rydalensis Group,no,,Microtendipes Rydalensis Group,Chironomidae
Microtendipes sp.,Microtendipes,yes,sp.,Microtendipes,Chironomidae
Mideopsidae,Acari,yes,mites collapsed to Acari,Mideopsidae,Acari
Mideopsis,Acari,yes,mites collapsed to Acari,Mideopsis,Acari
Mideopsis sp.,Acari,yes,mites collapsed to Acari,Mideopsis,Acari
Molophilus,Molophilus,no,,Molophilus,Diptera
Molophilus sp.,Molophilus,yes,sp.,Molophilus,Diptera
Monatractides,Acari,yes,mites collapsed to Acari,Monatractides,Acari
Monodiamesa,Monodiamesa,no,,Monodiamesa,Chironomidae
Monodiamesa sp.,Monodiamesa,yes,sp.,Monodiamesa,Chironomidae
Monophylax mono,Monophylax mono,no,,Monophylax mono,Trichoptera
Moselia,Moselia,no,,Moselia,Plecoptera
Moselia sp.,Moselia,yes,sp.,Moselia,Plecoptera
Muscidae,Muscidae,no,,Muscidae,Diptera
Musculium,Musculium/Sphaerium,yes,Slashed taxon,Musculium/Sphaerium,Mollusca
Musculium sp.,Musculium/Sphaerium,yes,Slashed taxon,Musculium/Sphaerium,Mollusca
Musculium/Sphaerium,Musculium/Sphaerium,no,,Musculium/Sphaerium,Mollusca
Mystacides,Mystacides,no,,Mystacides,Trichoptera
Mystacides alafimbriata,Mystacides,yes,backed off to genus,Mystacides,Trichoptera
Mystacides sp.,Mystacides,yes,sp.,Mystacides,Trichoptera
Naididae,Oligochaeta,yes,worms to Oligochaeta,Naididae,Oligochaeta
Naidinae,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Nais,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Nais barbata,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Nais behningi,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Nais bicuspidalis,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Nais bretscheri,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Nais elinguis,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Nais pardalis,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Nais sp.,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Nais variabilis,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Nanocladius,Nanocladius,no,,Nanocladius,Chironomidae
Nanocladius sp.,Nanocladius,yes,sp.,Nanocladius,Chironomidae
Narpus,Narpus,no,,Narpus,Coleoptera
Narpus concolor,Narpus,yes,backed off to genus,Narpus,Coleoptera
Narpus sp.,Narpus,yes,sp.,Narpus,Coleoptera
Natarsia,Natarsia,no,,Natarsia,Chironomidae
Natarsia sp.,Natarsia,yes,sp.,Natarsia,Chironomidae
near Heleniella sp.,DNI,yes,,DNI,
Neaviperla/Suwallia,Neaviperla/Suwallia,no,,Neaviperla/Suwallia,Plecoptera
Nectopsyche,Nectopsyche,no,,Nectopsyche,Trichoptera
Nectopsyche sp.,Nectopsyche,yes,sp.,Nectopsyche,Trichoptera
Nemata,Nemata,no,,Nemata,Misc. Phyla
Nematoda,Nemata,yes,naming scheme,Nemata,Misc. Phyla
Nematomorpha,Nematomorpha,no,,Nematomorpha,Misc. Phyla
Nemertea (carnivorous ribbon worm),Prostoma,yes,naming scheme,Prostoma,Misc. Phyla
Nemotelus,Nemotelus,no,,Nemotelus,Diptera
Nemotelus sp.,Nemotelus,yes,sp.,Nemotelus,Diptera
Nemouridae,Nemouridae,no,,Nemouridae,Plecoptera
Neoleptophlebia,Neoleptophlebia/Paraleptophlebia,yes,Slashed taxon,Neoleptophlebia/Paraleptophlebia,Ephemeroptera
Neoleptophlebia/Paraleptophlebia,Neoleptophlebia/Paraleptophlebia,no,,Neoleptophlebia/Paraleptophlebia,Ephemeroptera
Neophylax,Neophylax,no,,Neophylax,Trichoptera
Neophylax A64,Neophylax,yes,backed off to genus,Neophylax,Trichoptera
Neophylax occidentis,Neophylax occidentis,no,,Neophylax occidentis,Trichoptera
Neophylax rickeri,Neophylax rickeri,no,,Neophylax rickeri,Trichoptera
Neophylax sp.,Neophylax,yes,sp.,Neophylax,Trichoptera
Neophylax splendens,Neophylax splendens,no,,Neophylax splendens,Trichoptera
Neoplasta,Neoplasta,no,,Neoplasta,Diptera
Neoplasta sp.,Neoplasta,yes,sp.,Neoplasta,Diptera
Neothremma,Neothremma,no,,Neothremma,Trichoptera
Neothremma sp.,Neothremma,yes,sp.,Neothremma,Trichoptera
Neotrichia,Neotrichia,no,,Neotrichia,Trichoptera
Neotrichia sp.,Neotrichia,yes,sp.,Neotrichia,Trichoptera
Neozavrelia,Neozavrelia,no,,Neozavrelia,Chironomidae
Neozavrelia sp.,Neozavrelia,yes,not sure about this one,Neozavrelia,Chironomidae
Neumania,Acari,yes,mites collapsed to Acari,Neumania,Acari
Neureclipsis,Neureclipsis,no,,Neureclipsis,Trichoptera
Nilotanypus,Nilotanypus,no,,Nilotanypus,Chironomidae
Nilotanypus fimbriatus,Nilotanypus,yes,backed off to genus,Nilotanypus,Chironomidae
Nilotanypus sp.,Nilotanypus,yes,sp.,Nilotanypus,Chironomidae
Nilothauma,Nilothauma,no,,Nilothauma,Chironomidae
Nixe,Ecdyonurus,yes,most PNW Nixe are Afghanurus,Ecdyonurus,Ephemeroptera
Nixe criddlei,Ecdyonurus criddlei,yes,OR/WA translated to Ecdyonurus,Ecdyonurus criddlei,Ephemeroptera
Notonecta sp.,DNI,yes,NonTarget? Could go either way. Left out because only 2 calls total,DNI,Hemiptera
Notonectidae,DNI,yes,NonTarget? Could go either way. Left out because only 2 calls total,DNI,Hemiptera
Ochrotrichia,Ochrotrichia,no,,Ochrotrichia,Trichoptera
Ochrotrichia sp.,Ochrotrichia,yes,sp.,Ochrotrichia,Trichoptera
Ochthebius sp.,Hydraenidae,yes,sp.,Hydraenidae,Coleoptera
Octogomphus,Octogomphus specularis,yes,monotypic,Octogomphus specularis,Odonata
Octogomphus specularis,Octogomphus specularis,no,,Octogomphus specularis,Odonata
Odonata,Odonata,no,,Odonata,Odonata
Odontomesa,Odontomesa,no,,Odontomesa,Chironomidae
Odontomesa sp.,Odontomesa,yes,sp.,Odontomesa,Chironomidae
Odontomyia,Odontomyia,no,,Odontomyia,Diptera
Odontomyia sp,Odontomyia,yes,sp.,Odontomyia,Diptera
Oecetis,Oecetis,no,,Oecetis,Trichoptera
Oecetis avara,Oecetis,yes,backed off to genus,Oecetis,Trichoptera
Oecetis avara group,Oecetis,yes,backed off to genus,Oecetis,Trichoptera
Oecetis disjuncta,Oecetis,yes,backed off to genus,Oecetis,Trichoptera
Oecetis sp.,Oecetis,yes,sp.,Oecetis,Trichoptera
Oligochaeta,Oligochaeta,no,,Oligochaeta,Oligochaeta
Oligophlebodes,Oligophlebodes,no,,Oligophlebodes,Trichoptera
Oligophlebodes sp.,Oligophlebodes,yes,sp.,Oligophlebodes,Trichoptera
Onocosmoecus,Onocosmoecus,no,two species in region,Onocosmoecus,Trichoptera
Onocosmoecus sp.,Onocosmoecus,yes,sp.,Onocosmoecus,Trichoptera
Onocosmoecus unicolor,Onocosmoecus,yes,backed off to genus,Onocosmoecus,Trichoptera
Ophidonais,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Ophidonais serpentina,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Ophiogomphus,Ophiogomphus,no,,Ophiogomphus,Odonata
Ophiogomphus occidentis,Ophiogomphus,yes,backed off to genus,Ophiogomphus,Odonata
Ophiogomphus severus,Ophiogomphus,yes,backed off to genus,Ophiogomphus,Odonata
Ophiogomphus sp.,Ophiogomphus,yes,sp.,Ophiogomphus,Odonata
Optioservus,Optioservus,no,,Optioservus,Coleoptera
Optioservus divergens,Optioservus,yes,backed off to genus,Optioservus,Coleoptera
Optioservus quadrimaculatus,Optioservus,yes,backed off to genus,Optioservus,Coleoptera
Optioservus sp.,Optioservus,yes,sp.,Optioservus,Coleoptera
Orconectes,Faxonius,yes,nomenclature,Faxonius,Crustacea
Orconectes (northern crayfish),Faxonius,yes,naming scheme,Faxonius,Crustacea
Orconectes sp.,Faxonius,yes,sp.,Faxonius,Crustacea
Ordobrevia,Ordobrevia nubifera,yes,monotypic,Ordobrevia nubifera,Coleoptera
Ordobrevia nubifera,Ordobrevia nubifera,no,monotypic,Ordobrevia nubifera,Coleoptera
Oreodytes,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
Oreodytes sp.,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
Oreogeton,Oreogeton,no,,Oreogeton,Diptera
Oreogeton sp.,Oreogeton,yes,sp.,Oreogeton,Diptera
Oreoleptis torrenticola,Oreoleptis torrenticola,no,,Oreoleptis torrenticola,Diptera
Oribatei,Acari,yes,mites collapsed to Acari,Oribatida,Acari
Oribatida,Acari,yes,mites collapsed to Acari,Oribatida,Acari
Ormosia,Ormosia,no,,Ormosia,Diptera
Ormosia (Sceleroprocta) sp.,Scleroprocta,yes,naming scheme,Scleroprocta,Diptera
Oropuella,Oropuella,no,,Oropuella,Chironomidae
Oropuella sp.,Oropuella,yes,sp.,Oropuella,Chironomidae
Orthocladiinae,Orthocladiinae,no,,Orthocladiinae,Chironomidae
Orthocladius,Orthocladius,no,,Orthocladius,Chironomidae
Orthocladius (Euortho.) rivulorum,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius (Euortho.) rivulorum gr.,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius (Euorthocladius),Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius (Euorthocladius) sp.,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius (Euorthos.) rivicola gr.,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius (Euorthos.) rivulorum gr.,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius (Symp.) lignicola,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius annectens,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius complex,Cricotopus/Orthocladius,yes,Slashed taxon,Cricotopus/Orthocladius,Chironomidae
Orthocladius Genus 5,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius sp.,Orthocladius,yes,sp.,Orthocladius,Chironomidae
Orthotrichia,Orthotrichia,no,,Orthotrichia,Trichoptera
Orthotrichia sp.,Orthotrichia,yes,sp.,Orthotrichia,Trichoptera
Ostracoda,Ostracoda,no,,Ostracoda,Crustacea
Oxidae,Acari,yes,mites collapsed to Acari,Oxus,Acari
Oxus,Acari,yes,mites collapsed to Acari,Oxus,Acari
Oxyethira,Oxyethira,no,,Oxyethira,Trichoptera
Oxyethira sp.,Oxyethira,yes,sp.,Oxyethira,Trichoptera
Pacifastacus,Pacifastacus,no,,Pacifastacus,Crustacea
Pacifastacus connectens,Pacifastacus,yes,backed off to genus,Pacifastacus,Crustacea
Pacifastacus leniusculus,Pacifastacus,yes,backed off to genus,Pacifastacus,Crustacea
Pacifastacus leniusculus (signal crayfish),Pacifastacus,yes,backed off to genus,Pacifastacus,Crustacea
Pacifastacus sp.,Pacifastacus,yes,sp.,Pacifastacus,Crustacea
Pagastia,Pagastia,no,,Pagastia,Chironomidae
Pagastia sp.,Pagastia,yes,sp.,Pagastia,Chironomidae
Pagastiella,Pagastiella,no,,Pagastiella,Chironomidae
Paracapnia sp.,Capniidae,yes,sp.,Capniidae,Plecoptera
Parachaetocladius,Parachaetocladius,no,,Parachaetocladius,Chironomidae
Parachaetocladius sp.,Parachaetocladius,yes,sp.,Parachaetocladius,Chironomidae
Parachironomus,Parachironomus,no,,Parachironomus,Chironomidae
Parachironomus sp.,Parachironomus,yes,sp.,Parachironomus,Chironomidae
Paracladius,Paracladius,no,,Paracladius,Chironomidae
Paracladius sp.,Paracladius,yes,sp.,Paracladius,Chironomidae
Paracladopelma,Paracladopelma,no,,Paracladopelma,Chironomidae
Paracladopelma sp.,Paracladopelma,yes,sp.,Paracladopelma,Chironomidae
Paracricotopus,Paracricotopus,no,,Paracricotopus,Chironomidae
Paracricotopus sp.,Paracricotopus,yes,sp.,Paracricotopus,Chironomidae
Parakiefferiella,Parakiefferiella,no,,Parakiefferiella,Chironomidae
Parakiefferiella sp.,Parakiefferiella,yes,sp.,Parakiefferiella,Chironomidae
Paralauterborniella,Paralauterborniella,no,monotypic; historic spelling issues,Paralauterborniella,Chironomidae
Paralauterborniella nigrohalteralis,Paralauterborniella,yes,"Single species in Genus (nigrohalteralis), but left at genus due to historic spelling issues",Paralauterborniella,Chironomidae
Paralauterborniella nigrohalteris,Paralauterborniella,yes,"Single species in Genus (nigrohalteralis), but left at genus due to historic spelling issues",Paralauterborniella,Chironomidae
Paraleptophlebia,Neoleptophlebia/Paraleptophlebia,yes,Slashed taxon,Neoleptophlebia/Paraleptophlebia,Ephemeroptera
Paraleptophlebia bicornuta,Paraleptophlebia Bicornuta Group,yes,Formatting,Paraleptophlebia Bicornuta Group,Ephemeroptera
Paraleptophlebia bicornuta group,Paraleptophlebia Bicornuta Group,yes,CAPs,Paraleptophlebia Bicornuta Group,Ephemeroptera
Paraleptophlebia sp.,Neoleptophlebia/Paraleptophlebia,yes,Slashed taxon,Neoleptophlebia/Paraleptophlebia,Ephemeroptera
Paraleuctra,Leuctridae,yes,backed off to family,Leuctridae,Plecoptera
Paraleuctra sp.,Leuctridae,yes,backed off to family,Leuctridae,Plecoptera
Paramerina,Zavrelimyia,yes,nomenclature,Zavrelimyia,Chironomidae
Paramerina sp.,Zavrelimyia,yes,nomenclature,Zavrelimyia,Chironomidae
Parametriocnemus,Parametriocnemus,no,,Parametriocnemus,Chironomidae
Parametriocnemus sp.,Parametriocnemus,yes,sp.,Parametriocnemus,Chironomidae
Paranais,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Paraperla,Paraperla,no,,Paraperla,Plecoptera
Paraperla sp.,Paraperla,yes,sp.,Paraperla,Plecoptera
Paraphaenocladius,Paraphaenocladius,no,,Paraphaenocladius,Chironomidae
"Paraphaenocladius ""n. sp.""",Paraphaenocladius,yes,naming scheme,Paraphaenocladius,Chironomidae
Paraphaenocladius sp.,Paraphaenocladius,yes,sp.,Paraphaenocladius,Chironomidae
Parapsyche,Parapsyche,no,,Parapsyche,Trichoptera
Parapsyche almota,Parapsyche almota,no,,Parapsyche almota,Trichoptera
Parapsyche elsis,Parapsyche elsis,no,,Parapsyche elsis,Trichoptera
Parapsyche sp.,Parapsyche,yes,sp.,Parapsyche,Trichoptera
Paratanytarsus,Paratanytarsus,no,,Paratanytarsus,Chironomidae
Paratanytarsus sp.,Paratanytarsus,yes,sp.,Paratanytarsus,Chironomidae
Paratendipes,Paratendipes,no,,Paratendipes,Chironomidae
Paratendipes sp.,Paratendipes,yes,sp.,Paratendipes,Chironomidae
Parathyas,Acari,yes,mites collapsed to Acari,Parathyas,Acari
Parochlus,Parochlus,no,,Parochlus,Chironomidae
Parochlus kiefferi,Parochlus,yes,backed off to genus,Parochlus,Chironomidae
Parochlus sp.,Parochlus,yes,sp.,Parochlus,Chironomidae
Parorthocladius,Parorthocladius,no,,Parorthocladius,Chironomidae
Parorthocladius sp.,Parorthocladius,yes,sp.,Parorthocladius,Chironomidae
