Taxon_orig,OTU_BCG_v1,Modified_BCG_v1,Rationale_modifyBCG,OTU_FinerRezWorms,Taxon_group
Demicryptochironomus sp.,Demicryptochironomus,yes,sp.,Demicryptochironomus,Chironomidae
Dero,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Dero digitata,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Dero sp.,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Derotanypus,Derotanypus,no,,Derotanypus,Chironomidae
Derotanypus sp.,Derotanypus,yes,sp.,Derotanypus,Chironomidae
Desmona,Monophylax mono,yes,nomenclature,Monophylax mono,Trichoptera
Desmona mono,Monophylax mono,yes,nomenclature,Monophylax mono,Trichoptera
Desmona sp.,Monophylax mono,yes,nomenclature,Monophylax mono,Trichoptera
Despaxia,Despaxia augusta,yes,monotypic,Despaxia augusta,Plecoptera
Despaxia augusta,Despaxia augusta,no,monotypic,Despaxia augusta,Plecoptera
Deuterophlebia,Deuterophlebia,no,,Deuterophlebia,Diptera
Deuterophlebia sp.,Deuterophlebia,yes,sp.,Deuterophlebia,Diptera
Diamesa,Diamesa,no,,Diamesa,Chironomidae
Diamesa sp.,Diamesa,yes,sp.,Diamesa,Chironomidae
Diamesinae,Diamesinae,no,,Diamesinae,Chironomidae
Diamesinae-early instar,Diamesinae,yes,naming scheme,Diamesinae,Chironomidae
Dicosmoecus,Dicosmoecus,no,,Dicosmoecus,Trichoptera
Dicosmoecus atripes,Dicosmoecus atripes,no,,Dicosmoecus atripes,Trichoptera
Dicosmoecus gilvipes,Dicosmoecus gilvipes,no,,Dicosmoecus gilvipes,Trichoptera
Dicosmoecus sp.,Dicosmoecus,yes,sp.,Dicosmoecus,Trichoptera
Dicranomyia,Dicranomyia,no,,Dicranomyia,Diptera
Dicranota,Dicranota,no,,Dicranota,Diptera
Dicranota sp.,Dicranota,yes,sp.,Dicranota,Diptera
Dicrotendipes,Dicrotendipes,no,,Dicrotendipes,Chironomidae
Dicrotendipes sp.,Dicrotendipes,yes,sp.,Dicrotendipes,Chironomidae
Diphetor,Diphetor hageni,yes,monotypic,Diphetor hageni,Ephemeroptera
Diphetor hageni,Diphetor hageni,no,monotypic,Diphetor hageni,Ephemeroptera
Diplocladius,Diplocladius,no,,Diplocladius,Chironomidae
Diplocladius sp.,Diplocladius,yes,sp.,Diplocladius,Chironomidae
Diptera,Diptera,no,,Diptera,Diptera
Diura,Diura,no,,Diura,Plecoptera
Diura sp.,Diura,yes,sp.,Diura,Plecoptera
Dixa,Dixa,no,,Dixa,Diptera
Dixa sp.,Dixa,yes,sp.,Dixa,Diptera
Dixella,Dixella,no,,Dixella,Diptera
Dixella sp.,Dixella,yes,sp.,Dixella,Diptera
Dixidae,Dixidae,no,,Dixidae,Diptera
Dolichopodidae,Dolichopodidae,no,,Dolichopodidae,Diptera
Dolophilodes,Dolophilodes,no,,Dolophilodes,Trichoptera
Dolophilodes sp.,Dolophilodes,yes,sp.,Dolophilodes,Trichoptera
Doncricotopus,Doncricotopus,no,,Doncricotopus,Chironomidae
Doncricotopus sp.,Doncricotopus,yes,sp.,Doncricotopus,Chironomidae
Doroneuria,Doroneuria,no,,Doroneuria,Plecoptera
Doroneuria sp.,Doroneuria,yes,sp.,Doroneuria,Plecoptera
Drunella,Drunella,no,,Drunella,Ephemeroptera
