Taxon_Group,Taxon,NonTarget,BCG_attr,BCG_PredContScore,BCG_attr2,FFG,Habit,Life_Cycle,Habitat,Noteworthy,LONGLIVED,Thermal_indicator,ThermalPref_ALL,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TolVal2,TolVal,Air,FSBI_2012,Hemoglobin,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Plecoptera,Sierraperla,FALSE,1i,,,"SH,SC","SP,CN",semi,LOTI,TRUE,TRUE,,,Less30,,,,,11,NA,F,,F,102514,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Peltoperlidae,Peltoperlinae,,,Sierraperla,,,,,
Hemiptera,Sigara,TRUE,,,,,,,,,,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Corixidae,Corixinae,,,Sigara,,,,,
Diptera,Simuliidae,FALSE,NA,3.908212185,,CF,CN,uni,LOTI,,FALSE,,Eurythermal,,18.38004914,22.296,,yes,11,6,F,,U,126640,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Simuliidae,,,,,,,,,
Diptera,Simulium,FALSE,4,3.874836445,,CF,CN,multi,LOTI,,FALSE,eurythermal,Eurythermal,,18.63946158,22.533,Eurythermal,,5,6,F,,U,126774,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Simuliidae,Simuliinae,Simuliini,,Simulium,,,,,
Ephemeroptera,Siphlonuridae,FALSE,UN,,,UN,"SW,CN",uni,GENE,,FALSE,,,Less30,,,,,11,1,F,,,100951,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Siphlonuridae,,,,,,,,,
Ephemeroptera,Siphlonurus,FALSE,4,,,"CG,SC,PR,MH","SW,CN",uni,GENE,,FALSE,,,Less30,,,,,1,2,F,,,100953,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Siphlonuridae,,,,Siphlonurus,,,,,
Trichoptera,Sisko,FALSE,1i,,,CF,CN,uni,LOTI,TRUE,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Annulipalpia,Philopotamoidea,Philopotamidae,Philopotaminae,,,Sisko,,,,,
Neuroptera,Sisyridae,FALSE,3,,,PR,"BU,CB",uni,GENE,TRUE,FALSE,,,,,,,,,NA,,,,115085,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neuroptera,Hemerobiiformia,,Sisyridae,,,,,,,,,
Plecoptera,Skwala,FALSE,4,3.362484932,,PR,"SP,CN",uni,LOTI,,FALSE,cowa,Cool-Warm,,18.65795699,22.518,,,3,3,F,,,103102,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlodidae,Perlodinae,Arcynopterygini,,Skwala,,,,,
Oligochaeta,Slavina appendiculata,FALSE,UN,,,CG,"BU,SP",uni,GENE,,FALSE,,,,,,,,1,4,F,,,,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Slavina,,,,,appendiculata
Trichoptera,Smicridea,FALSE,UN,,,CF,CN,multi,LOTI,TRUE,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Annulipalpia,Hydropsychoidea,Hydropsychidae,Smicrideinae,,,Smicridea,,,,,
Chironomidae,Smittia,FALSE,UN,,,CG,BU,multi,GENE,TRUE,FALSE,,,Less30,,,,,11,6,F,,,129110,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Smittia,,,,,
Plecoptera,Soliperla,FALSE,2,1.934985757,,"SH,SC","SP,CN",semi,LOTI,TRUE,TRUE,cold,Cold,,16.09545455,19.77,,,,2,,,,103142,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Peltoperlidae,,,,Soliperla,,,,,
Plecoptera,Soyedina,FALSE,3,3.29934144,,SH,"SP,CN",uni,LOTI,,FALSE,cool,Cool,,17.19387033,19.98,,,11,2,F,,,102556,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,Nemourinae,,,Soyedina,,,,,
Oligochaeta,Specaria,FALSE,UN,,,CG,"BU,SP",uni,GENE,,FALSE,,,Less30,,,,,11,8,F,,,68984,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Specaria,,,,,
Acari,Sperchon,FALSE,4,3.879582882,,"PR,PA",UN,uni,GENE,,FALSE,eurythermal,Eurythermal,,18.16255385,22.982,,,11,NA,,,,83006,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Sperchontidae,,,,Sperchon,,,,,
Acari,Sperchonopsis,FALSE,4,3.838467836,,"PR,PA",UN,uni,GENE,,FALSE,cool,Cool,,17.65800651,21.492,,,11,NA,U,,U,83029,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Sperchontidae,,,,Sperchonopsis,,,,,
Acari,Sperchontidae,FALSE,4,3.928666592,,"PR,PA",UN,uni,GENE,,FALSE,,Eurythermal,,17.79357287,22.264,,yes,11,NA,,,,895710,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Sperchontidae,,,,,,,,,
Mollusca,Sphaeriidae,FALSE,4,3.877010345,,CF,"BU,SP",semi,GENE,,FALSE,eurythermal,Eurythermal,,19.73237414,23.466,,,3,8,F,,,81389,Animalia,Mollusca,,Bivalvia,Heterodonta,Veneroida,,,Sphaeriidae,,,,,,,,,
Oligochaeta,Spirosperma,FALSE,4,4.008076191,,CG,"BU,SP",uni,GENE,,FALSE,eurythermal,Eurythermal,,17.5236485,23,,,11,10,F,,T,68780,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Spirosperma,,,,,
Trichoptera,Stactobiella,FALSE,UN,,,"PH,SH",CN,multi,LOTI,TRUE,FALSE,,,Less30,,,,,11,2,F,,,115817,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Spicipalpia,Hydroptiloidea,Hydroptilidae,Hydroptilinae,Stactobiini,,Stactobiella,,,,,
Diptera,Stegopterna,FALSE,UN,,,"CF,SC",CN,uni,LOTI,TRUE,FALSE,,,Less30,,,,,,NA,,,,126761,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Simuliidae,Simuliinae,Prosimuliini,,Stegopterna,,,,,
Chironomidae,Stempellina,FALSE,3,3.061404228,,CG,"CN,CB",multi,GENE,,FALSE,eurythermal,Eurythermal,,17.59375641,22.999,,,0,2,F,,,129962,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Stempellina,,,,,
Chironomidae,Stempellinella,FALSE,4,3.81643486,,CG,SP,multi,LOTI,,FALSE,eurythermal,Eurythermal,,17.08346328,22.542,,,11,4,F,,,129969,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Stempellinella,,,,,
Ephemeroptera,Stenacron,FALSE,UN,,,"SC,CG",CN,uni,RIVE,TRUE,FALSE,,,Less30,,,,,11,7,F,,,100713,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Stenacron,,,,,
Coleoptera,Stenelmis,FALSE,5,,,"CG,SC","CN,CB",semi,LOTI,,TRUE,,,Less30,,,,,3,5,F,,,114095,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,Elminae,Elmini,,Stenelmis,,,,,
Chironomidae,Stenochironomus,FALSE,4,,,"CG,SH,XY",BU,multi,GENE,,FALSE,,,Less30,,,,,11,5,F,,T,129746,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Stenochironomus,,,,,
Oligochaeta,Stephensoniana,FALSE,UN,,,CG,"BU,SP",uni,GENE,,FALSE,,,,,,,,1,4,F,,,,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Stephensoniana,,,,,
Chironomidae,Stictochironomus,FALSE,5,3.939803123,,"CG,MH",BU,multi,GENE,,FALSE,cowa,Cool-Warm,,21.51513595,23.262,,,11,5,F,,T,129785,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Stictochironomus,,,,,
Chironomidae,Stictocladius,FALSE,UN,,,UN,UN,multi,LOTI,TRUE,FALSE,,,,,,,,,NA,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Stictocladius,,,,,
Chironomidae,Stilocladius,FALSE,3,2.635569572,,UN,UN,multi,LOTI,TRUE,FALSE,cold,Cold,,15.78620287,19.624,,,11,3,F,,,129152,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Stilocladius,,,,,
Diptera,Stratiomyidae,FALSE,4,3.927538633,,CG,"SP,BU",multi,GENE,,FALSE,warm,Warm,,22.0199699,24.963,,,4,7,T,,,130150,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Stratiomyidae,,,,,,,,,
Crustacea,Stygobromus,FALSE,1i,,,CG,SW,multi,LOTI,TRUE,FALSE,,,Less30,,,,,11,NA,F,,,93861,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Crangonyctidae,,,,Stygobromus,,,,,
Acari,Stygomomonia,FALSE,2,,,"PR,PA",UN,uni,LOTI,TRUE,FALSE,,,Less30,,,,,,NA,,,,83471,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Momoniidae,,,,Stygomomonia,,,,,
Crustacea,Stygonyx courtneyi,FALSE,1i,,,CG,SW,multi,LOTI,TRUE,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Crangonyctidae,,,,Stygonyx,,,,,courtneyi
Coleoptera,Stygoporus,FALSE,UN,,,PR,SW,uni,HYPO,,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,Hydroporini,,Stygoporus,,,,,
Acari,Stygothrombiidae,FALSE,2,,,"PR,PA",UN,uni,LOTI,TRUE,FALSE,,,Less30,,,,,,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Stygothrombiidae,,,,,,,,,
Acari,Stygothrombium,FALSE,2,,,"PR,PA",UN,uni,LOTI,TRUE,FALSE,,,Less30,,,,,,NA,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Stygothrombiidae,,,,Stygothrombium,,,,,
Oligochaeta,Stylaria,FALSE,4,,,CG,"BU,SP",uni,GENE,,FALSE,,,Less30,,,,,11,8,F,,,68871,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Stylaria,,,,,
Oligochaeta,Stylodrilus,FALSE,UN,3.983026266,,CG,"BU,SP",uni,GENE,,FALSE,cool,Cool,,18.00330504,20.578,,,11,4,F,,,68450,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Stylodrilus,,,,,
Odonata,Stylurus,FALSE,UN,,,PR,BU,semi,GENE,TRUE,TRUE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Gomphidae,,,,Stylurus,,,,,
Odonata,Stylurus olivaceus,FALSE,UN,,,PR,BU,semi,GENE,TRUE,TRUE,,,,,,,,,NA,,,,593023,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Gomphidae,,,,Stylurus,,,,,olivaceus
Chironomidae,Sublettea,FALSE,3,3.257187366,,UN,UN,multi,LOTI,,FALSE,warm,Warm,,20.36210754,23.526,,,11,4,F,,,129975,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Sublettea,,,,,
Ephemeroptera,Superatus,FALSE,UN,,,CG,SP,multi,LOTI,,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Caenidae,Brachycercinae,Cercobrachini,,Superatus,,,,,
Coleoptera,Suphisellus,FALSE,UN,,,"PR,CG","BU,CB,SW",uni,GENE,TRUE,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Noteridae,Noterinae,,,Suphisellus,,,,,
Diptera,Sylvius,FALSE,4,,,PR,"SP,BU",uni,GENE,,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Tabanidae,Chrysopsinae,Chrysopsini,,Sylvius,,,,,
Chironomidae,Symbiocladius,FALSE,3,,,PA,CN,multi,LOTI,TRUE,FALSE,,,Less30,,,,,1,4,F,,,129156,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Symbiocladius,,,,,
Chironomidae,Sympotthastia,FALSE,UN,,,"CG,SC",SP,multi,LOTI,TRUE,FALSE,,,Less30,,,,,,2,,,,128426,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Diamesinae,Diamesini,,Sympotthastia,,,,,
Crustacea,Syncaris,FALSE,1i,,,OM,SW,UN,LOTI,,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Caridea (Infraorder),,Palaemonidae,,,,Syncaris,,,,,
Chironomidae,Syndiamesa,FALSE,UN,,,UN,SP,multi,LOTI,TRUE,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Diamesinae,Diamesini,,Syndiamesa,,,,,
Chironomidae,Synendotendipes,FALSE,UN,,,UN,UN,multi,GENE,TRUE,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Synendotendipes,,,,,
Chironomidae,Synorthocladius,FALSE,4,3.894684315,,"CG,SC",UN,multi,LOTI,,FALSE,cowa,Cool-Warm,,18.71723024,22.497,,,1,2,F,,,129161,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Synorthocladius,,,,,
Diptera,Syrphidae,FALSE,UN,,,CG,BU,multi,GENE,,FALSE,,,Less30,,,,,11,10,T,,,139621,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Syrphidae,,,,,,,,,
Diptera,Tabanidae,FALSE,4,3.761428118,,PR,"SP,BU",uni,GENE,,FALSE,warm,Warm,,19.92268115,23.552,,,3,6,T,,,130934,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Tabanidae,,,,,,,,,
Plecoptera,Taeniopterygidae,FALSE,2,2.147208214,,"SC,SH","SP,CN",uni,LOTI,,FALSE,cold,Cold,,12.96611078,17.512,,,1,2,F,,,102788,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Taeniopterygidae,,,,,,,,,
Plecoptera,Taeniopteryx,FALSE,5,,,"SH,CG,SC","SP,CN",uni,LOTI,,FALSE,,,Less30,,,,,11,2,F,,,102789,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Taeniopterygidae,Taeniopteryginae,,,Taeniopteryx,,,,,
Diptera,Tanyderidae,FALSE,1i,,,UN,UN,semi,LOTI,TRUE,TRUE,,,Less30,,,,,,NA,,,,125799,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Tanyderidae,,,,,,,,,
Chironomidae,Tanypodinae,FALSE,NA,3.913777351,,PR,SP,multi,GENE,,FALSE,,Eurythermal,,18.92233141,22.881,,yes,11,7,F,,,127994,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,,,,,,,,
Odonata,Tanypteryx hageni,FALSE,1i,,,PR,BU,semi,GENE,TRUE,TRUE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Petaluridae,,,,Tanypteryx,,,,,hageni
Chironomidae,Tanypus,FALSE,5,,,"PR,CG",SP,multi,GENE,,FALSE,,,Less30,,,,,11,10,F,,T,128324,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Tanypodini,,Tanypus,,,,,
Chironomidae,Tanytarsini,FALSE,UN,3.905743599,,"CF,CG",UN,multi,GENE,,FALSE,,Eurythermal,,18.47701528,23.148,,yes,11,6,F,,U,129872,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,,,,,,
Chironomidae,Tanytarsus,FALSE,5,3.810153723,,"CF,SC","CN,CB",multi,GENE,,FALSE,warm,Warm,,19.80629934,24.225,,,3,6,F,,,129978,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Tanytarsus,,,,,
Misc. Phyla,Tardigrada,TRUE,NA,,,NA,NA,NA,NA,,FALSE,,,,,,,,,,,,,,Animalia,Tardigrada,,,,,,,,,,,,,,,,
Mollusca,Tarebia granifera,FALSE,6t,,,"SC,CG","CN,SP",semi,GENE,,TRUE,,,,,,,,,,,,,,Animalia,Mollusca,,Gastropoda,,Neotaenioglossa,,Cerithioidea,Thiaridae,,,,Terebia,,,,,granifera
Acari,Tartarothyas,FALSE,2,,,"PR,PA",UN,uni,LOTI,TRUE,FALSE,,,Less30,,,,,,NA,,,,895797,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Tartarothyas,,,,,
Oligochaeta,Tasserkidrilus,FALSE,UN,,,CG,"BU,SP",uni,GENE,,FALSE,,,,,,,,1,4,F,,,,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Tasserkidrilus,,,,,
Oligochaeta,Telmatodrilus vejdovskyi,FALSE,UN,,,CG,"BU,SP",uni,GENE,,FALSE,,,Less30,,,,,,NA,,,,68760,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Telmatodrilinae,,,Telmatodrilus,,,,,vejdovskyi
Chironomidae,Telmatogeton,FALSE,UN,,,"SC,MH",CN,multi,MARI,TRUE,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Telmatogetoninae,,,Telmatogeton,,,,,
Acari,Testudacarus,FALSE,3,2.583664179,,"PR,PA",UN,uni,LOTI,,FALSE,cool,Cool,,14.27787952,20.26,,,11,8,,,,83250,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Torrenticolidae,,,,Testudacarus,,,,,
Acari,Teutonia,FALSE,2,,,"PR,PA",UN,uni,GENE,,FALSE,,,,,,,,,NA,,,,83235,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Teutoniidae,,,,Teutonia,,,,,
