"","Taxon","NonTarget","Habit","Hemoglobin","Air","TolVal2","TolVal","FSBI_2012","BSTI_WA.optima","BCG_attr","FFG","Life_Cycle","Habitat","Noteworthy","LONGLIVED","Thermal_indicator","ThermalPref_ALL","ThermTol_Less30","MTTI_WA.optima","MWMT_WAopt","MWMT_PCT90","Therm_TopIndicator","ThermVar","TSN","Kingdom","Phylum","SubPhylum","Class","SubClass","Order","SubOrder","SuperFamily","Family","SubFamily","Tribe","GenusGroup","Genus","SubGenus","SpeciesGroup","SpeciesSubGroup","SpeciesComplex","Species","Taxon_Group"
"45","Anacaena",FALSE,"BU","","T",11,5,NA,32.1,NA,"PR","uni","GENE",NA,FALSE,"","","Less30",18.7,NA,NA,"","",112878,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Polyphaga","","Hydrophilidae","Hydrophilinae","Anacaenini","","Anacaena","","","","","","Coleoptera"
"46","Anafroptilum/Procloeon",FALSE,"SW","","F",1,2,NA,11.9,"3","CG","multi","DEPO",NA,FALSE,"warm","Warm","",20.4,20.31843565,24.404,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Anafroptilum/Procloeon","","","","","","Ephemeroptera"
"47","Anagapetus",FALSE,"CN","","F",11,0,5,7.2,"2","SC","uni","RHEO",TRUE,FALSE,"cold","Cold","",14.4,14.41193666,18.47992367,"","",117154,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Spicipalpia","Glossosomatoidea","Glossosomatidae","Glossosomatinae","Anagapetini","","Anagapetus","","","","","","Trichoptera"
"48","Anax",FALSE,"CN","","F",11,8,NA,NA,"","","","",NA,FALSE,"","","Less30",20.5,NA,NA,"","",101597,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Anisoptera","","Aeshnidae","","","","Anax","","","","","","Odonata"
"49","Ancylidae",FALSE,"UN","","F",11,6,NA,NA,"5","SC","multi","GENE",NA,FALSE,"","","",NA,NA,NA,"","",76568,"Animalia","Mollusca","","Gastropoda","","Basommatophora","","","Ancylidae","","","","","","","","","","Other Non-Insect"
"50","Anisogammaridae",FALSE,"UN","","",NA,4,NA,NA,"","","","",NA,FALSE,"cowa","Cool-Warm","",19.9,19.79104836,21.958,"","",203113,"Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Amphipoda","Gammaridea","","Anisogammaridae","","","","","","","","","","Other Non-Insect"
"51","Anisoptera",FALSE,"UN","","F",11,NA,NA,NA,"4","PR","UNKN","GENE",NA,FALSE,"","Warm","",NA,20.29102018,24.52,"","yes",101594,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Anisoptera","","","","","","","","","","","","Odonata"
"52","Anodonta",FALSE,"UN","","",NA,NA,NA,NA,"","","","",NA,FALSE,"","","",21.8,NA,NA,"","",79930,"Animalia","Mollusca","","Bivalvia","Palaeoheterodonta","Unionoida","","","Unionidae","","","","Anodonta","","","","","","Other Non-Insect"
"53","Anopheles",FALSE,"SW","","T",11,8,NA,NA,NA,"","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",125956,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Culicidae","Anophelinae","","","Anopheles","","","","","","Diptera"
"54","Antocha",FALSE,"CN","","T",4,3,5,6.3,"4","CG","multi","RHEO",NA,FALSE,"cowa","Cool-Warm","",19.4,19.29468343,22.8,"Cool-Warm","",119656,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Limoniidae","Limoniinae","","","Antocha","","","","","","Diptera"
"55","Apatania",FALSE,"CN","","F",2,3,10,7,"2","SC","uni","RHEO",TRUE,TRUE,"cold","Cold","",16.9,16.99629756,19.858,"","",115935,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Apataniidae","Apataniinae","Apataniini","","Apatania","","","","","","Trichoptera"
"56","Apataniidae",FALSE,"UN","","F",11,3,NA,NA,"2","UNKN","UNKN","RHEO",NA,FALSE,"cold","Cold","",NA,16.66388255,19.74,"","",598182,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Apataniidae","","","","","","","","","","Trichoptera"
