"","Taxon","NonTarget","Habit","Hemoglobin","Air","TolVal2","TolVal","FSBI_2012","BSTI_WA.optima","BCG_attr","FFG","Life_Cycle","Habitat","Noteworthy","LONGLIVED","Thermal_indicator","ThermalPref_ALL","ThermTol_Less30","MTTI_WA.optima","MWMT_WAopt","MWMT_PCT90","Therm_TopIndicator","ThermVar","TSN","Kingdom","Phylum","SubPhylum","Class","SubClass","Order","SubOrder","SuperFamily","Family","SubFamily","Tribe","GenusGroup","Genus","SubGenus","SpeciesGroup","SpeciesSubGroup","SpeciesComplex","Species","Taxon_Group"
"221","Demeijerea",FALSE,"SP","","F",11,8,NA,NA,"4","PR","multi","GENE",NA,NA,"","","",NA,NA,NA,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Chironominae","Chironomini","","Demeijerea","","","","","","Chironomidae"
"222","Demicryptochironomus",FALSE,"BU","T","F",4,8,NA,NA,"3","CG","multi","GENE",NA,FALSE,"","","Less30",NA,NA,NA,"","",129421,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Chironominae","Chironomini","","Demicryptochironomus","","","","","","Chironomidae"
"223","Dero",FALSE,"UN","","F",11,8,NA,33.2,"","","","",NA,FALSE,"","","Less30",21.2,NA,NA,"","",68898,"Animalia","Annelida","","Clitellata","Oligochaeta","Tubificida","","","Naididae","Naidinae","","","Dero","","","","","","Oligochaeta"
"224","Derotanypus",FALSE,"UN","","",NA,NA,NA,NA,NA,"PR","multi","GENE",TRUE,FALSE,"","","Less30",NA,NA,NA,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Tanypodinae","","","Derotanypus","","","","","","Chironomidae"
"225","Despaxia augusta",FALSE,"UN","","F",11,0,20,10.9,"3","SH","uni","RHEO",NA,FALSE,"cool","Cool","",16.5,16.54365113,19.9,"","",102841,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Euholognatha","","Leuctridae","Leuctrinae","","","Despaxia","","","","","augusta","Plecoptera"
"226","Deuteronectes",FALSE,"SW","","",NA,NA,NA,13.3,"","","","",NA,FALSE,"","","",18.9,NA,NA,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Adephaga","","Dytiscidae","Hydroporinae","Hydroporini","","Deuteronectes","","","","","","Coleoptera"
"227","Deuterophlebia",FALSE,"UN","","F",0,0,NA,NA,"2","SC","uni","RHEO",TRUE,FALSE,"","","Less30",NA,NA,NA,"","",121287,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Deuterophlebiidae","","","","Deuterophlebia","","","","","","Diptera"
"228","Diamesa",FALSE,"SP","","F",9,5,NA,6.6,"3","CG","multi","RHEO",NA,FALSE,"cold","Cold","",9.1,9.440019925,20.637,"","",128355,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Diamesinae","Diamesini","","Diamesa","","","","","","Chironomidae"
"229","Diamesinae",FALSE,"UN","U","F",11,5,NA,NA,"3","CG","multi","GENE",NA,FALSE,"","Eurythermal","",NA,15.27881709,22.358,"","yes",128341,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Diamesinae","","","","","","","","","Chironomidae"
"230","Dicosmoecinae",FALSE,"NEEDS_REVIEW","","",NA,NA,NA,NA,NA,"","","",NA,FALSE,"","Eurythermal","",NA,16.25240049,22.023,"","yes",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","","","","","","","Trichoptera"
"231","Dicosmoecus",FALSE,"SP","U","F",1,2,10,NA,"3","SC","uni","RHEO",NA,FALSE,"","Warm","",NA,19.96147012,23.543,"","yes",116265,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","Dicosmoecus","","","","","","Trichoptera"
"232","Dicosmoecus atripes",FALSE,"SP","U","F",11,1,NA,10,"2","PR","semi","GENE",TRUE,FALSE,"cool","Cool","",19.2,19.22876834,21.427,"","",116266,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","Dicosmoecus","","","","","atripes","Trichoptera"
"233","Dicosmoecus gilvipes",FALSE,"SP","","F",11,2,10,12.8,"3","SC","uni","RHEO",NA,FALSE,"warm","Warm","",20.3,20.31658957,24.49,"","",116268,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","Dicosmoecus","","","","","gilvipes","Trichoptera"
"234","Dicosmoecus pallicornis",FALSE,"UN","","",NA,1,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",116272,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","Dicosmoecus","","","","","pallicornis","Trichoptera"
"235","Dicranomyia",FALSE,"UN","","",NA,NA,NA,NA,"4","SH","multi","GENE",NA,FALSE,"cool","Cool","",17.2,17.01407378,20.646,"","",119705,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Limoniidae","Limoniinae","","","Dicranomyia","","","","","","Diptera"
"236","Dicranophragma",FALSE,"BU","","",NA,4,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Limoniidae","Limnophilinae","","","Dicranophragma","","","","","","Diptera"
"237","Dicranota",FALSE,"SP","","T",2,3,NA,18.9,"4","PR","uni","GENE",NA,FALSE,"cool","Cool","",17.5,17.47758428,21.066,"","",121027,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Pediciidae","Pediciinae","","","Dicranota","","","","","","Diptera"
"238","Dicrotendipes",FALSE,"BU","T","F",5,8,NA,17.5,"5","CG","multi","GENE",NA,FALSE,"warm","Warm","",23.8,24.96669198,27.117,"","",129428,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Chironominae","Chironomini","","Dicrotendipes","","","","","","Chironomidae"
"239","Dineutus",FALSE,"SW","","F",11,10,NA,NA,NA,"PR","uni","GENE",NA,FALSE,"","","",NA,NA,NA,"","",112653,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Adephaga","","Gyrinidae","","","","","","","","","","Coleoptera"
"240","Diphetor hageni",FALSE,"SW","","F",1,5,NA,13,"4","CG","multi","RHEO",NA,FALSE,"cowa","Cool-Warm","",19.2,19.16262157,22.81,"Cool-Warm","",568550,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Diphetor","","","","","hageni","Ephemeroptera"
"241","Diplocladius",FALSE,"UN","","F",11,5,NA,36.5,"5","CG","multi","GENE",NA,FALSE,"cowa","Cool-Warm","",18,17.81264383,22.61,"","",128670,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Orthocladiinae","","","Diplocladius","","","","","","Chironomidae"
"242","Diptera",FALSE,"UN","","F",11,NA,NA,NA,NA,"UNKN","","GENE",NA,FALSE,"","Eurythermal","",NA,18.11157007,22.491,"","yes",118831,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","","","","","","","","","","","","","Diptera"
"243","Diura",FALSE,"UN","","F",11,2,NA,NA,"1i","PR","uni","RHEO",TRUE,FALSE,"","","Less30",NA,NA,NA,"","",103094,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Systellognatha","","Perlodidae","Perlodinae","Perlodini","","Diura","","","","","","Plecoptera"
"244","Dixa",FALSE,"SW","","F",11,1,NA,14,"4","CG","multi","SPEC",NA,FALSE,"cool","Cool","",17.2,17.07551304,20.725,"","",125810,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Dixidae","","","","Dixa","","","","","","Diptera"
"245","Dixella",FALSE,"SW","","F",11,4,NA,55.8,"4","CG","multi","GENE",NA,FALSE,"cowa","Cool-Warm","",20.4,20.4360572,22.244,"","",125854,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Dixidae","","","","Dixella","","","","","","Diptera"
"246","Dixidae",FALSE,"SW","","F",11,4,NA,NA,NA,"CG","multi","SPEC",NA,FALSE,"","Cool","",NA,17.43027025,20.896,"","yes",125809,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Dixidae","","","","","","","","","","Diptera"
"247","DNI",TRUE,"","","",NA,NA,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",NA,"Animalia","","","","","","","","","","","","DNI","","","","","","DNI"
"248","Dolichopodidae",FALSE,"UN","","T",4,4,NA,NA,"5","PR","multi","GENE",NA,FALSE,"","","Less30",NA,NA,NA,"","",136824,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Brachycera","","Dolichopodidae","","","","","","","","","","Diptera"
"249","Dolophilodes",FALSE,"CN","U","F",1,0,10,8.1,"2","CF","uni","RHEO",TRUE,FALSE,"cold","Cold","",16.6,16.10402054,19.697,"","",115319,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Annulipalpia","Philopotamoidea","Philopotamidae","Philopotaminae","","","Dolophilodes","","","","","","Trichoptera"
"250","Doncricotopus",FALSE,"UN","","",NA,NA,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",128680,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Orthocladiinae","","","Doncricotopus","","","","","","Chironomidae"
"251","Doroneuria",FALSE,"UN","U","F",2,0,15,6.4,"2","PR","semi","RHEO",NA,TRUE,"cold","Cold","",15.6,15.54620448,19.28,"Cold","",103121,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Systellognatha","","Perlidae","Acroneuriinae","Acroneuriini","","Doroneuria","","","","","","Plecoptera"
"252","Drunella",FALSE,"CN","","F",11,1,5,NA,"3","UNKN","UNKN","RHEO",NA,FALSE,"","Cool","",NA,15.49813056,20.75,"","yes",101365,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Drunella","","","","","","Ephemeroptera"
"253","Drunella coloradensis/flavilinea",FALSE,"CN","U","F",11,2,15,8.6,"3","SC","uni","RHEO",NA,FALSE,"cold","Cold","",15.2,15.12527945,18.836,"Cold","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Drunella","","","","","coloradensis/flavilinea","Ephemeroptera"
"254","Drunella doddsii",FALSE,"CN","U","F",0,1,15,4.2,"3","SC","semi","RHEO",NA,FALSE,"cool","Cool","",15.5,15.50782231,20.49,"Cool","",698494,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Drunella","","","","","doddsii","Ephemeroptera"
"255","Drunella grandis/spinifera",FALSE,"CN","","",NA,NA,10,10.6,"3","PR","semi","RHEO",NA,FALSE,"cool","Cool","",15.6,15.67473356,20.647,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Drunella","","","","","grandis/spinifera","Ephemeroptera"
"256","Drunella pelosa",FALSE,"CN","","",NA,0,NA,NA,"1i","SC","uni","HEAD",TRUE,FALSE,"","","Less30",NA,NA,NA,"","",568634,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Drunella","","","","","pelosa","Ephemeroptera"
"257","Dryopidae",FALSE,"UN","","F",11,5,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",113999,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Polyphaga","","Dryopidae","","","","","","","","","","Coleoptera"
"258","Dubiraphia",FALSE,"CN","","F",4,6,NA,37.6,"5","CG","uni","GENE",NA,FALSE,"stenow","Warm Stenotherm","",23.3,23.35822663,27.2,"","",114126,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Polyphaga","","Elmidae","Elminae","Elmini","","Dubiraphia","","","","","","Coleoptera"
"259","Dysmicohermes",FALSE,"CN","","",NA,NA,NA,2,"","","","",NA,FALSE,"","","Less30",16.7,NA,NA,"","",115046,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Megaloptera","","","Corydalidae","Chauliodinae","","","Dysmicohermes","","","","","","Megaloptera"
"260","Dytiscidae",FALSE,"SW","","T",7,5,NA,NA,"3","PR","uni","GENE",NA,FALSE,"","Cool-Warm","",NA,18.78139826,22.058,"","yes",111963,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Adephaga","","Dytiscidae","","","","","","","","","","Coleoptera"
"261","Ecclisocosmoecus scylla",FALSE,"BU","","F",11,0,NA,3.7,"2","SH","semi","RHEO",TRUE,TRUE,"stenoc","Cold Stenotherm","",13.2,14.25516322,17.455,"","",116342,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","Ecclisocosmoecus","","","","","scylla","Trichoptera"
"262","Ecclisomyia",FALSE,"CN","","F",2,4,20,5.9,"2","OM","semi","GENE",NA,FALSE,"stenoc","Cold Stenotherm","",14.3,14.4306806,17.809,"","",116025,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","Ecclisomyia","","","","","","Trichoptera"
"263","Eclipidrilus",FALSE,"UN","","F",11,4,NA,17,"","","","",NA,FALSE,"cool","Cool","",18.8,18.66425787,21.32915383,"","",68473,"Animalia","Annelida","","Clitellata","Oligochaeta","Lumbriculida","","","Lumbriculidae","","","","Eclipidrilus","","","","","","Oligochaeta"
"264","Ectemnia",FALSE,"CN","","",NA,NA,NA,NA,"","CF","","",NA,FALSE,"","","",NA,NA,NA,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Simuliidae","Simuliinae","Prosimuliini","","Ectemnia","","","","","","Diptera"
"265","Ellipteroides",FALSE,"UN","","",NA,NA,NA,NA,NA,"CG","UNKN","SPEC",TRUE,FALSE,"","","",NA,NA,NA,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Limoniidae","Chioneinae","","","Ellipteroides","","","","","","Diptera"
"266","Elmidae",FALSE,"CN","U","F",11,4,NA,NA,NA,"CG","semi","RHEO",NA,TRUE,"","Eurythermal","",NA,19.5226259,22.79,"","yes",114093,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Polyphaga","","Elmidae","","","","","","","","","","Coleoptera"
"267","Eloeophila",FALSE,"BU","U","U",11,4,NA,23.9,"3","PR","uni","DEPO",NA,FALSE,"cold","Cold","",16.1,16.08487826,19.976,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Limoniidae","Limnophilinae","","","Eloeophila","","","","","","Diptera"
"268","Empididae",FALSE,"SP","","F",6,6,NA,NA,"4","PR","uni","RHEO",NA,FALSE,"","Eurythermal","",NA,17.07492216,22.128,"","yes",135830,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Brachycera","","Empididae","","","","","","","","","","Diptera"
"269","Empididae Genus A",FALSE,"UN","","F",6,6,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Brachycera","","Empididae","","","","Genus A","","","","","","Diptera"
"270","Enchytraeidae",FALSE,"UN","","F",1,4,NA,NA,"","","","",NA,FALSE,"","Cool","",NA,15.76726475,20.705,"","yes",68510,"Animalia","Annelida","","Clitellata","Oligochaeta","Enchytraeida","","","Enchytraeidae","","","","","","","","","","Oligochaeta"
"271","Enchytraeus",FALSE,"UN","","F",11,4,NA,27.7,"","","","",NA,FALSE,"cool","Cool","",17.8,17.88051793,21.292,"","",68531,"Animalia","Annelida","","Clitellata","Oligochaeta","Enchytraeida","","","Enchytraeidae","","","","Enchytraeus","","","","","","Oligochaeta"
"272","Endochironomus",FALSE,"UN","T","F",6,10,NA,NA,"5","MH","multi","GENE",NA,FALSE,"","","Less30",NA,NA,NA,"","",129470,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Chironominae","Chironomini","","Endochironomus","","","","","","Chironomidae"
"273","Endotribelos",FALSE,"UN","","",NA,NA,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",130046,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Chironominae","Chironomini","","Endotribelos","","","","","","Chironomidae"
"274","Enochrus",FALSE,"SW","","F",11,10,NA,32.1,NA,"PR","uni","GENE",NA,FALSE,"","","Less30",18.7,NA,NA,"","",112973,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Polyphaga","","Hydrophilidae","Hydrophilinae","Hydrophilini","","Enochrus","","","","","","Coleoptera"
"275","Eobrachycentrus",FALSE,"NEEDS_REVIEW","","",NA,NA,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Brachycentridae","","","","Eobrachycentrus","","","","","","Trichoptera"
"276","Eocosmoecus",FALSE,"UN","","F",11,0,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",568777,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","Eocosmoecus","","","","","","Trichoptera"
"277","Eocosmoecus frontalis",FALSE,"UN","","",NA,NA,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",605199,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","Eocosmoecus","","","","","frontalis","Trichoptera"
"278","Epeorus",FALSE,"CN","U","F",0,2,10,NA,"3","SC","uni","RHEO",NA,FALSE,"","Cool","",NA,15.22671788,21.92,"","yes",100626,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Heptageniidae","","","","Epeorus","","","","","","Ephemeroptera"
"279","Epeorus Albertae Group",FALSE,"CN","","",NA,0,NA,9.3,"4","SC","uni","RHEO",NA,FALSE,"eurythermal","Eurythermal","",18.5,18.54317421,24.83,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Heptageniidae","","","","Epeorus","","Albertae Gr.","","","","Ephemeroptera"
"280","Epeorus deceptivus",FALSE,"CN","U","F",0,0,10,NA,"2","SC","uni","RHEO",NA,FALSE,"stenoc","Cold Stenotherm","",12.7,12.37860971,16.999,"","",100632,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Heptageniidae","","","","Epeorus","","","","","deceptivus","Ephemeroptera"
"281","Epeorus Grandis Group",FALSE,"CN","U","F",0,0,15,3.9,"2","SC","uni","RHEO",NA,FALSE,"cold","Cold","",13.6,13.61842129,18.622,"Cold","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Heptageniidae","","","","Epeorus","","Grandis Gr.","","","","Ephemeroptera"
"282","Epeorus longimanus",FALSE,"CN","U","F",0,1,15,6.6,"3","SC","uni","RHEO",NA,FALSE,"cool","Cool","",17,16.78427389,20.717,"","",100637,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Heptageniidae","","","","Epeorus","","Pleuralis Gr.","","","longimanus","Ephemeroptera"
"283","Ephemera",FALSE,"BU","","F",11,2.5,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",101526,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemeridae","","","","Ephemera","","","","","","Ephemeroptera"
"284","Ephemerella",FALSE,"CN","","F",11,1.5,NA,11.3,"3","CG","uni","RHEO",NA,FALSE,"","Cool","",NA,17.43456409,21.587,"","yes",101233,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Ephemerella","","","","","","Ephemeroptera"
"285","Ephemerella alleni",FALSE,"UN","","",NA,NA,NA,11.3,"2","CG","uni","RHEO",TRUE,FALSE,"","","Less30",NA,NA,NA,"","",101251,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Ephemerella","Ephemerella","","","","alleni","Ephemeroptera"
"286","Ephemerella aurivillii",FALSE,"CN","","F",11,0,NA,11.3,"3","CG","uni","GENE",NA,FALSE,"warm","Warm","",19.8,19.68626379,26.792,"","",101255,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Ephemerella","Ephemerella","","","","aurivillii","Ephemeroptera"
"287","Ephemerella Excrucians Group",FALSE,"CN","F","",3,4,NA,11.3,"4","CG","uni","RHEO",NA,FALSE,"cool","Cool","",17.3,17.23179412,20.84,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Ephemerella","Ephemerella","Excrucians Gr.","","","","Ephemeroptera"
"288","Ephemerella needhami",FALSE,"CN","","",NA,1,NA,11.3,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",101291,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Ephemerella","Draeconia","","","","needhami","Ephemeroptera"
"289","Ephemerella tibialis",FALSE,"CN","U","F",1,2,5,11.3,"4","CG","uni","RHEO",NA,FALSE,"cool","Cool","",17.4,17.11673253,20.535,"","",101401,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Ephemerella","Vittapallia","","","","tibialis","Ephemeroptera"
"290","Ephemerella verruca",FALSE,"CN","","",NA,NA,NA,11.3,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Ephemerella","","","","","verruca","Ephemeroptera"
"291","Ephemerellidae",FALSE,"CN","","F",11,1,NA,NA,"3","CG","uni","RHEO",NA,FALSE,"","Cool","",NA,15.7177632,21.425,"","yes",101232,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","","","","","","","Ephemeroptera"
"292","Ephemeridae",FALSE,"BU","","F",11,4,NA,NA,NA,"CG","semi","GENE",NA,FALSE,"","","Less30",NA,NA,NA,"","",101525,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemeridae","","","","","","","","","","Ephemeroptera"
"293","Ephemeroptera",FALSE,"UN","","F",11,NA,NA,NA,"","","","",NA,FALSE,"","Eurythermal","",NA,16.65900343,22.421,"","yes",100502,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","","","","","","","","","","","","","Ephemeroptera"
"294","Ephoron",FALSE,"BU","","F",11,2,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",101570,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Polymitarcyidae","","","","Ephoron","","","","","","Ephemeroptera"
"295","Ephydridae",FALSE,"BU","","F",11,6,NA,53.8,"4","CG","multi","GENE",NA,FALSE,"warm","Warm","",22.8,23.29080332,24.706,"","",146893,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Brachycera","","Ephydridae","","","","","","","","","","Diptera"
"296","Epiphragma",FALSE,"UN","","",NA,NA,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",120081,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Limoniidae","Limnophilinae","","","Epiphragma","","","","","","Diptera"
"297","Epitheca",FALSE,"UN","","F",11,NA,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",102035,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Anisoptera","","Corduliidae","Corduliinae","","","Epitheca","","","","","","Odonata"
"298","Epoicocladius",FALSE,"UN","","F",11,4,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",128682,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Orthocladiinae","","","Epoicocladius","","","","","","Chironomidae"
"299","Eretmoptera",FALSE,"CN","","",NA,NA,NA,NA,NA,"SC","multi","SPEC",NA,FALSE,"","","Less30",NA,NA,NA,"","",128686,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Orthocladiinae","","","Eretmoptera","","","","","","Chironomidae"
"300","Erioptera",FALSE,"BU","","T",11,7,NA,NA,NA,"CG","UNKN","SPEC",TRUE,FALSE,"","","Less30",NA,NA,NA,"","",120503,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Limoniidae","Chioneinae","","","Erioptera","","","","","","Diptera"
"301","Eristalis",FALSE,"UN","","",NA,NA,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",140904,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Brachycera","","Syrphidae","Eristalinae","Eristaliini","","Eristalis","","","","","","Diptera"
"302","Erpetogomphus",FALSE,"BU","","F",11,2.5,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",101725,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Anisoptera","","Gomphidae","","","","Erpetogomphus","","","","","","Odonata"
"303","Erpobdella",FALSE,"UN","","F",11,8,NA,67.1,"","","","",NA,TRUE,"warm","Warm","",21.8,21.68450719,26.89,"","",69444,"Animalia","Annelida","","Clitellata","Hirudinea","Arhynchobdellida","Erpobdelliformes","","Erpobdellidae","Erpobdellinae","","","Erpobdella","","","","","","Other Non-Insect"
"304","Erythemis",FALSE,"UN","F","F",11,9,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",101865,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Anisoptera","","Libellulidae","","","","Erythemis","","","","","","Odonata"
"305","Estelloxus",FALSE,"UN","","",11,NA,NA,33.9,"","PR","","",NA,FALSE,"cold","Cold","",18.2,15.57772299,18.381,"","",83048,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Lebertiidae","","","","Estelloxus","","","","","","Other Non-Insect"
