NEW,Oecetis furva,,,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Oecetini,Oecetis,,furva,,,,,,,,,,,,,,,,,,,,,,,
NEW,Hydropsyche incommoda,,,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Hydropsychidae,Hydropsychinae,,Hydropsyche,,incommoda,,,,,,,,,,,,,,,,,,,,,,,
NEW,Enallagma signatum,,,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Zygoptera,Coenagrionidae,,,Enallagma,,signatum,,,,,,,,,,,,,,,,,,,,,,,
NEW,Fossaria rustica,,,,,,,Mollusca,,Gastropoda,,Basommatophora,,Lymnaeidae,,,Fossaria,,rustica,,,,,,,,,,,,,,,,,,,,,,,
NEW,Doncricotopus bicaudatus,,,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,,Doncricotopus,,bicaudatus,,,,,,,,,,,,,,,,,,,,,,,
NEW,Maccaffertium mexicanum,,,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Maccaffertium,,mexicanum,,,,,,,,,,,,,,,,,,,,,,,
NEW,Micrasema sprulesi,,,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Brachycentridae,,,Micrasema,,sprulesi,,,,,,,,,,,,,,,,,,,,,,,
NEW,Roederiodes,,,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Empididae,Clinocerinae,,Roederiodes,,,,,,,,,,,,,,,,,,,,,,,,,
9,Hirudinidae,Hirudinea,Hirudinidae,Hirudinidae,Hirudinidae,69407,568835,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Hirudinidae,,,,,,,Family,8,WSA,PR,WSA,,WSA,,FALSE,,38734,WSA,No,,Yes,,,,5,5,5,5
10,Haemopis,Hirudinea,NA,NA,NA,69408,568844,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Hirudinidae,Haemopinae,,Haemopis,,,,Genus,,WSA,PR,USEPA 1990 Draft,,WSA,,FALSE,,38734,WSA,No,,Yes,,,,,,,
11,Glossiphoniidae,Hirudinea,NA,NA,Glossiphoniidae,69357,69295,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,,,,,Family,7,WSA,PR,WSA,SP,WSA,,FALSE,,38734,WSA,No,,Yes,,,,5,5,5,5
12,Actinobdella,Hirudinea,NA,NA,NA,69384,568848,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Actinobdella,,,,Genus,,WSA,,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
13,Alboglossiphonia,Hirudinea,NA,NA,NA,69388,568848,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Alboglossiphonia,,,,Genus,,WSA,,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
14,Batracobdella,Hirudinea,NA,NA,NA,69358,69357,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,Batracobdella,,,,Genus,,WSA,PR,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
15,Glossiphonia,Hirudinea,NA,NA,NA,69380,568849,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Glossiphonia,,,,Genus,,WSA,PR,RBP2 1999,,WSA,,FALSE,,38734,WSA,No,,Yes,,,,,,,
16,Helobdella,Hirudinea,NA,Helobdella,Glossiphoniidae,69396,568848,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Helobdella,,,,Genus,,RBP2 1999 (ID),PR,WSA,SP,WSA,,FALSE,,38734,WSA,No,,Yes,,,,5,5,5,5
17,Helobdella elongata,Hirudinea,Helobdella elongata,Helobdella,Glossiphoniidae,69397,69396,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,Helobdella,,Helobdella elongata,,Species,6,USEPA 1990 Draft,PR,WSA,SP,WSA,,FALSE,,38734,WSA,No,,Yes,,,,5,5,,
18,Helobdella stagnalis,Hirudinea,Helobdella stagnalis,Helobdella,Glossiphoniidae,69398,69396,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Helobdella,,Helobdella stagnalis,,Species,8,WSA,PR,WSA,SP,WSA,,FALSE,,38734,WSA,No,,Yes,,,,5,5,5,5
19,Placobdella,Hirudinea,NA,NA,NA,69363,568849,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Placobdella,,,,Genus,9,WSA,PR,WSA,,WSA,,FALSE,,38734,WSA,No,,Yes,,,,,,,
20,Placobdella ornata,Hirudinea,Placobdella ornata,Placobdella,Glossiphoniidae,69366,69363,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Placobdella,,Placobdella ornata,,Species,,WSA,PR,WSA,,WSA,,FALSE,,38734,WSA,No,,Yes,,,,5,5,5,5
21,Placobdella parasitica,Hirudinea,NA,NA,NA,69365,69363,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Placobdella,,Placobdella parasitica,,Species,9,WSA,PR,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
22,Piscicola,Hirudinea,NA,NA,NA,69304,568852,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Piscicolidae,Piscicolinae,,Piscicola,,,,Genus,,RBP2 1999 (ID),PR,WSA,SP,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
23,Branchiobdellidae,Branchiobdellida,Branchiobdellida,Branchiobdellida,Branchiobdellida,69169,69168,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Branchiobdellidae,,,,,,,Family,7,WSA,CG,WSA,CB,WSA,,FALSE,,38734,WSA,No,,Yes,,,,4,4,4,4
24,Cambarincolidae,Branchiobdellida,NA,NA,NA,69209,69168,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Cambarincolidae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,x,,,,
25,Cambarincolidae/Xironodrilidae,Branchiobdellida,NA,NA,NA,,,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Cambarincolidae,,,,,,,Genus,,WSA,,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
26,Branchiobdellida,Branchiobdellida,Branchiobdellida,Branchiobdellida,Branchiobdellida,69168,68422,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Cambarincolidae,,,,,,,Order,8,WSA,CG,WSA,,WSA,,FALSE,,38734,WSA,No,5,Yes,5,x,,4,4,4,4
27,Cambarincola,Branchiobdellida,NA,NA,NA,69258,69209,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Cambarincolidae,,,Cambarincola,,,,Genus,,WSA,,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
28,Enchytraeidae,Oligochaeta,NA,NA,NA,68510,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Enchytraeidae,,,,,,,Family,9,WSA,CG,WSA,BU,WSA,,FALSE,,38734,WSA,No,x,No,x,,,,,x,x
29,Haplotaxida,Oligochaeta,NA,NA,NA,68498,68422,Annelida,,Clitellata,Oligochaeta,Haplotaxida,,,,,,,,,Order,,WSA,CG,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,4,,,x,x
30,Lumbricidae,Oligochaeta,NA,NA,NA,69165,69069,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Lumbricina,Lumbricidae,,,,,,,Family,9,WSA,CG,WSA,BU,WSA,,FALSE,,38734,WSA,No,,No,,,,,,x,x
31,Megascolecidae,Oligochaeta,NA,NA,NA,69166,69069,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Lumbricina,Megascolecidae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
32,Opistocystidae,Oligochaeta,NA,NA,NA,69041,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Opistocystidae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
33,Haplotaxis,Oligochaeta,NA,NA,NA,68505,68504,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Haplotaxina,Haplotaxidae,,,Haplotaxis,,,,Genus,,WSA,,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
34,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,68422,568832,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,,,,,,,,Class,6,WSA,CG,WSA,BU,WSA,,FALSE,,38734,WSA,No,4,Yes,4,x,,5,5,5,5
35,Tubificina,Oligochaeta,NA,NA,NA,68509,68498,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,,,,,,,,SubOrder,,WSA,,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
36,Naididae,Oligochaeta,Naididae,Naididae,Naididae,68854,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,,,,,Family,9,WSA,CG,WSA,BU,WSA,,FALSE,,38734,WSA,No,,No,,,,4,4,4,4
37,Arcteonais lomondi,Oligochaeta,NA,NA,NA,68976,68975,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Arcteonais,,Arcteonais lomondi,,Species,7,WSA,CG,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
38,Chaetogaster,Oligochaeta,NA,NA,NA,68934,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Chaetogaster,,,,Genus,6,WSA,PR,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
39,Dero,Oligochaeta,NA,NA,NA,68898,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Dero,,,,Genus,9,WSA,CG,WSA,BU,WSA,,FALSE,,38734,WSA,No,x,No,x,,,,,,
40,Nais,Oligochaeta,NA,NA,NA,198375,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Nais,,,,Genus,8,WSA,CG,WSA,BU,WSA,,FALSE,,38734,WSA,No,,No,,,,,,x,x
41,Ophidonais serpentina,Oligochaeta,NA,NA,NA,68996,68995,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Ophidonais,,Ophidonais serpentina,,Species,6,WSA,CG,WSA,BU,WSA,,FALSE,,38734,WSA,No,4,No,4,,,,,x,x
42,Pristina,Oligochaeta,NA,NA,NA,68876,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Pristina,,,,Genus,9,WSA,CG,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,x,x
43,Pristinella,Oligochaeta,NA,NA,NA,69024,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Pristinella,,,,Genus,7,WSA,CG,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
44,Slavina appendiculata,Oligochaeta,NA,NA,NA,68856,68855,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Slavina,,Slavina appendiculata,,Species,7,WSA,CG,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
45,Specaria josinae,Oligochaeta,NA,NA,NA,68985,68984,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Specaria,,Specaria josinae,,Species,6,WSA,CG,WSA,BU,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
46,Stylaria lacustris,Oligochaeta,NA,NA,NA,68872,68871,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Stylaria,,lacustris,,Species,7,WSA,CG,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
47,Uncinais,Oligochaeta,NA,NA,NA,68989,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Uncinais,,,,Genus,,WSA,,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
49,Tubificidae,Oligochaeta,NA,NA,NA,68585,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,,,,,Family,9,WSA,CG,WSA,CN,WSA,,FALSE,,38734,WSA,No,5,No,5,,,,,5,5
50,Aulodrilus,Oligochaeta,NA,NA,NA,68679,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Aulodrilus,,,,Genus,5,WSA,CG,WSA,SP,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
51,Aulodrilus limnobius,Oligochaeta,NA,NA,NA,68682,68679,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Aulodrilus,,Aulodrilus limnobius,,Species,7,WSA,CG,WSA,SP,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
52,Aulodrilus pigueti,Oligochaeta,NA,NA,NA,68680,68679,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Aulodrilus,,Aulodrilus pigueti,,Species,6,WSA,CG,WSA,SP,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
53,Aulodrilus pluriseta,Oligochaeta,NA,NA,NA,68684,68679,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Aulodrilus,,Aulodrilus pluriseta,,Species,6,WSA,CG,WSA,SP,WSA,,FALSE,,38734,WSA,No,x,No,x,,,,,x,x
54,Bothrioneurum vejdovskyanum,Oligochaeta,NA,NA,NA,68779,68778,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Bothrioneurum,,Bothrioneurum vejdovskyanum,,Species,5,WSA,SC,WSA,BU,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
55,Branchiura,Oligochaeta,NA,NA,NA,89404,83677,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Branchiura,,,,Genus,,WSA,CG,WSA,CB,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
56,Branchiura sowerbyi,Oligochaeta,NA,NA,NA,68621,68619,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Branchiura,,Branchiura sowerbyi,,Species,8,WSA,CG,WSA,CB,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
57,Ilyodrilus,Oligochaeta,NA,NA,NA,68660,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Ilyodrilus,,,,Genus,10,WSA,,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
58,Ilyodrilus templetoni,Oligochaeta,NA,NA,NA,68662,68660,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Ilyodrilus,,Ilyodrilus templetoni,,Species,10,USEPA 1990 Draft,CG,WSA,,WSA,,FALSE,,38734,WSA,No,x,No,x,,,,,5,x
59,Isochaetides curvisetosus,Oligochaeta,NA,NA,NA,68809,68808,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Isochaetides,,Isochaetides curvisetosus,,Species,8,WSA,CG,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
60,Limnodrilus,Oligochaeta,NA,NA,NA,68638,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Limnodrilus,,,,Genus,8,WSA,CG,WSA,CN,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
61,Limnodrilus hoffmeisteri,Oligochaeta,NA,NA,NA,68639,68638,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Limnodrilus,,Limnodrilus hoffmeisteri,,Species,10,WSA,CG,WSA,BU,WSA,,FALSE,,38734,WSA,No,5,No,5,,,,,5,x
62,Peloscolex,Oligochaeta,NA,NA,NA,68588,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Peloscolex,,,,Genus,10,WSA,CG,USEPA 1990 Draft,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
63,Quistradrilus,Oligochaeta,NA,NA,NA,68793,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Quistradrilus,,,,Genus,10,WSA,CG,WSA,,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
64,Spirosperma,Oligochaeta,NA,NA,NA,68780,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Spirosperma,,,,Genus,10,WSA,CG,WSA,CN,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
65,Spirosperma ferox,Oligochaeta,NA,NA,NA,68610,68780,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Spirosperma,,Spirosperma ferox,,Species,8,WSA,CG,WSA,CN,WSA,,FALSE,,38734,WSA,No,,No,,,,,,,
66,Tubifex,Oligochaeta,NA,NA,NA,68622,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Tubifex,,,,Genus,10,WSA,CG,RBP2 1999,BU,WSA,,FALSE,,38734,WSA,No,,No,,,,,,5,5
67,Tubifex tubifex,Oligochaeta,NA,NA,NA,68623,68622,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Tubifex,,tubifex,,Species,10,WSA,CG,WSA,BU,WSA,,FALSE,,38734,WSA,No,5,No,5,,,,,5,5
