project,dir_results,filename,taxaid,calc,calc_taxaid,col_drop,taxaid_drop,metadata_filename,attributes_metadata_filename,attributes_filename,attributes_taxaid
Great Plains BCG (Fish),BCG,GreatPlains_BCG_Fish_Taxa_Translator_20240608.csv,TaxaID_orig,BCG,OTU_BCG,,DNI,GreatPlains_BCG_Fish_Taxa_Translator_Metadata_20240606.csv,GreatPlains_BCG_Fish_Attributes_Metadata_20240606.csv,GreatPlains_BCG_Fish_Attributes_20240608.csv,TAXAID
Great Plains BCG (IA Bugs),BCG,GreatPlains_BCG_IA_Bugs_TaxaTranslator_20240508.csv,orig_FinalID_IA,BCG,OTU_BCG_IA,,DNI,GreatPlains_BCG_IA_Bugs_Taxa_Translator_Metadata_20240508.csv,GreatPlains_BCG_IA_Bugs_Attributes_Metadata_20240508.csv,GreatPlains_BCG_IA_Bugs_Attributes_20240508.csv,TaxaID
Great Plains BCG (KS Bugs),BCG,GreatPlains_BCG_KS_Bugs_TaxaTranslator_20240508.csv,TaxaID_orig,BCG,OTU_BCG,,DNI,GreatPlains_BCG_KS_Bugs_Taxa_Translator_Metadata_20240508.csv,GreatPlains_BCG_KS_Bugs_Attributes_Metadata_20240508.csv,GreatPlains_BCG_KS_Bugs_Attributes_20240508.csv,TaxaID
Great Plains BCG (MO Bugs),BCG,GreatPlains_BCG_MO_Bugs_TaxaTranslator_20240508.csv,orig_TaxaID,BCG,OTU_BCG_MO,,DNI,GreatPlains_BCG_MO_Bugs_Taxa_Translator_Metadata_20240508.csv,GreatPlains_BCG_MO_Bugs_Attributes_Metadata_20240508.csv,GreatPlains_BCG_MO_Bugs_Attributes_20240531.csv,TaxaID
Great Plains BCG (NE Bugs),BCG,GreatPlains_BCG_NE_Bugs_TaxaTranslator_20240515.csv,orig_FinalID_NE,BCG,OTU_BCG_NE,,DNI,GreatPlains_BCG_NE_Bugs_Taxa_Translator_Metadata_20240508.csv,GreatPlains_BCG_NE_Bugs_Attributes_Metadata_20240508.csv,GreatPlains_BCG_NE_Bugs_Attributes_20240513.csv,TaxaID
