Date,TypeOfChange,Taxon_orig,Taxon_modified,Notes
20240606,change OTU_BCG,ACARINA,ACARI,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,AEDES VEXANS,AEDES,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,AMERCAENIS,AMERCAENIS RIDENS,One species in NE. Sean Sullivan
20240606,change OTU_BCG,AMIOCENTRUS,BRACHYCENTRIDAE,questionable ID. Sean Sullivan
20240606,change OTU_BCG,AMPHICHAETA LEYDIGI,AMPHICHAETA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,ANODONTA GRANDIS,PYGANODON GRANDIS,nomenclature change
20240606,change OTU_BCG,ANOPHELES PSEUDOPUNCTIPENNIS,ANOPHELES,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,ANOPHELES WALKERI,ANOPHELES,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,ANTOCHA OBTUSA,ANTOCHA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,APOBAETIS LAKOTA,APOBAETIS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,ARCHILESTES GRANDIS,ARCHILESTES,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,ASELLUS INTERMEDIUS,ASELLUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,ATHERICIDAE,ATHERIX,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,ATHERIX LANTHA,ATHERIX,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,AXARUS SCOPULA,AXARUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,BAETIS FUSCATUS,BAETIS FUSCATUS GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,BAETIS FUSCATUS GR.,BAETIS FUSCATUS GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,BAETIS INTERCALARIS COMPLEX,BAETIS INTERCALARIS,syntax recommended by Sean Sullivan
20240606,change OTU_BCG,BAETIS RHODANI GR.,BAETIS RHODANI GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,BAETIS TRICAUDATUS,BAETIS TRICAUDATUS COMPLEX,syntax
20240606,change OTU_BCG,BEZZIA,CERATOPOGONINAE,subfamily level recommended by Sean Sullivan
20240606,change OTU_BCG,BEZZIA / PALPOMYIA,CERATOPOGONINAE,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,BRACHYCENTRIDAE OCCIDENTALIS,BRACHYCENTRUS OCCIDENTALIS,bad name combo (should be genus not family)
20240606,change OTU_BCG,BRANCHIOBDELLIDAE,BRANCHIOBDELLIDA,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,CAECIDOTEA INTERMEDIA,CAECIDOTEA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,CAMBARINCOLA,BRANCHIOBDELLIDA,questionable ID
20240606,change OTU_BCG,CARDIOCLADIUS OBSCURUS,CARDIOCLADIUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,CELITHEMIS ELISA,CELITHEMIS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,CENTROPTILUM,ANAFROPTILUM,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,CERATOPOGON,CERATOPOGONINAE,subfamily level recommended by Sean Sullivan
20240606,change OTU_BCG,CHAETOGASTER DIAPHANUS,CHAETOGASTER,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,CHAETOGASTER DIASTROPHUS,CHAETOGASTER,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,CHAOBORUS PUNCTIPENNIS,CHAOBORUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,CHAULIODES,CHAULIODES RASTRICORNIS,One species in NE. Sean Sullivan
20240606,change OTU_BCG,CHERNOVSKIIA AMPHITRITE,CHERNOVSKIIA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,CHERNOVSKIIA ORBICUS,CHERNOVSKIIA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,CHIONEINAE,LIMONIIDAE,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,CORDYLOPHORA LACUSTRIS,HYDROZOA,
20240606,change OTU_BCG,CORYDALUS,CORYDALUS CORNUTUS,One species in NE. Sean Sullivan
20240606,change OTU_BCG,CRANGONYX GRACILIS,CRANGONYX,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,CRICOTOPUS / ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS,formatting (spaces)
20240606,change OTU_BCG,CRICOTOPUS BICINCTUS,CRICOTOPUS BICINCTUS GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,CRICOTOPUS SYLVESTRIS,CRICOTOPUS SYLVESTRIS GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,CRICOTOPUS SYLVESTRIS GR.,CRICOTOPUS SYLVESTRIS GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,CRICOTOPUS TREMULUS,CRICOTOPUS TREMULUS GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,CRICOTOPUS TREMULUS GR.,CRICOTOPUS TREMULUS GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,CRICOTOPUS TRIFASCIA,CRICOTOPUS TRIFASCIA GROUP,syntax recommended by Sean Sullivan
20240606,change OTU_BCG,CRICOTOPUS TRIFASCIATUS,CRICOTOPUS TRIFASCIA GROUP,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,CULEX PIPIENS,CULEX,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,CULEX QUINQUEFASCIATUS,CULEX,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,CULEX RESTUANS,CULEX,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,CULEX SALINARIUS,CULEX,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,CULEX TARSALIS,CULEX,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,CYMBIODYTA TODDI,CYMBIODYTA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,CYRNELLUS FRATERNUS,CYRNELLUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,DACTYLOBAETIS,CAMELOBAETIDIUS,nomenclature change
20240606,change OTU_BCG,DASHYELEINAE,DASYHELEA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,DASYHELEINAE,DASYHELEA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,DERO DIGITATA,DERO,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,DERO DORSALIS,DERO,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,DERO FURCATA,DERO,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,DERO LODENI,DERO,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,DERO NIVEA,DERO,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,DERO VAGA,DERO,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,DESSEROBDELLA PICTA,PLACOBDELLA PICTA,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,DIBOLOCELUS,HYDROPHILUS,nomenclature change and questionable ID
20240606,change OTU_BCG,DINA,ERPOBDELLA,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,DIPLOCLADIUS,DIPLOCLADIUS CULTRIGER,One species in NE. Sean Sullivan
20240606,change OTU_BCG,DUBIRAPHIA VITTATA,DUBIRAPHIA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,DUGESIA,TREPAXONEMATA,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,DUGESIA TIGRINA,TREPAXONEMATA,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,ECDYONURINAE,HEPTAGENIIDAE,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,ENALLAGMA PRAEVARUM,ENALLAGMA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,EPHEMERELLA EXCRUCIANS,EPHEMERELLA EXCRUCIANS GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,EPHEMERELLA EXCRUCIANS GR.,EPHEMERELLA EXCRUCIANS GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,EUKIEFFERIELLA CLARIPENNIS,EUKIEFFERIELLA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,FALLCEON QUILLERI,FALLCEON,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,FERRISSIA RIVULARIS,FERRISSIA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,FORCIPOMYIA,FORCIPOMYIINAE,subfamily recommended by Sean Sullivan
20240606,change OTU_BCG,FOSSARIA,GALBA,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,FOSSARIA BULIMOIDES,GALBA,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,FOSSARIA HUMILIS,GALBA,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,FOSSARIA OBRUSSA,GALBA,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,FREDERICELLA SULTANA,GALBA,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,GAMMARUS LACUSTRIS,GAMMARUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,GLOSSIPHONIA COMPLANATA,GLOSSIPHONIA ELEGANS,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,GOMPHURUS,GOMPHIDAE,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,GOMPHUS,GOMPHIDAE,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,HELICOPSYCHE BOREALIS,HELICOPSYCHE,genus level recommended by Sean Sullivan
