TaxaID,RANK,NONTARGET,BCG_ATTR,FFG,FFGSource_BCG,Habit,HabitSource_BCG,TolVal,TolValSource_BCG,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,GENUS,AUTHOR,TSN,PARTSN,BENTAXAID,TOLVAL_NM,TOLVALSOURCE_NM,TOLVAL_ED,TOLVALSOURCE_ED,TOLVALWI,TOLVALKANOD,TOLVALKAAP,TOLVALKAHM,TOLVALKAPOC,TOLVALKASA,TOLVALKASSS,TOLVALKASOURCE,TOLVALIDSS,TOLVALIDSSSOURCE,FFG_NM,FFGSOURCE_NM,FFG_ED,FFGSECONDARY,FFGTERTIARY,FFGSOURCE_ED,HABIT_NM,HABITSECONDARY,HABITTERTIARY,HABITSOURCE,HABITATPRIMARY,HABITATSECONDARY,HABITATTERTIARY,HABITATSOURCE,LIFECYCLE_NM,LIFECYCLESOURCE,LIFECYCLE1,LIFECYCLE1SOURCE,LIFECYCLE2,LIFECYCLE2SOURCE,TEMPTOLERANCE,TEMPTOLERANCESOURCE,COMMENTS_NM,JACOBI_ID,NM_TAXON_ID
Hydrovolziidae,Family,FALSE,,,,,,,,Arthropoda,,Arachnida,Acari,Acariformes,,Hydrovolziidae,,,,,83118,82754,2140,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,28522
Hygrobates,Genus,FALSE,4,PR,AZ DEQ,,,,,Arthropoda,,Arachnida,Acari,Acariformes,,Hygrobatidae,,,Hygrobates,"Koch, 1837",83297,83281,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,22832
Hygrobatidae,Family,FALSE,,,,,,,,Arthropoda,,Arachnida,Acari,Acariformes,,Hygrobatidae,,,,,83281,82754,2142,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,22830
Koenikea,Genus,FALSE,,,,,,,,Arthropoda,,Arachnida,Acari,Trombidiformes,,Unionicolidae,,,Koenikea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krendowskia,Genus,FALSE,,,,,,,,Arthropoda,,Arachnida,Acari,Trombidiformes,,Krendowskiidae,,,Krendowskia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebertia,Genus,FALSE,4,PR,AZ DEQ,,,8,03_WSA,Arthropoda,,Arachnida,Acari,Acariformes,,Lebertiidae,,,Lebertia,"Neumann, 1880",83034,83033,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,22835
Lebertiidae,Family,FALSE,,,,,,,,Arthropoda,,Arachnida,Acari,Acariformes,,Lebertiidae,,,,"Thor, 1900",83033,82754,2141,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,22834
Limnesia,Genus,FALSE,4,,,,,,,Arthropoda,,Arachnida,Acari,Acariformes,,Limnesiidae,,,Limnesia,"Koch, 1835",83051,83050,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,22837
Limnesiidae,Family,FALSE,,,,,,,,Arthropoda,,Arachnida,Acari,Acariformes,,Limnesiidae,,,,,83050,82754,2138,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,22836
Mideopsis,Genus,FALSE,4,,,,,,,Arthropoda,,Arachnida,Acari,Trombidiformes,,Mideopsidae,,,Mideopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neumania,Genus,FALSE,4,PR,AZ DEQ,,,,,Arthropoda,,Arachnida,Acari,Trombidiformes,,Unionicolidae,,,Neumania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oribatida,SubOrder,FALSE,4,PR,AZ DEQ,,,,,Arthropoda,,Arachnida,Acari,Sarcoptiformes,,,,,,,83544,83538,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,28513
Piona,Genus,FALSE,,,NRSA,,NRSA,8,NRSA,Arthropoda,,Arachnida,,Trombidiformes,,Pionidae,,,Piona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prostigmata,SubOrder,FALSE,,,,,,,,Arthropoda,,Arachnida,,Trombidiformes,,,,,,,82770,82769,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,28516
Protzia,Genus,FALSE,4,PR,AZ DEQ,,,,,Arthropoda,,Arachnida,Acari,Acariformes,,Protziidae,,,Protzia,"Piersig, 1896",83170,83164,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,28535
Protziidae,Family,FALSE,,,,,,,,Arthropoda,,Arachnida,Acari,Acariformes,,Protziidae,,,,,83164,82754,2139,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,28533
Sarcoptiformes,Order,FALSE,,,NRSA,,NRSA,8,NRSA,Arthropoda,,Arachnida,Acari,Sarcoptiformes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sperchon,Genus,FALSE,4,PR,AZ DEQ,,,8,03_WSA,Arthropoda,,Arachnida,Acari,Acariformes,,Sperchonidae,,,Sperchon,"Kramer, 1877",83006,83005,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,22851
Sperchonidae,Family,FALSE,,,,,,,,Arthropoda,,Arachnida,Acari,Acariformes,,Sperchonidae,,,,"Thor, 1900",83005,82754,2134,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,22850
Sperchonopsis,Genus,FALSE,,PR,AZ DEQ,,,8,03_WSA,Arthropoda,,Arachnida,Acari,Acariformes,,Sperchonidae,,,Sperchonopsis,,83029,83005,2129,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,22852
Testudacarus,Genus,FALSE,3,PR,AZ DEQ,,,,,Arthropoda,,Arachnida,Acari,Acariformes,,Torrenticolidae,,,Testudacarus,"Walter, 1928",83250,83249,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,28540
Torrenticola,Genus,FALSE,4,PR,AZ DEQ,,,8,,Arthropoda,,Arachnida,Acari,Acariformes,,Torrenticolidae,,,Torrenticola,"Oiersig, 1896",83254,83249,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,22855
Torrenticolidae,Family,FALSE,,,,,,,,Arthropoda,,Arachnida,Acari,Acariformes,,Torrenticolidae,,,,"Thor, 1902",83249,82754,2144,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,22854
Trombidiformes,Order,FALSE,,,,,,,,Arthropoda,,Arachnida,,Trombidiformes,,,,,,,82769,82754,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,22560
Tyrrellia,Genus,FALSE,,,,,,,,Arthropoda,,Arachnida,Acari,Trombidiformes,,Limnesiidae,,,Tyrrellia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unionicola,Genus,FALSE,,,NRSA,,NRSA,8,NRSA,Arthropoda,,Arachnida,,Trombidiformes,,Unionicolidae,,,Unionicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unionicolidae,Family,FALSE,,,NRSA,,NRSA,8,NRSA,Arthropoda,,Arachnida,,Trombidiformes,,Unionicolidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anodonta,Genus,FALSE,,,,,,,,Mollusca,,Bivalvia,,Unionoida,,Unionidae,,,Anodonta,"Lamarck, 1799",79930,79913,1905,8,EPA 841-B-99-002,8,EPA 841-B-99-002,,,,,,,,,,,,,,,,EPA 841-B-99-002,,,,,,,,,,,,,,,Eurythermal: warm summer,IdahoDEQ-WBAG-2002,No Comments,,25381
Anodonta californiensis,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Unionoida,,Unionidae,,,Anodonta,"I. Lea, 1852",79944,79930,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eurythermal: warm summer,inferred,No Comments,,999967
Bivalvia,Class,FALSE,,,NRSA,,NRSA,,NRSA,Mollusca,,Bivalvia,,,,,,,,"Linnaeus, 1758",79118,69458,1877,6,Jacobi,,,,,,,,,,,,,Filterer,EPA 841-B-99-002,,,,EPA 841-B-99-002,,,,,,,,,,,,,,,,,No Comments,928,25032
Corbicula,Genus,FALSE,6,CF,Jacobi,BU,03_WSA,6,Jacobi,Mollusca,,Bivalvia,Heterodonta,Veneroida,Corbiculoidea,Corbiculidae,,,Corbicula,"Megerle von M?hlfeld, 1811",81385,81381,1881,6,Jacobi,,,,,,,,,,,,,Filterer,Jacobi,,,,EPA 841-B-99-002,,,,,,,,,,,,,,,Eurythermal: warm summer,IdahoDEQ-WBAG-2002,No Comments,928.4,25405
Corbicula fluminea,Species,FALSE,6,CF,03_WSA,BU,03_WSA,6,03_WSA,Mollusca,,Bivalvia,Heterodonta,Veneroida,Corbiculoidea,Corbiculidae,,,Corbicula,"(O. F. M?ller, 1774)",81387,81385,1882,,,,,,,,,,,,,,,,,,,,EPA 841-B-99-002,,,,,,,,,,,multivoltine,USGS BenTraits Table,,,Eurythermal: warm summer,IdahoDEQ-WBAG-2002,No Comments,,25407
Corbiculidae,Family,FALSE,,,,,,,,Mollusca,,Bivalvia,,Veneroida,Corbiculoidea,Corbiculidae,,,,"Gray, 1847",81381,566875,1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,999367
Corbiculoidea,SuperFamily,FALSE,,,,,,,,Mollusca,,Bivalvia,Heterodonta,Veneroida,Corbiculoidea,,,,,"J. E. Gray, 1847",566875,80384,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,27725
Cyrtonaias,Genus,FALSE,,,,,,,,Mollusca,,Bivalvia,,Unionoida,,Unionidae,,,Cyrtonaias,"Crosse and P. Fischer, 1894",80242,79913,1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,999422
Cyrtonaias tampicoensis,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Unionoida,,Unionidae,,,Cyrtonaias,"(I. Lea, 1838)",80243,80242,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,999351
Dreissena,Genus,FALSE,,,NRSA,,NRSA,,NRSA,Mollusca,,Bivalvia,,,,Dreissenidae,,,Dreissena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupera,Genus,FALSE,,CF,,,,,,Mollusca,,Bivalvia,,Veneroida,,Sphaeriidae,,,Eupera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musculium,Genus,FALSE,,,NRSA,,NRSA,,NRSA,Mollusca,,Bivalvia,Heterodonta,Veneroida,Corbiculoidea,Pisidiidae,,,Musculium,"Link, 1807",81427,81388,1899,,,,,,,,,,,,,,,,,,,,EPA 841-B-99-002,,,,,,,,,,,,,,,Eurythermal: warm summer,IdahoDEQ-WBAG-2002,No Comments,,25438
Musculium lacustre,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Veneroida,Corbiculoidea,Pisidiidae,,,Musculium,"(Muller, 1774)",81430,81427,1900,,,,,,,,,,,,,,,,,,,,EPA 841-B-99-002,,,,,,,,,,,univoltine,USGS BenTraits Table,,,Eurythermal: warm summer,inferred,No Comments,,25439
Musculium partumeium,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Veneroida,Corbiculoidea,Pisidiidae,,,Musculium,"(Say, 1822)",81432,81427,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,univoltine,USGS BenTraits Table,,,Eurythermal: warm summer,inferred,No Comments,,25440
