Taxon_Group,Taxon_orig,NonTarget,Rationale,BenTaxaID,FinalID,OTU_BCG,OTU_IBI,OTU_Final,OTU_Lowest,OTU_Genus,OTU_Family,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety,Rank
,,,,1,Annelida,NA,NA,NA,NA,NA,NA,64357,202423,Annelida,,,,,,,,,,,,,Phylum
,,,,3,Hirudinea,Hirudinea,Hirudinea,Hirudinea,Hirudinea,Hirudinea,Hirudinea,69290,568832,Annelida,,Clitellata,Hirudinea,,,,,,,,,,Class
,,,,4,Erpobdellidae,Hirudinea,Hirudinea,Hirudinea,NA,NA,Erpobdellidae,69438,568836,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,Erpobdellidae,,,,,,,Family
,,,,5,Dina,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69439,69438,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,Erpobdellidae,,,Dina,,,,Genus
,,,,6,Erpobdella,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69444,568847,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Erpobdella,,,,Genus
,,,,7,Mooreobdella,Hirudinea,Hirudinea,Hirudinea,Mooreobdella,Mooreobdella,Erpobdellidae,69449,568847,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Mooreobdella,,,,Genus
,,,,8,Nephelopsis,Hirudinea,Hirudinea,Hirudinea,NA,Nephelopsis,Erpobdellidae,69455,568847,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Nephelopsis,,,,Genus
,,,,9,Hirudinidae,Hirudinea,Hirudinea,Hirudinea,Hirudinidae,Hirudinidae,Hirudinidae,69407,568835,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Hirudinidae,,,,,,,Family
,,,,10,Haemopis,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69408,568844,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Hirudinidae,Haemopinae,,Haemopis,,,,Genus
,,,,11,Glossiphoniidae,Hirudinea,Hirudinea,Hirudinea,NA,NA,Glossiphoniidae,69357,69295,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,,,,,Family
,,,,12,Actinobdella,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69384,568848,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Actinobdella,,,,Genus
,,,,13,Alboglossiphonia,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69388,568848,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Alboglossiphonia,,,,Genus
,,,,14,Batracobdella,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69358,69357,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,Batracobdella,,,,Genus
,,,,15,Glossiphonia,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69380,568849,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Glossiphonia,,,,Genus
,,,,16,Helobdella,Hirudinea,Hirudinea,Hirudinea,NA,Helobdella,Glossiphoniidae,69396,568848,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Helobdella,,,,Genus
,,,,17,Helobdella elongata,Hirudinea,Hirudinea,Hirudinea,Helobdella elongata,Helobdella,Glossiphoniidae,69397,69396,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,Helobdella,,Helobdella elongata,,Species
,,,,18,Helobdella stagnalis,Hirudinea,Hirudinea,Hirudinea,Helobdella stagnalis,Helobdella,Glossiphoniidae,69398,69396,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Helobdella,,Helobdella stagnalis,,Species
,,,,19,Placobdella,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69363,568849,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Placobdella,,,,Genus
,,,,20,Placobdella ornata,Hirudinea,Hirudinea,Hirudinea,Placobdella ornata,Placobdella,Glossiphoniidae,69366,69363,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Placobdella,,Placobdella ornata,,Species
,,,,21,Placobdella parasitica,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69365,69363,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Placobdella,,Placobdella parasitica,,Species
,,,,22,Piscicola,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69304,568852,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Piscicolidae,Piscicolinae,,Piscicola,,,,Genus
,,,,23,Branchiobdellidae,Branchiobdellida,Branchiobdellida,Branchiobdellida,Branchiobdellida,Branchiobdellida,Branchiobdellida,69169,69168,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Branchiobdellidae,,,,,,,Family
,,,,24,Cambarincolidae,Branchiobdellida,Branchiobdellida,Branchiobdellida,NA,NA,NA,69209,69168,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Cambarincolidae,,,,,,,Family
,,,,25,Cambarincolidae/Xironodrilidae,Branchiobdellida,Branchiobdellida,Branchiobdellida,NA,NA,NA,,,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Cambarincolidae,,,,,,,Genus
,,,,26,Branchiobdellida,Branchiobdellida,Branchiobdellida,Branchiobdellida,Branchiobdellida,Branchiobdellida,Branchiobdellida,69168,68422,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Cambarincolidae,,,,,,,Order
,,,,27,Cambarincola,Branchiobdellida,Branchiobdellida,Branchiobdellida,NA,NA,NA,69258,69209,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Cambarincolidae,,,Cambarincola,,,,Genus
,,,,28,Enchytraeidae,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68510,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Enchytraeidae,,,,,,,Family
,,,,29,Haplotaxida,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68498,68422,Annelida,,Clitellata,Oligochaeta,Haplotaxida,,,,,,,,,Order
,,,,30,Lumbricidae,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,69165,69069,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Lumbricina,Lumbricidae,,,,,,,Family
,,,,31,Megascolecidae,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,69166,69069,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Lumbricina,Megascolecidae,,,,,,,Family
,,,,32,Opistocystidae,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,69041,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Opistocystidae,,,,,,,Family
,,,,33,Haplotaxis,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68505,68504,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Haplotaxina,Haplotaxidae,,,Haplotaxis,,,,Genus
,,,,34,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,68422,568832,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,,,,,,,,Class
,,,,35,Tubificina,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68509,68498,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,,,,,,,,SubOrder
,,,,36,Naididae,Oligochaeta,Oligochaeta,Oligochaeta,Naididae,Naididae,Naididae,68854,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,,,,,Family
,,,,37,Arcteonais lomondi,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68976,68975,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Arcteonais,,Arcteonais lomondi,,Species
