Taxon_Orig,Taxon_Group,NonTarget,source,Comment,FishTaxaID,OTU_BCG,OTU_IBI,SciID,Common,Kingdom,Phylum,Class,Order,Family,Genus,Species
Salmo salar,,,MN BCG Access db,,2,Salmo salar,Salmo salar,Salmo salar,Atlantic Salmon,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,salar
Cottus cognatus,,,MN BCG Access db,,19,Cottus cognatus,Cottus cognatus,Cottus cognatus,Slimy Sculpin,Animalia,Chordata,Osteichthyes,Scorpaeniformes,Cottidae,Cottus,cognatus
Lethenteron appendix,,,MN BCG Access db,,21,Lethenteron appendix,Lethenteron appendix,Lethenteron appendix,American brook lamprey,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,Lethenteron,appendix
Anguilla rostrata,,,MN BCG Access db,,22,Anguilla rostrata,Anguilla rostrata,Anguilla rostrata,American eel,Animalia,Chordata,Osteichthyes,Anguilliformes,Anguillidae,Anguilla,rostrata
Etheostoma zonale,,,MN BCG Access db,,23,Etheostoma zonale,Etheostoma zonale,Etheostoma zonale,Banded darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,zonale
Fundulus diaphanus,,,MN BCG Access db,,24,Fundulus diaphanus,Fundulus diaphanus,Fundulus diaphanus,Banded killifish,Animalia,Chordata,Osteichthyes,Atheriniformes,Cyprinodontidae,Fundulus,diaphanus
Enneacanthus obesus,,,MN BCG Access db,,25,Enneacanthus obesus,Enneacanthus obesus,Enneacanthus obesus,Banded sunfish,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Enneacanthus,obesus
Pomoxis nigromaculatus,,,MN BCG Access db,,26,Pomoxis nigromaculatus,Pomoxis nigromaculatus,Pomoxis nigromaculatus,Black crappie,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,nigromaculatus
Rhinichthys obtusus,,,MN BCG Access db,,27,Rhinichthys obtusus,Rhinichthys obtusus,Rhinichthys obtusus,western blacknose dace,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,obtusus
Lepomis macrochirus,,,MN BCG Access db,,28,Lepomis macrochirus,Lepomis macrochirus,Lepomis macrochirus,Bluegill,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,macrochirus
Enneacanthus gloriosus,,,MN BCG Access db,,29,Enneacanthus gloriosus,Enneacanthus gloriosus,Enneacanthus gloriosus,Bluespotted sunfish,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Enneacanthus,gloriosus
Pimephales notatus,,,MN BCG Access db,,30,Pimephales notatus,Pimephales notatus,Pimephales notatus,Bluntnose minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,notatus
Lampetra,,,MN BCG Access db,,31,Lampetra,Lampetra,Lampetra,Brook lamprey,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,Lampetra,
Salvelinus fontinalis,,,MN BCG Access db,,32,Salvelinus fontinalis,Salvelinus fontinalis,Salvelinus fontinalis,Brook trout,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salvelinus,fontinalis
Ameiurus nebulosus,,,MN BCG Access db,,33,Ameiurus nebulosus,Ameiurus nebulosus,Ameiurus nebulosus,Brown bullhead,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,nebulosus
Salmo trutta,,,MN BCG Access db,,34,Salmo trutta,Salmo trutta,Salmo trutta,Brown trout,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,trutta
Campostoma anomalum,,,MN BCG Access db,,35,Campostoma anomalum,Campostoma anomalum,Campostoma anomalum,Central stoneroller,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Campostoma,anomalum
Esox niger,,,MN BCG Access db,,36,Esox niger,Esox niger,Esox niger,Chain pickerel,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,niger
Ictalurus punctatus,,,MN BCG Access db,,37,Ictalurus punctatus,Ictalurus punctatus,Ictalurus punctatus,Channel catfish,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ictalurus,punctatus
Cottus sp.,,,MN BCG Access db,,38,Cottus sp.,Cottus sp.,Cottus sp.,Checkered sculpin,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,
Notropis amoenus,,,MN BCG Access db,,39,Notropis amoenus,Notropis amoenus,Notropis amoenus,Comely shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,amoenus
Cyrpinus carpio,,,MN BCG Access db,,40,Cyrpinus carpio,Cyrpinus carpio,Cyrpinus carpio,Common carp,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyrpinus,carpio
Luxilus cornutus,,,MN BCG Access db,,41,Luxilus cornutus,Luxilus cornutus,Luxilus cornutus,Common shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Luxilus,cornutus
Semotilus atromaculatus,,,MN BCG Access db,,42,Semotilus atromaculatus,Semotilus atromaculatus,Semotilus atromaculatus,Creek chub,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Semotilus,atromaculatus
Erimyzon oblongus,,,MN BCG Access db,,43,Erimyzon oblongus,Erimyzon oblongus,Erimyzon oblongus,Creek chubsucker,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Erimyzon,oblongus
Exoglossum maxillingua,,,MN BCG Access db,,44,Exoglossum maxillingua,Exoglossum maxillingua,Exoglossum maxillingua,Cutlips minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Exoglossum,maxillingua
Gambusia holbrooki,,,MN BCG Access db,,45,Gambusia holbrooki,Gambusia holbrooki,Gambusia holbrooki,Eastern Mosquitofish,Animalia,Chordata,Osteichthyes,Atheriniformes,Poeciliidae,Gambusia,holbrooki
Umbra pygmaea,,,MN BCG Access db,,46,Umbra pygmaea,Umbra pygmaea,Umbra pygmaea,Eastern mudminnow,Animalia,Chordata,Osteichthyes,Salmoniformes,Umbridae,Umbra,pygmaea
Hybognathus regius,,,MN BCG Access db,,47,Hybognathus regius,Hybognathus regius,Hybognathus regius,Eastern silvery minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Hybognathus,regius
Semotilus corporalis,,,MN BCG Access db,,48,Semotilus corporalis,Semotilus corporalis,Semotilus corporalis,Fallfish,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Semotilus,corporalis
Etheostoma flabellare,,,MN BCG Access db,,49,Etheostoma flabellare,Etheostoma flabellare,Etheostoma flabellare,Fantail darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,flabellare
Pimephales promelas,,,MN BCG Access db,,50,Pimephales promelas,Pimephales promelas,Pimephales promelas,Fathead minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,promelas
Centrarchus macropterus,,,MN BCG Access db,,51,Centrarchus macropterus,Centrarchus macropterus,Centrarchus macropterus,Flier,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Centrarchus,macropterus
Dorosoma cepedianum,,,MN BCG Access db,,52,Dorosoma cepedianum,Dorosoma cepedianum,Dorosoma cepedianum,Gizzard shad,Animalia,Chordata,Osteichthyes,,Clupeidae,Dorosoma,cepedianum
Etheostoma vitreum,,,MN BCG Access db,,53,Etheostoma vitreum,Etheostoma vitreum,Etheostoma vitreum,Glassy darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,vitreum
