Taxon_Orig,Taxon_Group,NonTarget,source,Comment,FishTaxaID,OTU_BCG,OTU_IBI,SciID,Common,Kingdom,Phylum,Class,Order,Family,Genus,Species
Moxostoma erythrurum,,,MN BCG Access db,,54,Moxostoma erythrurum,Moxostoma erythrurum,Moxostoma erythrurum,Golden redhorse,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,erythrurum
Notemigonus crysoleucas,,,MN BCG Access db,,55,Notemigonus crysoleucas,Notemigonus crysoleucas,Notemigonus crysoleucas,Golden shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notemigonus,crysoleucas
Carassius auratus,,,MN BCG Access db,,56,Carassius auratus,Carassius auratus,Carassius auratus,Goldfish,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Carassius,auratus
Lepomis cyanellus,,,MN BCG Access db,,57,Lepomis cyanellus,Lepomis cyanellus,Lepomis cyanellus,Green sunfish,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,cyanellus
Etheostoma blennioides,,,MN BCG Access db,,58,Etheostoma blennioides,Etheostoma blennioides,Etheostoma blennioides,Greenside darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,blennioides
Menidia beryllina,,,MN BCG Access db,,59,Menidia beryllina,Menidia beryllina,Menidia beryllina,Inland silverside,Animalia,Chordata,Osteichthyes,,Atherinidae,Menidia,beryllina
Notropis chalybaeus,,,MN BCG Access db,,60,Notropis chalybaeus,Notropis chalybaeus,Notropis chalybaeus,Ironcolor shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,chalybaeus
Etheostoma nigrum,,,MN BCG Access db,,61,Etheostoma nigrum,Etheostoma nigrum,Etheostoma nigrum,Johnny darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,nigrum
Micropterus salmoides,,,MN BCG Access db,,62,Micropterus salmoides,Micropterus salmoides,Micropterus salmoides,Largemouth bass,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,salmoides
Lampetra aepyptera,,,MN BCG Access db,,63,Lampetra aepyptera,Lampetra aepyptera,Lampetra aepyptera,Least brook lamprey,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,Lampetra,aepyptera
Percina caprodes,,,MN BCG Access db,,64,Percina caprodes,Percina caprodes,Percina caprodes,Logperch,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,caprodes
Lepomis megalotis,,,MN BCG Access db,,65,Lepomis megalotis,Lepomis megalotis,Lepomis megalotis,northern sunfish,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,megalotis
Rhinichthys cataractae,,,MN BCG Access db,,66,Rhinichthys cataractae,Rhinichthys cataractae,Rhinichthys cataractae,Longnose dace,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,cataractae
Lepisosteus osseus,,,MN BCG Access db,,67,Lepisosteus osseus,Lepisosteus osseus,Lepisosteus osseus,Longnose gar,Animalia,Chordata,Osteichthyes,Lepisosteiformes,Lepisosteidae,Lepisosteus,osseus
Noturus insignis,,,MN BCG Access db,,68,Noturus insignis,Noturus insignis,Noturus insignis,Margined madtom,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,insignis
Cottus bairdi,,,MN BCG Access db,,69,Cottus bairdi,Cottus bairdi,Cottus bairdi,Mottled sculpin,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,bairdi
Acantharchus pomotis,,,MN BCG Access db,,70,Acantharchus pomotis,Acantharchus pomotis,Acantharchus pomotis,Mud sunfish,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Acantharchus,pomotis
Fundulus heteroclitus,,,MN BCG Access db,,71,Fundulus heteroclitus,Fundulus heteroclitus,Fundulus heteroclitus,Mummichog,Animalia,Chordata,Osteichthyes,Atheriniformes,Cyprinodontidae,Fundulus,heteroclitus
Hypentelium nigricans,,,MN BCG Access db,,72,Hypentelium nigricans,Hypentelium nigricans,Hypentelium nigricans,Northern hogsucker,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Hypentelium,nigricans
Esox lucius,,,MN BCG Access db,,73,Esox lucius,Esox lucius,Esox lucius,Northern pike,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,lucius
Margariscus margarita,,,MN BCG Access db,,74,Margariscus margarita,Margariscus margarita,Margariscus margarita,northern pearl dace,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Margariscus,margarita
Aphredoderus sayanus,,,MN BCG Access db,,75,Aphredoderus sayanus,Aphredoderus sayanus,Aphredoderus sayanus,Pirate perch,Animalia,Chordata,Osteichthyes,Percopsiformes,Aphredoderidae,Aphredoderus,sayanus
Cottus girardi,,,MN BCG Access db,,76,Cottus girardi,Cottus girardi,Cottus girardi,Potomic sculpin,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,girardi
Lepomis gibbosus,,,MN BCG Access db,,77,Lepomis gibbosus,Lepomis gibbosus,Lepomis gibbosus,Pumpkinseed,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gibbosus
Oncorhynchus mykiss,,,MN BCG Access db,,78,Oncorhynchus mykiss,Oncorhynchus mykiss,Oncorhynchus mykiss,Rainbow trout,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,mykiss
Lucania parva,,,MN BCG Access db,,79,Lucania parva,Lucania parva,Lucania parva,Rainwater killifish,Animalia,Chordata,Osteichthyes,,Fundulidae,Lucania,parva
Lepomis auritus,,,MN BCG Access db,,80,Lepomis auritus,Lepomis auritus,Lepomis auritus,Redbreast sunfish,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,auritus
Esox americanus americanus,,,MN BCG Access db,,81,Esox americanus americanus,Esox americanus americanus,Esox americanus americanus,Redfin pickerel,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,americanus americanus
Nocomis micropogon,,,MN BCG Access db,,82,Nocomis micropogon,Nocomis micropogon,Nocomis micropogon,River chub,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Nocomis,micropogon
Ambloplites rupestris,,,MN BCG Access db,,83,Ambloplites rupestris,Ambloplites rupestris,Ambloplites rupestris,Rock bass,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Ambloplites,rupestris
Notropis rubellus,,,MN BCG Access db,,84,Notropis rubellus,Notropis rubellus,Notropis rubellus,Rosyface shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,rubellus
Clinostomus funduloides,,,MN BCG Access db,,85,Clinostomus funduloides,Clinostomus funduloides,Clinostomus funduloides,Rosyside dace,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Clinostomus,funduloides
Cyprinella analostana,,,MN BCG Access db,,86,Cyprinella analostana,Cyprinella analostana,Cyprinella analostana,Satinfin shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,analostana
Percina peltata,,,MN BCG Access db,,87,Percina peltata,Percina peltata,Percina peltata,Shield darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,peltata
Moxostoma macrolepidotum,,,MN BCG Access db,,88,Moxostoma macrolepidotum,Moxostoma macrolepidotum,Moxostoma macrolepidotum,Shorthead redhorse,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,macrolepidotum
Notropis buccatus,,,MN BCG Access db,,89,Notropis buccatus,Notropis buccatus,Notropis buccatus,Silverjaw minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,buccatus
Micropterus dolomieu,,,MN BCG Access db,,91,Micropterus dolomieu,Micropterus dolomieu,Micropterus dolomieu,Smallmouth bass,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,dolomieu
Leiostomus xanthurus,,,MN BCG Access db,,92,Leiostomus xanthurus,Leiostomus xanthurus,Leiostomus xanthurus,Spot,Animalia,Chordata,Osteichthyes,Perciformes,Sciaenidae,Leiostomus,xanthurus
Cyprinella spiloptera,,,MN BCG Access db,,93,Cyprinella spiloptera,Cyprinella spiloptera,Cyprinella spiloptera,Spotfin shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,spiloptera
Notropis hudsonius,,,MN BCG Access db,,94,Notropis hudsonius,Notropis hudsonius,Notropis hudsonius,Spottail shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,hudsonius
Noturus flavus,,,MN BCG Access db,,95,Noturus flavus,Noturus flavus,Noturus flavus,Stonecat,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,flavus
Morone saxatilis,,,MN BCG Access db,,96,Morone saxatilis,Morone saxatilis,Morone saxatilis,Striped bass,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,saxatilis
Fundulus majalis,,,MN BCG Access db,,97,Fundulus majalis,Fundulus majalis,Fundulus majalis,Striped killifish,Animalia,Chordata,Osteichthyes,Atheriniformes,Fundulidae,Fundulus,majalis
Luxilus chrysocephalus,,,MN BCG Access db,,98,Luxilus chrysocephalus,Luxilus chrysocephalus,Luxilus chrysocephalus,Striped shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Luxilus,chrysocephalus
Notropis procne,,,MN BCG Access db,,99,Notropis procne,Notropis procne,Notropis procne,Swallowtail shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,procne
Etheostoma fusiforme,,,MN BCG Access db,,100,Etheostoma fusiforme,Etheostoma fusiforme,Etheostoma fusiforme,Swamp darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,fusiforme
Noturus gyrinus,,,MN BCG Access db,,101,Noturus gyrinus,Noturus gyrinus,Noturus gyrinus,Tadpole madtom,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,gyrinus
Etheostoma olmstedi,,,MN BCG Access db,,102,Etheostoma olmstedi,Etheostoma olmstedi,Etheostoma olmstedi,Tesselated darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,olmstedi
Lepomis gulosus,,,MN BCG Access db,,103,Lepomis gulosus,Lepomis gulosus,Lepomis gulosus,Warmouth,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gulosus
Osteichthyes,,,MN BCG Access db,,104,Osteichthyes,Osteichthyes,Osteichthyes,watercolumn fish,Animalia,Chordata,Osteichthyes,,,,
Ameiurus catus,,,MN BCG Access db,,105,Ameiurus catus,Ameiurus catus,Ameiurus catus,White catfish,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,catus
Pomoxis annularis,,,MN BCG Access db,,106,Pomoxis annularis,Pomoxis annularis,Pomoxis annularis,White crappie,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,annularis
Morone americana,,,MN BCG Access db,,107,Morone americana,Morone americana,Morone americana,White perch,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,americana
Catostomus commersoni,,,MN BCG Access db,,108,Catostomus commersoni,Catostomus commersoni,Catostomus commersoni,White sucker,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,commersoni
Ameiurus natalis,,,MN BCG Access db,add space to end of Taxon_Orig_Sci so not a duplicate,109,Ameiurus natalis,Ameiurus natalis,Ameiurus natalis,Yellow bullhead,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,natalis
Perca flavescens,,,MN BCG Access db,,110,Perca flavescens,Perca flavescens,Perca flavescens,Yellow perch,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Perca,flavescens
Ictiobus cyprinellus,,,MN BCG Access db,,111,Ictiobus cyprinellus,Ictiobus cyprinellus,Ictiobus cyprinellus,bigmouth buffalo,Animalia,,,,,Ictiobus,cyprinellus
Notropis dorsalis,,,MN BCG Access db,,112,Notropis dorsalis,Notropis dorsalis,Notropis dorsalis,bigmouth shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,dorsalis
Ictiobus niger,,,MN BCG Access db,,113,Ictiobus niger,Ictiobus niger,Ictiobus niger,black buffalo,Animalia,,,,,Ictiobus,niger
Ameiurus melas,,,MN BCG Access db,,114,Ameiurus melas,Ameiurus melas,Ameiurus melas,black bullhead,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,melas
Moxostoma duquesnei,,,MN BCG Access db,,115,Moxostoma duquesnei,Moxostoma duquesnei,Moxostoma duquesnei,black redhorse,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,duquesnei
Notropis heterodon,,,MN BCG Access db,,116,Notropis heterodon,Notropis heterodon,Notropis heterodon,blackchin shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,heterodon
Notropis heterolepis,,,MN BCG Access db,,117,Notropis heterolepis,Notropis heterolepis,Notropis heterolepis,blacknose shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,heterolepis
Percina maculata,,,MN BCG Access db,,118,Percina maculata,Percina maculata,Percina maculata,blackside darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,maculata
Cycleptus elongatus,,,MN BCG Access db,,119,Cycleptus elongatus,Cycleptus elongatus,Cycleptus elongatus,blue sucker,Animalia,,,,,Cycleptus,elongatus
Amia calva,,,MN BCG Access db,,120,Amia calva,Amia calva,Amia calva,bowfin,Animalia,,,,,Amia,calva
Hybognathus hankinsoni,,,MN BCG Access db,,121,Hybognathus hankinsoni,Hybognathus hankinsoni,Hybognathus hankinsoni,brassy minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Hybognathus,hankinsoni
Labidesthes sicculus,,,MN BCG Access db,,122,Labidesthes sicculus,Labidesthes sicculus,Labidesthes sicculus,brook silverside,Animalia,,,,,Labidesthes,sicculus
Culaea inconstans,,,MN BCG Access db,,123,Culaea inconstans,Culaea inconstans,Culaea inconstans,brook stickleback,Animalia,,,,,Culaea,inconstans
Pimephales vigilax,,,MN BCG Access db,,124,Pimephales vigilax,Pimephales vigilax,Pimephales vigilax,bullhead minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,vigilax
Lota lota,,,MN BCG Access db,,125,Lota lota,Lota lota,Lota lota,burbot,Animalia,,,,,Lota,lota
Notropis percobromus,,,MN BCG Access db,,126,Notropis percobromus,Notropis percobromus,Notropis percobromus,carmine shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,percobromus
Umbra limi,,,MN BCG Access db,,127,Umbra limi,Umbra limi,Umbra limi,central mudminnow,Animalia,Chordata,Osteichthyes,Salmoniformes,Umbridae,Umbra,limi
Notropis wickliffi,,,MN BCG Access db,,128,Notropis wickliffi,Notropis wickliffi,Notropis wickliffi,channel shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,wickliffi
Ichthyomyzon castaneus,,,MN BCG Access db,,129,Ichthyomyzon castaneus,Ichthyomyzon castaneus,Ichthyomyzon castaneus,chestnut lamprey,Animalia,,,,,Ichthyomyzon,castaneus
Oncorhynchus tshawytscha,,,MN BCG Access db,,130,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,chinook salmon,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha
Oncorhynchus kisutch,,,MN BCG Access db,,131,Oncorhynchus kisutch,Oncorhynchus kisutch,Oncorhynchus kisutch,coho salmon,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,kisutch
Crystallaria asprella,,,MN BCG Access db,,132,Crystallaria asprella,Crystallaria asprella,Crystallaria asprella,crystal darter,Animalia,,,,,Crystallaria,asprella
Notropis atherinoides,,,MN BCG Access db,,133,Notropis atherinoides,Notropis atherinoides,Notropis atherinoides,emerald shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,atherinoides
Clupeidae,,,MN BCG Access db,,134,Clupeidae,Clupeidae,Clupeidae,Fam: herrings,Animalia,Chordata,Osteichthyes,,Clupeidae,,
Petromyzontidae,,,MN BCG Access db,,135,Petromyzontidae,Petromyzontidae,Petromyzontidae,Fam: lamprey,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,,
Cyprinidae,,,MN BCG Access db,,136,Cyprinidae,Cyprinidae,Cyprinidae,Fam: minnows,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,,
Salmonidae,,,MN BCG Access db,,137,Salmonidae,Salmonidae,Salmonidae,Fam: trout,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,,
Phoxinus neogaeus,,,MN BCG Access db,,138,Phoxinus neogaeus,Phoxinus neogaeus,Phoxinus neogaeus,finescale dace,Animalia,,,,,Phoxinus,neogaeus
Pylodictis olivaris,,,MN BCG Access db,,139,Pylodictis olivaris,Pylodictis olivaris,Pylodictis olivaris,flathead catfish,Animalia,,,,,Pylodictis,olivaris
Aplodinotus grunniens,,,MN BCG Access db,,140,Aplodinotus grunniens,Aplodinotus grunniens,Aplodinotus grunniens,freshwater drum,Animalia,,,,,Aplodinotus,grunniens
Ictiobus,,,MN BCG Access db,,141,Ictiobus,Ictiobus,Ictiobus,Gen: buffalos,Animalia,,,,,Ictiobus,
Ameiurus,,,MN BCG Access db,,142,Ameiurus,Ameiurus,Ameiurus,Gen: bullheads,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,
Carpiodes,,,MN BCG Access db,,143,Carpiodes,Carpiodes,Carpiodes,Gen: carpsuckers,Animalia,,,,,Carpiodes,
Catostomus,,,MN BCG Access db,,144,Catostomus,Catostomus,Catostomus,Gen: Catostomus,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,
Lepomis,,,MN BCG Access db,,145,Lepomis,Lepomis,Lepomis,Gen: common sunfishes,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,
Etheostoma,,,MN BCG Access db,,146,Etheostoma,Etheostoma,Etheostoma,Gen: Etheostoma,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,
Notropis,,,MN BCG Access db,,147,Notropis,Notropis,Notropis,Gen: Notropis,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,
Percina,,,MN BCG Access db,,148,Percina,Percina,Percina,Gen: Percina,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,
Chrosomus,,,MN BCG Access db,,149,Chrosomus,Chrosomus,Chrosomus,Gen: Chrosomus,Animalia,,,,,Chrosomus,
Moxostoma,,,MN BCG Access db,,150,Moxostoma,Moxostoma,Moxostoma,Gen: redhorses,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,
Cottus,,,MN BCG Access db,,151,Cottus,Cottus,Cottus,Gen: sculpins,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,
Campostoma,,,MN BCG Access db,,152,Campostoma,Campostoma,Campostoma,Gen: stonerollers,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Campostoma,
Percina evides,,,MN BCG Access db,,153,Percina evides,Percina evides,Percina evides,gilt darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,evides
Hiodon alosoides,,,MN BCG Access db,,154,Hiodon alosoides,Hiodon alosoides,Hiodon alosoides,goldeye,Animalia,,,,,Hiodon,alosoides
Ctenopharyngodon idella,,,MN BCG Access db,,155,Ctenopharyngodon idella,Ctenopharyngodon idella,Ctenopharyngodon idella,grass carp,Animalia,,,,,Ctenopharyngodon,idella
Erimystax x-punctatus,,,MN BCG Access db,,156,Erimystax x-punctatus,Erimystax x-punctatus,Erimystax x-punctatus,gravel chub,Animalia,,,,,Erimystax,x-punctatus
