"TaxaID","OTU_BCG"
"Carassius auratus","Carassius auratus"
"Ctenopharyngodon idella","Ctenopharyngodon idella"
"Scartomyzon congestum","Scartomyzon congestum"
"Lepomis cyanellus","Lepomis cyanellus"
"Lepomis cyannelus x megalotis","Lepomis cyannelus x megalotis"
"Etheostoma lepidum","Etheostoma lepidum"
"Fundulus grandis","Fundulus grandis"
"Etheostoma histrio","Etheostoma histrio"
"Ictalurus lupus","Ictalurus lupus"
"Gila nigra","Gila nigra"
"Gila cypha","Gila cypha"
"Lepomis sp.","Lepomis sp."
"Menidia beryllina","Menidia beryllina"
"Etheostoma exile","Etheostoma exile"
"Etheostoma nigrum","Etheostoma nigrum"
"Oncorhynchus nerka","Oncorhynchus nerka"
"Salvelinus namaycush","Salvelinus namaycush"
"Lamprey","Lamprey"
"Micropterus salmoides","Micropterus salmoides"
"Catostomus macrocheilus","Catostomus macrocheilus"
"Rhinichthys cobitis","Rhinichthys cobitis"
"Percina caprodes","Percina caprodes"
"Lepomis megalotis","Lepomis megalotis"
"Agosia chrysogaster","Agosia chrysogaster"
"Rhinichthys cataractae","Rhinichthys cataractae"
"Lepisosteus osseus","Lepisosteus osseus"
"Catostomus catostomus","Catostomus catostomus"
"Astyanax mexicanus","Astyanax mexicanus"
"Notropis volucellus","Notropis volucellus"
"Hybognathus nuchalis","Hybognathus nuchalis"
"Cottus bairdi","Cottus bairdi"
"Catostomus platyrhynchus","Catostomus platyrhynchus"
"Prosopium williamsoni","Prosopium williamsoni"
"Ethostoma asprigene","Ethostoma asprigene"
"Esox masquinongy","Esox masquinongy"
"Esox lucius","Esox lucius"
"Ptychocheilus oregonensis","Ptychocheilus oregonensis"
"Fundulus kansae","Fundulus kansae"
"Lepomis humilus","Lepomis humilus"
"Ethostoma spectabile","Ethostoma spectabile"
"Mylocheilus caurinus","Mylocheilus caurinus"
"Notropis simus pecosensis","Notropis simus pecosensis"
"Gambusia nobilis","Gambusia nobilis"
"Cyprinodon pecosensis","Cyprinodon pecosensis"
"Notropis orca","Notropis orca"
"Aphredoderus sayanus","Aphredoderus sayanus"
"Fundulus zebrinus","Fundulus zebrinus"
"Hybognathus placitus","Hybognathus placitus"
"Fundulus sciadicus","Fundulus sciadicus"
"Macrhybopsis australis","Macrhybopsis australis"
"Cottus asper","Cottus asper"
"Opsopoeodus emiliae","Opsopoeodus emiliae"
"Lepomis gibbosus","Lepomis gibbosus"
"Carpioides cyprinus","Carpioides cyprinus"
"Oncorhynchus mykiss","Oncorhynchus mykiss"
"Lucania parva","Lucania parva"
"Xyrauchen texanus","Xyrauchen texanus"
"Cyprinodon rubrofluviatilis","Cyprinodon rubrofluviatilis"
"Notropis bairdi","Notropis bairdi"
"Cyprinella lutrensis","Cyprinella lutrensis"
"Lepomis auritus","Lepomis auritus"
"Lepomis microlophus","Lepomis microlophus"
"Esox samericanus americanus","Esox samericanus americanus"
"Lythrurus umbratilis","Lythrurus umbratilis"
"Richardsonius balteatus","Richardsonius balteatus"
"Lepomis miniatus","Lepomis miniatus"
"Lythrurus fumeus","Lythrurus fumeus"
"Notropis simus simus","Notropis simus simus"
"Gila pandora","Gila pandora"
"Cichlasoma cyanoguttatum","Cichlasoma cyanoguttatum"
"Oncorhynchus clarki virginalis","Oncorhynchus clarki virginalis"
"Notropis jemezanus","Notropis jemezanus"
"Hybognathus amarus","Hybognathus amarus"
"Catostomus plebeius","Catostomus plebeius"
"Carpiodes carpio","Carpiodes carpio"
"Awaous banana","Awaous banana"
"Notropis blenniuis","Notropis blenniuis"
"Ambloplites rupestris","Ambloplites rupestris"
"Dionda episcopa","Dionda episcopa"
"Gila robusta","Gila robusta"
"Notropis sabinae","Notropis sabinae"
"Ptychocheilus grandis","Ptychocheilus grandis"
"Catostomus occidentalis","Catostomus occidentalis"
"Poecilia latipinna","Poecilia latipinna"
"Percopsis transmontana","Percopsis transmontana"
"Notropis stramineus","Notropis stramineus"
"Catostomus santaanae","Catostomus santaanae"
"Sander canadensis","Sander canadensis"
"Ammocrypta vivax","Ammocrypta vivax"
"Cyprinodon variegatus","Cyprinodon variegatus"
"Macrhybopsis hyostoma","Macrhybopsis hyostoma"
"Moxostoma macrolepidotum","Moxostoma macrolepidotum"
"Lepiosteus platostomus","Lepiosteus platostomus"
"Scaphirhynchus platorynchus","Scaphirhynchus platorynchus"
"Macrhybopsis storeiana","Macrhybopsis storeiana"
"Notropis shumardi","Notropis shumardi"
"Percina phoxocephala","Percina phoxocephala"
"Pimephales tenellus","Pimephales tenellus"
"Etheostoma gracile","Etheostoma gracile"
"Micropterus dolomieu","Micropterus dolomieu"
"Ictiobus bubalus","Ictiobus bubalus"
"Oncorhynchus clarki ssp.","Oncorhynchus clarki ssp."
"Catostomus insignis","Catostomus insignis"
"Phoxinus erythrogaster","Phoxinus erythrogaster"
"Macrhybopsis aestivalis","Macrhybopsis aestivalis"
"Rhinichthys osculus","Rhinichthys osculus"
"Meda fulgida","Meda fulgida"
"Micropterus punctulatus","Micropterus punctulatus"
"Lepiosteus oculatus","Lepiosteus oculatus"
"Minytrema melanops","Minytrema melanops"
"Noturus flavus","Noturus flavus"
"Morone saxatilis","Morone saxatilis"
"Mugil cephalus","Mugil cephalus"
"Phenacobius mirabilis","Phenacobius mirabilis"
"Noturus gyrinus","Noturus gyrinus"
"Tinca tinca","Tinca tinca"
"Dorosoma petenense","Dorosoma petenense"
"Gasterosteus aculeatus","Gasterosteus aculeatus"
"Cottus rhotheus","Cottus rhotheus"
"Hysterocarpus traskii","Hysterocarpus traskii"
"Campostoma","Campostoma"
"Fundulus","Fundulus"
"Notropis","Notropis"
"Perciformes","Perciformes"
"Gila seminuda","Gila seminuda"
"Stizostedion vitreum","Stizostedion vitreum"
"Chaenobryttus gulosus","Chaenobryttus gulosus"
"Notropis texanus","Notropis texanus"
"Gambusia affinis","Gambusia affinis"
"Morone chrysops","Morone chrysops"
"Ameiurus catus","Ameiurus catus"
"Pomoxis annularis","Pomoxis annularis"
"Mugil curema","Mugil curema"
"Morone americana","Morone americana"
"Cyprinodon tularosa","Cyprinodon tularosa"
"Catostomus commersonii","Catostomus commersonii"
"Morone chrysops x saxatilis","Morone chrysops x saxatilis"
"Plagopterus argentissimus","Plagopterus argentissimus"
"Morone mississippiensis","Morone mississippiensis"
"Ameiurus natalis","Ameiurus natalis"
"Perca flavescens","Perca flavescens"
"Acanathogobius flavimanus","Acanathogobius flavimanus"
"Gerres cinereus","Gerres cinereus"
"Catostomus discobolus yarrowi","Catostomus discobolus yarrowi"
