"TaxaID","OTU_BCG"
"Anguilla rostrata","Anguilla rostrata"
"Etheostoma cragini","Etheostoma cragini"
"Notropis girardi","Notropis girardi"
"Macrhybopsis aestivalis tetranemus","Macrhybopsis aestivalis tetranemus"
"Strongylura marina","Strongylura marina"
"Cyprinella formasa","Cyprinella formasa"
"Ictiobus cyprinellus","Ictiobus cyprinellus"
"Notropis dorsalis","Notropis dorsalis"
"Gobiomorus dormitor","Gobiomorus dormitor"
"Percina macrolepida","Percina macrolepida"
"Ameiurus melas","Ameiurus melas"
"Pomoxis nigromaculatus","Pomoxis nigromaculatus"
"Fundulus olivaceus","Fundulus olivaceus"
"Moxostoma poecilurum","Moxostoma poecilurum"
"Cyprinella venustus","Cyprinella venustus"
"Ictalurus furcatus","Ictalurus furcatus"
"Cycleptus elongatus","Cycleptus elongatus"
"Oreochromus aureus","Oreochromus aureus"
"Lepomis macrochirus","Lepomis macrochirus"
"Lepomis mcarochirus x megalotis","Lepomis mcarochirus x megalotis"
"Catostomus discobolus","Catostomus discobolus"
"Catostomus x Catostomus latipinnis","Catostomus x Catostomus latipinnis"
"Catostomus discobolus x commersoni","Catostomus discobolus x commersoni"
"Pimephales notatus","Pimephales notatus"
"Amia calva","Amia calva"
"Hybognathus hankinsoni","Hybognathus hankinsoni"
"Catostomus columbianus","Catostomus columbianus"
"Labidesthes sicculus","Labidesthes sicculus"
"Culaea inconstans","Culaea inconstans"
"Salvelinus fontinalis","Salvelinus fontinalis"
"Ameiurus nebulosus","Ameiurus nebulosus"
"Salmo trutta","Salmo trutta"
"Ameiurus","Ameiurus"
"Pimephales vigilax","Pimephales vigilax"
"Campostoma anomalum","Campostoma anomalum"
"Ictalurus punctatus","Ictalurus punctatus"
"Gila nigrescens","Gila nigrescens"
"Oncorhynchus tshawytscha","Oncorhynchus tshawytscha"
"Acrocheilus alutaceus","Acrocheilus alutaceus"
"Notropis potteri","Notropis potteri"
"Oncorhynchus kisutch","Oncorhynchus kisutch"
"Ptychocheilus lucius","Ptychocheilus lucius"
"Cyprinus carpio","Cyprinus carpio"
"Centropomus undecimalis","Centropomus undecimalis"
"Lepomis","Lepomis"
"Pomoxis","Pomoxis"
"Semotilus atromaculatus","Semotilus atromaculatus"
"Oncorhynchus clarki x mykiss","Oncorhynchus clarki x mykiss"
"Cyprinidae","Cyprinidae"
"Catostomus clarki","Catostomus clarki"
"Percina sciera","Percina sciera"
"Notropis atherinoides","Notropis atherinoides"
"Centropomus parallelus","Centropomus parallelus"
"Pimephales promelas","Pimephales promelas"
"Catostomus latipinnis","Catostomus latipinnis"
"Pylodictus olivaris","Pylodictus olivaris"
"Platygobio gracilis","Platygobio gracilis"
"Noturus nocturnus","Noturus nocturnus"
"Aplodinotus grunniens","Aplodinotus grunniens"
"Notropis buchanani","Notropis buchanani"
"Gila intermedia","Gila intermedia"
"Oncorhynchus gilae","Oncorhynchus gilae"
"Dorosoma cepedianum","Dorosoma cepedianum"
"Moxostoma erythrurum","Moxostoma erythrurum"
"Notemigonus crysoleucas","Notemigonus crysoleucas"
