SciName_orig,OTU_BCG,Modified,Rationale,CommonName
Opsopoeodus emiliae,Opsopoeodus emiliae,FALSE,,Pugnose minnow
Oreochromus aureus,Oreochromus aureus,FALSE,,Blue tilapia
Perca flavescens,Perca flavescens,FALSE,,Yellow perch
Perciformes,Perciformes,FALSE,,Unknown temperate bass
Percina caprodes,Percina caprodes,FALSE,,Logperch
Percina macrolepida,Percina macrolepida,FALSE,,Bigscale logperch
Percina phoxocephala,Percina phoxocephala,FALSE,,Slenderhead darter
Percina sciera,Percina sciera,FALSE,,Dusky darter
Percopsis transmontana,Percopsis transmontana,FALSE,,Sand roller
Phenacobius mirabilis,Phenacobius mirabilis,FALSE,,Suckermouth minnow
Phoxinus erythrogaster,Phoxinus erythrogaster,FALSE,,Southern redbelly dace
Pimephales notatus,Pimephales notatus,FALSE,,Bluntnose minnow
Pimephales promelas,Pimephales promelas,FALSE,,Fathead minnow
Pimephales tenellus,Pimephales tenellus,FALSE,,Slim minnow
Pimephales vigilax,Pimephales vigilax,FALSE,,Bullhead minnow
Plagopterus argentissimus,Plagopterus argentissimus,FALSE,,Woundfin
Platygobio gracilis,Platygobio gracilis,FALSE,,Flathead chub
Poecilia latipinna,Poecilia latipinna,FALSE,,Sailfin molly
Pomoxis,Pomoxis,FALSE,,Crappie
Pomoxis annularis,Pomoxis annularis,FALSE,,White crappie
Pomoxis nigromaculatus,Pomoxis nigromaculatus,FALSE,,Black crappie
Prosopium williamsoni,Prosopium williamsoni,FALSE,,Mountain whitefish
Ptychocheilus grandis,Ptychocheilus grandis,FALSE,,Sacramento pikeminnow
Ptychocheilus lucius,Ptychocheilus lucius,FALSE,,Colorado pikeminnow
Ptychocheilus oregonensis,Ptychocheilus oregonensis,FALSE,,Northern pikeminnow
Pylodictis olivaris,Pylodictis olivaris,FALSE,,Flathead catfish
Pylodictus olivaris,Pylodictis olivaris,TRUE,spelling,Flathead catfish
Rhinichthys cataractae,Rhinichthys cataractae,FALSE,,Longnose dace
Rhinichthys cobitis,Rhinichthys cobitis,FALSE,,Loach minnow
Rhinichthys osculus,Rhinichthys osculus,FALSE,,Speckled dace
Richardsonius balteatus,Richardsonius balteatus,FALSE,,Redside shiner
Salmo trutta,Salmo trutta,FALSE,,Brown trout
Salvelinus fontinalis,Salvelinus fontinalis,FALSE,,Brook trout
Salvelinus namaycush,Salvelinus namaycush,FALSE,,Lake trout
Sander canadensis,Sander canadensis,FALSE,,Sauger
Sander vitreum,Sander vitreum,FALSE,,Walleye
Scaphirhynchus platorynchus,Scaphirhynchus platorynchus,FALSE,,Shovelnose sturgeon
Scartomyzon congestum,Scartomyzon congestum,FALSE,,Gray redhorse
Semotilus atromaculatus,Semotilus atromaculatus,FALSE,,Creek chub
Stizostedion vitreum,Stizostedion vitreum,FALSE,,Walleye
Strongylura marina,Strongylura marina,FALSE,,Atlantic needlefish
Tinca tinca,Tinca tinca,FALSE,,Tench
Xyrauchen texanus,Xyrauchen texanus,FALSE,,Razorback sucker
Carpiodes cyprinus,Carpiodes cyprinus,FALSE,,Quillback
Lepisosteus platostomus,Lepisosteus platostomus,FALSE,,Shortnose gar
