TAXAID,FAMILY,GENUS,COMMONNAME,BCG_ATTR,BCGATTR_ROMAN,BCG_ATTR2,BCG_ATTR2_ROMAN,BCG_NUM,NATIVE,TROPHIC,HABITAT,REPRODUCTION
LEPOMIS GIBBOSUS,CENTRARCHIDAE,LEPOMIS,PUMPKINSEED,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,COMPLEX NEST; LITHOPHIL
LEPOMIS GULOSUS,CENTRARCHIDAE,LEPOMIS,WARMOUTH,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,COMPLEX NEST
LEPOMIS HUMILIS,CENTRARCHIDAE,LEPOMIS,ORANGESPOTTED SUNFISH,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,COMPLEX NEST; LITHOPHIL
LEPOMIS HUMILIS X MEGALOTIS,CENTRARCHIDAE,LEPOMIS,ORANGESPOTTED SUNFISH X LONGEAR SUNFISH,,,,,,NATIVE,OM,,
LEPOMIS HYBRID,CENTRARCHIDAE,LEPOMIS,SUNFISH HYBRID,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,W,
LEPOMIS MACROCHIRUS,CENTRARCHIDAE,LEPOMIS,BLUEGILL,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,COMPLEX NEST
LEPOMIS MACROCHIRUS HYBRID,CENTRARCHIDAE,LEPOMIS,BLUEGILL HYBRID,,,,,,NATIVE,TC,W,
LEPOMIS MACROCHIRUS X CYANELLUS,CENTRARCHIDAE,LEPOMIS,BLUEGILL X GREEN SUNFISH,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,W,
LEPOMIS MACROCHIRUS X GIBBOSUS,CENTRARCHIDAE,LEPOMIS,BLUEGILL X PUMPKINSEED,,,,,,NATIVE,OM,W,
LEPOMIS MACROCHIRUS X GULOSUS,CENTRARCHIDAE,LEPOMIS,BLUEGILL X WARMOUTH,,,,,,NATIVE,OM,,
LEPOMIS MACROCHIRUS X HUMILIS,CENTRARCHIDAE,LEPOMIS,BLUEGILL X ORANGESPOTTED SUNFISH,,,,,,NATIVE,OM,,
LEPOMIS MACROCHIRUS X MEGALOTIS,CENTRARCHIDAE,LEPOMIS,BLUEGILL X LONGEAR SUNFISH,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,W,
LEPOMIS MACROCHIRUS X MICROLOPHUS,CENTRARCHIDAE,LEPOMIS,BLUEGILL X REDEAR SUNFISH,,,,,,NATIVE,OM,W,
LEPOMIS MARGINATUS,CENTRARCHIDAE,LEPOMIS,DOLLAR SUNFISH,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,COMPLEX NEST
LEPOMIS MEGALOTIS,CENTRARCHIDAE,LEPOMIS,LONGEAR SUNFISH,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,W,COMPLEX NEST
LEPOMIS MEGALOTIS HYBRID,CENTRARCHIDAE,LEPOMIS,LONGEAR SUNFISH HYBRID,,,,,,NATIVE,OM,,
LEPOMIS MICROLOPHUS,CENTRARCHIDAE,LEPOMIS,REDEAR SUNFISH,3,III,3_WORSE,IIIb,3.5,NON_NATIVE,IV,W,COMPLEX NEST
LEPOMIS MINIATUS,CENTRARCHIDAE,LEPOMIS,REDSPOTTED SUNFISH,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,LITHOPHIL
LEPOMIS PUNCTATUS,CENTRARCHIDAE,LEPOMIS,SPOTTED SUNFISH,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,COMPLEX NEST
LEPOMIS SYMMETRICUS,CENTRARCHIDAE,LEPOMIS,BANTAM SUNFISH,3,III,3_MIDDLE,III,3,NATIVE,IV,W,
LETHENTERON APPENDIX,PETROMYZONTIDAE,LETHENTERON,AMERICAN BROOK LAMPREY,3,III,3_BETTER,IIIa,3,NATIVE,OM,F,LITHOPHIL
LOTA LOTA,GADIDAE,LOTA,BURBOT,3,III,3_MIDDLE,III,3,NATIVE,TC,,BROADCASTER; LITHOPHIL
LUXILUS CARDINALIS,CYPRINIDAE,LUXILUS,CARDINAL SHINER,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,F;W,
LUXILUS CHRYSOCEPHALUS,CYPRINIDAE,LUXILUS,STRIPED SHINER,3,III,3_BETTER,IIIa,3,NATIVE,OM,F;W,SIMPLE NEST; LITHOPHIL
LUXILUS CHRYSOCEPHALUS X NOTROPIS PERCOBROMUS,CYPRINIDAE,LUXILUS,STRIPED SHINER X CARMINE SHINER,,,,,,NATIVE,OM,F,
LUXILUS CHRYSOCEPHALUS X ZONATUS,CYPRINIDAE,LUXILUS,STRIPED SHINER X  BLEEDING SHINER,,,,,,NATIVE,OM,F,
LUXILUS CORNUTUS,CYPRINIDAE,LUXILUS,COMMON SHINER,4,IV,4_BETTER,IVa,4,NATIVE,OM,F;W,SIMPLE NEST; LITHOPHIL
LUXILUS CORNUTUS X CHROSOMUS ERYTHROGASTER,CYPRINIDAE,LUXILUS,COMMON SHINER X SOUTHERN REDBELLY DACE,,,,,,,,,
LUXILUS CORNUTUS X NOTROPIS PERCOBROMUS,CYPRINIDAE,LUXILUS,COMMON SHINER X CARMINE SHINER,,,,,,NATIVE,OM,F,
LUXILUS CORNUTUS X SEMOTILUS ATROMACULATUS,CYPRINIDAE,LUXILUS,COMMON SHINER X CREEK CHUB,,,,,,NATIVE,OM,F,
LUXILUS PILSBRYI,CYPRINIDAE,LUXILUS,DUSKYSTRIPE SHINER,3,III,3_MIDDLE,III,3,NATIVE,IV,F;W,
LUXILUS ZONATUS,CYPRINIDAE,LUXILUS,BLEEDING SHINER,3,III,3_MIDDLE,III,3,NATIVE,IV,F;W,
LUXILUS ZONATUS X NOTROPIS NUBILUS,CYPRINIDAE,LUXILUS ZONATUS,BLEEDING SHINER X OZARK MINNOW,,,,,,NATIVE,OM,F,
LYTHRURUS FUMEUS,CYPRINIDAE,LYTHRURUS,RIBBON SHINER,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,
LYTHRURUS SNELSONI,CYPRINIDAE,LYTHRURUS,OUACHITA MOUNTAIN SHINER,3,III,3_MIDDLE,III,3,NATIVE,OM,,
LYTHRURUS UMBRATILIS,CYPRINIDAE,LYTHRURUS,REDFIN SHINER,3,III,3_BETTER,IIIa,3,NATIVE,IV,F;W,SIMPLE NEST
MACRHYBOPSIS AESTIVALIS,CYPRINIDAE,MACRHYBOPSIS,SPECKLED CHUB,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER
MACRHYBOPSIS AUSTRALIS,CYPRINIDAE,MACRHYBOPSIS,PRAIRIE CHUB,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,
MACRHYBOPSIS HYOSTOMA,CYPRINIDAE,MACRHYBOPSIS,SHOAL CHUB,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,
MACRHYBOPSIS MEEKI,CYPRINIDAE,MACRHYBOPSIS,SICKLEFIN CHUB,2,II,2_MIDDLE,II,2,NATIVE,IV,B;F,
MACRHYBOPSIS STORERIANA,CYPRINIDAE,MACRHYBOPSIS,SILVER CHUB,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,BROADCASTER
MACRHYBOPSIS TETRANEMA,CYPRINIDAE,MACRHYBOPSIS,PEPPERED CHUB,,,,,,NATIVE,OM,F,
MARGARISCUS MARGARITA,CYPRINIDAE,MARGARISCUS,PEARL DACE,4,IV,4_BETTER,IVa,4,NATIVE,OM,W,BROADCASTER; LITHOPHIL
MARGARISCUS NACHTRIEBI,CYPRINIDAE,MARGARISCUS,NORTHERN PEARL DACE,3,III,3_MIDDLE,III,3,NATIVE,OM,W,LITHOPHIL
MARGARISCUS NACHTRIEBI HYBRID,CYPRINIDAE,MARGARISCUS,NORTHERN PEARL DACE HYBRID,3,III,3_BETTER,IIIa,3,NATIVE,OM,W,
MENIDIA AUDENS,ATHERINIDAE,MENIDIA,MISSISSIPPI SILVERSIDE,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,W,
MENIDIA BERYLLINA,ATHERINIDAE,MENIDIA,INLAND SILVERSIDE,4,IV,4_WORSE,IVb,4.5,NON_NATIVE,IV,W,BROADCASTER
MICROPTERUS,CENTRARCHIDAE,MICROPTERUS,BLACK BASS,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,
MICROPTERUS DOLOMIEU,CENTRARCHIDAE,MICROPTERUS,SMALLMOUTH BASS,3,III,3_BETTER,IIIa,3,NATIVE,TC,W,COMPLEX NEST; LITHOPHIL
MICROPTERUS DOLOMIEU X PUNCTULATUS,CENTRARCHIDAE,MICROPTERUS,SMALLMOUTH BASS X SPOTTED BASS,3,III,3_MIDDLE,III,3,NATIVE,OM,,
MICROPTERUS HYBRID,CENTRARCHIDAE,MICROPTERUS,BASS HYBRID,,,,,,NATIVE,TC,,
MICROPTERUS PUNCTULATUS,CENTRARCHIDAE,MICROPTERUS,SPOTTED BASS,3,III,3_WORSE,IIIb,3.5,NATIVE,TC,W,COMPLEX NEST; LITHOPHIL
MICROPTERUS PUNCTULATUS X SALMOIDES,CENTRARCHIDAE,MICROPTERUS,SPOTTED BASS X LARGEMOUTH BASS,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,
MICROPTERUS SALMOIDES,CENTRARCHIDAE,MICROPTERUS,LARGEMOUTH BASS,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,W,COMPLEX NEST
MINYTREMA MELANOPS,CATOSTOMIDAE,MINYTREMA,SPOTTED SUCKER,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B,BROADCASTER; LITHOPHIL
MORONE,MORONIDAE,MORONE,BASS,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,
MORONE AMERICANA,MORONIDAE,MORONE,WHITE PERCH,4,IV,4_WORSE,IVb,4.5,NON_NATIVE,TC,W,BROADCASTER; MIGRATORY
MORONE CHRYSOPS,MORONIDAE,MORONE,WHITE BASS,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER; MIGRATORY
MORONE MISSISSIPPIENSIS,MORONIDAE,MORONE,YELLOW BASS,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER; MIGRATORY
MORONE SAXATILIS,MORONIDAE,MORONE,STRIPED BASS,3,III,3_BETTER,IIIa,3,NON_NATIVE,TC,W,BROADCASTER; MIGRATORY
MORONE SAXATILIS X CHRYSOPS,MORONIDAE,MORONE,WIPER,3,III,3_WORSE,IIIb,3.5,NON_NATIVE,TC,W,
MOXOSTOMA,CATOSTOMIDAE,MOXOSTOMA,REDHORSE,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,LITHOPHIL
MOXOSTOMA ANISURUM,CATOSTOMIDAE,MOXOSTOMA,SILVER REDHORSE,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,BROADCASTER; MIGRATORY; LITHOPHIL
MOXOSTOMA CARINATUM,CATOSTOMIDAE,MOXOSTOMA,RIVER REDHORSE,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,SIMPLE NEST; LITHOPHIL
MOXOSTOMA DUQUESNII,CATOSTOMIDAE,MOXOSTOMA,BLACK REDHORSE,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER; MIGRATORY; LITHOPHIL
MOXOSTOMA ERYTHRURUM,CATOSTOMIDAE,MOXOSTOMA,GOLDEN REDHORSE,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,BROADCASTER; MIGRATORY; LITHOPHIL
MOXOSTOMA MACROLEPIDOTUM,CATOSTOMIDAE,MOXOSTOMA,SHORTHEAD REDHORSE,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,BROADCASTER; MIGRATORY; LITHOPHIL
MOXOSTOMA PISOLABRUM,CATOSTOMIDAE,MOXOSTOMA,PEALIP REDHORSE,4,IV,4_BETTER,IVa,4,NATIVE,OM,F,LITHOPHIL
MOXOSTOMA VALENCIENNESI,CATOSTOMIDAE,MOXOSTOMA,GREATER REDHORSE,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,BROADCASTER; MIGRATORY; LITHOPHIL
NOCOMIS ASPER,CYPRINIDAE,NOCOMIS,REDSPOT CHUB,3,III,3_MIDDLE,III,3,NATIVE,OM,F;W,LITHOPHIL
NOCOMIS BIGUTTATUS,CYPRINIDAE,NOCOMIS,HORNYHEAD CHUB,3,III,3_BETTER,IIIa,3,NATIVE,OM,F;W,LITHOPHIL
NOTEMIGONUS CRYSOLEUCAS,CYPRINIDAE,NOTEMIGONUS,GOLDEN SHINER,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,W,BROADCASTER
NOTHONOTUS JULIAE,PERCIDAE,NOTHONOTUS,YOKE DARTER,,,,,,NATIVE,IV,B;F,LITHOPHIL
NOTROPIS,CYPRINIDAE,NOTROPIS,EASTERN SHINER,4,IV,4_BETTER,IVa,4,NATIVE,OM,W,
NOTROPIS ANOGENUS,CYPRINIDAE,NOTROPIS,PUGNOSE SHINER,,,,,,NATIVE,OM,W,
NOTROPIS ATHERINOIDES,CYPRINIDAE,NOTROPIS,EMERALD SHINER,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,W,BROADCASTER
NOTROPIS ATROCAUDALIS,CYPRINIDAE,NOTROPIS,BLACKSPOT SHINER,3,III,3_MIDDLE,III,3,NATIVE,OM,F;W,
NOTROPIS BAIRDI,CYPRINIDAE,NOTROPIS,RED RIVER SHINER,4,IV,4_WORSE,IVb,4.5,NATIVE,IV,F;W,
NOTROPIS BLENNIUS,CYPRINIDAE,NOTROPIS,RIVER SHINER,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,BROADCASTER; LITHOPHIL
NOTROPIS BOOPS,CYPRINIDAE,NOTROPIS,BIGEYE SHINER,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,F;W,BROADCASTER; LITHOPHIL
NOTROPIS BUCCATUS,CYPRINIDAE,NOTROPIS,SILVERJAW MINNOW,3,III,3_MIDDLE,III,3,NATIVE,OM,F,BROADCASTER; LITHOPHIL
NOTROPIS BUCHANANI,CYPRINIDAE,NOTROPIS,GHOST SHINER,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,BROADCASTER
NOTROPIS CHALYBAEUS,CYPRINIDAE,NOTROPIS,IRONCOLOR SHINER,3,III,3_MIDDLE,III,3,NATIVE,IV,F;W,BROADCASTER; LITHOPHIL
NOTROPIS GIRARDI,CYPRINIDAE,NOTROPIS,ARKANSAS RIVER SHINER,2,II,2_MIDDLE,II,2,NATIVE,IV,F;W,
NOTROPIS GREENEI,CYPRINIDAE,NOTROPIS,WEDGESPOT SHINER,3,III,3_MIDDLE,III,3,NATIVE,IV,F;W,LITHOPHIL
NOTROPIS HETERODON,CYPRINIDAE,NOTROPIS,BLACKCHIN SHINER,,,,,,NATIVE,IV,W,BROADCASTER
NOTROPIS HETEROLEPIS,CYPRINIDAE,NOTROPIS,BLACKNOSE SHINER,2,II,2_MIDDLE,II,2,NATIVE,IV,W,BROADCASTER; LITHOPHIL
NOTROPIS HUDSONIUS,CYPRINIDAE,NOTROPIS,SPOTTAIL SHINER,4,IV,4_BETTER,IVa,4,NATIVE,OM,W,BROADCASTER; MIGRATORY; LITHOPHIL
NOTROPIS MACULATUS,CYPRINIDAE,NOTROPIS,TAILLIGHT SHINER,,,,,,,,,
NOTROPIS NUBILUS,CYPRINIDAE,NOTROPIS,OZARK MINNOW,3,III,3_BETTER,IIIa,3,NATIVE,HB,F,SIMPLE NEST; LITHOPHIL
NOTROPIS ORTENBURGERI,CYPRINIDAE,NOTROPIS,KIAMICHI SHINER,3,III,3_MIDDLE,III,3,NATIVE,OM,,
NOTROPIS OZARCANUS,CYPRINIDAE,NOTROPIS,OZARK SHINER,3,III,3_MIDDLE,III,3,NATIVE,IV,F;W,LITHOPHIL
NOTROPIS PERCOBROMUS,CYPRINIDAE,NOTROPIS,CARMINE SHINER,3,III,3_BETTER,IIIa,3,NATIVE,OM,F;W,LITHOPHIL
NOTROPIS POTTERI,CYPRINIDAE,NOTROPIS,CHUB SHINER,,,,,,NATIVE,IV,F,
NOTROPIS RUBELLUS,CYPRINIDAE,NOTROPIS,ROSYFACE SHINER,3,III,3_BETTER,IIIa,3,NATIVE,OM,F;W,SIMPLE NEST; LITHOPHIL
NOTROPIS SHUMARDI,CYPRINIDAE,NOTROPIS,SILVERBAND SHINER,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,
NOTROPIS STRAMINEUS,CYPRINIDAE,NOTROPIS,SAND SHINER,4,IV,4_WORSE,IVb,4.5,NATIVE,IV,B;F,BROADCASTER
NOTROPIS SUTTKUSI,CYPRINIDAE,NOTROPIS,ROCKY SHINER,3,III,3_MIDDLE,III,3,NATIVE,OM,F;W,LITHOPHIL
NOTROPIS TELESCOPUS,CYPRINIDAE,NOTROPIS,TELESCOPE SHINER,3,III,3_MIDDLE,III,3,NATIVE,IV,F;W,LITHOPHIL
NOTROPIS TEXANUS,CYPRINIDAE,NOTROPIS,WEED SHINER,5,V,5_MIDDLE,V,5,NATIVE,OM,W,BROADCASTER
NOTROPIS TOPEKA,CYPRINIDAE,NOTROPIS,TOPEKA SHINER,2,II,2_MIDDLE,II,2,NATIVE,IV,W,LITHOPHIL
NOTROPIS VOLUCELLUS,CYPRINIDAE,NOTROPIS,MIMIC SHINER,4,IV,4_BETTER,IVa,4,NATIVE,OM,W,BROADCASTER
NOTROPIS WICKLIFFI,CYPRINIDAE,NOTROPIS,CHANNEL SHINER,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,
NOTURUS,ICTALURIDAE,NOTURUS,MADTOM,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,
NOTURUS ALBATER,ICTALURIDAE,NOTURUS,OZARK MADTOM,,,,,,NATIVE,IV,B;F,LITHOPHIL
NOTURUS ELEUTHERUS,ICTALURIDAE,NOTURUS,MOUNTAIN MADTOM,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,COMPLEX NEST; LITHOPHIL
NOTURUS EXILIS,ICTALURIDAE,NOTURUS,SLENDER MADTOM,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B;F,COMPLEX NEST
NOTURUS FLAVATER,ICTALURIDAE,NOTURUS,CHECKERED MADTOM,,,,,,NATIVE,IV,B,
NOTURUS FLAVUS,ICTALURIDAE,NOTURUS,STONECAT,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,COMPLEX NEST; LITHOPHIL
NOTURUS GYRINUS,ICTALURIDAE,NOTURUS,TADPOLE MADTOM,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,COMPLEX NEST
NOTURUS MIURUS,ICTALURIDAE,NOTURUS,BRINDLED MADTOM,3,III,3_BETTER,IIIa,3,NATIVE,IV,B,COMPLEX NEST
NOTURUS NOCTURNUS,ICTALURIDAE,NOTURUS,FRECKLED MADTOM,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,COMPLEX NEST
NOTURUS PLACIDUS,ICTALURIDAE,NOTURUS,NEOSHO MADTOM,,,,,,NATIVE,IV,B;F,
ONCHORHYNCHUS CLARKI,SALMONIDAE,ONCHORHYNCHUS,CUTTHROAT TROUT,2,II,2_MIDDLE,II,2,NON_NATIVE,TC,,LITHOPHIL
ONCORHYNCHUS KISUTCH,SALMONIDAE,ONCORHYNCHUS,COHO SALMON,,,,,,NON_NATIVE,IV,W,SIMPLE NEST; MIGRATORY; LITHOPHIL
ONCORHYNCHUS MYKISS,SALMONIDAE,ONCORHYNCHUS,RAINBOW TROUT,3,III,3_BETTER,IIIa,3,NON_NATIVE,TC,W,SIMPLE NEST; MIGRATORY; LITHOPHIL
PERCA FLAVESCENS,PERCIDAE,PERCA,YELLOW PERCH,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,W,BROADCASTER
PERCIDAE,PERCIDAE,PERCIDAE,PERCHES,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,
PERCINA,PERCIDAE,PERCINA,ROUGHBELLY DARTERS,4,IV,4_BETTER,IVa,4,NATIVE,OM,,
PERCINA CAPRODES,PERCIDAE,PERCINA,LOGPERCH,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,BROADCASTER; LITHOPHIL
PERCINA COPELANDI,PERCIDAE,PERCINA,CHANNEL DARTER,3,III,3_BETTER,IIIa,3,NATIVE,IV,B,SIMPLE NEST; LITHOPHIL
PERCINA CYMATOTAENIA,PERCIDAE,PERCINA,BLUESTRIPE DARTER,,,,,,NATIVE,IV,B,
PERCINA EVIDES,PERCIDAE,PERCINA,GILT DARTER,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,BROADCASTER; LITHOPHIL
PERCINA FULVITAENIA,PERCIDAE,PERCINA,OZARK LOGPERCH,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B,LITHOPHIL
PERCINA MACROLEPIDA,PERCIDAE,PERCINA,BIGSCALE LOGPERCH,,,,,,,,,
PERCINA MACULATA,PERCIDAE,PERCINA,BLACKSIDE DARTER,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,BROADCASTER; MIGRATORY; LITHOPHIL
PERCINA NASUTA,PERCIDAE,PERCINA,LONGNOSE DARTER,,,,,,NATIVE,IV,B,LITHOPHIL
PERCINA PANTHERINA,PERCIDAE,PERCINA,LEOPARD DARTER,2,II,2_MIDDLE,II,2,NATIVE,IV,B;F,LITHOPHIL
PERCINA PHOXOCEPHALA,PERCIDAE,PERCINA,SLENDERHEAD DARTER,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,BROADCASTER; MIGRATORY; LITHOPHIL
PERCINA PHOXOCEPHALA X CAPRODES,PERCIDAE,PERCINA,SLENDERHEAD DARTER X LOGPERCH,,,,,,NATIVE,OM,,
PERCINA SCIERA,PERCIDAE,PERCINA,DUSKY DARTER,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B,SIMPLE NEST; LITHOPHIL
PERCINA SHUMARDI,PERCIDAE,PERCINA,RIVER DARTER,,,,,,NATIVE,IV,B;F,SIMPLE NEST; LITHOPHIL
PERCINA URANIDEA,PERCIDAE,PERCINA,STARGAZING DARTER,,,,,,,,,
PERCINA VIGIL,PERCIDAE,PERCINA,SADDLEBACK DARTER,,,,,,NATIVE,IV,B;F,SIMPLE NEST; LITHOPHIL
PERCOPSIS OMISCOMAYCUS,PERCOPSIDAE,PERCOPSIS,TROUT-PERCH,3,III,3_BETTER,IIIa,3,NATIVE,IV,B,BROADCASTER; LITHOPHIL
PETROMYZONTIDAE,PETROMYZONTIDAE,PETROMYZONTIDAE,LAMPREY,4,IV,4_BETTER,IVa,4,NATIVE,OM,,LITHOPHIL
PETROMYZONTIFORMES AMMOCOETE,,PETROMYZONTIFORMES,LAMPREY,,,,,,,,,
PHENACOBIUS MIRABILIS,CYPRINIDAE,PHENACOBIUS,SUCKERMOUTH MINNOW,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,BROADCASTER; MIGRATORY; LITHOPHIL
PHOXINUS,CYPRINIDAE,PHOXINUS,DACE,,,,,,,,,
PIMEPHALES NOTATUS,CYPRINIDAE,PIMEPHALES,BLUNTNOSE MINNOW,4,IV,4_BETTER,IVa,4,NATIVE,OM,,COMPLEX NEST
PIMEPHALES PROMELAS,CYPRINIDAE,PIMEPHALES,FATHEAD MINNOW,5,V,5_MIDDLE,V,5,NATIVE,OM,,COMPLEX NEST
PIMEPHALES TENELLUS,CYPRINIDAE,PIMEPHALES,SLIM MINNOW,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,W,
PIMEPHALES VIGILAX,CYPRINIDAE,PIMEPHALES,BULLHEAD MINNOW,4,IV,4_WORSE,IVb,4.5,NATIVE,IV,,COMPLEX NEST
PLATYGOBIO GRACILIS,CYPRINIDAE,PLATYGOBIO,FLATHEAD CHUB,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,
POLYODON SPATHULA,POLYODONTIDAE,POLYODON,PADDLEFISH,3,III,3_WORSE,IIIb,3.5,NATIVE,OM,F;W,BROADCASTER; MIGRATORY; LITHOPHIL
POMOXIS,CENTRARCHIDAE,POMOXIS,CRAPPIES,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,W,
POMOXIS ANNULARIS,CENTRARCHIDAE,POMOXIS,WHITE CRAPPIE,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,W,COMPLEX NEST
POMOXIS NIGROMACULATUS,CENTRARCHIDAE,POMOXIS,BLACK CRAPPIE,3,III,3_BETTER,IIIa,3,NATIVE,TC,W,COMPLEX NEST
PYLODICTIS OLIVARIS,ICTALURIDAE,PYLODICTIS,FLATHEAD CATFISH,4,IV,4_BETTER,IVa,4,NATIVE,TC,,COMPLEX NEST
RHINICHTHYS ATRATULUS,CYPRINIDAE,RHINICHTHYS,EASTERN BLACKNOSE DACE,3,III,3_MIDDLE,III,3,NATIVE,OM,F,LITHOPHIL
RHINICHTHYS CATARACTAE,CYPRINIDAE,RHINICHTHYS,LONGNOSE DACE,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER; LITHOPHIL
RHINICHTHYS OBTUSUS,CYPRINIDAE,RHINICHTHYS,WESTERN BLACKNOSE DACE,4,IV,4_BETTER,IVa,4,NATIVE,OM,F,SIMPLE NEST; LITHOPHIL
SALMO TRUTTA,SALMONIDAE,SALMO,BROWN TROUT,3,III,3_BETTER,IIIa,3,NON_NATIVE,TC,W,SIMPLE NEST; MIGRATORY; LITHOPHIL
SALMO TRUTTA X SALVELINUS FONTINALIS,SALMONIDAE,SALMO,TIGER TROUT,,,,,,NATIVE,OM,W,
SALVELINUS FONTINALIS,SALMONIDAE,SALVELINUS,BROOK TROUT,3,III,3_BETTER,IIIa,3,NON_NATIVE,TC,W,SIMPLE NEST; MIGRATORY; LITHOPHIL
SANDER CANADENSIS,PERCIDAE,SANDER,SAUGER,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER; MIGRATORY; LITHOPHIL
SANDER VITREUS,PERCIDAE,SANDER,WALLEYE,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,W,BROADCASTER; MIGRATORY; LITHOPHIL
SANDER VITREUS X CANADENSIS,PERCIDAE,SANDER,SAUGEYE,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,F;W,
SCAPHIRHYNCHUS PLATORYNCHUS,ACIPENSERIDAE,SCAPHIRHYNCHUS,SHOVELNOSE STURGEON,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER; LITHOPHIL
SEMOTILUS ATROMACULATUS,CYPRINIDAE,SEMOTILUS,CREEK CHUB,4,IV,4_BETTER,IVa,4,NATIVE,OM,F;W,SIMPLE NEST; LITHOPHIL
UMBRA LIMI,UMBRIDAE,UMBRA,CENTRAL MUDMINNOW,5,V,5_MIDDLE,V,5,NATIVE,IV,,COMPLEX NEST
UNIDENTIFIED,,UNIDENTIFIED,UNIDENTIFIED,,,,,,,,,
