TAXAID,FAMILY,GENUS,COMMONNAME,BCG_ATTR,BCGATTR_ROMAN,BCG_ATTR2,BCG_ATTR2_ROMAN,BCG_NUM,NATIVE,TROPHIC,HABITAT,REPRODUCTION
CHROSOMUS ERYTHROGASTER,CYPRINIDAE,CHROSOMUS,SOUTHERN REDBELLY DACE,3,III,3_BETTER,IIIa,3,NATIVE,HB,F,BROADCASTER; LITHOPHIL
CHROSOMUS NEOGAEUS,CYPRINIDAE,CHROSOMUS,FINESCALE DACE,2,II,2_MIDDLE,II,2,NATIVE,IV,F,BROADCASTER
CLINOSTOMUS ELONGATUS,CYPRINIDAE,CLINOSTOMUS,REDSIDE DACE,,,,,,NATIVE,OM,W,SIMPLE NEST
COTTUS,COTTIDAE,COTTUS,SCULPIN,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,
COTTUS BAIRDII,COTTIDAE,COTTUS,MOTTLED SCULPIN,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,COMPLEX NEST; LITHOPHIL
COTTUS CAROLINAE,COTTIDAE,COTTUS,BANDED SCULPIN,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,COMPLEX NEST
COTTUS COGNATUS,COTTIDAE,COTTUS,SLIMY SCULPIN,2,II,2_MIDDLE,II,2,NATIVE,IV,B;F,COMPLEX NEST; LITHOPHIL
COTTUS HYPSELURUS,COTTIDAE,COTTUS,OZARK SCULPIN,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,LITHOPHIL
COTTUS IMMACULATUS,COTTIDAE,COTTUS,KNOBFIN SCULPIN,3,III,3_MIDDLE,III,3,NATIVE,OM,F,LITHOPHIL
COTTUS SPECUS,COTTIDAE,COTTUS,GROTTO SCULPIN,,,,,,NATIVE,OM,F,LITHOPHIL
CRYSTALLARIA ASPRELLA,PERCIDAE,CRYSTALLARIA,CRYSTAL DARTER,,,,,,,,,
CTENOPHARYNGODON IDELLA,CYPRINIDAE,CTENOPHARYNGODON,GRASS CARP,4,IV,4_WORSE,IVb,4.5,NON_NATIVE,HB,W,BROADCASTER; MIGRATORY
CULAEA INCONSTANS,GASTEROSTEIDAE,CULAEA,BROOK STICKLEBACK,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,COMPLEX NEST
CYCLEPTUS ELONGATUS,CATOSTOMIDAE,CYCLEPTUS,BLUE SUCKER,3,III,3_BETTER,IIIa,3,NATIVE,IV,B,BROADCASTER; MIGRATORY; LITHOPHIL
CYPRINELLA,CYPRINIDAE,CYPRINELLA,SATINFIN SHINERS ,4,IV,4_BETTER,IVa,4,NATIVE,OM,W,
CYPRINELLA CAMURA,CYPRINIDAE,CYPRINELLA,BLUNTFACE SHINER,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,SIMPLE NEST
CYPRINELLA GALACTURA,CYPRINIDAE,CYPRINELLA,WHITETAIL SHINER,3,III,3_MIDDLE,III,3,NATIVE,IV,F;W,SIMPLE NEST
CYPRINELLA LUTRENSIS,CYPRINIDAE,CYPRINELLA,RED SHINER,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,W,SIMPLE NEST
CYPRINELLA LUTRENSIS X SPILOPTERA,CYPRINIDAE,CYPRINELLA,RED SHINER X SPOTFIN SHINER,,,,,,,,,
CYPRINELLA SPILOPTERA,CYPRINIDAE,CYPRINELLA,SPOTFIN SHINER,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,SIMPLE NEST; LITHOPHIL
CYPRINELLA VENUSTA,CYPRINIDAE,CYPRINELLA,BLACKTAIL SHINER,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,SIMPLE NEST
CYPRINELLA WHIPPLEI,CYPRINIDAE,CYPRINELLA,STEELCOLOR SHINER,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,SIMPLE NEST
CYPRINIDAE,CYPRINIDAE,CYPRINIDAE,CYPRINIDAE,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,W,
CYPRINIDAE HYBRID,CYPRINIDAE,CYPRINIDAE,CYPRINIDAE HYBRID,,,,,,,,,
CYPRINODON RUBROFLUVIATILIS,CYPRINODONTIDAE,CYPRINODON,RED RIVER PUPFISH,4,IV,4_BETTER,IVa,4,NATIVE,OM,,
