"TaxaID","CommonName","NONTARGET","Order","Family","BCG_ATTR","Reproduction","Trophic","Type"
"Notropis buchanani","Ghost shiner",FALSE,,"Cyprinidae","4",,"IV",
"Gila intermedia","Gila chub",FALSE,"Cypriniformes","Cyprinidae","x",,"IV",
"Oncorhynchus gilae","Gila trout",FALSE,"Salmoniformes","Salmonidae","x",,"IV",
"Dorosoma cepedianum","Gizzard shad",FALSE,"Clupeiformes","Clupeidae","5",,"HB",
"Moxostoma erythrurum","Golden redhorse",FALSE,"Cypriniformes","Catostomidae","x",,,
"Notemigonus crysoleucas","Golden shiner",FALSE,"Cypriniformes","Cyprinidae","6t",,"OM",
"Carassius auratus","Goldfish",FALSE,"Cypriniformes","Cyprinidae","6t",,"OM",
"Ctenopharyngodon idella","Grass carp",FALSE,"Cypriniformes","Cyprinidae","x","Broadcaster","OM",
"Scartomyzon congestum","Gray redhorse",FALSE,"Cypriniformes","Catostomidae","6",,"IV",
"Lepomis cyanellus","Green sunfish",FALSE,"Perciformes","Centrarchidae","6t",,"IV",
"Lepomis cyannelus x megalotis","Green sunfish x longear sunfish",FALSE,,"Centrarchidae","5",,,
"Etheostoma lepidum","Greenthroat darter",FALSE,"Perciformes","Percidae","x",,"IV",
"Fundulus grandis","Gulf killifish",FALSE,"Cyprinodontiformes","Fundulidae","x",,,
"Etheostoma histrio","Harlequin darter",FALSE,,"Percidae","3",,"IV",
"Ictalurus lupus","Headwater catfish",FALSE,"Siluriformes","Ictaluridae","x",,"IV",
"Gila nigra","Headwater chub",FALSE,"Cypriniformes","Cyprinidae","x",,"IV",
"Gila cypha","Humpback chub",FALSE,,"Cyprinidae","1",,"IV","LLNLB"
"Lepomis sp.","Hybrid lepomis",FALSE,,"Centrarchidae","x",,,
"Menidia beryllina","Inland silverside",FALSE,"Atheriniformes","Atherinidae","x",,"PL",
"Etheostoma exile","Iowa darter",FALSE,,"Percidae","3",,"IV",
"Etheostoma nigrum","Johnny darter",FALSE,,"Percidae","4",,"IV",
"Oncorhynchus nerka","Kokanee salmon",FALSE,"Salmoniformes","Salmonidae","x",,"PL",
"Salvelinus namaycush","Lake trout",FALSE,"Salmoniformes","Salmonidae","x",,"PI",
"Lamprey","Lamprey ammocoete",FALSE,,"Petromyzontidae","x",,"OM",
"Micropterus salmoides","Largemouth bass",FALSE,"Perciformes","Centrarchidae","6t",,"PI",
"Catostomus macrocheilus","Largescale sucker",FALSE,,"Catostomidae","3",,"OM","LLNLB"
"Rhinichthys cobitis","Loach minnow",FALSE,"Cypriniformes","Cyprinidae","x",,"IV",
"Percina caprodes","Logperch",FALSE,,"Percidae","3",,"IV",
"Lepomis megalotis","Longear sunfish",FALSE,"Perciformes","Centrarchidae","6",,"IV",
"Agosia chrysogaster","Longfin dace",FALSE,"Cypriniformes","Cyprinidae","6t",,"OM",
