Taxon_Group,Taxon_orig,NonTarget,Rationale,BenTaxaID,FinalID,OTU_BCG,OTU_IBI,OTU_Final,OTU_Lowest,OTU_Genus,OTU_Family,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety,Rank
,,,MN Access db,27,Cambarincola,Branchiobdellida,Branchiobdellida,Branchiobdellida,NA,NA,NA,69258,69209,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Cambarincolidae,,,Cambarincola,,,,Genus
,,,MN Access db,28,Enchytraeidae,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68510,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Enchytraeidae,,,,,,,Family
,,,MN Access db,29,Haplotaxida,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68498,68422,Annelida,,Clitellata,Oligochaeta,Haplotaxida,,,,,,,,,Order
,,,MN Access db,30,Lumbricidae,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,69165,69069,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Lumbricina,Lumbricidae,,,,,,,Family
,,,MN Access db,31,Megascolecidae,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,69166,69069,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Lumbricina,Megascolecidae,,,,,,,Family
,,,MN Access db,32,Opistocystidae,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,69041,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Opistocystidae,,,,,,,Family
,,,MN Access db,33,Haplotaxis,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68505,68504,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Haplotaxina,Haplotaxidae,,,Haplotaxis,,,,Genus
,,,MN Access db,34,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,68422,568832,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,,,,,,,,Class
,,,MN Access db,35,Tubificina,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68509,68498,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,,,,,,,,SubOrder
,,,MN Access db,36,Naididae,Oligochaeta,Oligochaeta,Oligochaeta,Naididae,Naididae,Naididae,68854,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,,,,,Family
