Date,TypeOfChange,Taxon_Group,Taxon_orig,NonTarget,Changed,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
20230228,addition,Diptera,Chioneinae,FALSE,no,,DNI,Chioneinae,Chioneinae,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,,,,,,
20230228,addition,Other Non-Insect,Colligyrus,FALSE,yes,best to leave at SuperFamily,Truncatelloidea,Truncatelloidea,Truncatelloidea,,Animalia,Mollusca,,Gastropoda,,Littorinimorpha,,Truncatelloidea,Hydrobiidae,,,,Colligyrus,,,,,
20230228,addition,Chironomidae,Compterosmittia sp. A,FALSE,yes,,DNI,Compterosmittia,Compterosmittia,128559,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Compterosmittia,,,,,
20230228,addition,Ephemeroptera,Ephemerella Excrucians Gr.,FALSE,yes,Formatting (Gr.),Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Ephemerella,Ephemerella,Excrucians Gr.,,,
20230228,addition,Other Non-Insect,Helobdella elongata,FALSE,yes,best to leave at genus,Hirudinida,Helobdella,Helobdella,69396,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Haementeriinae,,,Helobdella,,,,,
20230228,addition,Trichoptera,Lepidostoma Unicolor Group,FALSE,yes,Formatting (Gr.),Lepidostoma,Lepidostoma,Lepidostoma,116794,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Lepidostomatidae,Lepidostomatinae,,,Lepidostoma,,,,,
20230228,addition,Diptera,Limnophilinae,FALSE,yes,,DNI,Limnophilinae,Limnophilinae,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limnophilinae,,,,,,,,
20230228,addition,Coleoptera,Nectoporus,FALSE,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,Hydroporinae,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,Hydroporini,,Nectoporus,,,,,
20230228,addition,Coleoptera,Nectoprus,FALSE,yes,misspelled,Hydroporinae,Hydroporinae,Hydroporinae,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,Hydroporini,,Nectoporus,,,,,
20230228,addition,Chironomidae,Orthocladiinae sp. (RAI Taxon # 0004),FALSE,yes,,DNI,Orthocladiinae,Orthocladiinae,128457,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,,,,,,
