TaxaID,Rank,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,HABSTRUCT,HABSTRUCT_Full,LIFE_CYCLE,AirBreather,TOLVAL_IA,FFG_IA,FFGDef_IA,HABIT_IA,HabitDef_IA,COLD_IA,ColdWaterIndicatorTaxa,PHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,CommonName,IA_BugTaxaID
HYDROPORUS DICHROUS,Species,FALSE,4,4_middle,PR,SW,,,semi,TRUE,5,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,HYDROPORUS,DICHROUS,Predaceous Diving Beetles,652
HYDROPORUS NIGER,Species,FALSE,4,4_middle,PR,SW,,,semi,TRUE,5,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,HYDROPORUS,NIGER,Predaceous Diving Beetles,1041
HYDROPORUS NOTABILIS,Species,FALSE,4,4_middle,PR,SW,,,semi,TRUE,5,PR,Predator,SW/CB,Swimmer/Climber,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,HYDROPORUS,NOTABILIS,Predaceous Diving Beetles,1090
HYDROPSYCHE,Genus,FALSE,4,4_worse,CF,CN,,,uni,FALSE,6,CF,Filterer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,HYDROPSYCHINAE,HYDROPSYCHE,,Common Netspinner Caddisflies,436
HYDROPSYCHE AERATA,Species,FALSE,4,4_middle,CF,CN,,,uni,FALSE,4,CF,Filterer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,HYDROPSYCHINAE,HYDROPSYCHE,AERATA,Common Netspinner Caddisflies,758
HYDROPSYCHE ARINALE,Species,FALSE,4,4_middle,CF,CN,,,uni,FALSE,5,CF,Filterer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,HYDROPSYCHINAE,HYDROPSYCHE,ARINALE,Common Netspinner Caddisflies,437
HYDROPSYCHE BETTENI,Species,FALSE,4,4_worse,CF,CN,,,uni,FALSE,6,CF,Filterer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,HYDROPSYCHINAE,HYDROPSYCHE,BETTENI,Common Netspinner Caddisflies,438
HYDROPSYCHE BIDENS,Species,FALSE,4,4_middle,CF,CN,,,uni,FALSE,3,CF,Filterer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,HYDROPSYCHINAE,HYDROPSYCHE,BIDENS,Common Netspinner Caddisflies,439
HYDROPSYCHE DICANTHA,Species,FALSE,4,4_middle,CF,CN,,,uni,FALSE,2,CF,Filterer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,HYDROPSYCHINAE,HYDROPSYCHE,DICANTHA,Common Netspinner Caddisflies,440
HYDROPSYCHE ORRIS,Species,FALSE,4,4_middle,CF,CN,,,uni,FALSE,5,CF,Filterer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,HYDROPSYCHINAE,HYDROPSYCHE,ORRIS,Common Netspinner Caddisflies,609
HYDROPSYCHE PHALERATA,Species,FALSE,4,4_better,CF,CN,,,uni,FALSE,1,CF,Filterer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,HYDROPSYCHINAE,HYDROPSYCHE,PHALERATA,Common Netspinner Caddisflies,441
HYDROPSYCHE PLACODA,Species,FALSE,4,4_middle,CF,CN,,,uni,FALSE,3,CF,Filterer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,HYDROPSYCHINAE,HYDROPSYCHE,PLACODA,Common Netspinner Caddisflies,442
HYDROPSYCHE SCALARIS,Species,FALSE,4,4_middle,CF,CN,,,uni,FALSE,2,CF,Filterer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,HYDROPSYCHINAE,HYDROPSYCHE,SCALARIS,Common Netspinner Caddisflies,746
HYDROPSYCHE SIMULANS,Species,FALSE,4,4_worse,CF,CN,,,uni,FALSE,7,CF,Filterer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,HYDROPSYCHINAE,HYDROPSYCHE,SIMULANS,Common Netspinner Caddisflies,443
HYDROPSYCHIDAE,Family,FALSE,4,4_middle,CF,CN,,,uni,FALSE,5.4,CF,Filterer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,,,,Common Netspinner Caddisflies,429
HYDROPTILA,Genus,FALSE,4,4_middle,"SC,PH",CN,,,uni,FALSE,6,PI,Piercer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPTILIDAE,HYDROPTILINAE,HYDROPTILA,,Micro Caddisflies,447
HYDROPTILIDAE,Family,FALSE,4,4_middle,"SC,PH",CB,,,uni,FALSE,5.9,PI,Piercer,CB,Climber,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPTILIDAE,,,,Micro Caddisflies,446
HYDROVATUS PUSTULATUS,Species,FALSE,,,PR,SW,,,NA,TRUE,3.7,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,HYDROVATUS,PUSTULATUS,Predaceous Diving Beetles,653
HYDROZOA,Class,FALSE,4,4_middle,NA,CN,,,NA,FALSE,,UN,Unidentified,UN,Unidentified,0,FALSE,CNIDARIA,HYDROZOA,,,,,,,"Hydrozoans, Hydralike Animals",486
HYGROTUS,Genus,FALSE,4,4_worse,PR,SW,,,multi,TRUE,1.9,PR,Predator,sw/dv,Swimmer/Diver,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,HYGROTUS,,Predaceous Diving Beetles,80
HYGROTUS DISSIMILIS,Species,FALSE,4,4_worse,PR,SW,,,multi,TRUE,1.9,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,HYGROTUS,DISSIMILIS,Predaceous Diving Beetles,81
HYGROTUS LACCOPHILINUS,Species,FALSE,4,4_worse,PR,SW,,,multi,TRUE,1.9,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,HYGROTUS,LACCOPHILINUS,Predaceous Diving Beetles,997
