Taxon_Group,Taxon_orig,NonTarget,Rationale,FishTaxaID,FinalID,OTU_BCG,OTU_IBI,SciID,Kingdom,Phylum,Class,Order,Family,Genus,Species
,,,,155,grass carp,grass carp,grass carp,Ctenopharyngodon idella,Animalia,,,,,Ctenopharyngodon,idella
,,,,156,gravel chub,gravel chub,gravel chub,Erimystax x-punctatus,Animalia,,,,,Erimystax,x-punctatus
,,,,157,greater redhorse,greater redhorse,greater redhorse,Moxostoma valenciennesi,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,valenciennesi
,,,,158,highfin carpsucker,highfin carpsucker,highfin carpsucker,Carpiodes velifer,Animalia,,,,,Carpiodes,velifer
,,,,159,hornyhead chub,hornyhead chub,hornyhead chub,Nocomis biguttatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Nocomis,biguttatus
,,,,160,hybrid minnow,hybrid minnow,hybrid minnow,Cyprinidae hybrid,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,hybrid,
,,,,161,hybrid Chrosomus,hybrid Chrosomus,hybrid Chrosomus,Chrosomus hybrid,Animalia,,,,,Chrosomus,hybrid
,,,,162,hybrid sunfish,hybrid sunfish,hybrid sunfish,Lepomis hybrid,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,hybrid
,,,,163,Iowa darter,Iowa darter,Iowa darter,Etheostoma exile,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,exile
,,,,164,lake chub,lake chub,lake chub,Couesius plumbeus,Animalia,,,,,Couesius,plumbeus
,,,,165,lake herring,lake herring,lake herring,Coregonus artedi,Animalia,,,,,Coregonus,artedi
,,,,166,lake sturgeon,lake sturgeon,lake sturgeon,Acipenser fulvescens,Animalia,,,,,Acipenser,fulvescens
,,,,167,lamprey ammocoete,lamprey ammocoete,lamprey ammocoete,Petromyzontidae larvae,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,larvae,
,,,,168,largescale stoneroller,largescale stoneroller,largescale stoneroller,Campostoma oligolepis,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Campostoma,oligolepis
,,,,169,least darter,least darter,least darter,Etheostoma microperca,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,microperca
,,,,170,longnose sucker,longnose sucker,longnose sucker,Catostomus catostomus,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,catostomus
,,,,171,mimic shiner,mimic shiner,mimic shiner,Notropis volucellus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,volucellus
,,,,172,Mississippi silvery minnow,Mississippi silvery minnow,Mississippi silvery minnow,Hybognathus nuchalis,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Hybognathus,nuchalis
,,,,173,mooneye,mooneye,mooneye,Hiodon tergisus,Animalia,,,,,Hiodon,tergisus
,,,,174,mud darter,mud darter,mud darter,Etheostoma asprigene,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,asprigene
,,,,175,muskellunge,muskellunge,muskellunge,Esox masquinongy,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,masquinongy
,,,,176,ninespine stickleback,ninespine stickleback,ninespine stickleback,Pungitius pungitius,Animalia,,,,,Pungitius,pungitius
,,,,177,northern brook lamprey,northern brook lamprey,northern brook lamprey,Ichthyomyzon fossor,Animalia,,,,,Ichthyomyzon,fossor
,,,,178,northern redbelly dace,northern redbelly dace,northern redbelly dace,Phoxinus eos,Animalia,,,,,Phoxinus,eos
,,,,179,orangespotted sunfish,orangespotted sunfish,orangespotted sunfish,Lepomis humilis,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,humilis
