Taxon_Group,Taxon_orig,NonTarget,Rationale,FishTaxaID,FinalID,OTU_BCG,OTU_IBI,SciID,Kingdom,Phylum,Class,Order,Family,Genus,Species
,,,,85,Rosyside dace,Rosyside dace,Rosyside dace,Clinostomus funduloides,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Clinostomus,funduloides
,,,,86,Satinfin shiner,Satinfin shiner,Satinfin shiner,Cyprinella analostana,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,analostana
,,,,87,Shield darter,Shield darter,Shield darter,Percina peltata,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,peltata
,,,,88,Shorthead redhorse,Shorthead redhorse,Shorthead redhorse,Moxostoma macrolepidotum,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,macrolepidotum
,,,,89,Silverjaw minnow,Silverjaw minnow,Silverjaw minnow,Notropis buccatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,buccatus
,,,,91,Smallmouth bass,Smallmouth bass,Smallmouth bass,Micropterus dolomieu,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,dolomieu
,,,,92,Spot,Spot,Spot,Leiostomus xanthurus,Animalia,Chordata,Osteichthyes,Perciformes,Sciaenidae,Leiostomus,xanthurus
,,,,93,Spotfin shiner,Spotfin shiner,Spotfin shiner,Cyprinella spiloptera,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,spiloptera
,,,,94,Spottail shiner,Spottail shiner,Spottail shiner,Notropis hudsonius,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,hudsonius
,,,,95,Stonecat,Stonecat,Stonecat,Noturus flavus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,flavus
,,,,96,Striped bass,Striped bass,Striped bass,Morone saxatilis,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,saxatilis
,,,,97,Striped killifish,Striped killifish,Striped killifish,Fundulus majalis,Animalia,Chordata,Osteichthyes,Atheriniformes,Fundulidae,Fundulus,majalis
,,,,98,Striped shiner,Striped shiner,Striped shiner,Luxilus chrysocephalus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Luxilus,chrysocephalus
,,,,99,Swallowtail shiner,Swallowtail shiner,Swallowtail shiner,Notropis procne,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,procne
,,,,100,Swamp darter,Swamp darter,Swamp darter,Etheostoma fusiforme,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,fusiforme
,,,,101,Tadpole madtom,Tadpole madtom,Tadpole madtom,Noturus gyrinus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,gyrinus
,,,,102,Tesselated darter,Tesselated darter,Tesselated darter,Etheostoma olmstedi,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,olmstedi
,,,,103,Warmouth,Warmouth,Warmouth,Lepomis gulosus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gulosus
,,,,104,watercolumn fish,watercolumn fish,watercolumn fish,,Animalia,Chordata,Osteichthyes,,,,
,,,,105,White catfish,White catfish,White catfish,Ameiurus catus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,catus
,,,,106,White crappie,White crappie,White crappie,Pomoxis annularis,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,annularis
,,,,107,White perch,White perch,White perch,Morone americana,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,americana
,,,,108,White sucker,White sucker,White sucker,Catostomus commersoni,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,commersoni
,,,,109,Yellow bullhead,Yellow bullhead,Yellow bullhead,Ameiurus natalis,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,natalis
,,,,110,Yellow perch,Yellow perch,Yellow perch,Perca flavescens,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Perca,flavescens
,,,,111,bigmouth buffalo,bigmouth buffalo,bigmouth buffalo,Ictiobus cyprinellus,Animalia,,,,,Ictiobus,cyprinellus
