Taxon_Group,BenTaxaID,FinalID,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety,Rank,TolVal,TolValSource,FFG,FFGSource,Habit,HabitSource,InBenthics,AdminCheck,DateNameRevised,EnterDate,Comments,Terrestrial,BCG_Attr,data_MN,BCG_Attr_NLF,BCG_Attr_Driftless,BCG_Attr_MN,BCG_Attr_GP,BCG_Attr_RR,BCG_Cool_8,BCG_Cold_9
,24,Cambarincolidae,69209,69168,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Cambarincolidae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,25,Cambarincolidae/Xironodrilidae,,,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Cambarincolidae,,,,,,,Genus,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,26,Branchiobdellida,69168,68422,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Cambarincolidae,,,,,,,Order,8,WSA,CG,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,5,TRUE,5,x,,4,4,4,4
,27,Cambarincola,69258,69209,Annelida,,Clitellata,Oligochaeta,Branchiobdellida,,Cambarincolidae,,,Cambarincola,,,,Genus,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,28,Enchytraeidae,68510,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Enchytraeidae,,,,,,,Family,9,WSA,CG,WSA,BU,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,x,x
,29,Haplotaxida,68498,68422,Annelida,,Clitellata,Oligochaeta,Haplotaxida,,,,,,,,,Order,,WSA,CG,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,4,,,x,x
,30,Lumbricidae,69165,69069,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Lumbricina,Lumbricidae,,,,,,,Family,9,WSA,CG,WSA,BU,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,x,x
,31,Megascolecidae,69166,69069,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Lumbricina,Megascolecidae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,32,Opistocystidae,69041,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Opistocystidae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,33,Haplotaxis,68505,68504,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Haplotaxina,Haplotaxidae,,,Haplotaxis,,,,Genus,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,34,Oligochaeta,68422,568832,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,,,,,,,,Class,6,WSA,CG,WSA,BU,WSA,,FALSE,,2006-01-17,WSA,FALSE,4,TRUE,4,x,,5,5,5,5
,35,Tubificina,68509,68498,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,,,,,,,,SubOrder,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,36,Naididae,68854,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,,,,,Family,9,WSA,CG,WSA,BU,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,4,4,4,4
,37,Arcteonais lomondi,68976,68975,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Arcteonais,,Arcteonais lomondi,,Species,7,WSA,CG,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,38,Chaetogaster,68934,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Chaetogaster,,,,Genus,6,WSA,PR,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,39,Dero,68898,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Dero,,,,Genus,9,WSA,CG,WSA,BU,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,40,Nais,198375,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Nais,,,,Genus,8,WSA,CG,WSA,BU,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,x,x
,41,Ophidonais serpentina,68996,68995,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Ophidonais,,Ophidonais serpentina,,Species,6,WSA,CG,WSA,BU,WSA,,FALSE,,2006-01-17,WSA,FALSE,4,FALSE,4,,,,,x,x
,42,Pristina,68876,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Pristina,,,,Genus,9,WSA,CG,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,x,x
,43,Pristinella,69024,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Pristinella,,,,Genus,7,WSA,CG,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,44,Slavina appendiculata,68856,68855,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Slavina,,Slavina appendiculata,,Species,7,WSA,CG,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,45,Specaria josinae,68985,68984,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Specaria,,Specaria josinae,,Species,6,WSA,CG,WSA,BU,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,46,Stylaria lacustris,68872,68871,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Stylaria,,lacustris,,Species,7,WSA,CG,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,47,Uncinais,68989,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Uncinais,,,,Genus,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,49,Tubificidae,68585,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,,,,,Family,9,WSA,CG,WSA,CN,WSA,,FALSE,,2006-01-17,WSA,FALSE,5,FALSE,5,,,,,5,5
,50,Aulodrilus,68679,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Aulodrilus,,,,Genus,5,WSA,CG,WSA,SP,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,51,Aulodrilus limnobius,68682,68679,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Aulodrilus,,Aulodrilus limnobius,,Species,7,WSA,CG,WSA,SP,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,52,Aulodrilus pigueti,68680,68679,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Aulodrilus,,Aulodrilus pigueti,,Species,6,WSA,CG,WSA,SP,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,53,Aulodrilus pluriseta,68684,68679,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Aulodrilus,,Aulodrilus pluriseta,,Species,6,WSA,CG,WSA,SP,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,x,x
,54,Bothrioneurum vejdovskyanum,68779,68778,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Bothrioneurum,,Bothrioneurum vejdovskyanum,,Species,5,WSA,SC,WSA,BU,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,55,Branchiura,89404,83677,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Branchiura,,,,Genus,,WSA,CG,WSA,CB,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,56,Branchiura sowerbyi,68621,68619,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Branchiura,,Branchiura sowerbyi,,Species,8,WSA,CG,WSA,CB,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,57,Ilyodrilus,68660,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Ilyodrilus,,,,Genus,10,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,58,Ilyodrilus templetoni,68662,68660,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Ilyodrilus,,Ilyodrilus templetoni,,Species,10,USEPA 1990 Draft,CG,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,5,x
,59,Isochaetides curvisetosus,68809,68808,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Isochaetides,,Isochaetides curvisetosus,,Species,8,WSA,CG,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,60,Limnodrilus,68638,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Limnodrilus,,,,Genus,8,WSA,CG,WSA,CN,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,61,Limnodrilus hoffmeisteri,68639,68638,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Limnodrilus,,Limnodrilus hoffmeisteri,,Species,10,WSA,CG,WSA,BU,WSA,,FALSE,,2006-01-17,WSA,FALSE,5,FALSE,5,,,,,5,x
,62,Peloscolex,68588,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Peloscolex,,,,Genus,10,WSA,CG,USEPA 1990 Draft,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,63,Quistradrilus,68793,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Quistradrilus,,,,Genus,10,WSA,CG,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,64,Spirosperma,68780,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Spirosperma,,,,Genus,10,WSA,CG,WSA,CN,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
