TaxaID_orig,OTU_BCG,Modified,Rationale,Notes_ORWA,NM_FINALID,RANK,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,GENUS,SUBGENUS,SPECIES,SUBSPECIES
Abedus,Abedus,FALSE,,,,Genus,Arthropoda,,Insecta,,Hemiptera,,,,Belostomatidae,Belostomatinae,,Abedus,,,
Abedus breviceps,Abedus breviceps,FALSE,,,Abedus breviceps,Species,Arthropoda,,Insecta,,Hemiptera,,,,Belostomatidae,Belostomatinae,,Abedus,Abedus (Abedus),breviceps,
Abedus herberti,Abedus herberti,FALSE,,,Abedus herberti,Species,Arthropoda,,Insecta,,Hemiptera,,,,Belostomatidae,Belostomatinae,,Abedus,Abedus (Deinostoma),herberti,
Ablabesmyia,Ablabesmyia,FALSE,,,Ablabesmyia,Genus,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,,,
Ablabesmyia (Ablabesmyia) mallochi,Ablabesmyia mallochi,TRUE,formatting - removed subgenus,,Ablabesmyia (Ablabesmyia) mallochi,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,Ablabesmyia,mallochi,
Ablabesmyia (Ablabesmyia) monilis,Ablabesmyia monilis,TRUE,formatting - removed subgenus,,Ablabesmyia (Ablabesmyia) monilis,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,Ablabesmyia,monilis,
Ablabesmyia (Karelia) cinctipes,Ablabesmyia cinctipes,TRUE,formatting - removed subgenus,,Ablabesmyia (Karelia) cinctipes,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,Karelia,cinctipes,
Ablabesmyia (Karelia) illinoensis,Ablabesmyia illinoensis,TRUE,formatting - removed subgenus,,Ablabesmyia (Karelia) illinoensis,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,Karelia,illinoensis,
Ablabesmyia cinctipes,Ablabesmyia cinctipes,FALSE,,,Ablabesmyia (Karelia) cinctipes,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,Karelia,cinctipes,
Ablabesmyia illinoensis,Ablabesmyia illinoensis,FALSE,,,Ablabesmyia (Karelia) illinoensis,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,Karelia,illinoensis,
Ablabesmyia mallochi,Ablabesmyia mallochi,FALSE,,,Ablabesmyia (Ablabesmyia) mallochi,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,Ablabesmyia,mallochi,
Ablabesmyia monilis,Ablabesmyia monilis,FALSE,,,Ablabesmyia (Ablabesmyia) monilis,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,Ablabesmyia,monilis,
Acanthagrion,Acanthagrion,FALSE,,,Acanthagrion,Genus,Arthropoda,,Insecta,,Odonata,Zygoptera,,,Coenagrionidae,,,Acanthagrion,,,
Acanthagrion quadratum,Acanthagrion quadratum,FALSE,,,Acanthagrion quadratum,Species,Arthropoda,,Insecta,,Odonata,Zygoptera,,,Coenagrionidae,,,Acanthagrion,,quadratum,
Acarina,Acarina,FALSE,,,Acarina,SubClass,Arthropoda,Chelicerata,Arachnida,Acari,,,,,,,,,,,
Acentrella,Acentrella,FALSE,,,Acentrella,Genus,Arthropoda,,Insecta,,Ephemeroptera,Pisciforma,,,Baetidae,,,Acentrella,,,
Acentrella insignificans,Acentrella insignificans,FALSE,,,Acentrella insignificans,Species,Arthropoda,,Insecta,,Ephemeroptera,Pisciforma,,,Baetidae,,,Acentrella,,insignificans,
Acentrella turbida,Acentrella turbida,FALSE,,,Acentrella turbida,Species,Arthropoda,,Insecta,,Ephemeroptera,Pisciforma,,,Baetidae,,,Acentrella,,turbida,
Acerpenna,Acerpenna,FALSE,,,,Genus,Arthropoda,,Insecta,,Ephemeroptera,,,,Baetidae,,,Acerpenna,,,
Acricotopus,Acricotopus,FALSE,,,Acricotopus,Genus,Arthropoda,,Insecta,,Diptera,Nematocera,,,Chironomidae,Orthocladiinae,,Acricotopus,,,
Acroneuria,Acroneuria,FALSE,,,Acroneuria,Genus,Arthropoda,,Insecta,,Plecoptera,Systellognatha,,,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,,,
Acroneuria abnormis,Acroneuria abnormis,FALSE,,,Acroneuria abnormis,Species,Arthropoda,,Insecta,,Plecoptera,Systellognatha,,,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,,abnormis,
Acroneuriinae,Acroneuriinae,FALSE,,,Acroneuriinae,SubFamily,Arthropoda,,Insecta,,Plecoptera,Systellognatha,,,Perlidae,Acroneuriinae,,,,,
Acroneuriini,Acroneuriini,FALSE,,,Acroneuriini,Tribe,Arthropoda,,Insecta,,Plecoptera,Systellognatha,,,Perlidae,Acroneuriinae,Acroneuriini,,,,
Actinobdella,Actinobdella,FALSE,,,,Genus,Annelida,,Hirudinea,Hirudinea,Rhynchobdellida,,,,Glossiphoniidae,,,,,,
Adephaga,Adephaga,FALSE,,,Adephaga,SubOrder,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,,,,,,,
Aedes,Aedes,FALSE,,Culicidae,Aedes,Genus,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,,
Aedes aegypti,Aedes aegypti,FALSE,,,Aedes aegypti,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,aegypti,
Aedes campestris,Aedes campestris,FALSE,,,Aedes campestris,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,campestris,
Aedes cataphylla,Aedes cataphylla,FALSE,,,Aedes cataphylla,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,cataphylla,
Aedes cinereus,Aedes cinereus,FALSE,,,Aedes cinereus,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,cinereus,
Aedes communis,Aedes communis,FALSE,,,Aedes communis,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,communis,
Aedes dorsalis,Aedes dorsalis,FALSE,,,Aedes dorsalis,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,dorsalis,
Aedes epactius,Aedes epactius,FALSE,,,Aedes epactius,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,epactius,
Aedes excrucians,Aedes excrucians,FALSE,,,Aedes excrucians,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,excrucians,
Aedes fitchii,Aedes fitchii,FALSE,,,Aedes fitchii,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,fitchii,
Aedes hendersoni,Aedes hendersoni,FALSE,,,Aedes hendersoni,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,hendersonii,
Aedes hexodontus,Aedes hexodontus,FALSE,,,Aedes hexodontus,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,hexodontus,
Aedes implicatus,Aedes implicatus,FALSE,,,Aedes implicatus,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,implicatus,
Aedes increpitus,Aedes increpitus,FALSE,,,Aedes increpitus,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,increpitus,
Aedes melanimon,Aedes melanimon,FALSE,,,Aedes melanimon,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,melanimon,
Aedes mitchellae,Aedes mitchellae,FALSE,,,Aedes mitchellae,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,mitchellae,
Aedes monticola,Aedes monticola,FALSE,,,Aedes monticola,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,monticola,
Aedes muelleri,Aedes muelleri,FALSE,,,Aedes muelleri,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,muelleri,
Aedes nigromaculis,Aedes nigromaculis,FALSE,,,Aedes nigromaculis,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,nigromaculis,
Aedes pullatus,Aedes pullatus,FALSE,,,Aedes pullatus,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,pullatus,
Aedes schizopinax,Aedes schizopinax,FALSE,,,Aedes schizopinax,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,schizopinax,
Aedes sollicitans,Aedes sollicitans,FALSE,,,Aedes sollicitans,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,sollicitans,
Aedes spencerii,Aedes spencerii,FALSE,,,Aedes spencerii,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,spencerii,idahoensis
Aedes thelcter,Aedes thelcter,FALSE,,,Aedes thelcter,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,thelcter,
Aedes trivittatus,Aedes trivittatus,FALSE,,,Aedes trivittatus,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,trivittatus,
Aedes vexans,Aedes vexans,FALSE,,,Aedes vexans,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Culicinae,Culicini,Aedes,,vexans,
Aeshna,Aeshna,FALSE,,Aeshna/Rhionaeschna,Aeshna,Genus,Arthropoda,,Insecta,,Odonata,Anisoptera,,,Aeshnidae,,,Aeshna,,,
AESHNIDAE,Aeshnidae,TRUE,formatting - CAPS,,Aeshnidae,Family,Arthropoda,,Insecta,,Odonata,Anisoptera,,,Aeshnidae,,,,,,
Agabus,Agabus,FALSE,,,Agabus,Genus,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Dytiscidae,Colymbetinae,Agabini,Agabus,,,
Agabus austini,Agabus austini,FALSE,,,Agabus austini,Species,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Dytiscidae,Colymbetinae,,Agabus,Agabus (Gaurodytes),austini,
Agabus cordatus,Agabus cordatus,FALSE,,,Agabus cordatus,Species,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Dytiscidae,Colymbetinae,,Agabus,,cordatus,
Agabus disintegratus,Agabus disintegratus,FALSE,,,Agabus disintegratus,Species,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Dytiscidae,Colymbetinae,,Agabus,Agabus (Agabus),disintegratus,
Agabus griseipennis,Agabus griseipennis,FALSE,,,Agabus griseipennis,Species,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Dytiscidae,Colymbetinae,,Agabus,Agabus (Acatodes),griseipennis,
Agabus lugens,Agabus lugens,FALSE,,,Agabus lugens,Species,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Dytiscidae,Colymbetinae,,Agabus,,lugens,
Agabus obliteratus,Agabus obliteratus,FALSE,,,Agabus obliteratus,Species,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Dytiscidae,Colymbetinae,,Agabus,Agabus (Acatodes),obliteratus,
Agabus regularis,Agabus regularis,FALSE,,,Agabus regularis,Species,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Dytiscidae,Colymbetinae,,Agabus,,regularis,
Agabus semivittatus,Agabus semivittatus,FALSE,,,Agabus semivittatus,Species,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Dytiscidae,Colymbetinae,,Agabus,,semivittatus,
Agabus seriatus,Agabus seriatus,FALSE,,,Agabus seriatus,Species,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Dytiscidae,Colymbetinae,,Agabus,,seriatus,
Agabus tristis,Agabus tristis,FALSE,,,Agabus tristis,Species,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Dytiscidae,Colymbetinae,,Agabus,Agabus (Gaurodytes),tristis,
Agapetinae,Agapetinae,FALSE,,,Agapetinae,SubFamily,Arthropoda,,Insecta,,Trichoptera,,,Glossosomatoidea,Glossosomatidae,Agapetinae,,,,,
Agapetus,Agapetus,FALSE,,,Agapetus,Genus,Arthropoda,,Insecta,,Trichoptera,Spicipalpia,,Glossosomatoidea,Glossosomatidae,Agapetinae,,Agapetus,,,
Agathon,Agathon,FALSE,,,Agathon,Genus,Arthropoda,,Insecta,,Diptera,Nematocera,Blephariceromorpha,,Blephariceridae,Blepharicerinae,Blepharicerini,Agathon,,,
Agraylea,Agraylea,FALSE,,,Agraylea,Genus,Arthropoda,,Insecta,,Trichoptera,,,Hydroptiloidea,Hydroptilidae,Hydroptilinae,Hydroptilini,Agraylea,,,
Alisotrichia,Alisotrichia,FALSE,,,Alisotrichia,Genus,Arthropoda,,Insecta,,Trichoptera,,,Hydroptiloidea,Hydroptilidae,Hydroptilinae,Leucotrichiini,Alisotrichia,,,
ALLONAIS,Allonais,TRUE,formatting - CAPS,,,Genus,Annelida,,Clitellata,Oligochaeta,Tubificida,,,,Naididae,,,Allonais,,,
Alloperla,Alloperla,FALSE,,,Alloperla,Genus,Arthropoda,,Insecta,,Plecoptera,Systellognatha,,,Chloroperlidae,Chloroperlinae,,Alloperla,,,
Alloperla severa,Alloperla severa,FALSE,,,Alloperla severa,Species,Arthropoda,,Insecta,,Plecoptera,Systellognatha,,,Chloroperlidae,Chloroperlinae,,Alloperla,,severa,
Alotanypus,Alotanypus,FALSE,,,Alotanypus,Genus,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Macropelopiini,Alotanypus,,,
Alotanypus venusta,Alotanypus venusta,FALSE,,,Alotanypus venusta,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Macropelopiini,Alotanypus,,venusta,
Amaletus,Amaletus,FALSE,,,Amaletus,Family,Arthropoda,,Insecta,,Ephemeroptera,,,,Ameletidae,,,,,,
Ambrysinae,Ambrysinae,FALSE,,,Ambrysinae,SubFamily,Arthropoda,,Insecta,,Hemiptera,,,,Naucoridae,Ambrysinae,,,,,
Ambrysus,Ambrysus,FALSE,,Excluded as water column or surface dwellers,Ambrysus,Genus,Arthropoda,,Insecta,,Hemiptera,Heteroptera,,,Naucoridae,Ambrysinae,,Ambrysus,,,
Ambrysus arizonus,Ambrysus arizonus,FALSE,,,Ambrysus arizonus,Species,Arthropoda,,Insecta,,Hemiptera,,,,Naucoridae,Ambrysinae,,Ambrysus,Ambrysus (Ambrysus),arizonus,
Ambrysus circumcinctus,Ambrysus circumcinctus,FALSE,,,Ambrysus circumcinctus,Species,Arthropoda,,Insecta,,Hemiptera,,,,Naucoridae,Ambrysinae,,Ambrysus,Ambrysus (Syncollis),circumcinctus,
Ambrysus lunatus,Ambrysus lunatus,FALSE,,,Ambrysus lunatus,Species,Arthropoda,,Insecta,,Hemiptera,,,,Naucoridae,Ambrysinae,,Ambrysus,Ambrysus (Ambrysus),lunatus,
Ambrysus mormon,Ambrysus mormon,FALSE,,,Ambrysus mormon,Species,Arthropoda,,Insecta,,Hemiptera,,,,Naucoridae,Ambrysinae,,Ambrysus,Ambrysus (Ambrysus),mormon,
Ambrysus thermarum,Ambrysus thermarum,FALSE,,,Ambrysus thermarum,Species,Arthropoda,,Insecta,,Hemiptera,,,,Naucoridae,Ambrysinae,,Ambrysus,Ambrysus (Ambrysus),thermarum,
Ameletidae,Ameletidae,FALSE,,,Ameletidae,Family,Arthropoda,,Insecta,,Ephemeroptera,Pisciforma,,,Ameletidae,,,,,,
Ameletus,Ameletus,FALSE,,,Ameletus,Genus,Arthropoda,,Insecta,,Ephemeroptera,Pisciforma,,,Ameletidae,,,Amaletus,,,
Ameletus doddsianus,Ameletus doddsianus,FALSE,,,Ameletus doddsianus,Species,Arthropoda,,Insecta,,Ephemeroptera,Pisciforma,,,Ameletidae,,,Amaletus,,doddsianus,
Ameletus falsus,Ameletus falsus,FALSE,,,Ameletus falsus,Species,Arthropoda,,Insecta,,Ephemeroptera,Pisciforma,,,Ameletidae,,,Amaletus,,falsus,
Ameletus sparsatus,Ameletus sparsatus,FALSE,,,Ameletus sparsatus,Species,Arthropoda,,Insecta,,Ephemeroptera,Pisciforma,,,Ameletidae,,,Amaletus,,sparsatus,
Amercaenis,Amercaenis,FALSE,,,,Genus,Arthropoda,,Insecta,,Ephemeroptera,,,,Caenidae,,,,,,
AMERICAMYSIS,Americamysis,TRUE,formatting - CAPS,,,Genus,Arthropoda,Crustacea,Malacostraca,,Mysida,,,,Mysidae,,,Americamysis,,,
Americorophium,Americorophium,FALSE,,,,Genus,Arthropoda,,Malacostraca,,Amphipoda,,,,Gammaridae,,,,,,
Ametor,Ametor,FALSE,,,Ametor,Genus,Arthropoda,,Insecta,,Coleoptera,Polyphaga,,Hydrophiloidea,Hydrophilidae,Hydrobiinae,Sperchopsini,Ametor,,,
Ametor scabrosus,Ametor scabrosus,FALSE,,,Ametor scabrosus,Species,Arthropoda,,Insecta,,Coleoptera,Polyphaga,,Hydrophiloidea,Hydrophilidae,Hydrobiinae,Sperchopsini,Ametor,,scabrosus,
Ametropodidae,Ametropodidae,FALSE,,,Ametropodidae,Family,Arthropoda,,Insecta,,Ephemeroptera,Pisciforma,,,Ametropodidae,,,,,,
Ametropus,Ametropus,FALSE,,,Ametropus,Genus,Arthropoda,,Insecta,,Ephemeroptera,Pisciforma,,,Ametropodidae,,,Ametropus,,,
Ametropus albrighti,Ametropus albrighti,FALSE,,,Ametropus albrighti,Species,Arthropoda,,Insecta,,Ephemeroptera,Pisciforma,,,Ametropodidae,,,Ametropus,,albrighti,
Amiocentrus,Amiocentrus,FALSE,,backed off due to COI data,Amiocentrus,Genus,Arthropoda,,Insecta,,Trichoptera,,,Limnephiloidea,Brachycentridae,,,Amiocentrus,,,
Amphiagrion,Amphiagrion,FALSE,,,Amphiagrion,Genus,Arthropoda,,Insecta,,Odonata,Zygoptera,,,Coenagrionidae,,,Amphiagrion,,,
Amphiagrion abbreviatum,Amphiagrion abbreviatum,FALSE,,,Amphiagrion abbreviatum,Species,Arthropoda,,Insecta,,Odonata,Zygoptera,,,Coenagrionidae,,,Amphiagrion,,abbreviatum,
Amphiagrion saucium,Amphiagrion saucium,FALSE,,,Amphiagrion saucium,Species,Arthropoda,,Insecta,,Odonata,Zygoptera,,,Coenagrionidae,,,Amphiagrion,,saucium,
Amphinemura,Amphinemura,FALSE,,,Amphinemura,Genus,Arthropoda,,Insecta,,Plecoptera,Euholognatha,,,Nemouridae,Amphinemurinae,,Amphinemura,,,
Amphinemura banksi,Amphinemura banksi,FALSE,,,Amphinemura banksi,Species,Arthropoda,,Insecta,,Plecoptera,Euholognatha,,,Nemouridae,Amphinemurinae,,Amphinemura,,banksi,
Amphinemura mogollonica,Amphinemura mogollonica,FALSE,,,Amphinemura mogollonica,Species,Arthropoda,,Insecta,,Plecoptera,Euholognatha,,,Nemouridae,Amphinemurinae,,Amphinemura,,mogollonica,
Amphinemurinae,Amphinemurinae,FALSE,,,Amphinemurinae,SubFamily,Arthropoda,,Insecta,,Plecoptera,Euholognatha,,,Nemouridae,Amphinemurinae,,,,,
Amphipoda,Amphipoda,FALSE,,,Amphipoda,Order,Arthropoda,Crustacea,Malacostraca,,Amphipoda,,,,,,,,,,
Amphizoa,Amphizoa,FALSE,,,Amphizoa,Genus,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Amphizoidae,,,Amphizoa,,,
Amphizoa lecontei,Amphizoa lecontei,FALSE,,,Amphizoa lecontei,Species,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Amphizoidae,,,Amphizoa,,lecontei,
Amphizoidae,Amphizoidae,FALSE,,,Amphizoidae,Family,Arthropoda,,Insecta,,Coleoptera,Adephaga,,,Amphizoidae,,,,,,
Anacaena,Anacaena,FALSE,,,Anacaena,Genus,Arthropoda,,Insecta,,Coleoptera,Polyphaga,,Hydrophiloidea,Hydrophilidae,Hydrophilinae,Anacaenini,Anacaena,,,
Anagapetini,Anagapetini,FALSE,,,Anagapetini,Tribe,Arthropoda,,Insecta,,Trichoptera,,,Glossosomatoidea,Glossosomatidae,Glossosomatinae,Anagapetini,,,,
ANAGAPETUS,Anagapetus,TRUE,formatting - CAPS,,Anagapetus,Genus,Arthropoda,,Insecta,,Trichoptera,,,Glossosomatoidea,Glossosomatidae,Glossosomatinae,Anagapetini,Anagapetus,,,
Anax,Anax,FALSE,,,Anax,Genus,Arthropoda,,Insecta,,Odonata,Anisoptera,,,Aeshnidae,,,Anax,,,
Ancylidae,Ancylidae,FALSE,,,Ancylidae,Family,Mollusca,,Gastropoda,,Basommatophora,,,,Ancylidae,,,Ferrissia,,,
Anisopinae,Anisopinae,FALSE,,,Anisopinae,SubFamily,Arthropoda,,Insecta,,Hemiptera,,,,Notonectidae,Anisopinae,,,,,
Anisoptera,Anisoptera,FALSE,,,Anisoptera,SubOrder,Arthropoda,,Insecta,,Odonata,Anisoptera,,,,,,,,,
Annelida,Annelida,FALSE,,,Annelida,Phylum,Annelida,,,,,,,,,,,,,,
Anodonta,Anodonta,FALSE,,,Anodonta,Genus,Mollusca,,Bivalvia,,Unionoida,,,,Unionidae,,,Anodonta,,,
Anodonta californiensis,Anodonta californiensis,FALSE,,,Anodonta californiensis,Species,Mollusca,,Bivalvia,,Unionoida,,,,Unionidae,,,Anodonta,,californiensis,
Anophelinae,Anophelinae,FALSE,,,Anophelinae,SubFamily,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Anophelinae,,,,,
Anopholes,Anopholes,FALSE,,,Anopholes,Genus,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Anophelinae,,Anopholes,,,
Anopholes crucians,Anopholes crucians,FALSE,,,Anopholes crucians,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Anophelinae,,Anopholes,,crucians,
Anopholes franciscanus,Anopholes franciscanus,FALSE,,,Anopholes franciscanus,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Anophelinae,,Anopholes,,franciscanus,
Anopholes freeborni,Anopholes freeborni,FALSE,,,Anopholes freeborni,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Anophelinae,,Anopholes,,freeborni,
Anopholes judithae,Anopholes judithae,FALSE,,,Anopholes judithae,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Anophelinae,,Anopholes,,judithae,
Anopholes pseudopunctipennis,Anopholes pseudopunctipennis,FALSE,,,Anopholes pseudopunctipennis,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Anophelinae,,Anopholes,,pseudopunctipennis,pseudopunctipennis
Anopholes punctipennis,Anopholes punctipennis,FALSE,,,Anopholes punctipennis,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Culicidae,Anophelinae,,Anopholes,,punctipennis,
Antocha,Antocha,FALSE,,,Antocha,Genus,Arthropoda,,Insecta,,Diptera,Nematocera,Tipulomorpha,,Tipulidae,Limoniinae,Limoniini,Antocha,,,
Antocha monticola,Antocha monticola,FALSE,,,Antocha monticola,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Tipulomorpha,,Tipulidae,Limoniinae,Limoniini,Antocha,,monticola,
Apataniidae,Apataniidae,FALSE,,,Apataniidae,Family,Arthropoda,,Insecta,,Trichoptera,,,Limnephiloidea,Apataniidae,,,,,,
Apedilum,Apedilum,FALSE,,,Apedilum,Genus,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Chironominae,Chironomini,Apedilum,,,
Apedilum elachista,Apedilum elachista,FALSE,,,Apedilum elachista,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Chironominae,Chironomini,Apedilum,,elachista,
Apedilum subcinctum,Apedilum subcinctum,FALSE,,,Apedilum subcinctum,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Chironominae,Chironomini,Apedilum,,subcinctum,
Apobaetis,Apobaetis,FALSE,,,Apobaetis,Genus,Arthropoda,,Insecta,,Ephemeroptera,Pisciforma,,,Baetidae,,,Apobaetis,,,
Apsectrotanypus,Apsectrotanypus,FALSE,,,Apsectrotanypus,Genus,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Macropelopiini,Apsectrotanypus,,,
ARACHNIDA,Arachnida,TRUE,formatting - CAPS,Terrestrial,Arachnida,Class,Arthropoda,Chelicerata,Arachnida,,,,,,,,,,,,
Archilestes,Archilestes,FALSE,,,Archilestes,Genus,Arthropoda,,Insecta,,Odonata,Zygoptera,,,Lestidae,,,Archilestes,,,
Archilestes californica,Archilestes californica,FALSE,,,Archilestes californica,Species,Arthropoda,,Insecta,,Odonata,Zygoptera,,,Lestidae,,,Archilestes,,californica,
Archilestes grandis,Archilestes grandis,FALSE,,,Archilestes grandis,Species,Arthropoda,,Insecta,,Odonata,Zygoptera,,,Lestidae,,,Archilestes,,grandis,
Arcteonais,Arcteonais,FALSE,,,,Genus,Annelida,,Clitellata,Oligochaeta,Tubificida,,,,Naididae,,,Arcteonais,,,
Arctopsyche,Arctopsyche,FALSE,,,Arctopsyche,Genus,Arthropoda,,Insecta,,Trichoptera,Annulipalpia,,Hydropsychoidea,Hydropsychidae,Arctopsychinae,,Arctopsyche,,,
Arctopsyche grandis,Arctopsyche grandis,FALSE,,,Arctopsyche grandis,Species,Arthropoda,,Insecta,,Trichoptera,,,Hydropsychoidea,Hydropsychidae,Arctopsychinae,,Arctopsyche,,grandis,
Arctopsychinae,Arctopsychinae,FALSE,,,Arctopsychinae,SubFamily,Arthropoda,,Insecta,,Trichoptera,,,Hydropsychoidea,Hydropsychidae,Arctopsychinae,,,,,
Arcynopterygini,Arcynopterygini,FALSE,,,Arcynopterygini,Tribe,Arthropoda,,Insecta,,Plecoptera,Systellognatha,,,Perlodidae,Perlodinae,Arcynopterygini,,,,
Argia,Argia,FALSE,,,Argia,Genus,Arthropoda,,Insecta,,Odonata,Zygoptera,,,Coenagrionidae,,,Argia,,,
