project,dir_results,filename,taxaid,calc,calc_taxaid,col_drop,taxaid_drop,metadata_filename,attributes_metadata_filename,attributes_filename,attributes_taxaid,ageclass_filename,ageclass_taxaid
Lower Boise BCG (Fish),BCG,LowerBoise_Fish_Taxa_Translator_20251225.csv,TaxaID_orig,BCG,LBR_BCG_v1,,DNI,LowerBoise_Fish_Taxa_Translator_Metadata_20251225.csv,LowerBoise_Fish_Attributes_Metadata_20251226.csv,LowerBoise_Fish_Attributes_20251226.csv,TAXAID,LowerBoise_Fish_AgeClass_20251222.csv,TAXAID
Lower Boise BCG (Bugs),BCG,,TaxaID_orig,BCG,,,DNI,,,,TaxaID,,
